#rank	DIAMOnD_node	p_hyper
1	1109	5.5672822826087584e-05
2	3764	0.0001149182185708833
3	10060	0.00019754053436513416
4	5792	0.00021999326602619535
5	8660	6.516499893304772e-05
6	3480	0.00018122674480211822
7	867	2.5257302592315237e-05
8	5296	1.940044649242296e-05
9	8651	4.551587140688881e-06
10	1436	1.6920467660770545e-06
11	9021	9.926085498874472e-07
12	8835	8.125753227212173e-08
13	3716	2.0713162434105145e-07
14	2690	4.4446244538145705e-08
15	5781	2.8623169956063268e-08
16	3717	7.349008052721853e-09
17	6464	1.8140497191406557e-09
18	4352	1.0255410211130199e-10
19	5159	8.212153033163614e-10
20	5295	1.0410532279179965e-10
21	5777	1.9163415509939986e-11
22	2057	4.213014665418198e-12
23	6777	2.3089128868866427e-13
24	1399	1.5966345368549712e-12
25	6776	7.78375568810516e-14
26	5156	5.819592178838524e-15
27	3815	7.875242662654224e-15
28	3718	1.0418265166307524e-13
29	3560	1.972214450230443e-15
30	10603	2.801794565648999e-13
31	3566	7.733941689998354e-13
32	1398	1.4073623480361423e-12
33	1956	5.42955162288234e-13
34	5771	2.5834021021843e-14
35	5770	5.12020814726187e-14
36	6774	3.8517903292649956e-15
37	2064	2.0641605685445812e-14
38	3572	2.591956595135008e-15
39	6850	4.813724914218465e-15
40	2185	2.5541245441887166e-16
41	7409	1.7876812498331317e-17
42	5747	1.3853647695694093e-16
43	2065	3.9230057628012533e-17
44	6714	1.191807917402491e-17
45	5921	2.5429525056621046e-18
46	4067	2.497190429333168e-18
47	613	9.895659162910246e-19
48	5335	6.813528016433222e-19
49	9846	3.238509229702819e-19
50	2534	7.290806910080785e-20
51	2885	1.3035502323125049e-19
52	5336	7.268708514362601e-21
53	6654	4.3887520353164904e-20
54	4914	6.009136422221458e-20
55	5788	2.438754193804556e-21
56	2549	1.6970934572881053e-21
57	3635	2.2311138609668155e-20
58	4233	9.354405401779571e-22
59	2213	2.8996417036771264e-20
60	3932	1.9594063261433186e-19
61	7535	7.934732898832673e-21
62	3937	9.035519034018052e-21
63	55824	9.618517563681036e-22
