#rank	DIAMOnD_node	p_hyper
1	2252	5.516587040944803e-07
2	6910	7.794099754035709e-06
3	8822	1.705400233558976e-05
4	8817	1.8602503151000098e-05
5	2264	6.506441030325246e-06
6	2254	2.6322497801420804e-08
7	2253	2.9611141229153503e-08
8	2263	2.194128006697362e-09
9	2251	1.8067513283816245e-11
10	2250	2.0847130712095683e-11
11	2249	1.194839730408891e-10
12	2248	4.089460898646954e-10
13	2246	3.062093837434826e-08
14	2043	6.283284585701406e-08
15	8829	1.8731245782697777e-07
16	2247	2.418869492916375e-08
17	6774	2.8488114865026904e-06
18	9965	7.91448697416618e-06
19	8074	2.4980569491022548e-05
20	6197	4.1253328937958265e-05
21	2719	5.5174257521389064e-05
22	1460	9.035995547826925e-05
23	9982	0.0001010370847843597
24	3339	2.3096604337794554e-06
25	9158	1.2753806953666033e-05
26	5335	0.0001678427657992466
27	3717	3.891821222467205e-05
28	388585	1.2699205272915446e-05
29	4067	1.5974052493907634e-05
30	6776	3.072861542264083e-06
31	6777	1.1264302532511487e-06
32	55620	6.660193033912482e-08
33	3575	1.0769510206125295e-07
34	3560	1.1914310972443411e-07
35	3718	2.0212546700544113e-08
36	3716	1.4657476238067606e-09
37	5771	5.917566933372869e-10
38	6772	4.306841828965889e-10
39	55250	6.469500915678585e-10
40	3561	1.0667526713650335e-09
41	6461	1.2697736617117815e-10
42	5156	1.6204193546946305e-10
43	6464	1.5432609371596414e-11
44	5159	5.107859357245362e-12
45	5295	9.194316735955527e-12
46	5781	1.2696828081182544e-12
47	2185	1.1301596802878569e-13
48	6714	2.8091640011228903e-14
49	5777	4.9450382351672905e-15
50	1439	4.545093473240967e-14
51	6850	2.1719212287706062e-15
52	2057	4.516838275240685e-16
53	867	1.0215235268598095e-16
54	3815	3.151169014281126e-17
55	2534	6.005261758035292e-18
56	10603	3.467602772654926e-18
57	3932	3.1506471600279584e-17
58	9846	2.2132504075494096e-17
59	7297	2.256376069254361e-16
60	1399	1.2034184244104698e-17
61	3643	1.5211561353315305e-17
62	7409	4.570589976905649e-17
63	613	1.5600000977923997e-18
64	1398	8.235936017751519e-17
65	3791	6.594435179537092e-17
66	2321	9.699569202329252e-19
67	5336	4.28962358838756e-18
68	5921	8.47995390414265e-18
69	10657	1.6317895975580668e-18
70	2885	6.05041609086999e-19
71	2064	7.554281119236536e-19
72	5747	5.904137685927896e-20
73	2065	5.272081351529061e-21
74	1956	3.003717034408862e-20
75	8651	3.607734002613276e-21
76	3667	1.336013837752224e-22
77	3480	3.1105316561988703e-23
78	9021	1.5919533533132476e-23
79	8660	3.449160964308382e-25
80	5788	2.7811805795591206e-22
81	7535	5.705437964192638e-22
82	3937	7.875881829293703e-22
83	55824	1.403377445324523e-22
84	6654	3.5841053405935174e-22
85	2549	5.296524715006282e-22
86	3055	8.137797078103767e-22
87	5296	3.9490087324340844e-23
88	3572	5.289771703920416e-22
89	1436	8.551725391176416e-22
90	7525	7.829653498529078e-22
91	1796	1.1618052425927321e-22
92	1445	3.582360001913604e-24
93	3635	3.577106624747465e-22
94	2887	3.518490711737016e-21
95	25	2.158485821143072e-21
96	10006	1.4492095638712635e-22
97	27	3.91840523930255e-24
98	5829	6.073114722911446e-22
99	9564	3.010974937283063e-22
100	5770	1.8188526266159168e-23
101	2889	4.8799318875142064e-23
102	4914	1.2006883230788776e-24
103	5795	1.1051231685205888e-23
104	27040	4.056643804503077e-24
105	11184	7.872174143591963e-23
106	4690	1.5438551141683508e-23
107	868	9.036983186547161e-23
108	29760	1.0508188461895828e-24
109	10818	1.2497390102073504e-22
110	4233	1.7469158262012955e-22
111	5782	2.821948201733158e-22
112	7006	6.216036045124469e-23
113	3702	1.320422415684975e-23
114	6655	4.3130592866832695e-22
115	10278	5.223051506018428e-22
116	2066	7.418436836831294e-22
117	6452	1.5162235473274753e-21
118	10451	9.054497210185457e-24
119	7454	3.2651461150240674e-21
120	695	8.676229721164977e-22
121	100124696	9.850152159822577e-22
122	660	2.257585497853744e-22
123	5800	2.4888832520767083e-21
124	50807	6.941707411654198e-21
125	9402	1.1764167525186678e-19
126	5787	1.4421595932466891e-19
127	5793	1.9146105913488555e-19
128	7010	1.058497671733031e-19
129	558	2.834059878078455e-19
130	2268	5.338531855205243e-19
131	5979	8.244882813548927e-19
132	55715	2.757956358530182e-20
133	5595	3.305682173275531e-19
134	5796	8.746447841291583e-20
135	25970	1.297432186129524e-19
136	857	3.7072016472258896e-19
137	2213	1.2500779496338997e-18
138	5594	5.282938510075912e-19
139	5175	1.9326908921359337e-18
140	2242	5.929818971858879e-19
141	7410	3.712256731337179e-18
142	930	1.7240024681791207e-19
143	1441	4.3217951471284904e-18
144	26191	8.099098287943737e-18
145	7462	1.7785029070561527e-17
146	933	2.362274079340373e-17
147	5580	4.7654358847556344e-17
148	4582	4.026436832661503e-18
149	4739	6.25350810439615e-17
150	10750	8.359409775729774e-17
151	919	1.181674216746628e-16
152	10019	7.95256610804707e-17
153	30011	2.0346951163372726e-16
154	1499	1.372403092049935e-16
155	9743	4.879860400869261e-18
156	1000	4.199881384381246e-19
157	8440	1.5191228415370625e-17
158	7852	3.1572586846569326e-16
159	23607	3.3992369036190846e-16
160	238	6.403573186051346e-16
161	2886	1.6566114888755043e-16
162	56955	1.0359801317562074e-15
163	128853	1.0833392234937264e-15
164	83747	1.1325819154705648e-15
165	58512	1.5485569881151463e-15
166	3566	1.791936261144875e-15
167	3636	2.137115785760846e-15
168	53358	4.375593814572606e-15
169	4915	1.9556274922989938e-15
170	5170	6.229313514272534e-15
171	4486	8.315039669038066e-15
172	27071	1.4244371703472944e-14
173	6503	1.5789261288282123e-14
174	8853	1.7436217241091565e-14
175	3454	3.15932298575542e-14
176	8503	3.509572599755528e-14
177	974	5.264635964877027e-14
178	640	6.8077733824388155e-15
179	9103	3.036354151831253e-16
180	916	2.4448493350027573e-14
181	50852	3.328008497042473e-16
182	6004	4.1948694533318846e-14
183	23624	8.702823721909832e-14
184	1969	9.145099656337344e-14
185	9046	9.607435802148751e-14
186	7275	1.245576331350017e-13
187	1795	1.295474553088577e-13
188	25759	1.347111341075018e-13
189	80831	2.1087671374020259e-13
190	27240	2.1814832455884306e-13
191	2209	2.426747320281887e-13
192	5338	3.612888772148086e-13
193	356	4.4788210559006306e-13
194	2533	7.510964087910982e-14
195	973	5.282727769691026e-13
196	921	1.6317758264633911e-12
197	64714	2.0310775236266573e-12
198	5287	2.107881479436451e-12
199	4058	2.3181820018506757e-12
200	58480	2.394206902171913e-12
