#rank	DIAMOnD_node	p_hyper
1	79841	1.2750149569174213e-05
2	64779	1.369391914534643e-05
3	56623	2.0171082417076534e-05
4	7161	1.3965370491542554e-06
5	60487	5.019824763201672e-08
6	9271	5.521495958724435e-08
7	8131	3.0171914709120285e-07
8	10848	3.299495137423423e-07
9	1801	3.5988405497453e-07
10	60684	6.839405247183852e-07
11	259266	7.423965733132864e-07
12	153090	1.2839247052689144e-06
13	152006	2.0771206063027177e-06
14	10398	9.604864423472984e-06
15	65084	1.2893279754191355e-05
16	91768	2.0607268741351876e-05
17	56704	3.188353180303637e-05
18	2622	3.33648141380568e-05
19	23093	3.487964793980314e-05
20	80176	7.269208927814171e-05
21	231	8.41221815854385e-05
22	128	3.5778759218172727e-06
23	10327	1.221825564579818e-07
24	8574	1.0470013658787586e-06
25	6652	1.2019395124390487e-05
26	223	3.8080237481973236e-05
27	314	2.1800969429735242e-05
28	8639	7.523130007704705e-07
29	4128	2.258412418507644e-08
30	137872	3.302022236085393e-10
31	4129	1.4806634430229727e-11
32	26	2.7009540299118567e-13
33	284273	3.160522364984393e-14
34	8854	7.95317636035636e-16
35	130	2.638955921570259e-16
36	216	1.142672578000312e-17
37	127	1.927561682370083e-18
38	219	2.183068957489428e-19
39	124	1.2346531831277802e-20
40	501	6.010409007647421e-21
41	126	1.0195040978112397e-21
42	4329	7.711491503218076e-23
43	224	1.1346077273382074e-24
44	222	2.1962343215676377e-24
45	220	2.0857979870569326e-26
46	218	1.8230520439487105e-28
47	221	9.940940923999844e-29
48	316	6.125547402723599e-31
49	8659	8.521379755746788e-26
50	18	1.0055238062914881e-24
51	217	2.1711449158834587e-26
52	197257	1.0408719942654115e-25
53	9380	1.8571554512770229e-26
54	3948	3.222964872550364e-27
55	160287	3.884600694031257e-27
56	92483	1.2781669690282067e-26
57	7915	5.032822658374097e-27
58	84264	2.329212222247378e-27
59	5832	1.3081800868653972e-28
60	3029	3.107915936980609e-29
61	55293	8.811283267435091e-29
62	3945	5.077928259917515e-28
63	3939	1.048826391683941e-28
64	230	3.3889705661143236e-26
65	229	9.043885952334484e-28
66	226	7.006715628750733e-26
67	84532	3.2697461884618728e-24
68	55902	2.870535646644472e-26
69	51733	5.746930831424689e-23
70	84735	5.795002962440706e-25
71	65985	8.656994988321655e-23
72	438	9.958621646668755e-23
73	2571	2.935214064111333e-22
74	5238	1.1433972764068638e-20
75	118881	3.4084724479344356e-18
76	1312	5.140007768220335e-14
77	5409	1.4346790335350244e-15
78	2805	3.4325390416377573e-13
79	4357	1.9367371079899538e-13
80	2806	5.742340766922024e-14
81	10993	1.7104696372648075e-12
82	4353	1.8099914216438177e-12
83	1491	7.033478806187491e-12
84	3067	2.3955639816825168e-11
85	3176	2.1379488491880583e-12
86	1644	9.88172444790186e-13
87	6799	9.465616892910672e-12
88	8288	2.974606352001688e-11
89	6818	3.3771706971980345e-10
90	6817	1.1400106183196872e-09
91	112483	1.214703186976373e-08
92	6723	2.090613013633361e-09
93	4953	2.8270013067331e-10
94	6303	9.70760327134399e-08
95	3034	2.972850338622531e-06
96	7173	7.566071194245213e-06
97	5214	3.7780005247594454e-05
98	8789	4.936710153030239e-06
99	2203	3.182439537289949e-06
100	5211	2.1082675517013792e-07
101	5213	1.1774767262668081e-08
102	3795	5.3509932870177724e-05
103	11257	9.439967749414465e-05
104	2572	0.00019130253915912725
105	5053	0.0002525080846255159
106	11112	0.00029452958686383224
107	23417	0.0005055382858420864
108	3242	0.000602880679434346
109	6898	3.529449404282342e-05
110	2739	0.0006208188001438547
111	1036	0.0006298850893884006
112	51380	0.00029402533416195056
113	529	0.0006923336694832027
114	2877	0.0008416473896548628
115	2936	0.00031309065749964937
116	2879	4.3439022968723686e-05
117	2878	4.463976545661475e-05
118	2876	6.963198278134274e-05
119	847	1.4144223922484246e-05
120	30	6.259564749584232e-07
121	51	3.796556702962292e-08
122	35	1.692305944834089e-09
123	84129	6.966815943591792e-11
124	28976	1.909312658151222e-12
125	257202	1.2535843662675248e-13
126	36	4.895094119800315e-15
127	3295	2.453899551355096e-16
128	34	5.350363517735132e-18
129	6649	4.014748226489367e-19
130	10935	4.693450469472634e-21
131	27034	1.1505528388125146e-20
132	7001	9.566090426706766e-22
133	1962	4.2035423528922975e-22
134	6647	2.3590624484371537e-23
135	5052	8.160858659978087e-23
136	6648	7.436053852550682e-23
137	8309	8.279916873225054e-21
138	549	2.868788371611862e-15
139	3030	2.1065876461315714e-16
140	1891	1.9832229110123113e-17
141	55268	1.1979592148068897e-18
142	1892	6.646772776157545e-20
143	3032	8.356965546479273e-21
144	2639	6.551304882227101e-20
145	116285	1.857521450096951e-12
146	2181	1.5504032000141807e-09
147	3033	7.2219664684897335e-09
148	3158	1.8941828729435388e-10
149	38	8.671148322441869e-11
150	3157	9.700867077500399e-12
151	3028	9.082607055086828e-13
152	39	3.3138151172466454e-14
153	64064	5.613654791188416e-14
154	5019	1.426955204304888e-13
155	54511	9.229643938264356e-09
156	3155	1.9959672046883554e-07
157	622	3.5157996366524856e-08
158	1738	6.41735247925175e-06
159	6389	1.6651186578163642e-05
160	6391	1.7006911404886965e-05
161	8803	1.0300278337269378e-06
162	6392	2.9416802364154636e-08
163	8802	2.590138711465377e-09
164	8801	1.1519493480597406e-10
165	6390	9.457311077077198e-12
166	8050	3.328744315202401e-09
167	23464	3.9013756415779905e-11
168	4594	1.0715669407607216e-11
169	4967	2.1762731409001834e-12
170	212	5.264635964877027e-14
171	1743	2.86618296056048e-11
172	211	8.690132308094094e-11
173	2271	9.6256041508104e-06
174	79016	6.185052872977558e-05
175	116173	9.140390410011864e-05
176	84693	6.730389880397863e-05
177	594	0.00011817017927792408
178	593	3.624582422447843e-06
179	587	1.438884383120231e-05
180	1629	1.712037021020532e-05
181	586	2.8462829876730755e-07
182	3712	8.597842843517572e-07
183	2098	0.00012878555281530064
184	6472	0.00018149933294815966
185	79876	4.9063627419988876e-05
186	10397	0.00012314447445250961
187	60673	0.0002558735939900344
188	27244	0.00025899398697116257
189	64087	0.0002614144915223004
190	55748	0.00026384625423408017
191	54093	0.000274525441821657
192	4163	0.0002162242466547471
193	4048	8.527908256453813e-06
194	7174	4.3877857659035954e-05
195	2108	6.57601998677842e-05
196	327	0.0001538880630458087
197	94081	0.0003650399886896858
198	9641	0.00013635486160894922
199	80155	9.486639256195315e-06
200	23011	4.753422300773898e-05
