#rank	DIAMOnD_node	p_hyper
1	7067	6.853858791452789e-07
2	6688	5.4982872334862165e-06
3	2114	2.2104724086073503e-06
4	6777	2.172396192303101e-07
5	2033	7.562712606495954e-08
6	6776	2.0715695489843647e-08
7	6772	7.423775061978424e-09
8	6774	1.2696598214778012e-08
9	3725	1.7127307794277915e-09
10	2353	8.955515606401166e-09
11	2113	1.4690941571157342e-09
12	55250	1.587156546807643e-10
13	5595	4.892206560342078e-10
14	5594	2.375609800549653e-10
15	2908	4.9809266981851945e-11
16	8648	2.1010431078095418e-11
17	367	1.2256669805974732e-11
18	6996	6.552871028675083e-12
19	23054	1.1815135325684464e-11
20	9612	1.2792443900503952e-12
21	5970	3.262815815589324e-13
22	6256	8.435285618054397e-14
23	7421	2.84099971777514e-14
24	5451	2.6380213184743626e-14
25	2099	4.043076346487e-15
26	602	7.455480907122277e-16
27	8202	3.244265096930646e-17
28	10499	4.858433723154437e-17
29	5914	8.412946170962244e-17
30	9325	1.0462965944828933e-16
31	5241	3.2031635152612214e-16
32	9611	4.7905879150725625e-17
33	7068	1.1859347926179574e-15
34	4088	2.168371242383308e-15
35	4790	9.732667760499331e-15
36	6667	1.834209931076061e-15
37	1051	8.253072382219969e-17
38	5599	1.1586222994752038e-16
39	1432	7.883807232703465e-18
40	1386	3.0663419399856573e-16
41	1050	1.3225934348714803e-17
42	4089	8.381144349672492e-18
43	4087	5.784153568422338e-17
44	672	1.5487203133990184e-17
45	6597	8.490482235761072e-19
46	5468	4.480531099730658e-18
47	5925	4.2344337084609503e-19
48	6908	1.9400434519264305e-18
49	3065	3.667693143058063e-18
50	10401	1.2143434063588277e-19
51	8841	3.245438794361441e-19
52	6599	2.1329968712220562e-19
53	6601	1.6115738275618485e-19
54	3066	6.845161530297041e-20
55	6595	2.5371642848005224e-19
56	6598	5.25222879325476e-20
57	2959	5.9343701018253635e-21
58	6602	1.4153004789669144e-22
59	25942	7.316208904933047e-22
60	6605	5.282801960531614e-21
61	57492	2.7899940736592704e-21
62	8289	6.921478483121144e-23
63	6604	1.2571928038242293e-21
64	6603	3.164635713216534e-23
65	1024	3.8925126416816853e-22
66	54760	4.472493562282695e-22
67	9412	1.297438066648524e-22
68	2962	3.109428577858881e-23
69	10589	5.050031135725127e-23
70	892	1.0335864389548433e-23
71	2965	2.840108783622289e-25
72	2960	4.933959173750508e-25
73	86	3.0924010101603027e-24
74	5430	2.474020698565455e-24
75	5928	1.6727701112544009e-21
76	7155	4.0581906586283535e-21
77	7157	1.128354106386125e-21
78	8850	2.5292506638642007e-22
79	2967	2.237343869934484e-22
80	2071	1.1235761541479581e-22
81	1022	4.663770851868751e-22
82	5469	2.0909828833181159e-22
83	9031	4.543866524359982e-21
84	10498	8.752210182663364e-21
85	2623	3.463058878219437e-20
86	8819	5.207997480990539e-20
87	51742	6.086096927777327e-22
88	3621	2.0244112429042483e-23
89	5931	4.9438740305562153e-23
90	6872	2.8706974262745174e-22
91	9219	1.4082394397647656e-23
92	6880	6.289350379191281e-23
93	10284	3.538043692324115e-24
94	6878	3.1249699231128837e-25
95	53615	6.958388230019003e-27
96	4297	2.2962319755329676e-26
97	53981	5.881182323000478e-28
98	8189	1.0852856380982992e-28
99	6883	1.3469340650045628e-29
100	5929	3.8870699442795834e-31
101	23028	1.8949971208994964e-29
102	11091	2.3424769629397945e-30
103	5901	1.666155098023468e-28
104	8467	2.7674596985015447e-28
105	1107	1.2615896949542904e-29
106	8932	2.3770804881419544e-29
107	1108	1.429570365466341e-27
108	57459	3.2214002439698675e-29
109	5977	2.177237406931306e-26
110	9343	1.5440795899024296e-24
111	11198	7.678002058344151e-20
112	4609	1.3710337184489637e-19
113	2969	5.660167507709755e-21
114	7528	3.235469292451539e-21
115	1025	2.8740555301584476e-20
116	3516	2.1188948521222353e-21
117	23186	1.0380145431548434e-19
118	9112	2.2312354310340858e-20
119	23309	1.1720048738789693e-21
120	7750	1.3155802818431278e-21
121	9203	4.488878800868486e-23
122	51317	2.3017002297004134e-21
123	23199	3.3789957213979736e-22
124	3360	4.1537994229157457e-22
125	1487	6.382211124592393e-21
126	10362	3.586070305384713e-21
127	85509	4.677930002418681e-20
128	54815	1.9952073468935894e-19
129	3297	9.894886003314072e-19
130	3308	1.0720197224918565e-18
131	60	3.357224662959103e-19
132	55193	4.0401829694318863e-19
133	51412	9.742758822583707e-19
134	196528	4.687564485831158e-19
135	4204	2.879996979073898e-18
136	1017	3.8996486013063724e-18
137	6830	6.689078327803636e-20
138	55636	8.547069585192371e-20
139	4654	4.520442334420313e-19
140	595	2.2904701056964743e-18
141	64426	3.478839805339708e-18
142	3320	8.583945906660311e-19
143	3054	6.360890799794657e-19
144	9739	1.2371436835100846e-20
145	9070	6.081134743087897e-20
146	8473	5.530197012461461e-21
147	3312	4.877801158990099e-19
148	25855	1.4032903860050297e-19
149	573	5.680437705914351e-19
150	10891	8.516234521695641e-19
151	8290	2.1182896427613223e-18
152	1457	4.544822341374836e-18
153	3091	4.937905234971554e-18
154	904	1.4679620813458124e-17
155	57504	1.5785053556714632e-17
156	7704	2.1633828883109308e-17
157	604	3.67730561808924e-18
158	9759	2.6164220969239727e-18
159	7341	1.5090781906809204e-17
160	3622	6.856691247073113e-18
161	79595	1.472885934907734e-17
162	5926	1.18282590651299e-19
163	84312	8.281999204462131e-18
164	11177	4.409362109932096e-17
165	6613	3.265464290800939e-17
166	10036	3.084582619203128e-18
167	3326	3.9530279346732985e-17
168	3164	4.603339813851599e-18
169	1869	1.5997358985415787e-17
170	5933	3.77768031469768e-18
171	4435	9.408822265835844e-17
172	4298	9.938152979511926e-17
173	7044	4.22511067950406e-17
174	2100	1.230015647118823e-16
175	8204	4.37402150352696e-17
176	3172	1.4556466515032595e-17
177	5465	7.928465253111037e-18
178	5600	2.7159097049749586e-18
179	9862	5.604336072249911e-18
180	4602	1.0530819774004138e-17
181	5601	5.145729454225265e-18
182	9252	2.2287203731966053e-17
183	9440	5.628751109834504e-17
184	8295	6.1083301630554045e-18
185	9282	1.2398323035399607e-18
186	9439	2.3047849020272786e-17
187	2648	1.031192994934819e-18
188	9968	3.277038203898326e-20
189	10025	1.4543518689917625e-19
190	81857	9.668158356343136e-19
191	9969	2.327810055966309e-20
192	10001	7.161605169991964e-21
193	9443	1.7397358548549645e-19
194	51586	8.263647259089573e-21
195	84246	2.1172281743322398e-20
196	9442	4.981952033649878e-22
197	9967	1.624613008346783e-23
198	9477	2.4089921998758576e-25
199	29079	1.3604051135814267e-24
200	400569	2.2699906106364778e-26
