#rank	DIAMOnD_node	p_hyper
1	6688	2.8321906798863858e-05
2	84617	4.0256463510360175e-05
3	4841	0.00011354457636084864
4	4628	4.898406171562466e-05
5	4627	0.00012565520153344116
6	10627	7.771633955935752e-06
7	1147	6.0386469913234946e-06
8	4637	9.165984601369404e-07
9	9641	2.73194460056971e-07
10	8517	2.6244010091673434e-07
11	113457	1.7551957265529358e-08
12	4215	8.884260363518545e-09
13	7278	3.2510229962469694e-10
14	3551	2.5671203834248596e-11
15	29110	7.2116848899337526e-12
16	10382	4.62914597231245e-13
17	4791	4.117443168335938e-13
18	4792	1.300700179800069e-14
19	3313	2.909310078458761e-14
20	4794	2.7998928310529893e-14
21	5971	9.448678153638947e-16
22	808	6.830050125973272e-17
23	4793	2.313566900029258e-17
24	1326	5.338605840897635e-19
25	3305	2.154951606207902e-19
26	5966	1.9239891704786287e-20
27	5970	1.2445416994868803e-20
28	1213	4.798651826689667e-22
29	2734	1.6029504675421655e-21
30	805	1.1699190763818514e-20
31	10010	2.076311526870201e-20
32	9020	3.628649447891508e-20
33	92609	1.4594027266995194e-21
34	203068	4.3854218887629144e-21
35	11035	7.102130308811639e-21
36	801	2.6347939826678137e-22
37	3303	1.5982126474688778e-21
38	3320	2.1477917562093094e-21
39	3309	1.8710188102959494e-22
40	3312	1.467122203115807e-23
41	8737	5.417651147001826e-25
42	6885	6.555551480661245e-26
43	23118	1.6961731540731532e-26
44	7186	2.2508650096194077e-27
45	71	1.2719402903517631e-27
46	3326	1.483359748306892e-28
47	790	2.87151741070628e-26
48	4214	1.0037017717715374e-27
49	8717	4.8821110634694255e-27
50	8767	3.432925936263177e-25
51	7133	2.547100855469397e-24
52	9532	2.2395631654254136e-26
53	3310	2.844204280659259e-24
54	3301	4.958923452765222e-24
55	7185	4.388210744790474e-24
56	7189	5.840934224734877e-25
57	10454	6.476803451424069e-25
58	347733	2.7161139874169213e-26
59	409	7.596517967716295e-24
60	7314	4.587014676844419e-25
61	708	1.7455166255097777e-23
62	7311	3.175623172695702e-22
63	6233	9.173327835952176e-23
64	408	2.4030318142270528e-23
65	7316	4.1691902644152843e-22
66	4646	4.960195974860531e-22
67	220717	1.0087124060852975e-20
68	8607	1.9767668608727133e-20
69	6156	1.4748886797404865e-19
70	11140	6.310312253732853e-21
71	6207	7.245094692804577e-22
72	1917	1.0249204932301393e-21
73	1654	4.055535248175188e-21
74	6128	9.70471638657613e-22
75	6232	1.8612324405163428e-21
76	10856	3.665039806838535e-20
77	292	4.0596711473872176e-21
78	9349	1.2914765393996224e-21
79	6205	1.474727758551331e-22
80	5521	2.228054479447559e-22
81	6202	9.805411276700742e-22
82	6188	1.0822064773989365e-22
83	4869	1.5061450385656026e-23
84	6204	4.7975492707270455e-24
85	6217	8.924081420733754e-25
86	2091	6.426206110515855e-25
87	6191	4.4248489053773884e-26
88	6208	2.1964725224870325e-27
89	6146	1.1425354686695304e-28
90	4691	1.8038320149572898e-29
91	6229	1.2001240824208242e-30
92	6181	4.904260804676945e-32
93	6203	9.305358819356167e-33
94	6223	4.6413159644027215e-34
95	6222	3.0662859493372173e-35
96	6130	1.9356043936393836e-36
97	6206	9.818660498628473e-38
98	7846	6.400986697258932e-39
99	6189	3.749953469267955e-40
100	6124	2.444974319316777e-41
101	6176	1.8106955479252807e-42
102	6135	3.829430505470093e-43
103	6141	2.539256572652237e-44
104	25873	1.7669731647524036e-45
105	6129	1.0179361993400742e-46
106	6218	3.271154612655248e-48
107	3921	1.2355543215778475e-49
108	6224	5.130738616073351e-51
109	6161	4.55639793324791e-51
110	6193	6.875986773150729e-52
111	2197	2.6056728939164316e-53
112	6169	1.985782977803938e-54
113	6175	7.3215370813259015e-56
114	6171	1.7964024534209102e-57
115	6170	4.122988163488094e-59
116	497661	7.199390215005438e-61
117	140032	1.123916935867358e-62
118	6192	2.201753177021055e-64
119	6167	4.296883384239295e-66
120	6227	1.742865550797735e-67
121	6209	3.597167196787167e-69
122	6173	5.572487871997475e-71
123	6164	6.039567248150448e-73
124	6231	1.1646834489775006e-73
125	6230	1.0313312064288126e-74
126	6234	2.0875201778690247e-76
127	6235	5.119421341454875e-78
128	6132	9.97492726758894e-77
129	6155	2.590642184624619e-78
130	4736	5.496283852191176e-80
131	6125	2.102779037224701e-80
132	6228	1.5796593546896605e-81
133	6165	1.4745087426219555e-82
134	6133	4.721620268825638e-84
135	11224	3.1197483349043635e-85
136	6138	4.211005519938964e-86
137	6143	2.600742359004196e-87
138	6134	6.418912894036825e-89
139	6168	1.4480059703648236e-90
140	6137	2.1890702604383844e-91
141	9045	1.65940199577198e-92
142	6210	4.824274405745947e-94
143	6160	1.7523750519155972e-95
144	6194	2.196026640471985e-96
145	6147	1.1412478967989849e-97
146	6152	3.4256592036180774e-99
147	6157	1.719657483913344e-100
148	6142	9.205750913703768e-102
149	6158	7.771288544285101e-103
150	23521	4.1478831807671074e-104
151	6136	1.4520081910945673e-105
152	6201	4.815203047200492e-107
153	6144	5.931067861339864e-106
154	6187	3.48685851332824e-107
155	6159	1.983083085416316e-107
156	6154	1.2587358492951604e-108
157	55681	1.420177011966669e-106
158	4673	1.8707965069172236e-108
159	72	1.529347458849162e-110
160	8971	4.154509068699114e-111
161	9188	2.5604017571771827e-111
162	7284	1.213633012909233e-112
163	55131	7.564156386707512e-115
164	3007	4.337753525600241e-117
165	11137	9.42842284083136e-118
166	8342	7.365953419596347e-120
167	6949	1.5807984241436074e-121
168	51602	2.0794783267747665e-123
169	6727	6.03687878460346e-124
170	9221	4.2980483017795884e-126
171	55299	1.877890359914332e-127
172	4904	6.055976166093942e-127
173	81027	3.451686034670575e-125
174	1938	1.3495593565008541e-126
175	26156	1.6789672516605284e-125
176	6732	4.897906534678828e-127
