#rank	DIAMOnD_node	p_hyper
1	10075	6.253952131341626e-06
2	56478	9.240862502938055e-06
3	9517	1.4158331298988344e-05
4	10558	4.648424546910015e-07
5	55304	2.848314657843608e-06
6	1029	3.1728285479163866e-05
7	990	3.0642333620346886e-05
8	545	2.4816042252227868e-05
9	1877	2.091600983588895e-06
10	4171	5.6997637489846185e-06
11	55388	8.009799106887152e-07
12	5000	7.893206488995977e-08
13	4172	1.4010124897599568e-09
14	5001	4.817962980909601e-10
15	8317	5.385392001855814e-12
16	4176	4.1674563574117024e-13
17	4999	1.6536106287893505e-14
18	10926	1.9091861966527607e-15
19	23594	1.1584915400102683e-16
20	4998	1.8666999421584427e-15
21	23595	7.400383058260218e-18
22	8318	1.2297166350133942e-18
23	4175	1.8344355864882982e-17
24	4173	2.6030829900765738e-18
25	4174	2.310184778138424e-16
26	6118	5.482616657176245e-14
27	84515	3.487424518769496e-13
28	6347	2.2647012747775043e-12
29	81620	7.259981405873843e-11
30	8900	2.3653497144734176e-09
31	1017	4.845919630970392e-10
32	6117	1.2142418104835422e-10
33	672	1.0292606722415287e-11
34	890	6.660260559268409e-13
35	983	7.231210961322589e-11
36	5982	8.11726425767891e-12
37	5981	1.873417321792575e-12
38	5424	8.333247648182307e-14
39	6119	1.9758792656512984e-15
40	5426	6.442107081895942e-17
41	5422	2.459971720975606e-17
42	891	1.0686715169634958e-18
43	3978	2.728156476916604e-18
44	5111	3.6832511857204686e-18
45	7150	4.680708440275858e-19
46	142	1.1019237155517963e-18
47	23649	2.927629213377091e-17
48	10714	4.7627332253549465e-17
49	5425	4.390299960601856e-19
50	5558	4.222523357184373e-21
51	57804	1.6468506681686963e-23
52	56655	1.3981009904615846e-25
53	5557	1.1712387909785954e-27
54	54107	6.421313086737559e-29
55	5427	3.171856651654241e-29
56	7155	4.121474052040037e-30
57	7153	1.3049506954643914e-31
58	5884	6.533480687292863e-20
59	7520	1.5989542116224095e-18
60	5983	3.824768591479368e-15
61	5984	8.203038704734168e-17
62	5985	2.078163373694329e-17
63	5883	2.4012418496125964e-17
64	3364	1.3359962542134277e-16
65	5810	4.418951567882465e-18
66	11073	1.542066949008921e-15
67	1026	4.677944919972258e-13
68	9133	1.2928521664208498e-14
69	1019	2.928244785959804e-14
70	5925	4.867776520303099e-13
71	1869	2.7915586303292113e-13
72	7157	1.4808163639747808e-13
73	1021	1.1918753520562955e-14
74	641	3.4772671260050596e-14
75	1111	1.0505181160800136e-15
76	2956	3.481359591474159e-17
77	4436	7.700282168531183e-17
78	10111	1.726454669525598e-17
79	4361	2.6300187179983197e-18
80	4683	3.747628282414927e-19
