#rank	DIAMOnD_node	p_hyper
1	718	1.7737528850793246e-08
2	3075	3.914829816940132e-06
3	5199	7.458627473848175e-05
4	721	0.00016471356143726
5	5648	1.8333264615487625e-05
6	727	0.0003119488211486988
7	1369	0.0001373982169351259
8	1378	0.0005236131431777603
9	1380	0.0005489080133821768
10	720	0.0006882986746771777
11	719	1.1145579095910006e-05
12	27202	3.487964793980314e-05
13	213	0.00027569883610971846
14	728	0.0006841370122520217
15	710	0.0007129281158506688
16	716	0.00013692165239121576
17	715	4.361880474137754e-06
18	5806	1.9387426578496988e-06
19	712	6.540938391314084e-07
20	713	2.1749717310186144e-06
21	714	3.6691271212085333e-06
22	335	1.712000982353606e-05
23	5444	5.3755766796523856e-05
24	10747	0.0001845382713475087
25	2220	5.762336442320331e-05
26	1401	7.982864821739771e-05
27	2219	0.0001228861226904306
28	341	0.00021098123992575876
29	336	2.7826197445639605e-05
30	319	2.2696451977125615e-05
31	128240	0.00013961780837803135
32	28916	0.00023917637855085488
33	3493	4.650177973605819e-05
34	1514	1.7570738631092318e-05
35	7018	2.352875582649925e-06
36	23064	2.7432779212858494e-06
37	3514	2.31782920887788e-05
38	3500	1.594342328178439e-05
39	79691	1.5762269747325297e-07
40	3857	4.1891847698441335e-07
41	3507	2.443784220469838e-06
42	2335	2.1131498298485828e-07
43	3848	7.180051248746849e-07
44	7276	1.523496968774032e-05
45	959	1.6407160101762814e-05
46	3250	2.0821726195257334e-07
47	4153	1.7690043190117764e-05
48	1191	3.228039544073269e-05
49	3868	3.705960270098177e-05
50	3538	3.9245948210442775e-05
51	283160	4.019163370949158e-05
52	79925	4.114857736924189e-05
53	3861	5.6631901743695875e-05
54	3852	7.927311035404605e-06
55	2243	6.554409797423514e-05
56	3273	5.86754987277113e-06
57	3053	8.379318716685579e-05
58	5069	8.656883251537209e-05
59	5340	2.7049626163802183e-05
60	730	3.3970636150399784e-07
61	354	1.605376725603533e-05
62	3486	2.1561005338910995e-06
63	2147	1.4226891604031861e-05
64	7057	1.1392961701541421e-06
65	3827	3.7589543282713873e-08
66	1511	1.2475111137498229e-06
67	5327	1.5990207768073273e-06
68	2162	3.050629913530932e-06
69	1361	4.431617725690883e-06
70	3488	9.838995344673813e-06
71	5104	1.5986626566910063e-05
72	2266	4.61751291736412e-07
73	5328	5.574422287041254e-07
74	5054	3.858707478842828e-06
75	7448	4.154126817224796e-07
76	3481	8.226059969065849e-07
77	4036	3.0423974691623435e-06
78	1991	4.614940868058432e-06
79	5345	1.1243834546199417e-07
80	5275	3.4603553905254247e-07
81	2160	3.5841869341209283e-07
82	4018	6.635454102716986e-07
83	2244	1.933691078082547e-07
84	2150	1.8360246215172063e-06
85	4035	2.5844013413656047e-06
86	8029	1.2584042464275516e-06
87	5329	2.606761382097471e-06
88	3684	8.217536322320317e-07
89	2811	2.8262309842532145e-06
90	7356	7.752781436217776e-06
91	7056	7.942523759556414e-06
92	3082	9.586690287190148e-06
93	3818	5.342420404707578e-07
94	7980	8.530182683672919e-06
95	6768	8.732292742742106e-06
96	2149	1.4358394243108171e-05
97	5657	8.265169598212068e-06
98	5265	2.574222070769961e-06
99	5644	4.4082138185888865e-06
100	5646	9.790596754726874e-06
101	820	1.0011975417228064e-05
102	3929	2.0320183792648722e-05
103	3487	2.077158268132925e-05
104	3479	1.3742809919577692e-05
105	3483	4.405980056805585e-06
106	3489	1.1168769251866832e-05
107	5269	2.264347148462423e-05
108	3817	8.193705489345788e-06
109	3485	4.3364017721446257e-07
110	5624	1.2023640362792154e-05
111	1356	2.6819045129355966e-06
112	2153	6.3872500374724374e-06
113	2159	1.5646181023769066e-06
114	12	1.6178992828998196e-06
115	5627	6.924413206320001e-06
116	2157	1.2854463816645247e-06
117	811	2.000496997540009e-06
118	4023	9.788734785955236e-06
119	6670	1.7938348184555165e-06
120	3685	2.0742393671087007e-06
121	7436	3.498648386818084e-06
122	7047	6.2371496007975504e-06
123	3690	1.1965603233272739e-05
124	4856	5.993890487599066e-07
125	3674	7.948884998712727e-07
126	3386	2.788014935805131e-07
127	1280	2.3922538842467207e-06
128	6678	4.334527847969584e-06
129	7422	2.6037227074836834e-06
130	7040	5.247538430939087e-06
131	1490	5.004759610841704e-07
132	6667	2.7521917453618716e-06
133	4811	5.140219307696067e-07
134	2192	5.1792255504009245e-06
135	3688	1.2954170745856913e-06
136	3339	5.977446390368528e-08
137	284217	1.889019987248462e-07
138	351	3.5871037009763854e-08
139	1277	3.339981415534158e-07
140	5549	7.360333687272996e-09
141	4318	2.0990686249107938e-08
142	3678	1.0675480153729989e-08
143	5155	2.2832083610309823e-08
144	1278	2.6414023068748855e-08
145	948	7.236568823969637e-10
146	3673	1.0475447023856903e-08
147	7450	2.6097103382286366e-08
148	961	3.07947198173386e-08
149	928	1.1217051759842653e-08
150	2812	1.131345530716805e-07
151	1634	1.376719614751428e-07
152	2006	1.315037980710236e-08
153	2199	1.9387778294957065e-08
154	1285	1.4161936604989442e-08
155	633	5.3431760947457446e-08
156	2200	8.420682726068276e-08
157	1282	1.0201287003323475e-07
158	7045	3.595532529664522e-09
159	22918	5.206217485866377e-09
160	1286	3.909851577439839e-10
161	5653	2.052091841308699e-10
162	1284	4.459642877157202e-11
163	1288	1.0304226361510472e-10
164	1287	4.282431024108209e-12
165	5270	1.9060714793121783e-14
166	3026	1.542439977357236e-13
167	4147	1.367693999338266e-11
