#rank	DIAMOnD_node	p_hyper
1	2713	0.0024739474581468397
2	11343	0.00011277844429944226
3	2712	2.6329599906293615e-06
4	2710	6.1395781759469995e-06
5	57678	1.3771935717497293e-07
6	5408	3.766875975821851e-05
7	8513	1.4407561473110945e-07
8	5407	2.920669458316888e-10
9	9388	4.167474838266836e-13
10	5406	2.2914201832334517e-15
11	4023	5.076169845101094e-15
12	1208	3.902806516637718e-09
13	4035	0.006228879654011275
14	9567	0.0035980631280185674
15	4325	0.003747841697975255
16	4324	0.0038976090098394515
17	4326	0.006065127586344604
18	6328	0.006289289713724273
19	4036	0.005045282885675874
20	8029	0.00021792217640856056
21	7356	5.212297344305721e-05
22	9722	0.0003030014736593807
23	9270	0.00032240474037254424
24	7804	1.6782867144443266e-05
25	55333	2.697666744530326e-06
26	321	5.079832065743434e-06
27	9784	8.756092917551004e-06
28	4043	2.0073483781640625e-05
29	7436	2.740134380006147e-06
30	348	3.821297446555525e-06
31	3949	2.5297035824806597e-05
32	1600	3.805653253702761e-06
33	5649	3.1135019108261e-07
34	10393	4.2823511093124514e-05
35	5054	0.00013697770035250625
36	5328	4.898406171576918e-05
37	5329	8.950306290179286e-05
38	53353	1.5186773403331875e-06
39	5327	2.658076556000093e-06
40	351	0.00018427965783588096
41	26119	1.827304379628124e-06
42	1191	5.23614107904788e-06
43	9479	7.376457603039638e-06
44	1601	3.16925485784119e-05
45	23542	5.1899630679043406e-05
46	63941	0.0001034642389537245
47	322	0.0002251564356969834
48	334	1.2020951036927716e-05
49	333	3.4866631963337715e-06
50	10418	8.672340194762849e-08
51	10307	1.8063789592540233e-06
52	5621	2.1033956951001157e-06
53	22883	5.948486519319388e-07
54	5067	2.2696451977125615e-05
55	152330	2.3416974262113185e-05
56	5340	0.00011502596966880467
57	5274	7.443256962248253e-05
58	730	7.668425329375975e-05
59	2258	0.00015740959024555025
60	7123	6.0326001708732715e-05
61	284217	0.0001798198424198029
62	323	0.0002847474096378413
63	4811	0.00033243935218108407
64	4192	0.00020332904678013218
65	3827	0.00045418050692232507
66	2147	0.00010176064991110716
67	5269	3.6615439560223526e-06
68	7057	7.629313590089382e-06
69	1991	2.7860163162563952e-05
70	710	3.845243833033356e-07
71	2150	3.444434866444919e-05
72	1511	1.7942304032784516e-05
73	2149	2.4031748186826883e-06
74	5275	1.3217439991610079e-05
75	2153	5.282528396504543e-05
76	5624	1.5391983299312977e-06
77	7056	2.6608851562912592e-06
78	5104	1.6035978617707026e-07
79	2159	1.279803806218475e-07
80	5627	9.231436056059996e-07
81	2157	1.0603773443763403e-07
82	811	8.027671548823973e-07
83	2243	3.017312452863921e-06
84	2244	6.436499965113357e-08
85	5345	3.112508176809488e-06
86	2160	1.7301730939206577e-07
87	3817	1.7919907859242179e-06
88	12	2.0773938631669948e-07
89	5653	1.944797433228466e-06
90	462	4.422921913231404e-08
91	2158	4.176941307668284e-06
92	2677	4.79212483832354e-08
93	3273	8.813384011668825e-06
94	3690	1.213472890631847e-05
95	2266	4.4446081264289274e-07
96	7448	3.5198792846608186e-07
97	3685	1.7518957354876695e-07
98	2811	1.485743954082603e-06
99	3674	2.82122352586212e-06
100	948	1.4193744945684063e-07
101	961	1.7018533549151877e-06
102	2812	9.542072430724366e-07
103	928	2.9855338633556193e-07
104	3688	4.018740347610007e-07
105	3693	2.2398071490910096e-06
106	3386	5.572896155534423e-08
107	5029	3.8417419748329964e-07
108	3684	6.962291744282554e-07
109	6696	2.4009390277517083e-06
110	3488	4.2437749838384745e-07
111	2335	7.210720226443805e-07
112	2162	1.1088359378741528e-07
113	3082	1.7199785977971902e-07
114	6382	2.5859039544819196e-07
115	90070	7.3722810218915095e-09
116	3678	6.855340083164787e-07
117	4856	2.018657906397528e-07
118	2192	3.3615494828524244e-08
119	1490	1.4664734257316316e-07
120	3339	9.316285327028354e-09
121	7052	6.092169816068072e-07
122	3675	2.0542499927687682e-08
123	6678	4.229119859270816e-08
124	1277	5.805192652739668e-08
125	1278	3.860859178183215e-09
126	3673	1.4796265345665722e-09
127	4318	3.0460039046786924e-09
128	7450	5.119367493247906e-09
129	1285	7.506690666369498e-08
130	2923	8.390194629050559e-08
131	1293	6.735347508555397e-09
132	2199	1.1434744848747459e-07
133	5549	2.7353630673437764e-09
134	1282	1.4531949081607577e-08
135	22795	3.4294333456923896e-08
136	1305	8.756894503084152e-10
137	1287	5.543086559579781e-08
138	1288	1.4806985578692961e-09
139	5270	1.4414212273599484e-10
140	22918	8.937407498753742e-10
141	1286	6.688374997897061e-11
142	3026	1.3815924386277563e-11
143	1284	4.76896070945219e-12
144	4147	1.5893232247970408e-12
145	7045	7.966915383642687e-12
146	1634	3.789390597083076e-11
147	5008	1.0679839336696722e-09
148	6288	4.526267741256487e-09
149	7040	1.8286350212627347e-08
150	1280	3.89216972752758e-09
151	633	2.0500060279332644e-08
152	2006	5.033418671528373e-09
153	2200	3.3769437171152146e-08
154	4052	3.2125135479219e-08
155	4237	1.1214691420964686e-07
156	2201	1.532786282562814e-08
157	80781	1.2641502685917736e-07
158	4313	2.3779631302342845e-08
159	3934	2.4947428514564888e-08
160	1294	4.3411498226910555e-08
161	3918	6.742963642183306e-09
162	3486	8.358345943316344e-08
163	3672	2.557883548566218e-07
164	550	7.400259888567807e-08
165	5657	6.702242551925144e-07
166	4982	9.970118174255529e-07
167	5155	1.052187278099892e-06
168	3914	2.0644992863638744e-06
169	649	7.496748946068351e-07
170	3818	2.1586340022953835e-06
171	4099	2.3685493498406125e-06
172	1289	5.415933361760283e-08
173	27329	2.546279671602567e-06
174	1690	2.5884832020711018e-06
175	1101	2.631150507599636e-06
176	164656	2.6742841224783993e-06
177	651	2.717886580997259e-06
178	712	3.906908248455618e-06
179	4316	4.0097869859924344e-06
180	7035	6.550106184560639e-07
181	4312	6.596171148997729e-07
182	960	2.3245825540565885e-07
183	4018	5.0729587074962925e-06
184	4321	2.151227567713025e-07
185	2161	1.5118984080185858e-07
186	821	1.4543100125223892e-06
187	5354	6.784752246037561e-07
188	5265	8.146265426966333e-07
189	354	6.279209282311779e-07
190	5858	7.208279612854762e-07
191	7042	8.896242169686325e-07
192	4323	6.037711741935047e-06
193	3696	5.224908649213237e-08
194	3814	7.803326304576131e-07
195	176	3.118925209935871e-06
196	4314	4.099663684576155e-07
197	1404	1.7629220079097835e-08
198	1462	5.629104201745746e-08
199	63827	3.8667503489438225e-07
200	4322	1.1080727087692788e-07
