#rank	DIAMOnD_node	p_hyper
1	10961	3.6691271212085333e-06
2	6892	3.083928287477889e-05
3	567	4.901081179338006e-06
4	6890	1.827941666990136e-06
5	3105	8.944598757769891e-08
6	2923	3.920805122146641e-09
7	3135	5.5164216449876216e-11
8	3133	2.3054027901764763e-11
9	811	1.7214403710854433e-12
10	3134	4.9781615819232635e-15
11	10859	7.403830428695801e-14
12	10288	5.3162665283191823e-11
13	821	3.4257129472561214e-09
14	925	7.58991554211586e-09
15	6513	2.11160494624146e-07
16	912	2.2386370355637386e-07
17	3824	4.992515513190661e-06
18	22820	2.2053112209424238e-05
19	1315	6.521241276162403e-07
20	3732	3.578204759075554e-05
21	3108	3.381128699147194e-06
22	972	6.711448131524859e-07
23	920	3.65874854209208e-05
24	975	4.404042000320128e-05
25	963	1.4846291919490454e-06
26	931	5.741571642522083e-07
27	3676	9.252789456355332e-07
28	967	6.2673652197126e-08
29	3688	2.519622798847279e-08
30	928	5.052278235428754e-08
31	3675	1.4275435408188146e-09
32	5738	8.037234793469316e-09
33	3655	2.179997672367398e-08
34	7106	1.3799612796933234e-09
35	977	5.303546131400372e-09
36	4179	3.8148986494773507e-10
37	3112	3.0787821407386806e-07
38	2515	1.2666479394998822e-06
39	4050	3.2554198286903023e-06
40	914	8.290384898512256e-06
41	721	1.2025224391626705e-05
42	3673	1.6733626454023232e-05
43	961	8.70925453164549e-07
44	3679	2.101492087212721e-05
45	1293	2.1665514721279003e-05
46	7057	2.5679984730731815e-05
47	948	5.270492081281469e-06
48	3690	6.716310953860771e-07
49	3674	6.033857181471957e-08
50	2812	7.084881345912974e-07
51	2811	1.2918875267557359e-06
52	3386	2.556738611964105e-06
53	3685	1.7518957354876695e-07
54	3693	1.5502994859089205e-06
55	3491	2.1026583390327582e-08
56	8754	9.822624501032602e-08
57	5029	3.107971547098036e-07
58	3678	8.77311817759616e-06
59	27329	5.933685107659283e-07
60	6696	1.942020427294675e-06
61	3680	2.467721884875017e-06
62	5829	2.659678955758705e-06
63	7094	5.302173826945098e-07
64	2185	5.1353952876103156e-06
65	394	4.058156466740382e-06
66	7052	6.07554177298092e-06
67	2335	7.210720226443805e-07
68	4856	1.651099040764346e-07
69	3371	8.395471405104191e-07
70	1277	8.898122784829339e-07
71	1278	9.228346624816207e-08
72	7450	1.9404036087381914e-07
73	5310	3.2713973956634625e-07
74	4318	1.2699362633390498e-06
75	960	1.349663739526688e-07
76	2534	1.0218676646804086e-06
77	6714	2.8306958831391416e-07
78	3695	7.398564128625168e-08
79	2934	8.196836594320709e-08
80	8751	1.4994613301440625e-07
81	5580	2.7839422838480773e-07
82	4067	3.496367596598887e-08
83	5175	1.0273342477746834e-08
84	3932	1.9026679195315273e-09
85	9564	1.9077579058183084e-09
86	1796	2.8606163230645674e-09
87	1445	4.3068418289304637e-10
88	7525	5.206368925394219e-11
89	5788	8.187838943273094e-10
90	5921	1.2280853789743463e-10
91	3815	1.31451818859394e-10
92	867	5.925069847600419e-11
93	5777	7.156012874613267e-12
94	6850	2.1981621258141925e-12
95	974	5.727044551810426e-13
96	973	9.982664828579867e-13
97	930	2.7346359163298844e-12
