#rank	DIAMOnD_node	p_hyper
1	9463	5.67604892353498e-05
2	9478	0.00016921415657186552
3	56970	0.0002601274118848894
4	8464	2.3279679463663033e-05
5	6881	2.0557326675184385e-06
6	6873	3.0805941960537506e-07
7	6877	6.5548016361892505e-09
8	27097	9.82992130437554e-11
9	6874	3.142836422517124e-12
10	10629	7.650628333303798e-14
11	51616	5.919667305804305e-16
12	6884	9.612591568404071e-18
13	6879	8.924270652215386e-20
14	8295	3.956826207250778e-21
15	6878	9.361084536274654e-23
16	2648	1.4307404290891878e-24
17	6883	2.1933096010080706e-26
18	10474	3.449554153038567e-28
19	6880	2.8518717828456296e-26
20	117143	8.600316225446503e-24
21	9913	3.5336425377145366e-26
22	23326	1.6859316482299839e-22
23	83860	1.2550840002614077e-21
24	2958	3.7250561527840414e-23
25	6882	2.417989874967241e-25
26	6872	8.965612287665893e-25
27	2957	4.785007607670319e-27
28	6875	4.9234427148993635e-26
29	129685	2.8832522351459967e-24
30	8290	9.605004593908643e-24
31	6871	2.97001278851696e-20
32	2959	5.71771351522017e-20
33	8148	1.861102095962262e-17
34	23450	7.045809826797266e-17
35	8850	1.2451182956703669e-14
36	4609	5.120785812027283e-12
37	2956	6.201112100835806e-12
38	4436	2.608855194091953e-12
39	56943	1.0153165252943118e-11
40	6598	1.4669939211107653e-10
41	672	1.232721095954297e-11
42	2960	4.798666072126213e-12
43	2962	1.351407437713505e-12
44	6599	1.8339084341248857e-13
45	6595	1.2220563322676948e-14
46	6601	5.911932859964548e-15
47	1024	2.3220819462653945e-16
48	10589	2.827428109254601e-17
49	54760	2.916394944185801e-17
50	6597	6.7589313622916544e-18
51	6603	2.147481012740717e-19
52	6604	3.2762508880874388e-21
53	892	3.750131142690395e-21
54	2965	2.0835413795086902e-22
55	9412	3.187519533820228e-23
56	6602	8.107349160287931e-24
57	5430	6.90473183126986e-25
58	2967	1.3005991923967361e-22
59	2071	8.261558813223315e-22
60	86	9.172021127245173e-20
61	1387	1.360302971636207e-17
62	10284	2.0700443122745595e-17
63	5928	4.332491113229366e-18
64	8819	4.190965361167662e-19
65	5931	3.9639547318940566e-20
66	8289	1.4873368477481598e-21
67	53615	5.370563163038989e-23
68	9219	4.596112710578005e-23
69	53981	8.033153464807983e-25
70	8189	2.234172980969377e-25
71	4297	1.390310441534262e-25
72	23028	3.6119460077716696e-26
73	25942	1.3890711256064222e-27
74	3066	9.061306514251258e-29
75	5929	5.166370600690762e-29
76	3065	1.3040581023232228e-27
77	8467	6.566828393870198e-29
78	11091	1.5610577554386072e-30
79	8932	4.204259920756569e-28
80	1107	5.508217008900865e-29
81	1108	1.196765739510154e-28
82	57459	7.442583357571327e-28
83	6605	4.919346910722196e-28
84	5977	1.5129161673899895e-28
85	5901	3.280700177387064e-27
86	9343	2.379769507745573e-28
87	3621	3.684373207208515e-26
88	51742	3.386151529983701e-27
89	23186	6.792027786361795e-22
90	54815	3.178082340507518e-21
91	85509	1.6243285118243122e-18
92	60	3.5977820993236236e-18
93	57492	4.419910112036574e-20
94	51412	9.188806584230039e-19
95	55193	5.616907731933392e-21
96	196528	6.249728732862794e-21
97	55636	6.120896721223313e-19
98	4298	4.404844044296262e-17
99	7044	3.0953922100604636e-19
100	9112	5.666410986148596e-17
101	23309	5.63294122972621e-18
102	9203	6.679837776256545e-20
103	51317	6.848121572185431e-19
104	23199	6.910574444034769e-20
105	7750	1.738313985926862e-19
106	3360	1.4687990185892917e-20
107	2969	5.551155465335376e-22
108	10362	6.685508475932599e-23
109	1487	4.6717795275437534e-18
110	8243	7.478889982096463e-17
111	10735	4.5288685419088794e-18
112	11177	3.8310442289642767e-19
113	10274	1.4856330592707213e-20
114	5885	4.5529996913853994e-21
115	9126	9.579678822337657e-20
116	57504	2.2502428258676674e-16
117	2099	3.5462965994571495e-17
118	2033	1.890159827686436e-16
119	6304	9.637755775530467e-17
120	9031	3.9078869844495713e-16
121	7155	1.516581714395563e-17
122	7421	3.349288981816589e-16
123	7764	1.1556027730287433e-15
124	11198	1.6600836087714188e-15
125	3020	2.1260866578496516e-15
126	10498	1.4547556062919226e-15
127	7157	1.5427652278445203e-15
128	6667	2.271179747209078e-15
129	64426	3.045816256213007e-15
130	79595	4.675193729392138e-17
131	25855	4.255008529175953e-17
132	3622	4.2637123449211744e-19
133	84312	5.639409895569287e-17
134	5926	1.6414199904965908e-18
135	5947	7.395882252852022e-16
136	9739	1.7654507636181277e-15
137	9070	3.170861345634817e-16
138	3054	1.517003421004691e-16
139	3308	4.606569722128107e-16
140	8473	1.0469233200571129e-16
141	8841	2.1101360675356442e-15
142	7528	1.227275900069711e-15
143	5925	3.8227558033327415e-15
144	1022	8.894176590480853e-15
145	57410	1.1623916970942755e-14
146	2068	1.525282707972417e-14
147	2961	8.38072669280226e-16
148	2966	2.5119315495635143e-17
149	5431	3.3796249625405238e-18
150	5439	1.085830796818973e-19
151	5440	1.7884139236742734e-21
152	5438	1.770000895833287e-22
153	5436	1.4850601820500018e-23
154	5432	4.694287547952119e-25
155	2968	1.2981632711672458e-26
156	5435	2.9804425679182274e-28
157	5433	3.138870684304578e-29
158	5434	1.390037626277114e-28
159	2963	2.913543124777109e-28
160	5437	1.4331142563549302e-29
161	5441	3.320046116983491e-30
162	26015	1.0317227723049084e-24
163	9150	2.4635734657242536e-22
164	4331	1.39684275677314e-18
165	902	3.919260251184947e-19
166	399511	1.5785053556714632e-17
167	404672	1.9149609502030047e-17
168	6917	2.602372525169997e-16
169	9441	1.2852699072463878e-15
170	84246	2.71239753422396e-16
171	5469	2.348762315384882e-15
172	367	4.0701283566645584e-16
173	55588	3.458111249481793e-15
