#rank	DIAMOnD_node	p_hyper
1	10859	1.947452339837554e-08
2	567	9.427542529366708e-09
3	6892	1.0325561468024643e-09
4	3105	1.128776841024829e-11
5	6891	5.736544119152314e-13
6	6890	8.541114177914928e-14
7	811	2.8628010636366234e-14
8	3134	7.299336340284554e-16
9	3133	1.7860584586825314e-17
10	2923	1.6798204097262943e-19
11	10288	1.575184270673566e-13
12	925	7.504808295643241e-12
13	821	4.2994663354213875e-11
14	912	3.147643535518887e-09
15	3824	2.294286315805482e-07
16	1315	4.0468511649447435e-07
17	22820	4.591413559138801e-09
18	6513	1.5101555962031893e-06
19	26958	8.206701596241396e-06
20	22818	1.1355759015164413e-07
21	51226	1.252908017282087e-07
22	372	1.5195083540018187e-08
23	51272	7.32877973579029e-09
24	11316	7.243127527126327e-11
25	9276	8.157729398935745e-12
26	1314	1.3420830810604536e-07
27	22908	8.534862553124254e-08
28	6955	2.172669199101134e-05
29	915	2.0771206063027177e-06
30	3822	2.764104426748881e-05
31	926	2.902164179784709e-05
32	2625	3.4314998840562334e-05
33	3821	1.163940773127195e-06
34	5376	0.00011073825819523979
35	10134	0.000131999401131454
36	5354	0.00018091343058745368
37	6532	0.00018874140503202246
38	10728	0.0002148451997007709
39	5034	0.00038200491101505677
40	30001	8.570328697353127e-05
41	4048	0.0005280877208852552
42	56886	0.0005486047549822728
43	375	0.0006452946289992861
44	10959	1.8466410039075816e-05
45	55738	4.581540965874586e-05
46	10945	6.116195053376942e-06
47	5997	8.062837365509341e-05
48	51386	0.0006224988551004072
49	8729	0.0008761310151709966
50	5999	0.0011034247597467262
51	801	0.0002456117417611959
52	128312	0.00014535109603698332
53	6741	1.571219107882491e-05
54	11198	4.500593780306671e-06
55	121504	5.9729377826385e-06
56	3014	5.226896989582465e-07
57	10236	9.388853589559239e-08
58	3309	9.843332481540901e-09
59	4869	1.2401393824477146e-08
60	8531	3.249910522981952e-10
61	3018	4.762086984436383e-12
62	55037	1.0113537839790356e-08
63	8342	8.31004412916378e-09
64	26986	1.1151740922467954e-08
65	6749	1.571664370849437e-09
66	22907	7.95819324648649e-06
67	2091	7.007953482964894e-06
68	6159	2.4021977080693896e-06
69	6152	4.50327708587128e-07
70	6154	6.756955726917844e-08
71	284996	3.2742712928892714e-09
72	57835	1.2033573234439674e-10
73	388697	7.694390011788664e-12
74	84319	2.93919743162627e-13
75	1650	2.0999476448575272e-13
76	6122	5.387582192558957e-14
77	1717	3.79842896682007e-15
78	6160	3.291201835275648e-16
79	8241	1.670431281968948e-17
80	11218	2.5588596254877866e-18
81	6139	1.975447340577413e-19
82	23345	1.164777920074571e-20
83	728937	6.899431620349602e-22
84	509	6.158741992031487e-23
85	170506	2.9288267103150324e-24
86	2058	2.242794926022725e-25
87	293	1.2091298687906296e-26
88	11331	5.2729120394061755e-27
89	26354	2.841949091526438e-28
90	6222	1.5696191304168408e-29
91	6132	9.253576189138983e-31
92	6147	5.612525924007785e-32
93	6210	4.218768809113521e-33
94	56945	1.9760959037735355e-34
95	23107	6.874001061487135e-36
96	6193	3.10163141859279e-37
97	5250	2.4638366491087963e-38
98	23521	2.1618883058150584e-39
99	6194	1.1036179762605919e-40
100	6157	5.858180508516853e-42
101	10419	4.018511790977654e-43
102	6187	3.2062452224412585e-44
103	10856	1.696011491297124e-45
104	50628	5.969912938180484e-47
105	11224	2.7028587414675537e-48
106	6128	2.745299823927521e-49
107	6124	1.0375000119862868e-50
108	6191	6.957742411498825e-52
109	4904	2.869453892151862e-53
110	6188	1.2550982762565231e-54
111	5245	1.9501576992509616e-55
112	6202	9.30572192049051e-57
113	3608	6.145488315547461e-58
114	3183	5.111480357649918e-59
115	6203	7.049051700808516e-60
116	6135	5.984920026860123e-60
117	6189	7.630313283206477e-61
118	3192	1.1779340625199786e-61
119	1665	2.335424131512643e-62
120	10992	2.3459370584220127e-63
121	1660	1.574323697649246e-64
122	284695	1.461884722360608e-64
123	9733	4.769130530771113e-66
124	292	7.137190476134036e-66
125	222235	9.384407106223174e-68
126	3188	1.742865550797735e-67
127	10772	3.4191576366630123e-69
128	6169	2.4453677734541938e-70
129	11103	5.852152818547059e-72
130	10642	2.0522283738431e-73
131	55379	2.460395844624496e-75
132	9349	1.7567519341644688e-75
133	23451	7.618080431262192e-77
134	6143	2.778130998210723e-78
135	79084	1.0287462741888124e-78
136	6134	9.03416860247332e-80
137	84844	1.146139549642621e-81
138	6165	8.250201844246456e-83
139	6158	2.963291176149899e-84
140	9045	3.1736126238666505e-85
141	6228	1.8993969841695323e-86
142	6142	6.167404105742933e-88
143	6137	1.470597630458898e-88
144	10989	7.108398154915776e-90
