rank	node	rank_score
1	55268	180.1
2	549	179.1995
3	1891	178.299
4	80724	177.3985
5	84129	176.498
6	1892	175.5975
7	3030	174.697
8	3032	173.7965
9	30	172.796
10	51	171.7955
11	1962	171.395
12	3295	170.1945
13	8309	169.294
14	2877	168.3935
15	2879	167.393
16	847	166.6925
17	2878	165.692
18	6649	164.79149999999998
19	2876	163.891
20	6647	162.9905
21	257202	162.09
22	10935	161.1895
23	6648	160.289
24	7001	159.3885
25	5052	158.488
26	2936	157.5875
27	116285	156.587
28	84264	155.8865
29	3029	154.88600000000002
30	2181	153.9855
31	3033	153.08499999999998
32	3158	152.1845
33	3028	151.28400000000002
34	3157	150.083
35	64064	149.7835
36	38	148.5825
37	39	147.682
38	5019	146.7815
39	54511	145.881
40	84343	143.88
41	587	143.28050000000002
42	55330	142.7795
43	63915	141.879
44	2647	140.9785
45	282991	140.078
46	23557	139.1775
47	10947	138.277
48	10239	137.3765
49	65985	136.872
50	1176	136.476
51	8120	135.5755
52	26985	134.675
53	8943	133.7745
54	8546	132.874
55	586	132.2735
56	3155	131.273
57	622	130.3725
58	3712	128.7715
59	1757	127.47049999999999
60	285216	126.57000000000001
61	10797	125.6695
62	6470	124.769
63	25902	123.8685
64	4522	122.968
65	80025	122.0675
66	6472	121.167
67	4524	120.2665
68	7298	119.36599999999999
69	1638	119.271
70	2356	118.46549999999999
71	286297	117.56500000000001
72	10588	116.6645
73	10841	115.76399999999998
74	4594	114.2625
75	8050	113.362
76	23464	112.4615
77	8801	111.36100000000002
78	4967	110.8605
79	212	109.75999999999999
80	8803	108.8595
81	8802	107.95900000000002
82	1743	107.05850000000001
83	211	106.15799999999999
84	6392	105.1575
85	6391	104.15650000000001
86	7915	103.75699999999999
87	6389	102.556
88	6390	101.6555
89	2271	100.755
90	79876	100.563
91	60673	97.854
92	223	96.95349999999999
93	79016	96.053
94	197257	94.7525
95	501	94.652
96	7781	93.5635
97	4329	93.3515
98	9380	92.451
99	217	91.1505
100	3948	90.75
101	160287	89.549
102	8854	88.9495
103	92483	87.6485
104	216	86.648
105	55293	84.8465
106	219	84.647
107	224	82.446
108	18	81.9475
109	222	80.74549999999999
110	220	79.74449999999999
111	284273	79.74249999999999
112	3945	79.634
113	218	78.84400000000001
114	5832	77.7345
115	221	77.043
116	3939	76.93350000000001
117	137872	75.242
118	131	74.2415
119	130	73.2405
120	8659	72.841
121	127	72.03999999999999
122	125	70.3395
123	314	69.539
124	55902	69.045
125	124	68.5375
126	8639	68.0385
127	84532	67.9435
128	4128	67.138
129	4129	66.137
130	26	65.1365
131	126	64.236
132	128	63.235
133	316	62.5355
134	230	60.032999999999994
135	229	59.13250000000001
136	226	58.23199999999999
137	51733	57.1315
138	84735	56.230999999999995
139	438	55.93050000000001
140	2571	54.629999999999995
141	5238	53.72950000000001
142	118881	52.82899999999999
143	10327	51.9285
144	231	51.028
145	2805	50.1275
146	2806	49.227
147	64087	49.054500000000004
148	4357	48.326499999999996
149	1644	47.426
150	1312	46.4255
151	5409	45.525
152	3176	44.324
153	3067	43.423500000000004
154	6818	43.3245
155	10993	42.423
156	4353	41.322500000000005
157	6799	40.0215
158	1491	39.522000000000006
159	8288	38.42100000000001
160	6817	37.5205
161	6723	36.62
162	112483	35.7195
163	4953	34.819
164	3034	33.7185
165	7173	31.716499999999996
166	116173	30.718
167	23417	30.515499999999996
168	84693	29.315999999999995
169	2572	29.217000000000002
170	6303	28.817500000000003
171	5095	28.014999999999997
172	6898	26.913999999999998
173	57085	26.3145
174	373509	22.011000000000003
175	81793	19.610500000000002
176	121278	18.6135
177	7054	17.613
178	7166	16.9125
179	6697	16.212
180	3620	15.511500000000002
181	5105	11.3085
182	4191	10.108
183	5106	10.107
184	5091	9.7075
185	130752	9.3065
186	151393	8.61
187	171425	8.306000000000001
188	4190	7.705500000000001
189	10397	7.4094999999999995
190	10201	7.1049999999999995
191	4833	6.5045
192	23043	6.11
193	56922	5.504
194	4832	5.5035
195	4830	5.003
196	54093	4.8095
197	5211	4.8055
198	8789	4.6065
199	8760	4.5024999999999995
200	5213	4.406000000000001
201	55748	4.309
202	1040	4.002
203	2203	3.905
204	5214	3.6045000000000003
205	3106	3.404
206	4163	3.2030000000000003
207	29922	3.2015000000000002
208	4942	3.2015000000000002
209	2098	3.0035
210	1633	3.001
211	384	2.7005000000000003
212	51727	2.5004999999999997
213	8574	2.3075
214	529	2.3005
215	6652	2.1079999999999997
216	4048	2.0025
217	80155	1.802
218	2643	1.7009999999999998
219	7174	1.6009999999999998
220	23600	1.509
221	4831	1.2029999999999998
222	55907	1.1004999999999998
223	3704	0.6005
224	387082	0.008
225	3795	0.007000000000000001
226	9641	0.004
227	94081	0.0035000000000000005
228	7019	0.003
229	1854	0.0025
230	2739	0.0025
231	6902	0.002
232	51504	0.0015
233	1762	0.001
234	23011	0.001
235	5564	0.0005
