rank	node	rank_score
1	84651	180.0
2	55276	179.09949999999998
3	51477	178.199
4	80201	177.29850000000002
5	5236	176.398
6	2645	175.4975
7	3101	174.197
8	4351	174.09650000000002
9	3099	172.4955
10	5373	172.196
11	5372	170.995
12	132789	170.09449999999998
13	9945	169.19400000000002
14	51005	168.2935
15	64841	167.393
16	10007	166.4925
17	2673	165.592
18	6652	164.6915
19	3795	163.791
20	29926	162.7905
21	29925	161.89000000000001
22	537	161.689
23	11164	161.2895
24	286	159.8885
25	6708	158.388
26	3048	156.4855
27	2995	153.9845
28	6709	153.6875
29	6005	153.385
30	287	152.78699999999998
31	6546	151.8865
32	2994	151.6835
33	6711	150.88600000000002
34	51327	150.783
35	221823	149.6825
36	64080	148.78199999999998
37	8277	147.88150000000002
38	84076	146.981
39	118	146.78400000000002
40	53343	145.5805
41	22934	144.879
42	5634	144.68
43	5631	143.7795
44	7086	142.4785
45	9942	141.578
46	6120	140.6775
47	6888	139.677
48	84033	137.9765
49	6549	136.776
50	2039	90.6755
51	53635	90.075
52	5568	88.874
53	5566	88.0745
54	5567	88.0735
55	54866	86.9725
56	3017	86.572
57	359	85.8715
58	783	85.071
59	119	84.973
60	8736	84.2705
61	2119	83.97
62	5506	82.86949999999999
63	5350	82.269
64	6514	81.96849999999999
65	8348	81.168
66	1068	80.4675
67	8671	79.86699999999999
68	41	79.2665
69	2040	78.666
70	3269	78.0655
71	15	77.465
72	5778	76.36449999999999
73	7490	76.0635
74	5348	75.664
75	7064	75.463
76	2812	74.6625
77	490	73.862
78	4284	73.061
79	9590	72.36
80	762	72.0615
81	1069	71.659
82	5144	69.65950000000001
83	3757	69.223
84	5734	67.3215
85	6001	58.95550000000001
86	6011	50.3365
87	55869	50.1265
88	4160	50.036
89	156	49.8355
90	9495	49.734500000000004
91	154	49.235
92	3784	49.1155
93	2560	46.2315
94	4881	46.158
95	5140	45.7575
96	5142	45.257
97	129049	45.058499999999995
98	5578	44.822500000000005
99	5226	44.674
100	9563	44.3735
101	8654	43.1565
102	111	42.956
103	108	42.4555
104	107	41.955
105	50940	41.554500000000004
106	5141	41.054
107	2974	40.8535
108	5139	40.552499999999995
109	115	40.352999999999994
110	196883	39.652
111	5153	39.0515
112	113	38.851
113	5151	38.2505
114	2986	38.0495
115	5150	37.45
116	2982	37.048500000000004
117	5146	36.849000000000004
118	2983	36.448
119	27115	36.246500000000005
120	5137	35.947500000000005
121	6915	35.92
122	2977	35.347
123	5576	35.334
124	8622	34.745999999999995
125	55811	34.7455
126	2705	34.0175
127	5138	33.845
128	4882	33.6445
129	5143	33.444
130	114	32.8435
131	5577	32.733
132	5158	32.243
133	5145	31.8425
134	2984	31.742
135	158798	31.532
136	5500	31.331
137	5501	31.23
138	112	31.1415
139	6262	30.7305
140	5149	30.641
141	10846	30.640499999999996
142	109	30.439999999999998
143	10142	30.4295
144	9641	30.174500000000002
145	5579	30.018
146	2764	29.819499999999998
147	3000	29.639499999999998
148	204	29.573
149	5243	29.519
150	5499	29.429000000000002
151	84687	29.427
152	51031	29.372500000000002
153	5110	29.1715
154	5136	29.139
155	11215	29.128499999999995
156	5148	28.938499999999998
157	56681	28.772000000000002
158	4163	28.771000000000004
159	5511	28.528
160	5147	28.438
161	2893	28.415
162	5581	28.116499999999995
163	7247	28.070500000000003
164	5152	28.0375
165	153743	27.827499999999997
166	3150	27.715999999999998
167	8407	27.565999999999995
168	3106	27.4685
169	4878	27.437
170	2890	27.214499999999997
171	10289	26.961000000000002
172	51504	26.868000000000002
173	4860	26.77
174	3251	26.669
175	5902	26.564
176	2171	26.561500000000002
177	353	26.3695
178	5580	26.315499999999997
179	6902	26.262999999999998
180	873	26.160500000000003
181	9421	26.113999999999997
182	54093	25.660000000000004
183	5504	25.6255
184	7428	25.464499999999997
185	23043	25.455000000000002
186	81566	25.225
187	7189	25.1635
188	4771	25.160500000000003
189	55607	25.1245
190	5588	24.9135
191	1892	24.7575
192	27101	24.7545
193	24140	24.359
194	136319	23.862000000000002
195	7137	23.813
196	54205	23.754
197	150	23.5185
198	2688	23.45
199	4282	23.158499999999997
200	5691	23.0485
201	5564	22.9535
202	131890	22.822
203	4900	22.71
204	1968	22.6495
205	3936	22.3545
206	5582	22.3095
207	55920	22.253
208	5583	22.0105
209	5687	21.841
210	5590	21.7125
211	5739	21.0205
212	4985	20.9115
213	2243	20.512
214	9861	20.438499999999998
215	5688	20.34
216	5719	20.238999999999997
217	2769	20.211000000000002
218	120	20.209
219	5683	19.7395
220	5707	19.4355
221	5689	19.3375
222	5718	19.0365
223	5693	18.736
224	10213	18.7345
225	5700	18.437
226	5706	18.434
227	65108	18.308500000000002
228	5704	18.2335
229	5584	18.208
230	5694	18.035
231	5702	17.7315
232	5721	17.6325
233	9472	17.526
234	5692	17.333
235	5695	17.232
236	433	17.2075
237	5714	17.1305
238	5682	16.838
239	9474	16.756999999999998
240	10197	16.6415
241	5701	16.531
242	5690	16.529500000000002
243	5711	16.529000000000003
244	6240	16.2525
245	6624	16.2475
246	3753	16.221
247	5713	16.130000000000003
248	7504	16.107
249	3692	15.947999999999999
250	5685	15.8285
251	5716	15.728
252	7879	15.6565
253	7345	15.6505
254	5720	15.4275
255	1267	15.406
256	1616	15.374500000000001
257	5686	15.326999999999998
258	5709	15.3265
259	2108	15.149000000000001
260	5198	15.0655
261	5635	14.974
262	5710	14.925999999999998
263	5341	14.8055
264	9520	14.747
265	10726	14.746
266	23198	14.725
267	10857	14.6595
268	10672	14.617
269	801	14.5375
270	51377	14.5255
271	39	14.352
272	7077	14.3405
273	11047	14.3245
274	917	14.305000000000001
275	5717	14.024000000000001
276	5705	13.823000000000002
277	846	13.8045
278	1192	13.767
279	3306	13.623500000000002
280	23011	13.5675
281	5684	13.4225
282	8724	13.365
283	2781	13.223000000000003
284	5708	13.222
285	624	13.1065
286	7277	13.0215
287	6876	13.004
288	81027	12.820999999999998
289	9141	12.664
290	2665	12.6465
291	2566	12.602
292	9097	12.5205
293	3303	12.519499999999999
294	3309	12.22
295	3312	11.919
296	80227	11.9185
297	4225	11.9035
298	5066	11.602500000000001
299	5696	11.518
300	10627	11.4515
301	51371	11.317499999999999
302	4842	11.3005
303	7166	11.253
304	5053	11.1525
305	5698	11.117
306	7054	11.052
307	6697	10.9515
308	79008	10.9165
309	121278	10.851
310	548593	10.616
311	2561	10.6015
312	84254	10.337
313	5347	10.215
314	2911	10.103
315	55379	9.945
316	2152	9.501000000000001
317	3107	9.3145
318	4350	9.244499999999999
319	4791	9.209
320	22919	8.913499999999999
321	25996	8.443999999999999
322	153	8.324
323	10606	8.013
324	3615	7.712000000000001
325	38	7.643000000000001
326	7416	7.4455
327	94274	7.2015
328	1080	7.006
329	2979	6.733499999999999
330	8793	6.7125
331	26353	6.5155
332	23193	6.511500000000001
333	3336	6.456
334	815	6.241
335	9267	6.014
336	382	5.911
337	2935	5.8105
338	10525	5.71
339	4082	5.612
340	81892	5.607
341	7273	5.5205
342	10287	5.5125
343	3105	5.409000000000001
344	960	5.3115000000000006
345	3315	5.215
346	22824	5.2095
347	9266	5.108
348	4689	5.0085
349	8565	4.9085
350	3554	4.907500000000001
351	3706	4.8185
352	1103	4.810499999999999
353	4609	4.8020000000000005
354	2931	4.7135
355	11345	4.708
356	9338	4.61
357	3559	4.507
358	8767	4.414
359	5782	4.4045000000000005
360	1029	4.403499999999999
361	6199	4.301
362	688	4.1034999999999995
363	115207	4.0555
364	5358	4.0009999999999994
365	4627	3.905
366	8682	3.8095
367	302	3.806
368	3030	3.6075000000000004
369	808	3.6055
370	2904	3.2039999999999997
371	4942	3.2004999999999995
372	2902	3.113
373	8412	3.0065
374	821	3.0055
375	6944	2.902
376	7074	2.7065
377	7030	2.505
378	829	2.4435
379	3875	2.3005
380	1936	2.242
381	47	2.2030000000000003
382	818	2.2024999999999997
383	6236	2.134
384	2670	2.003
385	7407	1.9045
386	6418	1.904
387	654364	1.8024999999999998
388	5093	1.8015
389	10155	0.906
390	5062	0.7105
391	2947	0.604
392	689	0.3095
393	548596	0.2425
394	100288160	0.0755
395	54625	0.075
396	52	0.072
397	7458	0.0685
398	10961	0.0665
399	1652	0.064
400	231	0.0625
401	5479	0.057999999999999996
402	134359	0.05600000000000001
403	1644	0.053500000000000006
404	3778	0.052000000000000005
405	203547	0.051000000000000004
406	6992	0.042499999999999996
407	240	0.0405
408	5132	0.038
409	595	0.0365
410	775	0.036
411	5592	0.026500000000000003
412	3991	0.026000000000000002
413	7408	0.025
414	824	0.0235
415	11216	0.023
416	4001	0.020999999999999998
417	7037	0.02
418	334	0.0185
419	23236	0.018
420	1601	0.017499999999999998
421	3769	0.017499999999999998
422	25778	0.016
423	3785	0.0155
424	60312	0.013000000000000001
425	4000	0.0125
426	6383	0.012
427	2915	0.011
428	5587	0.0095
429	6714	0.009
430	3280	0.0085
431	817	0.008
432	816	0.0075
433	4233	0.007000000000000001
434	5770	0.006500000000000001
435	7812	0.006500000000000001
