rank	node	rank_score
1	4842	177.897
2	5566	170.698
3	5578	167.996
4	9495	163.792
5	5567	159.393
6	5568	158.8935
7	3764	157.6
8	3767	154.79749999999999
9	54866	154.5925
10	3769	153.4955
11	6714	153.0865
12	57158	151.107
13	3017	150.9915
14	3269	148.4855
15	2560	145.99
16	3757	144.199
17	4070	141.94650000000001
18	1742	130.49650000000003
19	5348	128.3845
20	9590	122.68299999999999
21	2705	121.88250000000001
22	23704	120.49449999999999
23	154	117.38400000000001
24	359	115.4905
25	156	112.88050000000001
26	5734	112.68199999999999
27	2890	112.56500000000001
28	490	111.7835
29	5581	110.9725
30	2893	107.86599999999999
31	5243	107.07350000000001
32	5580	104.075
33	119	103.673
34	5577	102.2885
35	5576	101.888
36	2904	101.65599999999999
37	5583	101.4665
38	151242	99.0855
39	5579	99.07950000000001
40	624	96.97049999999999
41	6262	96.786
42	5590	96.772
43	158798	96.5875
44	60312	95.86449999999999
45	3105	94.976
46	5499	93.2755
47	10142	92.47999999999999
48	5500	92.279
49	5582	92.06949999999999
50	3150	91.76849999999999
51	2902	91.76
52	5588	91.562
53	4900	91.5615
54	118	91.4715
55	5584	89.96900000000001
56	5894	89.3765
57	1956	89.354
58	3761	88.1985
59	5501	87.978
60	11215	86.7775
61	5782	86.57000000000001
62	2119	86.28150000000001
63	150	85.86749999999999
64	4035	85.591
65	8736	84.887
66	815	84.4365
67	3643	84.271
68	120	83.959
69	3315	83.5515
70	153743	82.9745
71	1080	81.6235
72	9421	80.8635
73	2673	80.4585
74	65108	78.657
75	2038	77.19500000000001
76	6992	77.0195
77	1103	76.94300000000001
78	857	76.874
79	1601	75.0655
80	4225	74.464
81	4985	73.46700000000001
82	5587	73.451
83	26353	73.15450000000001
84	433	73.053
85	2534	72.135
86	153	71.2895
87	846	70.64200000000001
88	7137	69.05199999999999
89	7504	68.449
90	10369	66.9565
91	2243	66.95
92	2931	66.9485
93	5770	66.4495
94	2885	65.6255
95	4233	65.4605
96	3749	64.1785
97	6199	64.168
98	301	64.03
99	1267	63.146
100	5341	63.04549999999999
101	6011	62.980999999999995
102	2915	62.959500000000006
103	5502	62.595000000000006
104	2911	60.154999999999994
105	6514	60.043499999999995
106	2769	59.7625
107	5335	59.1145
108	960	58.947
109	8573	57.577
110	1740	57.38099999999999
111	2566	57.234
112	27165	56.980500000000006
113	1739	56.78150000000001
114	5788	56.2475
115	254887	55.999
116	6833	55.696000000000005
117	3768	55.6955
118	9228	55.0385
119	8825	54.96900000000001
120	6329	54.57000000000001
121	23303	54.177499999999995
122	1741	54.172000000000004
123	3739	53.87949999999999
124	9266	53.753499999999995
125	3667	53.7325
126	493	53.2755
127	491	53.173500000000004
128	9419	52.967
129	917	52.845000000000006
130	6331	52.366499999999995
131	2781	52.1505
132	2039	51.7895
133	10207	51.366
134	22866	50.96
135	2152	50.827
136	3875	50.4415
137	23095	49.959
138	2903	49.7675
139	58512	49.7605
140	9229	48.5635
141	2898	48.2715
142	3706	47.126
143	3736	47.0745
144	25780	46.963
145	2905	46.9625
146	64130	46.87050000000001
147	2316	46.482
148	10287	45.939499999999995
149	55869	45.777
150	116443	44.3575
151	7534	44.2305
152	85461	43.71
153	7442	43.477
154	84687	43.339
155	2561	43.0335
156	6876	42.540499999999994
157	25	42.12
158	22839	40.117
159	2697	38.658
160	94274	38.564499999999995
161	85358	38.222
162	801	37.327999999999996
163	1747	36.093
164	5066	35.94
165	9615	34.868
166	2670	34.148
167	10023	33.888999999999996
168	821	33.744
169	5295	33.608
170	57555	32.7815
171	5781	32.521
172	131890	32.494
173	9338	31.938
174	3738	31.778
175	3737	31.174
176	22941	31.1135
177	5159	30.817
178	1398	30.709000000000003
179	116444	30.476
180	6383	30.139499999999998
181	867	29.613999999999997
182	7074	29.555
183	5037	29.2425
184	81566	28.561
185	610	28.2365
186	64714	27.903
187	8682	27.836000000000002
188	81491	26.761000000000003
189	334	26.5315
190	6464	26.0245
191	207	26.019
