rank	node	rank_score
1	23381	179.99949999999998
2	3939	179.3
3	1294	177.4985
4	2335	110.69800000000001
5	27123	98.999
6	7045	96.29400000000001
7	4147	93.7915
8	1286	93.5925
9	1285	93.292
10	1284	93.289
11	4318	93.093
12	1277	92.995
13	1634	92.2955
14	7057	91.897
15	1287	91.1905
16	3026	90.7895
17	22918	90.491
18	1288	90.49
19	2199	90.387
20	118429	90.3865
21	1278	90.1935
22	5270	89.6885
23	7040	89.3845
24	1280	89.183
25	5008	89.088
26	5653	88.5875
27	4313	88.49449999999999
28	6678	88.3835
29	6288	86.286
30	351	85.5855
31	633	84.584
32	5549	84.08250000000001
33	3685	83.681
34	651	83.64349999999999
35	4811	82.98150000000001
36	3690	82.4805
37	3339	81.97999999999999
38	1690	81.872
39	284217	80.9795
40	1305	80.6785
41	22795	80.079
42	3918	79.4735
43	3688	79.1775
44	948	77.57300000000001
45	2006	77.082
46	2192	76.977
47	4856	76.376
48	3678	75.975
49	1490	75.3755
50	80781	75.3745
51	2200	74.378
52	3914	74.337
53	7052	74.274
54	4099	74.02799999999999
55	1289	73.72999999999999
56	4237	73.1765
57	2812	73.06649999999999
58	1293	72.8715
59	3674	72.6725
60	3673	72.37100000000001
61	3672	72.07050000000001
62	649	71.4365
63	961	70.97
64	164656	70.5455
65	928	70.4695
66	550	68.96900000000001
67	2201	68.9675
68	4052	68.467
69	1101	68.046
70	3675	67.5685
71	27329	67.45349999999999
72	2923	66.056
73	1991	65.696
74	3676	62.94500000000001
75	8076	62.60450000000001
76	1462	61.568000000000005
77	7058	61.144000000000005
78	3386	61.0515
79	2811	59.866
80	92483	58.898
81	9380	58.595000000000006
82	4653	58.234500000000004
83	4329	57.994499999999995
84	811	57.964999999999996
85	3945	57.6965
86	5832	57.59349999999999
87	2244	57.4645
88	7915	56.891
89	3693	56.852
90	3948	56.6955
91	2243	56.564
92	8854	56.390499999999996
93	197257	56.3895
94	160287	56.09400000000001
95	216	55.89
96	3915	55.8395
97	3827	55.785000000000004
98	7450	55.765499999999996
99	219	55.289
100	84264	54.6885
101	2147	54.6635
102	55293	54.593
103	501	54.588
104	6696	54.254999999999995
105	7094	54.23350000000001
106	3029	54.1875
107	5327	54.163
108	5340	54.06
109	224	53.887
110	284273	53.4855
111	222	53.286
112	3486	53.2595
113	220	52.985
114	218	52.484500000000004
115	18	52.1865
116	221	52.1835
117	137872	51.984
118	4982	51.6965
119	4035	51.6625
120	960	51.55550000000001
121	4316	51.553999999999995
122	131	51.383
123	130	51.082499999999996
124	8659	50.791999999999994
125	127	50.482
126	223	50.0815
127	125	49.981
128	5155	49.7615
129	314	49.5805
130	8639	49.28
131	5029	49.232
132	1404	49.152499999999996
133	124	48.979
134	4128	48.6795
135	4129	48.378499999999995
136	5328	48.158
137	1511	48.147000000000006
138	26	48.077999999999996
139	176	47.85
