rank	node	rank_score
1	1326	179.6
2	9020	160.891
3	801	160.49349999999998
4	4791	152.6905
5	3018	138.99949999999998
6	6156	135.68800000000002
7	5971	133.7955
8	4792	133.096
9	2734	133.095
10	6128	131.49
11	4793	131.294
12	4790	130.9945
13	6207	130.68699999999998
14	113457	129.09650000000002
15	2969	127.96199999999999
16	4794	127.593
17	1147	127.4905
18	7278	126.89349999999999
19	5970	126.69200000000001
20	3305	125.8925
21	3326	125.8075
22	29110	125.4985
23	8517	124.3915
24	3551	123.6895
25	10382	123.29
26	3313	119.59099999999998
27	2091	119.48899999999999
28	811	118.399
29	10010	116.987
30	4869	116.394
31	805	116.3865
32	808	115.7875
33	3303	114.5845
34	1213	114.1855
35	7186	114.085
36	92609	113.68800000000002
37	7311	113.53
38	6885	113.2835
39	23118	113.08400000000002
40	6233	112.52950000000001
41	203068	111.982
42	7132	111.686
43	3320	111.4795
44	3312	111.17999999999999
45	8737	110.4825
46	71	109.48299999999999
47	6205	108.2825
48	790	108.08099999999999
49	11035	108.0805
50	4215	107.98150000000001
51	9641	107.878
52	9349	106.3445
53	292	105.9455
54	1654	105.8655
55	8717	105.479
56	6232	105.0305
57	6217	103.98299999999999
58	4214	103.376
59	9532	102.67699999999999
60	6202	102.38199999999999
61	7185	102.1765
62	8767	101.3775
63	3301	101.0755
64	7133	100.975
65	409	100.67
66	6188	100.3365
67	10454	100.074
68	3310	99.1745
69	6208	98.865
70	7189	98.5735
71	347733	97.673
72	6222	96.9845
73	7314	96.6725
74	6135	96.34400000000001
75	6132	96.179
76	708	94.872
77	11140	94.57050000000001
78	6129	94.14750000000001
79	6146	93.9615
80	6191	93.939
81	6181	93.4805
82	6141	92.1495
83	6224	91.634
84	1917	91.4665
85	6229	91.27950000000001
86	3014	90.896
87	6130	90.2485
88	408	90.16749999999999
89	6203	89.74249999999999
90	6204	89.63250000000001
91	6206	88.163
92	6189	88.04650000000001
93	220717	87.0715
94	25873	87.066
95	6124	87.0535
96	6218	86.5745
97	10856	86.064
98	6122	84.481
99	6169	84.032
100	6223	83.4315
101	6161	81.873
102	6193	81.0395
103	1485	79.699
104	8342	79.697
105	6155	79.286
106	2197	77.8385
107	4736	75.7855
108	6171	74.9355
109	6170	74.671
110	140032	73.938
111	6165	73.28150000000001
112	497661	73.17049999999999
113	6192	72.8375
114	3921	72.83099999999999
115	3839	71.7915
116	6167	71.737
117	6209	71.67
118	6176	70.95450000000001
119	6173	70.6695
120	6227	70.536
121	6210	70.485
122	6137	69.3875
123	6164	69.33500000000001
124	8607	69.171
125	6228	68.2865
126	6231	68.03450000000001
127	6235	67.96849999999999
128	7316	67.4695
129	4646	67.168
130	6125	66.8635
131	6230	66.43350000000001
132	6160	66.3785
133	6234	65.43299999999999
134	6133	64.364
135	6194	63.053
136	9045	62.48
137	8454	62.161500000000004
138	6152	61.9525
139	6175	59.549
140	11224	58.75599999999999
141	8531	58.5985
142	128312	58.298
143	121504	57.8975
144	6741	57.0955
145	6138	56.86
146	11198	56.69500000000001
147	51386	56.69449999999999
148	55037	56.596500000000006
149	10236	55.593
150	6749	55.192499999999995
151	6134	54.9605
152	6168	54.8575
153	26986	54.69199999999999
154	6136	52.85699999999999
155	6143	52.5585
156	6147	51.3515
157	6157	51.159000000000006
158	150684	50.995
159	6201	50.243
160	23521	47.755
161	6187	47.646
162	6158	47.2565
163	55681	47.1755
164	10985	46.957499999999996
165	9188	46.884
166	6142	46.854
167	6154	46.25
168	293	45.955
169	6159	45.951
170	8971	45.7765
171	4673	44.767
172	55131	44.3775
173	6144	43.7505
174	3007	43.678
175	4904	43.445
176	4691	42.2895
177	11137	42.277
178	7846	40.848
179	51602	40.176
180	72	39.874
181	6949	39.8725
182	5551	39.598
183	9221	37.972
184	6727	37.0735
185	55299	36.975
186	7284	35.371500000000005
187	1938	33.76649999999999
188	10514	32.0835
189	81027	31.968
190	26156	31.1675
191	6732	30.569
192	51631	28.164499999999997
193	10969	26.762
194	5134	26.062
195	55646	23.6655
196	10642	23.058
197	3609	22.7625
198	4670	22.6555
199	26354	21.161
200	3608	20.252
201	22907	20.188499999999998
202	10914	19.898
203	3178	19.747
204	7150	18.3595
205	9043	18.1905
206	142	17.9915
207	3192	16.742
208	10128	14.86
209	4809	14.6435
210	2058	14.614499999999998
211	25885	14.215
212	1915	13.84
213	1660	13.4405
214	11338	12.341
215	7307	12.141499999999999
216	728937	8.729
217	5245	6.5280000000000005
218	23345	5.9285
219	6139	5.5275
220	11331	5.525
221	284695	5.4270000000000005
222	170506	5.3265
223	27043	5.226
224	9782	5.125500000000001
225	55226	4.9245
226	5094	4.8235
227	388698	4.723
228	23560	4.6225000000000005
229	50628	4.524
230	55003	4.422
231	5042	4.3215
232	26608	4.221
233	5250	4.2125
234	54881	4.1205
235	27292	4.0200000000000005
236	51202	3.9195
237	8886	3.819
238	81887	3.7185
239	83858	3.618
240	57418	3.5174999999999996
241	23263	3.4170000000000003
242	1748	3.316
243	9329	3.2155
244	23405	3.2119999999999997
245	1314	3.1165
246	2332	3.0140000000000002
247	1994	2.613
248	3191	2.4114999999999998
249	9733	2.311
250	2975	2.2135000000000002
251	6184	2.1105
252	8487	2.0095
253	9533	1.909
254	3183	1.81
255	6950	1.7079999999999997
256	10989	1.6085
257	5976	1.5070000000000001
258	10492	1.4064999999999999
259	23450	1.206
260	9775	1.1055
261	9513	1.0050000000000001
262	23451	0.9045
263	4343	0.8039999999999999
264	10643	0.7035
265	23020	0.603
266	10419	0.5025000000000001
267	222235	0.40199999999999997
268	3188	0.301
269	509	0.2015
270	10772	0.10049999999999999
271	10758	0.068
272	10788	0.0615
273	9462	0.0605
274	23291	0.0595
275	10849	0.059
276	4528	0.058499999999999996
277	51082	0.057999999999999996
278	84172	0.057499999999999996
279	64425	0.056999999999999995
280	5437	0.056499999999999995
281	6500	0.05600000000000001
282	5441	0.05550000000000001
283	3838	0.05450000000000001
284	4163	0.054000000000000006
285	4628	0.053500000000000006
286	4637	0.05
