rank	node	rank_score
1	11018	180.1
2	27178	179.1995
3	3108	177.798
4	972	176.797
5	3109	175.8965
6	3732	174.3955
7	3112	173.1945
8	967	172.895
9	5738	171.494
10	975	169.89249999999998
11	928	169.49200000000002
12	920	169.293
13	963	167.9915
14	93185	167.49099999999999
15	3676	166.39000000000001
16	3688	165.3895
17	4179	163.6885
18	7106	162.988
19	2515	162.689
20	3675	161.7875
21	977	161.087
22	3655	160.0865
23	3679	158.88600000000002
24	931	158.0905
25	3964	157.9855
26	948	152.084
27	961	151.583
28	3673	151.08350000000002
29	8754	150.98499999999999
30	7057	149.5825
31	3690	147.679
32	1293	146.18
33	3674	144.478
34	2812	143.471
35	7052	142.27849999999998
36	3685	142.175
37	3386	141.974
38	3678	140.4795
39	2335	140.477
40	2811	139.8705
41	1277	138.382
42	1278	137.07750000000001
43	4856	137.07350000000002
44	3491	135.0725
45	4318	134.17649999999998
46	27329	133.2695
47	80781	132.669
48	960	132.376
49	6678	131.27550000000002
50	3693	130.473
51	6696	129.972
52	5029	128.2715
53	7450	125.57000000000001
54	2923	121.9805
55	811	116.77449999999999
56	3123	116.5975
57	3105	100.5845
58	4313	98.8605
59	7058	98.761
60	1294	98.16
61	1634	80.4725
62	7040	80.172
63	1280	78.87100000000001
64	4316	78.0715
65	1285	76.06949999999999
66	7045	75.569
67	1286	74.4675
68	1282	74.3685
69	4052	72.97
70	2199	72.867
71	4811	69.3615
72	3918	68.553
73	3694	68.268
74	5549	68.161
75	3339	67.76050000000001
76	4147	67.6665
77	1287	66.8655
78	1305	66.856
79	1288	66.466
80	284217	66.2595
81	22918	66.16499999999999
82	1284	66.1645
83	3672	65.75450000000001
84	2200	65.25550000000001
85	3026	65.164
86	22795	64.0565
87	5270	63.963499999999996
88	1101	63.67049999999999
89	5008	63.363
90	5653	63.2625
91	351	63.160000000000004
92	1490	63.0585
93	2006	63.056999999999995
94	633	62.762
95	6288	62.757999999999996
96	2192	62.659000000000006
97	1462	59.455
98	5877	59.28150000000001
99	4067	58.9535
100	3915	58.852
101	1839	58.157500000000006
102	1690	58.051
103	4237	57.95399999999999
104	2201	57.3535
105	3716	54.899
106	930	54.415
107	5175	53.3375
108	550	50.6495
109	5747	47.7685
110	1404	46.1515
111	3914	45.1485
112	176	44.6505
113	821	44.568
114	4312	44.15
115	3486	42.646
116	5829	42.161500000000004
117	649	41.447500000000005
118	5340	41.0445
119	4314	40.744
120	63827	40.043
121	6714	39.758
122	7076	39.542500000000004
123	471	39.4985
124	3827	38.7435
125	3227	38.6935
126	2534	37.94199999999999
127	3911	37.842
128	5327	37.340999999999994
129	2147	37.3405
130	5858	36.632999999999996
131	2243	35.94
132	7094	35.4625
133	2244	35.439499999999995
134	4653	35.3415
135	7448	34.435500000000005
136	7042	34.2335
137	4035	33.938
138	3912	33.423500000000004
139	8751	33.201499999999996
140	5054	33.136
141	1796	33.0505
142	912	32.9675
143	2185	32.8555
144	1445	32.741
145	567	32.666999999999994
146	6892	32.466499999999996
147	3135	32.266
