rank	node	rank_score
1	3594	180.1
2	51561	179.1995
3	3593	178.299
4	3592	177.3985
5	6775	176.498
6	3717	175.5975
7	5781	169.8955
8	3716	168.1935
9	3718	167.793
10	9021	163.9915
11	6774	163.685
12	7852	162.286
13	3560	161.58800000000002
14	6777	161.2875
15	8651	160.69400000000002
16	2690	160.2895
17	8660	159.6945
18	6776	158.587
19	5777	158.189
20	6464	157.99
21	6772	157.38150000000002
22	3667	157.1925
23	5771	156.484
24	3643	156.0905
25	3572	155.4845
26	3459	155.297
27	3480	154.891
28	5159	154.6835
29	3460	154.49650000000003
30	5295	154.0885
31	3458	153.696
32	5156	151.779
33	7297	150.183
34	2057	149.2865
35	5770	145.8825
36	1399	144.07999999999998
37	867	143.8795
38	5788	143.78199999999998
39	5747	142.881
40	1956	142.6805
41	1398	142.37849999999997
42	2185	140.978
43	6850	138.9765
44	7409	138.6775
45	2064	138.277
46	3815	137.174
47	1439	135.6695
48	2885	135.37550000000002
49	4067	133.973
50	10603	133.872
51	2065	132.876
52	5921	132.37449999999998
53	5335	131.8735
54	6714	131.275
55	613	129.5725
56	2534	128.6715
57	9846	127.571
58	3932	126.37
59	4914	125.87049999999999
60	5336	122.769
61	10657	120.5685
62	7535	119.468
63	2549	118.66749999999999
64	25	117.86399999999999
65	5829	117.26199999999999
66	1796	117.26100000000001
67	6654	116.867
68	3055	116.7635
69	1445	116.5615
70	55824	116.46599999999998
71	2889	115.96300000000001
72	3937	115.1665
73	5795	114.9605
74	9564	114.2625
75	3635	110.16
76	27040	109.965
77	6461	109.1655
78	4233	108.9595
79	3566	108.39200000000001
80	11184	107.9645
81	5296	107.758
82	5782	107.55900000000001
83	27	104.857
84	7006	104.6585
85	1436	103.3575
86	29760	100.1555
87	10006	99.75450000000001
88	2887	99.453
89	3702	98.954
90	4690	98.856
91	868	98.655
92	2066	98.5565
93	6655	95.7535
94	10278	94.6525
95	10451	93.652
96	50807	90.6515
97	1441	90.638
98	3791	90.3485
99	695	90.0505
100	2321	89.44800000000001
101	6452	88.851
102	7525	88.5475
103	7454	88.25
104	100124696	87.3495
105	10818	87.3465
106	5800	85.849
107	2242	84.94500000000001
108	660	84.747
109	5787	82.1455
110	9402	81.546
111	5793	80.3445
112	2268	78.84349999999999
113	7010	78.744
114	5979	78.74300000000001
115	55715	76.8425
116	5595	76.44200000000001
117	4352	76.095
118	857	75.44149999999999
119	2213	74.34
120	5594	72.4405
121	5175	72.341
122	7410	72.039
123	25970	71.23949999999999
124	930	70.0385
125	26191	67.8375
126	5580	66.4365
127	4582	65.236
128	2260	64.83500000000001
129	5796	63.737
130	4739	63.435500000000005
131	7462	61.3335
132	933	61.234500000000004
133	30011	61.0305
134	8440	60.23299999999999
135	9743	59.032500000000006
136	558	59.032
137	1499	57.330999999999996
138	919	56.734
139	3575	56.626
140	1000	56.129999999999995
141	10750	54.3285
142	238	53.32950000000001
143	10019	52.231500000000004
144	2886	52.028999999999996
145	23607	51.528
146	58512	48.7275
147	3636	48.626999999999995
148	56955	48.3245
149	128853	45.724000000000004
150	53358	45.0265
151	83747	44.723
152	4486	44.0225
153	4915	43.825
154	3561	42.5255
155	6503	39.3235
156	940	39.0215
157	8503	38.7205
158	168544	37.9925
159	3953	37.6945
160	8853	37.522000000000006
161	27071	37.22
162	356	35.415499999999994
163	3454	33.721000000000004
164	974	32.8195
165	640	31.919
166	2533	31.915
167	9103	31.0185
168	23624	29.415999999999997
169	916	29.318
170	50852	28.4175
171	6004	28.117
172	7275	27.8125
173	1969	27.714499999999997
174	5170	25.511000000000003
175	5338	24.612000000000002
176	9046	24.4135
177	1795	23.5115
178	2209	21.713
179	80831	21.2165
180	10399	21.214
181	25759	19.8105
182	973	19.5095
183	1301	19.195500000000003
184	388585	18.8965
185	1493	18.8005
186	55250	18.291999999999998
187	27240	18.11
188	8835	16.0855
189	3690	15.509
190	921	13.907
191	8751	13.506499999999999
192	64714	12.906
193	85358	10.608500000000001
194	9229	9.408
195	5287	9.3045
196	2048	9.2035
197	2904	8.203
198	5792	7.904999999999999
199	58480	7.2075000000000005
200	4058	5.804
201	139716	4.8055
202	10044	4.0024999999999995
203	5578	2.7015000000000002
204	2322	2.501
205	493	2.2045000000000003
206	1154	1.8009999999999997
207	3563	1.4004999999999999
208	2934	1.3005
209	8471	1.0015
210	5587	0.6060000000000001
211	6504	0.602
212	4068	0.5015
213	30837	0.501
214	5290	0.403
215	2241	0.301
216	140885	0.0945
217	3559	0.0895
218	1234	0.088
219	445815	0.0045
220	5581	0.004
221	5618	0.004
222	1601	0.0035000000000000005
223	5579	0.002
224	1500	0.002
225	5894	0.0015
226	79930	0.0005
227	5590	0.0005
