rank	node	rank_score
1	10456	180.1
2	4242	179.1995
3	84617	138.3985
4	6688	118.499
5	293	98.69800000000001
6	708	98.0975
7	3313	97.497
8	10526	97.1965
9	6748	96.5955
10	64101	96.095
11	92736	95.5945
12	11136	95.09400000000001
13	5018	94.59349999999999
14	478	94.093
15	1975	93.5925
16	55705	93.092
17	26292	92.4915
18	1207	91.991
19	55161	91.4905
20	27161	90.99
21	6895	90.48949999999999
22	1717	90.1885
23	79711	89.989
24	2010	88.888
25	8241	88.5875
26	6232	88.0865
27	4697	87.687
28	8607	87.186
29	5709	86.5855
30	10454	86.08500000000001
31	10985	85.5845
32	5250	84.9835
33	23405	84.483
34	79084	84.284
35	6169	83.38250000000001
36	10856	83.082
37	6224	82.6815
38	3185	82.181
39	292	81.596
40	3329	81.0805
41	9349	80.58
42	3326	80.0795
43	1915	79.579
44	26523	79.07849999999999
45	5133	78.578
46	8890	78.0775
47	6745	77.5765
48	10294	77.077
49	476	76.576
50	291	76.0755
51	1650	75.575
52	51065	75.0745
53	11100	74.574
54	6188	74.0735
55	23411	73.473
56	10419	73.1725
57	9733	72.572
58	192669	71.9715
59	192670	71.671
60	50628	70.7705
61	6193	70.46900000000001
62	170506	70.17
63	6157	69.6695
64	11331	68.5675
65	22907	67.968
66	11224	67.76849999999999
67	6203	67.4665
68	728937	67.267
69	6139	66.566
70	6152	65.8635
71	55037	65.6655
72	23345	65.6645
73	509	65.064
74	23521	64.565
75	84319	63.4625
76	284996	62.762
77	57835	62.2615
78	388697	61.761
79	6222	61.4605
80	6128	61.263
81	3608	60.86
82	6147	60.5595
83	6124	59.459
84	6210	59.258500000000005
85	4851	58.798
86	28514	58.697500000000005
87	23509	58.297000000000004
88	2058	58.257999999999996
89	1314	58.157500000000006
90	54567	57.996500000000005
91	10683	57.696000000000005
92	3955	57.395500000000006
93	4854	57.095000000000006
94	6135	56.85699999999999
95	3714	56.79449999999999
96	84441	56.49400000000001
97	6154	56.456500000000005
98	11218	56.355999999999995
99	9794	56.19349999999999
100	6132	55.755500000000005
101	55534	55.693000000000005
102	56945	55.654500000000006
103	3516	55.592
104	4855	55.49249999999999
105	26354	55.455
106	6187	54.9535
107	23107	54.854
108	5663	54.791
109	5664	54.6905
110	1025	53.989999999999995
111	6160	53.7525
112	6830	53.689499999999995
113	51763	53.388999999999996
114	6159	53.153
115	904	53.088499999999996
116	1022	52.788
117	6194	52.552
118	5469	52.4875
119	1024	52.187
120	6191	52.0515
121	11198	51.8865
122	5430	51.586
123	5245	51.351
124	2033	51.2855
125	6189	51.05
126	1387	50.985
127	8850	50.6845
128	2648	50.384
129	6202	50.3505
130	3660	50.0835
131	3183	49.9495
132	2091	49.949
133	10579	49.783
134	672	49.282
135	4904	49.1485
136	2967	48.781
137	9412	48.6815
138	26986	48.348
139	6598	48.2805
140	1665	48.2475
141	2071	47.980000000000004
142	6595	47.6795
143	3192	47.547000000000004
144	2962	47.178
145	6597	47.0785
146	10992	47.0465
147	2959	46.979
148	284695	46.546
149	892	46.4775
150	2965	46.077
151	54760	45.9765
152	222235	45.945
153	2960	45.576
154	10642	45.5455
155	6604	45.1755
156	6603	44.975
157	10589	44.774
158	11103	44.744
159	23451	44.4445
160	6601	44.3745
161	3188	44.2435
162	6599	44.0735
163	6602	43.773
164	10772	43.743
165	6908	43.472500000000004
166	86	43.172000000000004
167	8289	42.871500000000005
168	6143	42.8425
169	6134	42.842
170	7421	42.571000000000005
171	6605	42.270500000000006
172	57492	41.97
173	55379	41.941500000000005
174	4298	41.6695
175	6158	41.641
176	7044	41.369
177	55193	41.0685
178	6142	41.040499999999994
179	196528	40.667500000000004
180	84844	40.54
181	51412	40.468
182	55636	40.266999999999996
183	1660	40.0395
184	2966	39.866499999999995
185	2068	39.565999999999995
186	6165	39.539
187	2961	39.265499999999996
188	5440	38.864999999999995
189	6144	38.838
190	23450	38.7385
191	5438	38.564499999999995
192	2968	38.3635
193	5439	38.263999999999996
194	9045	38.0375
195	5435	37.7625
196	5433	37.462
197	10989	37.337
198	6137	37.2365
199	5436	37.0615
200	5432	36.963
201	5437	36.561
202	1444	36.491499999999995
203	5441	36.2605
204	6228	36.2355
205	6129	36.235
206	5434	35.96
207	5431	35.6595
208	6201	35.636
209	2963	35.359
210	26015	35.058499999999995
211	10492	35.0345
212	9150	34.757999999999996
213	64960	34.534000000000006
214	9441	34.357
215	399511	34.0575
216	84246	34.0565
217	64969	34.0335
218	55588	33.556
219	51116	33.533
220	6917	33.2555
221	51649	33.0325
222	219541	32.955
223	121504	32.6825
224	55090	32.554500000000004
225	9440	32.454
226	55646	32.432
227	51021	32.1315
228	80306	32.0535
229	9862	31.752999999999997
230	9775	31.531
231	9969	31.351999999999997
232	9968	31.252499999999998
233	51639	31.0305
234	9439	30.851499999999998
235	9282	30.551
236	9782	30.53
237	10025	30.2505
238	27043	30.029500000000002
239	400569	29.95
240	23389	29.6495
241	9442	29.349
242	6138	29.328999999999997
243	6837	29.0485
244	10969	28.9275
