rank	node	rank_score
1	55330	179.699
2	63915	177.79850000000002
3	2647	176.698
4	10947	176.2995
5	79803	176.1
6	282991	175.1975
7	10239	174.497
8	23557	173.7965
9	1176	172.996
10	8120	171.7955
11	26985	170.595
12	8943	169.6945
13	718	169.594
14	7781	166.8935
15	8170	164.493
16	3688	157.4865
17	5199	147.3915
18	5747	143.487
19	2812	143.0905
20	6714	141.4875
21	928	140.4885
22	961	140.18800000000002
23	3674	139.689
24	2534	139.577
25	2811	139.4895
26	4352	130.891
27	4067	130.885
28	9933	126.39200000000001
29	1956	125.28150000000001
30	7057	124.29
31	5829	123.77649999999998
32	5295	122.47849999999998
33	2185	122.27950000000001
34	6464	121.9845
35	950	120.3895
36	2885	119.78400000000002
37	5335	118.76849999999999
38	1796	118.582
39	1399	117.2825
40	5175	115.8585
41	5781	112.979
42	84940	111.6925
43	6850	109.5805
44	867	109.36949999999999
45	9564	108.672
46	2064	108.66900000000001
47	1445	107.755
48	11184	106.58099999999999
49	3815	105.87449999999998
50	1398	104.571
51	5921	104.4675
52	25	103.7775
53	7525	103.56199999999998
54	3675	103.18499999999999
55	2065	102.56500000000001
56	9846	102.176
57	2889	101.478
58	5159	100.1645
59	613	98.375
60	3685	96.7805
61	2335	96.68199999999999
62	6654	95.67
63	6655	94.173
64	5336	92.851
65	5777	92.4605
66	4179	91.7765
67	4690	90.967
68	10278	90.8755
69	7409	90.7595
70	3932	89.56
71	7094	89.468
72	3678	88.48150000000001
73	2057	87.44449999999999
74	55824	87.35900000000001
75	27	87.0635
76	3937	85.958
77	868	85.8545
78	3643	85.35
79	3055	85.2615
80	7535	85.05550000000001
81	3290	84.69800000000001
82	50807	84.356
83	3386	82.987
84	3693	82.685
85	10006	82.566
86	80831	82.1725
87	7052	80.183
88	4145	80.0575
89	3676	79.97999999999999
90	2549	79.048
91	7106	78.7775
92	5156	77.8625
93	10451	77.554
94	5782	76.944
95	27329	76.578
96	29760	76.2565
97	5310	75.679
98	58512	74.8715
99	56955	74.861
100	3791	74.5515
101	5029	74.272
102	375	73.59049999999999
103	2321	73.56649999999999
104	3480	73.349
105	445815	71.864
106	5788	69.8385
107	10603	69.7415
108	6452	69.253
109	27040	68.9525
110	2515	67.986
111	6776	67.2335
112	7006	66.036
113	5795	64.94500000000001
114	128853	64.75699999999999
115	930	64.7405
116	1439	64.5495
117	2324	63.48350000000001
118	4856	62.879999999999995
119	1436	62.842499999999994
120	2934	62.568000000000005
121	2208	61.268499999999996
122	6777	61.1375
123	4914	61.037
124	3702	59.3485
125	7070	59.2885
126	7462	59.2505
127	100124696	59.123000000000005
128	695	58.73299999999999
129	3635	57.845499999999994
130	83747	56.2435
131	27240	55.352
132	8651	55.043000000000006
133	3716	54.54200000000001
134	4233	53.2285
135	6461	52.347500000000004
136	7450	50.387
137	967	50.178999999999995
138	2690	49.6355
139	6774	49.1325
140	3684	48.7895
141	5770	48.539
142	1278	48.084500000000006
