rank	node	rank_score
1	5888	180.1
2	7516	179.09949999999998
3	5890	178.399
4	641	177.3985
5	472	176.298
6	2177	175.19549999999998
7	545	174.99650000000003
8	4683	171.595
9	4436	171.5935
10	55655	171.293
11	2956	170.7945
12	10111	169.894
13	1111	169.68699999999998
14	11073	168.9975
15	4361	168.4925
16	9656	167.99
17	580	165.7895
18	4292	164.19099999999997
19	571	163.689
20	5984	162.8905
21	5981	162.49200000000002
22	5982	161.4915
23	64421	160.788
24	5932	160.6885
25	5591	158.3875
26	6117	156.397
27	6118	155.89600000000002
28	3014	155.48
29	7158	153.35999999999999
30	7520	152.37849999999997
31	7486	151.879
32	6119	146.98600000000002
33	7014	146.7775
34	142	145.277
35	2178	144.6855
36	2547	144.56300000000002
37	5111	143.67950000000002
38	3981	143.362
39	7157	142.27249999999998
40	5422	141.17649999999998
41	1017	139.974
42	5426	139.476
43	890	137.97449999999998
44	5424	137.775
45	3978	136.77550000000002
46	891	135.07350000000002
47	7155	132.972
48	23649	132.3705
49	5557	131.471
50	983	130.373
51	7150	130.1715
52	5425	130.1695
53	10714	129.17000000000002
54	5558	128.269
55	54386	127.65950000000001
56	57804	127.3685
57	7013	126.65900000000002
58	56655	126.468
59	54107	125.5675
60	2175	125.48499999999999
61	2189	125.3845
62	5427	124.667
63	7156	124.48400000000001
64	7153	123.56649999999999
65	2176	122.7825
66	5884	122.66599999999998
67	2188	122.2835
68	80010	122.18299999999999
69	5883	121.1655
70	55120	120.68199999999999
71	5983	120.06500000000001
72	57697	119.5815
73	5985	118.9645
74	2187	118.881
75	7518	118.85799999999999
76	7515	117.8615
77	3364	117.66399999999999
78	5810	117.0635
79	378708	116.9805
80	5395	116.77799999999999
81	79840	116.1575
82	2237	115.4625
83	9557	115.36100000000002
84	200558	115.26050000000001
85	26277	114.55850000000001
86	11277	102.9865
87	51720	101.95599999999999
88	3980	101.55499999999999
89	55775	100.15450000000001
90	5965	99.95349999999999
91	22909	99.857
92	4999	99.5565
93	63967	97.25550000000001
94	65057	95.654
95	1026	94.9465
96	8243	94.851
97	5378	94.352
98	25913	93.753
99	63922	92.7505
100	54921	90.15
101	79075	89.449
102	84142	89.4485
103	5429	88.4495
104	328	88.046
105	995	87.3515
106	80233	85.64750000000001
107	5423	85.1455
108	1869	83.848
109	990	80.74449999999999
110	1457	79.44500000000001
111	4998	78.64349999999999
112	81620	78.54400000000001
113	8900	76.143
114	4171	75.8425
115	79184	73.10900000000001
116	4176	70.14
117	4609	66.84049999999999
118	2033	66.728
119	5925	66.541
120	1019	65.334
121	9133	64.14200000000001
122	595	64.03299999999999
123	1021	61.032500000000006
124	1027	60.831999999999994
125	25	60.03099999999999
126	6613	58.147000000000006
127	5934	58.128499999999995
128	1020	56.73
129	1022	56.429500000000004
130	4194	54.1255
131	91768	54.028999999999996
132	3065	53.423
133	51343	53.3275
134	1025	51.327
135	10485	50.4265
136	10763	48.525999999999996
137	1029	47.0335
138	5933	47.0225
139	7314	46.518
140	1050	45.722
141	4173	45.6395
142	23594	44.839
143	8317	44.5385
144	84152	44.424
145	4605	44.4215
146	5001	43.838
147	6502	43.820499999999996
148	898	43.621
149	5499	43.3245
150	10926	42.8375
151	5000	42.4365
152	4172	41.837
153	23595	41.536
154	8318	40.7355
155	4175	40.235
156	55388	39.734500000000004
157	367	38.8135
158	5770	38.519999999999996
159	4174	37.4315
160	3725	37.4165
161	5893	37.1305
162	4193	35.5125
163	201254	35.348
164	4654	35.315999999999995
165	9577	35.047000000000004
166	1028	34.3155
167	1874	33.5195
168	993	33.5175
169	7316	32.609500000000004
170	6597	29.713
171	5371	29.312
172	5757	28.7065
173	6241	28.323500000000003
174	4088	28.3105
175	1387	28.2115
176	7161	26.211000000000002
177	1875	25.208
178	6667	24.21
179	1460	23.025
180	1459	23.006
181	79648	18.541500000000003
182	23054	18.404
183	9025	16.9525
184	3066	16.705000000000002
185	3324	13.607
186	861	13.404500000000002
187	3091	12.607
188	9134	12.115
189	5970	11.605
190	8850	10.4085
191	3320	10.404
192	4087	10.100999999999999
193	5594	9.9035
194	5501	9.719
195	894	9.508500000000002
196	4089	9.500499999999999
197	1018	9.4145
198	6774	9.106
199	8202	8.9025
200	4437	8.814
201	79026	8.643
202	6599	8.4075
203	1051	8.2085
204	8841	7.1045
205	896	7.0185
206	7421	6.003
207	2908	5.2005
208	9612	5.103
209	9611	4.7005
210	1386	4.6055
211	4869	4.007
212	6598	4.0015
213	3159	3.6060000000000003
214	7027	3.5085
215	7391	3.217
216	6886	3.1035
217	6595	2.402
218	7704	2.205
219	6996	2.0045
220	994	1.8054999999999999
221	6601	1.8030000000000002
222	26574	1.5065
223	5241	0.704
224	5451	0.3045
225	6908	0.202
226	3297	0.1095
227	8658	0.044
228	7507	0.041999999999999996
229	29935	0.041499999999999995
230	9156	0.037
231	84515	0.036
232	1877	0.02
233	4800	0.015
234	1616	0.0125
235	1871	0.008
236	836	0.0075
237	2623	0.005
238	3621	0.0045
239	6714	0.004
240	8289	0.004
241	6689	0.003
242	6602	0.003
243	2308	0.0025
244	57492	0.0025
245	5931	0.002
246	6872	0.0015
247	5928	0.0015
248	10036	0.001
249	2959	0.001
250	25942	0.001
251	9031	0.0005
252	4435	0.0005
253	5430	0.0005
254	51742	0.0005
