rank	node	rank_score
1	5476	180.1
2	3074	179.1995
3	3073	178.299
4	3938	177.3985
5	8972	176.498
6	2595	175.1975
7	2629	175.097
8	4759	173.7965
9	129807	172.596
10	64772	172.2955
11	55907	171.095
12	83548	170.1945
13	57511	169.294
14	22796	168.3935
15	84342	167.493
16	2632	166.5925
17	4123	165.5915
18	80201	164.392
19	4125	164.391
20	2645	162.9905
21	55276	162.09
22	2821	161.1895
23	3101	160.289
24	51477	159.3885
25	3098	158.488
26	3099	157.5875
27	5372	156.68699999999998
28	132789	155.7865
29	9945	154.88600000000002
30	51005	153.9855
31	64841	153.08499999999998
32	10007	152.1845
33	2673	151.28400000000002
34	6652	150.3835
35	3795	149.483
36	29926	148.48250000000002
37	29925	147.582
38	11164	146.9815
39	5834	145.881
40	5261	144.9805
41	5260	144.07999999999998
42	8908	142.97899999999998
43	2992	142.0785
44	6476	140.5795
45	5565	140.378
46	29880	120.977
47	54344	120.07649999999998
48	8818	119.176
49	5563	91.8775
50	5208	90.7745
51	5207	90.174
52	5209	89.473
53	5210	88.9735
54	7915	88.56949999999999
55	8789	88.4725
56	230	87.772
57	229	87.171
58	226	86.3705
59	5211	85.9715
60	5214	85.57000000000001
61	84264	85.556
62	3029	83.55499999999999
63	4329	82.2635
64	5832	81.563
65	197257	79.2615
66	216	78.862
67	9380	78.5605
68	219	77.961
69	3948	77.56
70	160287	76.559
71	501	76.2595
72	92483	75.458
73	224	74.9585
74	55971	74.2755
75	8854	74.053
76	222	73.75750000000001
77	220	73.157
78	5238	72.9625
79	218	72.5565
80	284273	71.4525
81	221	71.3555
82	55293	70.0545
83	57620	69.875
84	18	68.8515
85	137872	68.751
86	223	68.352
87	127	67.15
88	217	66.0505
89	131	65.849
90	8659	65.7495
91	130	64.9485
92	125	64.048
93	314	63.147000000000006
94	124	62.947500000000005
95	65985	62.241
96	8639	62.1465
97	4128	61.54600000000001
98	3945	61.254
99	4129	60.945499999999996
100	26	60.345000000000006
101	126	59.744499999999995
102	3939	59.653499999999994
103	128	59.144000000000005
104	316	58.543499999999995
105	84532	56.943000000000005
106	55902	56.342499999999994
107	51733	55.742000000000004
108	84735	55.14149999999999
109	438	53.9405
110	2571	53.339999999999996
111	10327	52.7395
112	118881	52.138999999999996
113	231	51.5385
114	1312	50.938
115	5409	50.3375
116	2805	49.336
117	10993	48.737
118	4357	48.535000000000004
119	2806	48.1355
120	4353	47.9365
121	1491	46.733
122	341947	46.215999999999994
123	3067	46.1345
124	3176	45.534000000000006
125	1644	44.8335
126	6799	44.2325
127	8288	43.932
128	6818	43.1315
129	6817	42.531
130	112483	41.9305
131	6723	41.33
132	4953	40.7295
133	6303	39.928999999999995
134	3034	39.7285
135	7173	38.827999999999996
136	130752	38.2275
137	5106	37.427
138	171425	36.726
139	4190	36.1255
140	5105	35.826499999999996
141	1610	35.324
142	4191	35.025
143	2026	34.123000000000005
144	113452	33.222500000000004
145	2027	32.622
146	5313	31.721500000000002
147	8574	31.6235
148	26229	31.121000000000002
149	2110	30.877499999999998
150	29796	30.576999999999998
151	669	30.5205
152	1537	30.3765
153	126328	30.176
154	4724	29.9755
155	5223	29.919999999999998
156	4717	29.775
157	4696	29.5745
158	55967	29.374000000000002
159	4731	29.1735
160	4718	28.973000000000003
161	4713	28.7725
162	4711	28.572000000000003
163	4708	28.371500000000005
164	529	28.264
165	4706	28.171000000000003
166	8802	28.115
167	4702	27.970500000000005
168	4695	27.77
169	4541	27.569499999999998
170	4539	27.369
171	4710	27.1685
172	4709	26.968
173	4707	26.767500000000002
174	4705	26.566999999999997
175	8801	26.514
176	4729	26.366499999999995
177	4714	26.165999999999997
178	4712	25.9655
179	4701	25.764999999999997
180	51079	25.564500000000002
181	4726	25.363999999999997
182	4725	25.1635
183	4716	24.963
184	4704	24.7625
185	4700	24.562
186	4698	24.3615
187	4722	24.161
188	4720	23.960500000000003
189	4719	23.759999999999998
190	64064	23.605
191	54539	23.5595
192	4694	23.359
193	4536	23.158499999999997
194	4535	22.958
195	4715	22.7575
196	10975	22.557
197	4519	22.3565
198	5019	22.204500000000003
199	7386	22.156
200	4697	21.9555
201	10201	21.9145
202	7381	21.755000000000003
203	5232	21.718
204	27089	21.5545
205	7388	21.354000000000003
206	97	21.319
207	7385	21.1535
208	8803	21.1055
209	7384	20.953
210	4538	20.7525
211	4833	20.7135
212	4537	20.552
213	26227	20.4185
214	7991	20.351499999999998
215	112611	20.2175
216	6391	20.2075
217	1350	20.151
218	1347	19.950499999999998
219	8050	19.804
220	124637	19.549500000000002
221	1346	19.45
222	98	19.417
223	6821	19.349
224	1339	19.0485
225	23464	18.9035
226	170712	18.848000000000003
227	6392	18.806
228	4832	18.7125
229	1351	18.6475
230	5230	18.5195
231	6390	18.506999999999998
232	1349	18.447
233	1738	18.401999999999997
234	1340	18.2465
235	26330	18.2165
236	4830	18.213
237	1337	18.046
238	4594	18.003
239	125965	17.845499999999998
240	3704	17.7105
241	84701	17.645
242	9167	17.344
243	2271	17.2065
244	1345	17.14
245	4514	16.943
246	51727	16.812
247	4831	16.811
248	4513	16.7435
249	1327	16.5425
250	212	16.4025
251	9377	16.242
252	6649	16.241
253	4512	15.941500000000001
254	1633	15.9115
255	4967	15.801499999999999
256	6647	15.7405
257	29922	15.61
258	1329	15.539499999999999
259	8760	15.4095
260	6648	15.338999999999999
261	51103	15.138499999999999
262	51497	14.937999999999999
263	51295	14.7375
264	2643	14.509
265	257202	14.434999999999999
266	1854	14.407999999999998
267	1743	14.401
268	1040	14.2085
269	5564	13.867500000000001
270	847	13.8345
271	51422	13.766499999999999
272	5562	13.669
273	30	13.634
274	53632	13.566999999999998
275	5571	13.466
276	96459	13.3655
277	51	13.332999999999998
278	8408	13.265
279	211	13.2005
280	32	13.1685
281	80724	13.132499999999999
282	2877	13.131
283	10218	13.068000000000001
284	201163	12.964500000000001
285	35	12.931999999999999
286	9891	12.764
287	28976	12.7315
288	60673	12.6155
289	84129	12.5305
290	7001	12.133500000000002
291	36	12.129999999999999
292	2879	12.029
293	3295	11.9295
294	34	11.628499999999999
295	2878	11.428
296	27034	11.127500000000001
297	2876	11.127
298	1962	10.8265
299	10935	10.526
300	8309	10.3255
301	5052	10.125
302	549	9.9245
303	1891	9.724
304	55268	9.5235
305	1892	9.322999999999999
306	2639	9.122499999999999
307	3030	8.922
308	3032	8.7215
309	11112	8.714500000000001
310	2936	8.421000000000001
311	116285	8.4205
312	2181	7.718999999999999
313	3033	7.6185
314	1737	7.600999999999999
315	5163	7.5015
316	3158	7.3180000000000005
317	277	7.1355
318	3028	7.1175
319	3157	6.917
320	5315	6.712999999999999
321	38	6.516499999999999
322	5164	6.5005
323	39	6.3155
324	2023	6.2135
325	54511	5.914499999999999
326	3155	5.714
327	622	5.5135000000000005
328	23417	5.4245
329	55577	5.4125
330	5161	4.805
331	79876	4.611
332	387082	4.5115
333	5165	4.3045
334	5166	3.904
335	594	1.9045
336	593	1.704
337	587	1.5035
338	1629	1.203
339	586	1.2025000000000001
340	3712	0.9019999999999999
341	2572	0.603
342	2597	0.304
343	27159	0.20800000000000002
344	5973	0.1075
345	5603	0.1035
346	23031	0.063
347	8833	0.010499999999999999
348	79016	0.01
349	2108	0.0095
350	5036	0.009
351	440	0.0085
352	54682	0.007000000000000001
353	1118	0.006500000000000001
354	56904	0.006
355	2288	0.0055
356	2631	0.005
357	51056	0.0045
358	440738	0.003
359	51479	0.0025
360	11337	0.002
361	9776	0.0015
362	23710	0.001
363	84676	0.001
364	4653	0.001
365	11345	0.0005
