rank	node	rank_score
1	2885	143.7065
2	200958	139.599
3	2947	97.893
4	3780	97.197
5	367	88.2455
6	6597	80.549
7	5563	79.8
8	2099	79.75
9	96459	79.1985
10	25973	78.9995
11	5564	77.994
12	5571	77.19500000000001
13	6599	76.21000000000001
14	178	76.19149999999999
15	51422	76.0945
16	5562	75.196
17	5565	75.1925
18	8408	73.7935
19	53632	73.592
20	3320	73.47999999999999
21	2997	72.6885
22	10218	72.5965
23	2992	72.1875
24	9891	71.7905
25	6602	69.90950000000001
26	6598	69.6155
27	6604	68.91
28	6601	68.821
29	6603	68.6035
30	3065	68.203
31	55636	67.90599999999999
32	6605	67.50399999999999
33	86	66.5025
34	8289	66.4055
35	1387	66.056
36	4088	65.2805
37	6595	65.2175
38	57492	65.2145
39	7044	64.703
40	11140	64.686
41	2033	64.167
42	5971	61.322
43	6908	60.801
44	57007	60.7965
45	5928	60.2085
46	3066	59.824
47	256646	58.8975
48	3326	58.8575
49	5977	58.802
50	7837	58.49550000000001
51	347240	57.598
52	9024	57.479
53	25942	57.015
54	5931	56.205
55	7534	55.55650000000001
56	51742	55.501
57	7157	54.504
58	6872	54.009
59	55971	53.3895
60	5970	53.12049999999999
61	8908	52.787
62	207	52.760000000000005
63	2673	52.577999999999996
64	6794	51.980999999999995
65	196528	51.399
66	2632	50.784000000000006
67	81788	50.4785
68	7421	50.42
69	55664	49.9775
70	5925	49.6245
71	84446	49.376999999999995
72	4846	48.973
73	6667	48.954
74	2959	47.5075
75	672	47.338
76	5894	46.867
77	4298	45.9935
78	60	45.794
79	208	45.5585
80	7316	45.26649999999999
81	5430	42.911
82	51412	42.495
83	9219	41.586
84	1051	41.539
85	2962	41.0105
86	53615	40.8855
87	8819	40.7805
88	8932	40.685
89	57459	40.584
90	8850	40.563
91	9611	40.513
92	8202	40.152
93	9412	40.1005
94	5309	39.8995
95	7155	39.892
96	1108	39.8835
97	4087	39.8485
98	4790	39.6375
99	1432	38.54
100	10284	37.8825
101	3312	37.327999999999996
102	8189	37.278
103	389840	37.090999999999994
104	6880	37.074
105	3621	36.78
106	8841	36.623000000000005
107	57504	36.5625
108	2908	36.538
109	4297	36.476
110	1107	36.2725
111	53981	35.9775
112	23028	35.9755
113	55657	35.89
114	6878	35.7765
115	6883	35.675
116	4609	35.5095
117	7798	35.3935
118	10645	35.393
119	2353	35.1235
120	8467	34.879
121	57620	34.789
122	54760	34.559000000000005
123	1386	34.5435
124	5929	34.1745
125	11091	34.172000000000004
126	23031	33.988
127	54861	33.8745
128	5901	33.873000000000005
129	9252	33.741
130	54815	33.366499999999995
131	3309	33.1235
132	6786	32.7855
133	9343	32.371500000000005
134	7249	32.348
135	5595	32.346000000000004
136	57410	32.287
137	5837	32.182
138	9112	32.173500000000004
139	5601	32.1365
140	1024	31.9575
141	3324	31.872500000000002
142	5594	31.8565
143	5566	31.779500000000002
144	5599	31.4395
145	2289	31.272000000000002
146	2965	31.15
147	23054	31.134500000000003
148	6714	31.073500000000003
149	23186	30.571000000000005
150	9031	30.488
151	10589	30.450499999999998
152	10498	30.381
153	2002	30.320500000000003
154	85509	30.268
155	2960	30.253499999999995
156	11177	29.9565
157	3725	29.6475
158	7182	29.647000000000002
159	23309	29.4695
160	9203	29.170499999999997
161	892	28.9495
162	130872	28.8705
163	3303	28.840999999999998
164	3297	28.831
165	10735	28.561
166	2967	28.248
167	2969	28.1685
168	5208	28.165999999999997
169	572	28.1505
170	673	28.061500000000002
171	51317	27.966999999999995
172	3360	27.964499999999997
173	5371	27.832
174	7750	27.7635
175	6689	27.615499999999997
176	6492	27.3695
177	1147	27.256999999999998
178	5590	27.035000000000004
179	23199	26.964
180	4089	26.75
181	6304	26.7445
182	6774	26.142000000000003
183	8648	25.9415
184	3183	25.856
185	602	25.4335
186	10499	25.244
187	9739	25.1455
188	2932	24.937
189	10362	24.863
190	2071	24.7475
191	6256	24.548000000000002
192	3667	24.4535
193	3308	24.236
194	9612	24.128
195	10000	23.954
196	4435	23.3505
197	10274	22.958
198	5885	22.7555
199	5578	22.736
200	64426	22.654500000000002
201	2308	22.442500000000003
202	5468	22.4255
203	1022	22.2235
204	8243	22.054000000000002
205	2309	21.8435
206	3172	21.642500000000002
207	25855	21.1615
208	9126	21.049
209	6996	21.044999999999998
210	1457	20.4575
211	7764	20.256999999999998
212	10661	20.2015
213	1487	20.0595
214	5926	20.038999999999998
215	7942	19.899
216	22797	19.798
217	4286	19.5975
218	3020	19.5655
219	283638	19.397
220	79595	19.338
221	5947	19.06
222	2817	18.896
223	405	18.663
224	10401	18.630000000000003
225	2764	18.625
226	6195	18.5215
227	6875	18.509999999999998
228	2115	18.438499999999998
229	860	18.3275
230	9641	18.324
231	8517	18.1555
232	10987	18.134999999999998
233	1503	17.833
234	163126	17.722
235	378884	17.6815
236	861	17.5595
237	1956	17.5275
238	26973	17.27
239	7700	17.192500000000003
240	27102	17.175
241	4204	17.169
242	5584	16.7815
243	151242	16.676499999999997
244	3783	16.6655
245	56851	16.591
246	23710	16.5795
247	5836	16.4835
248	84254	16.4755
249	2998	16.383000000000003
250	5209	16.3715
251	8295	16.326999999999998
252	84312	16.243000000000002
253	1027	16.2365
254	11345	16.183500000000002
255	5834	16.182499999999997
256	5591	16.1055
257	113146	16.075
258	406	16.069
259	6196	16.021
260	9776	15.978
261	1050	15.9505
262	5600	15.933000000000002
263	925	15.901
264	9261	15.8355
265	29110	15.825
266	3054	15.747
267	29904	15.7225
268	7189	15.7155
269	2113	15.5805
270	9070	15.5425
271	474344	15.519
272	150946	15.485499999999998
273	4776	15.418000000000001
274	23192	15.38
275	6300	15.312000000000001
276	3622	15.136500000000002
277	2114	14.9815
278	7465	14.950999999999999
279	112885	14.9435
280	9325	14.9295
281	10010	14.921000000000001
282	5597	14.9195
283	5602	14.805000000000001
284	3551	14.745
285	4214	14.642
286	6688	14.491499999999998
287	1827	14.4175
288	11198	14.366
289	1499	14.363999999999999
290	2011	14.3355
291	1052	14.236500000000001
292	3315	14.208000000000002
293	6929	14.203999999999999
294	5465	14.127500000000001
295	51592	14.029500000000002
296	8550	14.011500000000002
297	6881	14.011500000000002
298	3091	13.9635
299	23118	13.961000000000002
300	6624	13.894499999999999
301	3313	13.827000000000002
302	6197	13.8125
303	10454	13.73
304	5603	13.7065
305	11180	13.5395
306	7186	13.5345
307	11075	13.4005
308	6885	13.276
309	8290	13.131499999999999
310	8473	13.033499999999998
311	113457	13.022499999999999
312	1326	12.931000000000001
313	3654	12.749500000000001
314	2957	12.705
315	6613	12.662
316	92609	12.644
317	8737	12.417
318	805	12.338
319	6882	12.312000000000001
320	10419	12.27
321	7278	12.2255
322	4208	12.2135
323	7528	12.129999999999999
324	10382	12.120000000000001
325	4793	12.023
326	5770	11.956999999999999
327	203068	11.932500000000001
328	2966	11.928999999999998
329	4794	11.9215
330	4627	11.9025
331	4217	11.8595
332	8607	11.812000000000001
333	4303	11.7485
334	1459	11.6515
335	7532	11.631499999999999
336	2623	11.6045
337	3305	11.518
338	4654	11.515
339	3727	11.437000000000001
340	399511	11.4285
341	11035	11.316500000000001
342	4791	11.1265
343	808	11.019499999999999
344	10891	10.9265
345	790	10.9175
346	9020	10.8245
347	302	10.805
348	8767	10.705
349	4792	10.627500000000001
350	801	10.5305
351	8464	10.422
352	5966	10.4185
353	6874	10.4145
354	7529	10.2415
355	9532	10.206999999999999
356	4215	10.158
357	8717	10.114
358	4140	10.029
359	6722	9.924
360	2961	9.9215
361	71	9.919
362	196	9.8455
363	1213	9.8385
364	5431	9.831999999999999
365	10036	9.7875
366	7132	9.7135
367	5440	9.6345
368	3301	9.6125
369	5469	9.5145
370	6877	9.410499999999999
371	3310	9.4085
372	2068	9.323
373	7185	9.308
374	83860	9.209
375	7133	9.2075
376	408	9.1295
377	10474	9.111
378	6873	9.107
379	1026	9.1015
380	708	9.013
381	6884	9.008500000000002
382	347733	8.9015
383	8239	8.8095
384	7311	8.7105
385	5438	8.625
386	6879	8.608
387	7314	8.4145
388	10629	8.4065
389	220717	8.315000000000001
390	409	8.234
391	10971	8.2285
392	51616	8.224
393	7067	8.2075
394	2648	8.2075
395	6233	8.106
396	2958	8.104
397	3164	8.0545
398	7431	8.016
399	5568	7.963500000000001
400	5439	7.9235
401	5567	7.856
402	5435	7.8205
403	4646	7.801
404	573	7.7090000000000005
405	2931	7.62
406	5432	7.62
407	2963	7.518000000000001
408	257397	7.468999999999999
409	2475	7.468000000000001
410	7531	7.340000000000001
411	7415	7.334999999999999
412	4331	7.313
413	4628	7.1045
414	27097	7.0045
415	121504	6.945
416	6917	6.919
417	5433	6.917
418	5436	6.8165000000000004
419	1025	6.8125
420	595	6.7495
421	2968	6.720999999999999
422	7533	6.639
423	5434	6.616
424	2081	6.5645
425	6915	6.552
426	5437	6.519499999999999
427	5441	6.4174999999999995
428	9150	6.3155
429	129685	6.3015
430	3516	6.3005
431	26015	6.214
432	1654	6.2115
433	404672	5.8149999999999995
434	5914	5.737
435	902	5.6135
436	4869	5.5515
437	7430	5.4155
438	841	5.402
439	29028	5.3020000000000005
440	4486	5.1525
441	6446	5.1465000000000005
442	3275	5.017
443	10128	4.715999999999999
444	7068	4.6185
445	4139	3.832
446	55758	3.6485
447	6935	3.3325000000000005
448	9049	2.8445
449	51102	2.827
450	8535	2.741
451	857	2.443
452	9794	2.4045
453	1869	2.1260000000000003
454	6314	2.1215
455	6239	1.842
456	7080	1.6285
457	7846	1.6035
458	6886	1.5394999999999999
459	6830	1.5085000000000002
460	4137	1.443
461	23450	1.4235
462	9839	1.4055
463	8431	1.4035
464	64324	1.329
465	5241	1.234
466	11214	1.149
467	8204	0.9109999999999999
468	8031	0.7375
469	1017	0.718
470	142	0.713
471	9658	0.32599999999999996
472	10579	0.20600000000000002
473	904	0.10300000000000001
474	140850	0.098
475	5364	0.097
476	9826	0.0965
477	32	0.0955
478	2004	0.095
479	1892	0.094
480	56243	0.0935
481	51176	0.092
482	2078	0.091
483	1638	0.091
484	7306	0.0905
485	2950	0.09
486	10847	0.0895
487	4092	0.089
488	79648	0.0875
489	1046	0.0865
490	25925	0.086
491	4086	0.08549999999999999
492	9064	0.08499999999999999
493	9644	0.08449999999999999
494	51588	0.08449999999999999
495	11346	0.08399999999999999
496	11221	0.08399999999999999
497	117583	0.08399999999999999
498	1846	0.08299999999999999
499	84952	0.08249999999999999
500	3021	0.08249999999999999
501	145258	0.08249999999999999
502	23682	0.08199999999999999
503	440738	0.081
504	65259	0.0805
505	6942	0.08
506	11337	0.079
507	126298	0.079
508	8987	0.0785
509	64343	0.0785
510	80824	0.078
511	23102	0.0775
512	1844	0.0775
513	81631	0.077
514	9895	0.0765
515	89849	0.076
516	9667	0.0755
517	3977	0.0755
518	51285	0.0755
519	5321	0.075
520	26355	0.075
521	115201	0.0745
522	3150	0.0745
523	10610	0.074
524	7539	0.074
525	157310	0.074
526	9474	0.0735
527	89890	0.073
528	8352	0.073
529	4094	0.073
530	83734	0.0725
531	5734	0.0725
532	7468	0.0725
533	64422	0.072
534	23258	0.072
535	8019	0.0715
536	23211	0.071
537	54958	0.071
538	56924	0.071
539	161582	0.0705
540	1843	0.0705
541	9451	0.0705
542	10533	0.06999999999999999
543	994	0.06999999999999999
544	2705	0.06999999999999999
545	1852	0.06999999999999999
546	64786	0.06949999999999999
547	5596	0.06949999999999999
548	84552	0.06949999999999999
549	63891	0.06899999999999999
550	55146	0.0685
551	135112	0.0685
552	9744	0.0685
553	6199	0.0685
554	83871	0.0685
555	79585	0.068
556	55054	0.068
557	5598	0.068
558	624	0.068
559	79054	0.0675
560	9821	0.0675
561	5728	0.0675
562	7538	0.0675
563	25851	0.067
564	5583	0.067
565	221079	0.067
566	2631	0.0665
567	5581	0.0665
568	10963	0.0665
569	9817	0.066
570	4157	0.066
571	5580	0.066
572	9140	0.0655
573	7015	0.0655
574	6640	0.0655
575	5587	0.0655
576	3991	0.065
577	84557	0.065
578	4862	0.065
579	8350	0.065
580	5243	0.065
581	6788	0.0645
582	596	0.0645
583	60312	0.0645
584	646480	0.064
585	83593	0.064
586	5588	0.064
587	10953	0.064
588	51479	0.0635
589	5579	0.0635
590	6789	0.063
591	3925	0.063
592	25780	0.063
593	10463	0.063
594	51555	0.0625
595	8878	0.0625
596	4900	0.0625
597	5300	0.062
598	3030	0.062
599	1053	0.062
600	26353	0.062
601	60673	0.0615
602	6198	0.0615
603	1103	0.0615
604	11186	0.061
605	2667	0.061
606	4842	0.061
607	359	0.0605
608	3032	0.0605
609	4602	0.0605
610	8508	0.06
611	10018	0.06
612	8682	0.06
613	55704	0.059
614	8439	0.059
615	6548	0.059
616	3875	0.059
617	91754	0.058499999999999996
618	5582	0.058499999999999996
619	4131	0.057999999999999996
620	2243	0.057999999999999996
621	9685	0.057499999999999996
622	5170	0.057499999999999996
623	9770	0.056999999999999995
624	4638	0.056999999999999995
625	60485	0.056499999999999995
626	2560	0.056499999999999995
627	283349	0.05600000000000001
628	3280	0.05600000000000001
629	84078	0.05550000000000001
630	5782	0.05550000000000001
631	23344	0.05500000000000001
632	55347	0.05500000000000001
633	133746	0.05500000000000001
634	301	0.05500000000000001
635	8815	0.05500000000000001
636	54866	0.05450000000000001
637	79443	0.05450000000000001
638	3105	0.05450000000000001
639	79686	0.054000000000000006
640	891	0.054000000000000006
641	15	0.053500000000000006
642	4077	0.053500000000000006
643	150	0.053500000000000006
644	2316	0.053000000000000005
645	3996	0.053000000000000005
646	2812	0.052500000000000005
647	79876	0.052500000000000005
648	3643	0.052500000000000005
649	5230	0.052000000000000005
650	120	0.052000000000000005
651	6900	0.051500000000000004
652	83937	0.051500000000000004
653	79016	0.051000000000000004
654	4255	0.051000000000000004
655	1649	0.051000000000000004
656	55626	0.0505
657	2887	0.0505
658	2288	0.05
659	9706	0.0495
660	5788	0.0495
661	3033	0.049
662	151568	0.049
663	2904	0.049
664	5573	0.0485
665	2005	0.0485
666	4000	0.0485
667	5036	0.048
668	5449	0.048
669	79026	0.048
670	3017	0.0475
671	5286	0.0475
672	10399	0.0475
673	9919	0.0475
674	23637	0.047
675	119	0.047
676	56904	0.0465
677	27032	0.0465
678	118	0.0465
679	2119	0.046
680	440	0.046
681	65108	0.046
682	10015	0.0455
683	3480	0.0455
684	54093	0.045
685	4225	0.045
686	4001	0.0445
687	6897	0.044
688	139341	0.0435
689	3769	0.0435
690	2108	0.043
691	8856	0.043
692	960	0.043
693	3106	0.042499999999999996
694	2893	0.042499999999999996
695	292	0.042499999999999996
696	2098	0.041999999999999996
697	22927	0.041999999999999996
698	166824	0.041499999999999995
699	9421	0.041499999999999995
700	8358	0.040999999999999995
701	7137	0.040999999999999995
702	26130	0.0405
703	57669	0.0405
704	433	0.0405
705	4048	0.04
706	30827	0.04
707	3959	0.04
708	253769	0.0395
709	55920	0.039
710	23130	0.0385
711	8357	0.0385
712	2890	0.0385
713	64800	0.0385
714	150684	0.0385
715	56666	0.038
716	331	0.038
717	5198	0.0375
718	154	0.0375
719	10856	0.0375
720	4163	0.0365
721	39	0.036
722	9575	0.036
723	8356	0.036
724	7341	0.036
725	2734	0.036
726	9590	0.0355
727	7504	0.034999999999999996
728	5134	0.034999999999999996
729	5214	0.034499999999999996
730	1385	0.034499999999999996
731	2670	0.034499999999999996
732	6156	0.034499999999999996
733	115207	0.034
734	8915	0.034
735	10746	0.0335
736	7247	0.0335
737	3376	0.0335
738	7425	0.033
739	54457	0.033
740	6421	0.033
741	9520	0.0325
742	122953	0.0325
743	873	0.032
744	4985	0.032
745	84617	0.032
746	3692	0.0315
747	1021	0.0315
748	5341	0.0315
749	6188	0.0315
750	23193	0.031
751	27101	0.0305
752	983	0.0305
753	156	0.0305
754	9349	0.0305
755	84246	0.0305
756	6128	0.03
757	64762	0.0295
758	1267	0.0295
759	2091	0.0295
760	382	0.028999999999999998
761	2769	0.028999999999999998
762	22824	0.028499999999999998
763	815	0.028499999999999998
764	5917	0.028499999999999998
765	7407	0.028000000000000004
766	2624	0.028000000000000004
767	9266	0.028000000000000004
768	4678	0.027000000000000003
769	123283	0.026500000000000003
770	6464	0.026500000000000003
771	5604	0.026000000000000002
772	8565	0.026000000000000002
773	10062	0.026000000000000002
774	2566	0.026000000000000002
775	6232	0.026000000000000002
776	5451	0.025500000000000002
777	2058	0.025500000000000002
778	1917	0.025
779	8412	0.0245
780	30850	0.0245
781	10363	0.0245
782	2935	0.024
783	2911	0.024
784	10985	0.024
785	2561	0.0235
786	1936	0.023
787	867	0.023
788	10892	0.023
789	7873	0.0225
790	896	0.0225
791	3184	0.0225
792	3838	0.0225
793	6418	0.022
794	2781	0.022
795	293	0.022
796	5226	0.0215
797	57787	0.0215
798	3014	0.0215
799	24140	0.020999999999999998
800	6207	0.020999999999999998
801	6240	0.020499999999999997
802	1019	0.020499999999999997
803	28954	0.020499999999999997
804	6205	0.020499999999999997
805	7416	0.02
806	917	0.02
807	6141	0.02
808	548596	0.0195
809	894	0.0195
810	7352	0.0195
811	6202	0.0195
812	10048	0.019
813	6217	0.019
814	117143	0.019
815	51504	0.0185
816	1080	0.0185
817	6135	0.0185
818	1159	0.018
819	846	0.018
820	6208	0.018
821	10155	0.017499999999999998
822	1601	0.017499999999999998
823	10758	0.017499999999999998
824	7074	0.017
825	4904	0.017
826	6871	0.017
827	3251	0.0165
828	2100	0.0165
829	7704	0.0165
830	2915	0.0165
831	8454	0.0165
832	4800	0.016
833	51111	0.016
834	6224	0.016
835	6206	0.0155
836	1431	0.015
837	9816	0.015
838	4193	0.015
839	6193	0.015
840	9913	0.015
841	10289	0.014499999999999999
842	1445	0.014499999999999999
843	6223	0.014499999999999999
844	2035	0.014000000000000002
845	5781	0.014000000000000002
846	6204	0.014000000000000002
847	8407	0.013500000000000002
848	6876	0.013500000000000002
849	6146	0.013500000000000002
850	5110	0.013000000000000001
851	6181	0.013000000000000001
852	56681	0.0125
853	1045	0.0125
854	4736	0.0125
855	55379	0.012
856	6229	0.012
857	9314	0.012
858	2171	0.0115
859	3159	0.0115
860	2902	0.0115
861	6175	0.0115
862	51341	0.0115
863	285855	0.011
864	136319	0.011
865	334	0.011
866	6132	0.011
867	7428	0.010499999999999999
868	114049	0.010499999999999999
869	3749	0.010499999999999999
870	6191	0.010499999999999999
871	6416	0.01
872	94081	0.01
873	3932	0.01
874	6201	0.01
875	4942	0.0095
876	3329	0.0095
877	25873	0.0095
878	9043	0.009
879	7086	0.009
880	5066	0.009
881	6130	0.009
882	5691	0.0085
883	9324	0.0085
884	3689	0.0085
885	6160	0.0085
886	2956	0.0085
887	7345	0.008
888	2771	0.008
889	3192	0.008
890	7879	0.0075
891	9267	0.0075
892	4691	0.0075
893	353	0.007000000000000001
894	6888	0.006500000000000001
895	5338	0.006500000000000001
896	6203	0.006500000000000001
897	4851	0.006500000000000001
898	8148	0.006500000000000001
899	8724	0.006
900	1655	0.006
901	11224	0.006
902	55728	0.006
903	2688	0.0055
904	6159	0.0055
905	5747	0.005
906	6129	0.005
907	1968	0.0045
908	60598	0.0045
909	6189	0.0045
910	5687	0.004
911	613	0.004
912	140032	0.004
913	5902	0.0035000000000000005
914	2534	0.0035000000000000005
915	6161	0.0035000000000000005
916	25946	0.003
917	203547	0.003
918	25	0.003
919	23133	0.003
920	6222	0.003
921	6902	0.0025
922	4772	0.0025
923	6155	0.0025
924	55617	0.0025
925	54205	0.002
926	2810	0.002
927	6210	0.002
928	283078	0.002
