rank	node	rank_score
1	58	180.1
2	51086	179.1995
3	8790	177.999
4	84676	177.69850000000002
5	7273	175.798
6	1264	175.0975
7	64750	174.497
8	7138	173.99650000000003
9	7136	172.596
10	7135	171.5955
11	9033	170.695
12	58529	170.6945
13	87	168.9915
14	2318	166.894
15	91977	165.891
16	88	165.6925
17	11155	165.49200000000002
18	81	165.09300000000002
19	4703	164.99349999999998
20	125950	163.1905
21	84665	161.0895
22	7125	160.686
23	89	160.189
24	10529	159.1885
25	79778	158.79000000000002
26	135	158.388
27	4892	157.5875
28	29995	157.0855
29	200539	154.8865
30	9124	154.18699999999998
31	5311	135.583
32	27063	134.285
33	1674	133.3825
34	5310	132.582
35	7094	131.38150000000002
36	26136	129.981
37	1495	113.78
38	823	110.579
39	6709	105.87849999999999
40	1956	101.56800000000001
41	999	95.6755
42	142678	95.28450000000001
43	1499	93.4725
44	6714	93.1685
45	5782	91.26
46	7082	90.877
47	768	90.072
48	51762	89.076
49	1000	87.971
50	3728	87.674
51	1001	87.57300000000001
52	5747	87.366
53	1500	87.17150000000001
54	5795	87.157
55	7431	87.0775
56	5829	85.6635
57	2534	84.962
58	2904	84.95750000000001
59	4233	82.259
60	2064	82.1515
61	3643	80.3545
62	1445	79.4605
63	5781	79.0615
64	825	77.978
65	5787	77.85799999999999
66	57554	77.6685
67	815	77.063
68	9564	76.763
69	5788	76.65599999999999
70	867	76.1585
71	5770	75.9665
72	4647	75.86949999999999
73	55591	75.46900000000001
74	5784	75.0745
75	2185	74.761
76	2549	74.455
77	5159	74.0565
78	5295	73.05199999999999
79	2241	72.7675
80	6464	72.25550000000001
81	2885	71.9485
82	6654	71.051
83	5175	70.0655
84	5581	69.867
85	5777	68.854
86	25	68.543
87	1003	68.2705
88	5335	67.7505
89	1399	67.2475
90	3932	66.5535
91	6401	64.9805
92	5793	64.553
93	3717	63.85
94	1398	62.4405
95	5800	62.049
96	7409	61.842000000000006
97	2057	61.7495
98	613	60.845000000000006
99	2889	60.14
100	818	59.456500000000005
101	4067	59.445499999999996
102	4914	59.347
103	5921	59.044000000000004
104	9846	58.746500000000005
105	2065	58.541
106	6850	57.248000000000005
107	4582	55.7385
108	3815	55.54449999999999
109	421	55.3725
110	55914	54.87050000000001
111	1796	54.643499999999996
112	9743	54.54600000000001
113	7535	53.939
114	55824	53.3395
115	7006	51.042500000000004
116	5796	50.9525
117	9712	50.384
118	2934	50.3645
119	3937	50.338
120	5578	49.859500000000004
121	801	49.6605
122	5336	49.0415
123	11184	48.037
124	10278	47.132
125	6655	46.9345
126	3055	46.7355
127	10006	46.135000000000005
128	7454	46.036
129	27040	45.7375
130	8826	45.657
131	29760	44.3335
132	53405	44.0775
133	27	43.534000000000006
134	4690	43.5325
135	868	43.033
136	50807	42.5305
137	10603	42.326
138	1013	42.2715
139	50937	41.972
140	91653	41.67100000000001
141	2690	41.63
142	5339	41.475
143	8502	41.2675
144	5580	41.213
145	2902	40.562
146	1825	40.366499999999995
147	1501	40.269
148	2893	40.155
149	3667	39.8295
150	10451	39.5315
151	6776	38.725
152	1308	38.67
153	6777	38.6245
154	3480	38.32899999999999
155	3702	38.231
156	4739	37.708
157	1832	37.464999999999996
158	5156	37.224000000000004
159	7010	37.023
160	5566	36.730000000000004
161	6452	34.9365
162	3716	34.727
163	2066	34.722500000000004
164	695	33.4255
165	3781	32.481
166	10657	32.1235
167	60	31.2765
168	7525	31.1185
169	26191	31.028499999999998
170	1739	30.685000000000002
171	805	30.484
172	8651	30.227999999999998
173	2887	29.7275
174	5296	28.322000000000003
175	5663	27.868000000000002
176	7408	27.6755
177	3791	27.3205
178	2321	27.219
179	6774	27.1195
