rank	node	rank_score
1	2110	180.1
2	29796	178.99949999999998
3	1537	177.899
4	4718	177.8985
5	4713	176.598
6	4711	175.5975
7	4708	174.697
8	4706	173.7965
9	4710	172.796
10	4709	171.7955
11	4707	170.895
12	4714	169.9945
13	4712	169.094
14	4716	168.1935
15	4715	167.293
16	126328	167.0925
17	4724	165.99200000000002
18	4717	164.3915
19	4696	163.49099999999999
20	55967	162.5905
21	4731	161.69
22	4723	160.6895
23	4702	159.789
24	4695	158.8885
25	4539	157.988
26	4705	157.0875
27	374291	156.18699999999998
28	10975	155.98499999999999
29	4729	155.2865
30	4728	154.38600000000002
31	4701	153.4855
32	51079	152.3845
33	4726	151.38400000000001
34	4725	150.3835
35	4704	149.483
36	4700	148.5825
37	4698	147.682
38	4720	146.7815
39	54539	146.5795
40	4722	145.781
41	4719	144.8805
42	4694	143.98
43	4536	142.579
44	4519	141.37849999999997
45	7386	140.178
46	4697	139.8775
47	7381	138.677
48	27089	137.7765
49	7388	136.876
50	7385	135.9755
51	7384	135.075
52	4537	134.1745
53	7991	133.274
54	1350	130.8735
55	124637	129.272
56	6821	128.071
57	1347	127.973
58	4513	127.7695
59	1346	126.87249999999999
60	4514	126.46900000000001
61	9377	126.0685
62	1339	125.37150000000001
63	1327	124.768
64	170712	124.47049999999999
65	1351	123.07000000000001
66	4512	123.0675
67	1349	122.167
68	1340	120.7665
69	1337	119.86599999999999
70	125965	118.96549999999999
71	84701	117.965
72	6649	116.0645
73	9167	115.86399999999999
74	1345	114.8635
75	6647	113.56300000000002
76	341947	112.5625
77	6648	111.56199999999998
78	1329	110.8615
79	51103	109.86100000000002
80	51497	108.76050000000001
81	51295	108.25999999999999
82	7001	106.5595
83	847	106.15900000000002
84	30	104.9585
85	2877	104.857
86	51	103.758
87	80724	102.6575
88	35	101.65650000000001
89	28976	100.756
90	84129	99.755
91	2879	98.55550000000001
92	36	98.45450000000001
93	3295	97.054
94	34	95.8535
95	2878	95.853
96	2876	94.152
97	27034	93.9525
98	1962	92.6515
99	257202	91.751
100	10935	90.8505
101	8309	89.95
102	5052	89.0495
103	549	88.049
104	1891	87.0485
105	3032	86.3475
106	55268	85.748
107	1892	84.2465
108	2639	83.947
109	3030	82.74600000000001
110	2936	81.6455
111	116285	81.14500000000001
112	84264	79.94449999999999
113	3029	79.04400000000001
114	2181	77.5435
115	3028	77.043
116	3033	76.8425
117	3158	75.742
118	38	74.7415
119	3157	73.841
120	39	72.9405
121	64064	72.03999999999999
122	5019	71.1395
123	54511	70.239
124	3155	68.9385
125	54536	68.437
126	65985	68.2375
127	622	67.838
128	1738	66.2365
129	594	61.936
130	593	61.0355
131	8050	60.632999999999996
132	23464	59.7325
133	4594	58.831999999999994
134	587	58.535000000000004
135	4967	57.831500000000005
136	1629	57.434000000000005
137	212	56.931
138	586	56.734500000000004
139	8803	56.33050000000001
140	3712	55.73350000000001
141	8802	55.23
142	8801	54.32950000000001
143	1743	53.428999999999995
144	211	52.528
145	6392	51.528499999999994
146	6391	50.427499999999995
147	7915	50.126999999999995
148	6389	49.0265
149	6390	48.025999999999996
150	2271	47.0255
151	64087	44.625
152	3156	43.0245
153	140545	42.522000000000006
154	22983	38.7205
155	24138	37.7185
156	56922	36.3235
157	348	36.0215
158	9361	35.7175
159	84171	35.521
160	2	34.716499999999996
161	3437	32.817
162	5664	32.62
163	642	32.5145
164	5663	32.1225
165	1558	31.915
166	11140	31.0195
167	1995	30.615999999999996
168	5886	29.515499999999996
169	84106	28.618000000000002
170	6468	27.719
171	51013	26.113999999999997
172	4846	25.9135
173	23600	23.723000000000003
174	7372	23.713
175	339175	23.509999999999998
176	10724	22.9125
177	3337	22.812
178	54850	20.511000000000003
179	1559	19.4115
180	55798	19.4095
181	57559	17.407
182	387082	16.806
183	1562	16.109
184	2597	15.3075
185	22976	14.005
186	2739	13.8065
187	1020	12.5105
188	197257	12.224
189	7087	11.908
190	4609	9.2065
191	60673	8.803999999999998
192	10053	8.4085
193	55930	6.406000000000001
194	23787	5.2025
195	84978	4.8245
196	55361	4.7055
197	10963	4.2045
198	6767	3.7034999999999996
199	4329	2.9015
200	223	2.602
201	8854	2.0004999999999997
202	84875	1.9055
203	83464	1.8045000000000002
204	92483	1.6024999999999998
205	23385	1.403
206	320	1.303
207	9973	1.201
208	9380	1.1019999999999999
209	51107	0.9015000000000001
210	3948	0.701
211	55851	0.701
212	84898	0.5025000000000001
213	9641	0.40499999999999997
214	10972	0.40049999999999997
215	5832	0.303
216	216	0.302
217	219	0.1045
218	322	0.101
219	5564	0.008
220	8878	0.006
221	7189	0.005
222	1762	0.005
223	4110	0.0045
224	18	0.0035000000000000005
225	6009	0.0035000000000000005
226	87	0.003
227	23043	0.0025
228	3301	0.002
229	3324	0.0015
230	4741	0.001
231	10959	0.001
232	3945	0.001
233	2289	0.001
234	3320	0.0005
