rank	node	rank_score
1	4312	180.0
2	1231	179.2995
3	1234	177.899
4	6357	176.5985
5	4314	175.598
6	729230	174.796
7	6355	173.99650000000003
8	51554	172.79500000000002
9	6356	171.8945
10	1238	170.994
11	1230	170.297
12	1232	170.0935
13	6352	169.09300000000002
14	6360	168.2955
15	6358	167.39249999999998
16	2532	166.892
17	6351	165.0915
18	6348	164.19099999999997
19	388372	163.2905
20	643	162.39000000000001
21	2833	161.3895
22	6349	160.589
23	6772	155.89749999999998
24	3717	152.08800000000002
25	55250	149.5875
26	6777	148.587
27	3716	146.7865
28	7852	146.5825
29	3560	145.98600000000002
30	6776	145.1855
31	3718	144.08350000000002
32	6773	142.6815
33	1237	142.1885
34	2690	141.785
35	5771	141.584
36	5159	141.3845
37	8651	139.082
38	5156	138.88299999999998
39	5781	136.28050000000002
40	3575	135.68099999999998
41	5777	134.98
42	3572	134.3795
43	9021	133.97899999999998
44	8660	131.77849999999998
45	5295	131.078
46	6464	130.277
47	3643	129.3775
48	3667	127.3765
49	3480	126.876
50	867	125.975
51	2057	125.47350000000002
52	5788	125.06949999999999
53	2185	124.47449999999999
54	1399	122.57249999999999
55	7409	122.474
56	1462	121.4885
57	1398	120.673
58	2064	119.872
59	6850	118.171
60	1956	117.97049999999999
61	5747	117.87150000000001
62	5770	114.57000000000001
63	3932	114.16900000000001
64	4067	113.6685
65	10603	113.06800000000001
66	3815	112.7675
67	5296	110.96549999999999
68	1439	110.7665
69	2065	110.465
70	2534	109.86599999999999
71	5921	109.167
72	5335	106.1635
73	9846	103.6615
74	3566	103.37550000000002
75	3627	102.9845
76	6714	102.364
77	613	102.262
78	1803	102.184
79	4914	102.0595
80	7535	101.955
81	2885	101.759
82	6373	101.5835
83	1445	98.1645
84	5336	98.16
85	1796	97.863
86	3055	97.661
87	55824	97.6535
88	10657	97.5605
89	7006	97.2625
90	3937	95.454
91	6461	94.353
92	6654	94.1555
93	27040	91.4525
94	5795	88.652
95	3561	87.725
96	3702	87.5515
97	2889	86.9565
98	2549	86.95599999999999
99	9564	85.5545
100	1436	85.458
101	3635	85.3585
102	11184	85.25
103	3454	85.021
104	25	83.8505
105	4283	83.48150000000001
106	29760	82.8495
107	5829	81.351
108	4233	79.249
109	27	79.2465
110	868	78.34549999999999
111	5782	78.2485
112	10750	77.9385
113	10006	77.34700000000001
114	10451	76.04400000000001
115	695	74.5435
116	4690	74.24600000000001
117	2887	74.0475
118	6452	73.84049999999999
119	6655	71.94449999999999
120	10278	71.64500000000001
121	7454	71.143
122	10563	70.788
123	6363	70.0875
124	2826	69.887
125	6366	69.5865
126	2066	69.14200000000001
127	1236	68.886
128	6370	68.685
129	100124696	68.5415
130	56477	67.183
131	7525	66.45750000000001
132	5800	65.34
133	2321	65.25699999999999
134	3791	65.148
135	2268	63.342499999999994
136	50807	63.0395
137	660	62.741
138	9402	62.138999999999996
139	10818	59.638
140	5793	57.5375
141	5787	57.237
142	7010	55.7365
143	4739	55.435500000000005
144	7410	53.236000000000004
145	2242	52.335
146	558	52.0255
147	5979	51.734500000000004
148	55715	51.034000000000006
149	1441	50.632999999999996
150	5175	50.6325
151	7462	50.0335
152	4486	47.832
153	930	46.7315
154	933	45.4305
155	2260	42.131
156	919	41.222
157	2213	40.229
158	10019	40.121500000000005
159	8440	39.9245
160	4316	39.699
161	857	39.33
162	9743	39.324
163	5595	39.2295
164	5594	38.2285
165	3636	37.126
166	5580	36.8275
167	25970	36.727999999999994
168	4582	36.126999999999995
169	5796	34.4265
170	56955	32.2205
171	30011	30.922500000000003
172	1499	30.7235
173	1000	29.323
174	23624	27.919999999999998
175	128853	27.718
176	58512	27.617
177	83747	26.017500000000002
178	23607	25.9185
179	238	23.1195
180	2886	22.219
181	27071	21.215
182	53358	20.716
183	6503	20.214
184	4915	19.8155
185	1404	16.5825
186	3490	16.481
187	176	16.381999999999998
188	8853	16.316499999999998
189	10850	16.181
190	974	15.7135
191	3455	14.772
192	640	14.713
193	2533	14.514499999999998
194	9103	13.8125
195	916	12.5115
196	50852	11.611
197	8503	11.4075
198	6004	10.912
199	7275	10.7105
200	80831	9.4095
201	1969	8.51
202	1795	7.909000000000001
203	27240	6.5065
204	25759	6.107
205	9046	5.4085
206	5338	4.9055
207	2209	4.808
208	973	3.6060000000000003
209	921	2.4050000000000002
210	85358	2.1035
211	9229	1.8030000000000002
212	5170	1.504
213	58480	1.4045
214	139716	1.1025
215	64714	0.9019999999999999
216	2048	0.7005
217	5287	0.6014999999999999
218	4058	0.301
219	6504	0.3005
220	6359	0.0805
221	3459	0.0735
222	10044	0.002
223	4068	0.001
