rank	node	rank_score
1	2898	137.199
2	2893	134.89749999999998
3	5566	131.3985
4	5568	130.7
5	5567	130.09949999999998
6	54866	128.598
7	9495	122.59349999999999
8	3017	116.897
9	359	116.29650000000001
10	11214	114.095
11	5576	113.2945
12	783	112.296
13	5577	112.29400000000001
14	3784	111.093
15	5501	110.6925
16	2560	110.282
17	5500	109.992
18	9590	109.9875
19	6262	109.2915
20	10142	108.89099999999999
21	5499	108.1905
22	11215	107.39000000000001
23	5578	107.28
24	5511	107.1895
25	84687	106.38899999999998
26	3269	106.07950000000001
27	5348	105.58800000000001
28	2119	105.5805
29	595	104.5885
30	153743	104.58699999999999
31	55869	103.8865
32	5504	103.08600000000001
33	55607	102.4855
34	158798	101.983
35	2932	100.985
36	6790	100.28450000000001
37	81566	99.3815
38	1385	99.084
39	154	98.8835
40	6011	98.08250000000001
41	4160	96.0775
42	156	95.478
43	4842	92.46549999999999
44	8736	92.3955
45	2931	92.1765
46	5734	91.57849999999999
47	5581	90.777
48	5243	89.576
49	5579	88.4755
50	119	88.375
51	118	87.2735
52	2705	86.8745
53	5582	86.074
54	5580	86.07300000000001
55	3150	85.4725
56	2673	85.07050000000001
57	150	84.971
58	5583	84.67150000000001
59	9421	84.47200000000001
60	5590	82.87
61	7137	82.069
62	5588	81.36949999999999
63	4900	80.2675
64	5584	79.668
65	120	79.067
66	2243	78.76849999999999
67	490	78.179
68	4985	77.7665
69	624	77.265
70	2769	77.166
71	65108	77.064
72	433	76.2635
73	9338	74.4645
74	7504	74.1625
75	815	73.8445
76	1267	73.562
77	5341	72.9615
78	917	72.261
79	688	71.663
80	846	71.5605
81	6876	70.36
82	2904	69.94500000000001
83	4225	69.8595
84	94274	69.143
85	2911	68.9585
86	2566	68.65650000000001
87	2902	68.54549999999999
88	5066	68.35900000000001
89	26353	68.35799999999999
90	1080	67.881
91	2781	67.25699999999999
92	2561	66.95599999999999
93	5782	66.1535
94	2152	65.6555
95	3315	65.0575
96	9267	64.75450000000001
97	3105	64.35499999999999
98	10287	63.754
99	4082	62.052499999999995
100	9266	61.452999999999996
101	4689	60.7515
102	2063	60.1
103	3554	59.751
104	3706	59.6505
105	818	59.5385
106	5587	58.85
107	3559	58.8495
108	6714	58.2395
109	4638	56.504999999999995
110	821	56.3485
111	8682	56.248000000000005
112	7037	55.949
113	6199	54.652
114	1601	54.346500000000006
115	1386	54.2475
116	334	54.147000000000006
117	1390	52.722
118	1103	52.544000000000004
119	6944	49.8435
120	1956	49.838
121	3875	49.342
122	960	48.640499999999996
123	7074	47.64
124	60312	46.6415
125	47	46.376999999999995
126	2670	46.239
127	1387	46.221500000000006
128	367	46.2105
129	6383	45.646
130	3643	45.336
131	5770	45.2375
132	4233	44.837
133	5788	44.6365
134	817	43.8305
135	4627	42.542500000000004
136	5894	42.3355
137	816	41.629
138	23426	39.8995
139	56850	39.699
140	3667	39.334
141	207	39.0345
142	10000	38.4335
143	5170	37.733
144	857	36.6325
145	572	36.6295
146	801	35.4315
147	208	34.63
148	7430	33.3275
149	7054	32.820499999999996
150	1457	32.725
151	2915	32.531
152	6197	32.521
153	301	32.135000000000005
154	7534	32.128
155	1499	31.1235
156	6236	30.8245
157	6624	30.824
158	1459	30.223000000000003
159	2764	29.6175
160	4000	29.226499999999998
161	4001	28.927
162	1022	28.609
163	7431	28.3285
164	673	28.325499999999998
165	7153	27.922500000000003
166	1051	27.617
167	153	27.18
168	3280	26.631999999999998
169	2316	26.612000000000002
170	6198	26.014
171	1020	24.919999999999998
172	5058	24.7115
173	5594	24.318
174	58	23.4215
175	4137	23.115000000000002
176	5595	20.919
177	2314	19.7985
178	8648	19.698500000000003
179	5698	19.598
180	8202	19.4975
181	7025	19.397
182	10011	19.2965
183	7068	19.196
184	6256	19.095
185	7249	19.016
186	10499	18.9955
187	8856	18.791
188	9612	18.692
189	5916	18.593
190	5915	18.4925
191	5914	18.3935
192	6258	18.2915
193	6257	18.189
194	8431	18.0895
195	7376	17.990000000000002
196	10062	17.8885
197	983	17.811
198	1025	17.801
199	9611	17.7905
200	7421	17.688
201	9252	17.6155
202	2308	17.6125
203	8204	17.586000000000002
204	7067	17.4875
205	5468	17.3865
206	6622	17.3145
207	23054	17.287
208	5467	17.185
209	5705	17.0815
210	5465	16.9855
211	9971	16.8845
212	5469	16.784
213	6196	16.7165
214	2100	16.683
215	10891	16.5835
216	3172	16.482499999999998
217	9862	16.381999999999998
218	9282	16.179
219	10025	16.0775
220	6514	15.98
221	9968	15.977
222	9440	15.876499999999998
223	10001	15.776
224	9439	15.6755
225	9412	15.575
226	81857	15.4745
227	9443	15.373500000000002
228	9969	15.274000000000001
229	84246	15.1725
230	9442	15.072
231	9477	14.971
232	400569	14.869499999999999
233	29079	14.770500000000002
234	23389	14.669
235	6837	14.5685
236	54797	14.467500000000001
237	23097	14.368
238	90390	14.267
239	112950	14.1665
240	9441	14.065999999999999
241	892	13.969999999999999
242	1024	13.873
243	51586	13.7655
244	51003	13.665000000000001
245	80306	13.5645
246	1027	13.513499999999999
247	55090	13.463999999999999
248	6195	13.413
249	55588	13.363499999999998
250	219541	13.263
251	9967	13.1715
252	55031	13.0625
253	27034	12.962
254	8535	12.861
255	8295	12.7595
256	2908	12.6785
257	2648	12.459999999999999
258	2101	12.3575
259	6597	12.2615
260	8826	12.2175
261	8850	12.059000000000001
262	2959	11.956999999999999
263	2033	11.879999999999999
264	5430	11.756499999999999
265	904	11.6605
266	4654	11.619499999999999
267	6602	11.556000000000001
268	3725	11.501
269	3516	11.233
270	3925	11.2095
271	1021	11.11
272	6830	11.004000000000001
273	11198	10.734
274	6601	10.6555
275	6599	10.555
276	6595	10.4535
277	54760	10.3545
278	6598	10.254000000000001
279	6605	10.1385
280	10498	10.035
281	6604	9.952
282	2962	9.852500000000001
283	2965	9.751000000000001
284	10589	9.6515
285	6603	9.55
286	6908	9.453
287	1432	9.4075
288	672	9.3495
289	5604	9.308
290	2960	9.250499999999999
291	2967	9.149
292	7157	9.1015
293	86	9.0365
294	5439	8.9485
295	2071	8.8455
296	5432	8.748000000000001
297	5433	8.647499999999999
298	5436	8.547
299	5435	8.4465
300	5438	8.346
301	1019	8.3085
302	5431	8.244499999999999
303	5440	8.144
304	3856	8.107
305	5434	8.045
306	2966	7.9430000000000005
307	5441	7.843500000000001
308	2068	7.742
309	5925	7.7015
310	5437	7.6425
311	2961	7.541500000000001
312	2968	7.441
313	2963	7.3405000000000005
314	26015	7.24
315	9150	7.1395
316	8289	7.036
317	399511	6.938
318	57492	6.835500000000001
319	6917	6.7375
320	5599	6.706
321	4298	6.6315
322	7044	6.531000000000001
323	3066	6.437
324	902	6.3345
325	4331	6.2275
326	404672	6.127000000000001
327	9031	6.009
328	488	5.926
329	4846	5.8185
330	3297	5.8065
331	7155	5.513
332	6667	5.502
333	3065	5.4335
334	8841	5.3795
335	4780	5.241
336	4087	5.11
337	602	5.029999999999999
338	6774	5.0055
339	5601	5.0045
340	25942	4.9325
341	5371	4.8585
342	3621	4.629
343	9261	4.604
344	9219	4.523
345	8819	4.4255
346	51742	4.326
347	5928	4.2265
348	5931	4.125
349	53981	4.0245
350	6880	3.9219999999999997
351	29904	3.9034999999999997
352	6878	3.8240000000000003
353	10284	3.7225
354	53615	3.6215
355	6883	3.521
356	6872	3.4234999999999998
357	4297	3.3205
358	5600	3.303
359	8189	3.22
360	5929	3.1195
361	23028	3.019
362	11091	2.9185
363	8467	2.818
364	8932	2.7175000000000002
365	1107	2.617
366	5901	2.516
367	1108	2.4165
368	994	2.4025
369	57459	2.3155
370	5977	2.215
371	9112	1.9125
372	85509	1.8114999999999999
373	23186	1.7120000000000002
374	1487	1.6079999999999999
375	54815	1.511
376	9343	1.4144999999999999
377	5970	1.3295
378	23309	1.2105000000000001
379	196	1.1285
380	9203	1.0074999999999998
381	51317	0.907
382	1017	0.9004999999999999
383	7750	0.8065
384	23199	0.7055
385	2969	0.606
386	3360	0.505
387	10362	0.40449999999999997
388	84152	0.40199999999999997
389	7528	0.301
390	4609	0.2015
391	1026	0.101
392	5663	0.101
393	4255	0.0995
394	2891	0.098
395	9463	0.097
396	2892	0.0965
397	2895	0.096
398	2901	0.0955
399	2899	0.095
400	3275	0.0945
401	6386	0.094
402	9325	0.094
403	3276	0.094
404	2913	0.0935
405	2897	0.093
406	10369	0.0925
407	1742	0.092
408	1948	0.0915
409	1947	0.091
410	2048	0.0905
411	80852	0.09
412	2834	0.0895
413	1464	0.089
414	1741	0.0885
415	1739	0.088
416	3759	0.0875
417	1740	0.087
418	9419	0.0865
419	27165	0.086
420	491	0.08549999999999999
421	493	0.08499999999999999
422	8573	0.08449999999999999
423	3761	0.08399999999999999
424	8825	0.08349999999999999
425	3768	0.08299999999999999
426	64130	0.08249999999999999
427	85461	0.08149999999999999
428	3739	0.081
429	9229	0.0805
430	2903	0.08
431	10207	0.0795
432	2905	0.079
433	6331	0.0785
434	5998	0.078
435	6996	0.078
436	6915	0.0775
437	22866	0.0775
438	10023	0.077
439	6640	0.077
440	6329	0.0765
441	23095	0.076
442	6300	0.0755
443	10672	0.075
444	57555	0.075
445	8831	0.0735
446	22839	0.073
447	88	0.0725
448	116443	0.072
449	320	0.0715
450	55327	0.071
451	2906	0.0705
452	19	0.06999999999999999
453	6641	0.06949999999999999
454	116444	0.06899999999999999
455	3603	0.0685
456	3766	0.068
457	3738	0.0675
458	3736	0.067
459	3737	0.0665
460	3741	0.066
461	54910	0.0655
462	57554	0.065
463	9228	0.063
464	58512	0.062
465	85358	0.0615
466	22941	0.061
467	90627	0.0605
468	55629	0.0605
469	3751	0.0595
470	8805	0.057999999999999996
471	9794	0.05550000000000001
472	51763	0.05450000000000001
473	4851	0.054000000000000006
474	5331	0.052500000000000005
475	5335	0.052000000000000005
476	2534	0.051500000000000004
477	1398	0.05
478	9743	0.0495
479	27	0.049
480	25	0.0485
481	2066	0.048
482	56955	0.0475
483	5295	0.047
484	128853	0.0465
485	83747	0.046
486	4690	0.0455
487	80831	0.045
488	64714	0.0445
489	2151	0.044
490	2885	0.0435
491	9784	0.043
492	445815	0.042499999999999996
493	9749	0.041999999999999996
494	8506	0.041499999999999995
495	1795	0.040999999999999995
496	831	0.0405
497	6237	0.04
498	9793	0.0395
499	29998	0.039
500	9472	0.0385
501	2137	0.038
502	9826	0.0375
503	79890	0.037
504	81875	0.0365
505	4007	0.036
506	11217	0.0355
507	23114	0.034999999999999996
508	57190	0.034499999999999996
509	11184	0.034
510	23230	0.0335
511	50807	0.033
512	29886	0.0325
513	92591	0.032
514	2064	0.0315
515	2185	0.031
516	10278	0.0305
517	5747	0.03
518	9564	0.0295
519	55193	0.0295
520	51412	0.028999999999999998
521	2065	0.028499999999999998
522	196528	0.028499999999999998
523	6654	0.028000000000000004
524	55636	0.028000000000000004
525	29760	0.027500000000000004
526	1399	0.027000000000000003
527	6464	0.026500000000000003
528	2889	0.025500000000000002
529	6655	0.025
530	867	0.0245
531	6850	0.024
532	5159	0.0235
533	999	0.023
534	23607	0.023
535	5781	0.0225
536	2549	0.022
537	5829	0.0215
538	5921	0.020999999999999998
539	4067	0.020499999999999997
540	4739	0.02
541	9846	0.0195
542	613	0.019
543	5777	0.0185
544	3717	0.018
545	7409	0.017499999999999998
546	55824	0.017
547	3937	0.0165
548	7535	0.016
549	6446	0.0155
550	5336	0.0155
551	3932	0.015
552	868	0.014499999999999999
553	3055	0.014000000000000002
554	3815	0.013500000000000002
555	10006	0.013000000000000001
556	1796	0.0125
557	2057	0.012
558	1439	0.0115
559	1445	0.011
560	7525	0.010499999999999999
561	1869	0.0095
562	10451	0.009
563	6452	0.0085
564	3164	0.0085
565	6776	0.008
566	27040	0.0075
567	5795	0.007000000000000001
568	6777	0.006500000000000001
569	4914	0.006
570	7006	0.0055
571	5793	0.005
572	30011	0.0035000000000000005
573	57504	0.0035000000000000005
574	7454	0.003
575	11177	0.003
576	5800	0.0025
577	6304	0.0025
578	3702	0.002
579	6882	0.002
580	6853	0.0015
581	5787	0.0015
582	2690	0.001
583	3320	0.001
584	3480	0.0005
585	60	0.0005
