rank	node	rank_score
1	3716	172.9955
2	5771	171.1975
3	6776	169.196
4	6774	167.495
5	3717	163.294
6	3718	161.9945
7	3575	159.9905
8	6910	159.4
9	5159	156.3825
10	5781	155.9895
11	3560	155.4875
12	5156	152.58350000000002
13	5777	152.487
14	3643	152.173
15	6772	150.2935
16	5295	149.281
17	6464	148.482
18	9021	145.28050000000002
19	8651	143.17249999999999
20	7297	141.79149999999998
21	3561	141.586
22	3932	140.38150000000002
23	6714	139.578
24	2691	139.199
25	51738	138.8995
26	7852	138.793
27	1439	137.885
28	2057	137.67849999999999
29	3480	137.567
30	2862	137.4985
31	2185	137.2775
32	4067	136.88400000000001
33	867	136.276
34	2534	135.37449999999998
35	8660	135.279
36	6461	134.4615
37	3667	133.6655
38	2885	133.3765
39	1956	132.777
40	5788	132.1865
41	6850	131.9755
42	3815	130.9735
43	1399	130.772
44	55250	129.9925
45	10603	129.971
46	1398	127.26849999999999
47	5747	127.06800000000001
48	5921	125.76199999999999
49	7409	123.57150000000001
50	2064	123.5645
51	9846	122.9675
52	613	121.66399999999999
53	5335	121.465
54	811	119.298
55	5770	117.075
56	2689	116.498
57	2065	114.6635
58	7535	113.66900000000001
59	4914	113.458
60	25	113.455
61	3572	112.67999999999999
62	55824	110.874
63	5795	109.0565
64	6654	108.6575
65	2549	108.46
66	1796	108.45599999999999
67	1436	108.24549999999999
68	3055	107.95900000000002
69	3937	107.67
70	2889	107.04749999999999
71	5336	106.66599999999998
72	5829	105.657
73	3459	104.79
74	27040	102.9585
75	1493	101.2795
76	1445	99.9625
77	27	99.947
78	3635	99.8485
79	10451	99.76050000000001
80	2887	98.845
81	1441	97.8255
82	3566	95.38550000000001
83	9564	95.154
84	11184	94.149
85	5296	93.7435
86	6452	93.35249999999999
87	10657	93.351
88	4233	93.2375
89	558	90.84200000000001
90	4690	90.1515
91	10006	89.85
92	55620	89.491
93	868	88.47049999999999
94	7525	87.9365
95	2321	86.7595
96	5782	86.44
97	55715	85.761
98	25970	85.63300000000001
99	29760	84.3555
100	7006	83.541
101	5580	82.732
102	3791	82.646
103	10818	82.2465
104	5595	79.3265
105	821	78.6975
106	10278	78.3535
107	26191	77.938
108	7018	77.6965
109	3702	75.9505
110	10750	75.7385
111	6655	75.043
112	695	72.0395
113	7010	71.62899999999999
114	56955	71.6245
115	80831	69.65299999999999
116	7454	69.1405
117	660	69.136
118	5979	68.944
119	57292	68.783
120	2066	68.54249999999999
121	5594	67.2695
122	5787	66.9295
123	7410	66.4495
124	7462	66.252
125	5800	65.7345
126	857	65.637
127	2242	64.6415
128	2213	64.22999999999999
129	5578	61.9125
130	100124696	61.235
131	3454	60.6885
132	50807	59.8445
133	58512	59.43050000000001
134	5793	59.13250000000001
135	64714	56.245000000000005
136	128853	54.724000000000004
137	10399	53.92100000000001
138	3559	53.004
139	6773	52.891999999999996
140	2260	52.3275
141	930	50.839
142	56995	48.414
143	5175	48.1315
144	933	47.5355
145	9402	47.428
146	7275	46.251
147	919	45.822
148	4486	45.534000000000006
149	27240	44.8545
150	5796	44.527
151	2268	43.1195
152	10019	42.863
153	445815	41.7335
154	30011	40.931
155	83747	40.619
156	4582	39.517
157	6532	39.097500000000004
158	3489	38.496500000000005
159	1499	38.3165
160	238	37.8235
161	3487	37.5955
162	2137	36.902499999999996
163	4295	36.7965
164	359710	34.376
165	8835	34.26649999999999
166	1234	33.790499999999994
167	388585	32.991499999999995
168	3953	31.875999999999998
169	8440	31.625
170	9743	30.119999999999997
171	2209	29.7395
172	57190	29.612000000000002
173	5590	29.602999999999998
174	5894	29.002
175	4352	28.080000000000002
176	27071	28.017500000000002
177	5170	27.110500000000002
178	1154	27.009500000000003
179	139716	26.6635
180	2099	26.526
181	23607	23.7215
182	974	22.9225
183	6667	22.715
184	7316	22.005000000000003
185	5581	21.509
186	1000	21.2215
187	9749	19.7185
188	7036	19.297
189	4919	19.199
190	146722	18.823
191	5354	18.794
192	3563	18.601499999999998
193	3485	18.4945
194	6503	18.4155
195	3479	18.095
196	3636	18.0115
197	3455	17.788999999999998
198	3574	17.381999999999998
199	53358	17.016
200	4739	17.009999999999998
201	5587	16.7065
202	89790	16.4805
203	23230	16.4215
204	7534	15.605500000000001
205	151295	15.177000000000001
206	640	13.513499999999999
207	8853	13.4095
208	356	12.920499999999999
209	2886	12.608500000000001
210	5058	11.104
211	50852	10.9035
212	2048	10.1015
213	8471	9.206
214	1432	9.114
215	2904	9.108
216	5618	9.101
217	54923	9.1005
218	2322	8.823
219	3690	8.7015
220	5338	8.417
221	4915	8.107
222	57127	8.0145
223	4058	7.823
224	9103	7.712999999999999
225	29886	7.109999999999999
226	8503	7.108
227	5287	6.915000000000001
228	916	6.511
229	58480	6.111
230	23624	5.7155000000000005
231	9046	5.3115
232	5588	4.910500000000001
233	6004	4.9079999999999995
234	79930	3.9284999999999997
235	1601	3.912
236	1795	3.9095
237	57007	3.7055
238	2533	3.5125
239	207	3.5045
240	29998	2.818
241	5879	2.1005
242	54900	1.8045000000000002
243	1969	1.4060000000000001
244	5599	1.306
245	960	1.103
246	5290	1.001
247	6504	0.9184999999999999
248	2316	0.606
249	6237	0.311
250	973	0.3025
251	8470	0.10200000000000001
252	2626	0.097
253	26160	0.0965
254	5626	0.096
255	3077	0.094
256	3645	0.0935
257	3484	0.0935
258	3488	0.093
259	2335	0.0925
260	3486	0.092
261	3483	0.0915
262	1311	0.091
263	4052	0.0905
264	8038	0.089
265	3952	0.0885
266	3467	0.088
267	3447	0.088
268	1297	0.087
269	6775	0.087
270	3780	0.0865
271	4856	0.08549999999999999
272	168544	0.08549999999999999
273	3674	0.08499999999999999
274	50856	0.08449999999999999
275	3685	0.08349999999999999
276	54901	0.0795
277	6778	0.079
278	6098	0.074
279	945	0.06899999999999999
280	4969	0.064
281	4145	0.048
282	11250	0.019
283	92591	0.013500000000000002
284	3265	0.009
285	115352	0.008
286	3190	0.0075
287	3320	0.006
288	10044	0.0055
289	25759	0.0045
290	5579	0.0035000000000000005
291	3688	0.003
292	5062	0.0025
293	5728	0.0025
294	85358	0.002
295	3689	0.002
296	940	0.0005
