rank	node	rank_score
1	4088	160.791
2	2033	159.7905
3	1051	154.095
4	6667	153.1
5	1387	150.5915
6	4087	150.1885
7	4089	150.0855
8	367	148.487
9	5371	145.39000000000001
10	1958	138.8945
11	2099	137.382
12	28996	135.592
13	3065	135.3875
14	6597	133.38899999999998
15	8202	132.183
16	3725	128.138
17	672	128.086
18	6599	127.888
19	7161	127.5895
20	6996	126.83099999999999
21	9611	125.68499999999999
22	5970	125.5445
23	6908	122.881
24	7421	122.07000000000001
25	10401	121.2865
26	5925	120.95450000000001
27	1385	120.39349999999999
28	6601	120.18400000000001
29	2908	120.0355
30	4801	118.99949999999998
31	4800	118.199
32	23158	117.59850000000002
33	4603	116.69800000000001
34	8841	116.4455
35	4802	115.5975
36	1997	115.29650000000001
37	9612	115.1415
38	50509	114.697
39	3159	114.49600000000001
40	6598	114.0815
41	23054	113.7365
42	6722	113.6955
43	6595	112.57950000000001
44	23126	112.393
45	3066	111.56949999999999
46	57492	111.2825
47	6721	110.79400000000001
48	22926	110.0925
49	25942	109.17150000000001
50	6602	108.377
51	6603	107.58
52	6604	104.076
53	2959	103.079
54	6605	102.97200000000001
55	8289	101.771
56	1024	101.18050000000001
57	5928	100.6685
58	86	99.87049999999999
59	8850	98.27250000000001
60	51592	97.5835
61	1050	97.5575
62	54760	94.07849999999999
63	2962	92.8765
64	9412	91.775
65	10589	91.6775
66	8819	91.6645
67	6872	91.4605
68	2965	90.578
69	5931	90.0655
70	10499	89.627
71	9219	89.36800000000001
72	2960	89.2755
73	892	88.8745
74	8648	87.73150000000001
75	3621	87.5635
76	7155	87.46900000000001
77	5430	86.574
78	53615	86.466
79	51742	86.262
80	6256	85.62899999999999
81	602	85.332
82	2967	84.5735
83	2071	84.473
84	10284	84.0625
85	6880	83.164
86	6878	82.963
87	8932	82.56700000000001
88	57459	81.86749999999999
89	4297	81.5595
90	53981	80.761
91	1108	80.265
92	5977	80.1665
93	7994	80.1
94	8189	79.96000000000001
95	5468	79.9265
96	1107	78.5615
97	5451	77.93050000000001
98	6883	77.659
99	5929	77.65799999999999
100	23028	77.55850000000001
101	3172	76.02250000000001
102	4654	75.73400000000001
103	11091	75.1575
104	5901	74.0565
105	8467	73.75699999999999
106	4609	72.655
107	9343	71.356
108	7067	71.2325
109	1022	67.6375
110	2353	66.624
111	60	64.25550000000001
112	1386	63.545
113	23186	63.4525
114	5594	62.9415
115	7750	62.3515
116	23309	61.45
117	1457	61.029999999999994
118	9112	60.951
119	7341	60.823
120	2969	60.549
121	54815	60.352
122	9203	59.5495
123	51317	58.7485
124	1487	58.547000000000004
125	10498	58.439
126	23199	57.948
127	196528	57.754
128	3360	57.2475
129	7528	57.24400000000001
130	10362	56.4465
131	85509	56.0505
132	51412	55.653
133	55193	53.3535
134	5914	52.227999999999994
135	6497	50.837
136	57504	49.945
137	9031	49.9435
138	5469	49.628499999999995
139	11177	47.343
140	10274	46.542500000000004
141	4204	45.846
142	9325	43.927499999999995
143	10735	43.742000000000004
144	1025	43.734500000000004
145	11198	42.936
146	8554	42.854
147	3516	41.935
148	5885	41.241
149	4193	41.1245
150	55636	40.8405
151	4298	40.634
152	23522	39.8995
153	84289	39.599000000000004
154	7862	39.5985
155	9767	39.298
156	23774	39.097500000000004
157	27154	38.897000000000006
158	23338	38.6965
159	79960	38.496
160	64769	38.295500000000004
161	7704	38.121500000000005
162	11143	38.095
163	51147	37.8945
164	6830	35.7255
165	9126	34.5395
166	7044	34.533500000000004
167	7329	33.5465
168	8243	32.739999999999995
169	904	28.125999999999998
170	3091	25.940999999999995
171	4790	24.409
172	573	24.326
173	163126	22.9845
174	2957	22.7295
175	7068	21.2235
176	3297	20.018
177	10848	19.8995
178	6658	19.697499999999998
179	1017	19.622
180	10891	19.308500000000002
181	2100	19.206
182	89797	18.8875
183	1454	18.794
184	6571	18.6935
185	1453	18.593
186	4775	18.4925
187	6196	18.391
188	324	18.39
189	8312	18.2895
190	1857	18.189
191	4040	18.0865
192	1499	17.9905
193	1855	17.8885
194	5525	17.787
195	9862	17.71
196	1052	17.5895
197	1601	17.486
198	8313	17.387999999999998
199	7046	17.184
200	3622	17.1495
201	5241	17.112000000000002
202	4092	17.0845
203	23682	16.875999999999998
204	51176	16.681
205	55914	16.4755
206	91	16.3675
207	4086	16.278
208	860	16.1815
209	4091	16.0805
210	51588	15.974
211	51285	15.876499999999998
212	117583	15.773500000000002
213	658	15.6745
214	23551	15.5775
215	64750	15.479
216	57154	15.382499999999999
217	9440	15.307999999999998
218	10273	15.275
219	864	15.1785
220	2961	15.123500000000002
221	11171	15.080000000000002
222	121268	14.972999999999999
223	10413	14.872499999999999
224	9282	14.8075
225	29984	14.770500000000002
226	4090	14.6695
227	3054	14.626
228	90	14.569999999999999
229	84085	14.4715
230	9459	14.372
231	55827	14.265
232	8878	14.169
233	9392	14.0615
234	5595	14.045499999999999
235	7042	13.959999999999999
236	83871	13.866
237	8295	13.806999999999999
238	6304	13.738499999999998
239	9794	13.725
240	140901	13.6655
241	8945	13.2625
242	9968	13.2055
243	8626	12.853
244	9439	12.7065
245	2309	12.6605
246	2290	12.563500000000001
247	207	12.463
248	64426	12.4255
249	2308	12.264
250	5058	12.1685
251	10025	12.1045
252	57381	12.067
253	1021	11.9285
254	1856	11.8835
255	10001	11.805
256	2932	11.7595
257	5435	11.718
258	79753	11.671
259	902	11.621
260	4331	11.6205
261	9739	11.425
262	5439	11.3185
263	9969	11.203999999999999
264	4303	11.158
265	3308	11.129999999999999
266	2966	11.019499999999999
267	8473	10.924000000000001
268	9070	10.8245
269	2068	10.72
270	5431	10.717
271	84246	10.7115
272	81857	10.7025
273	5438	10.516499999999999
274	1616	10.4525
275	4194	10.352
276	51586	10.303
277	7316	10.2485
278	9443	10.102
279	8204	10.034
280	208	9.956
281	5440	9.817499999999999
282	6615	9.750499999999999
283	2968	9.719
284	5433	9.7155
285	9442	9.501000000000001
286	2963	9.116
287	9441	9.011
288	5436	8.415000000000001
289	5434	8.414
290	2648	8.32
291	5432	8.2145
292	6774	8.1375
293	4435	7.9855
294	595	7.837000000000001
295	1459	7.100499999999999
296	55588	6.608500000000001
297	9477	6.314500000000001
298	400569	6.0135000000000005
299	80306	6.0005
300	90390	5.914
301	55090	5.903499999999999
302	23389	5.813
303	5437	5.5135
304	5441	5.513
305	6837	5.4125
306	25855	5.2275
307	23097	5.212000000000001
308	54797	5.0115
309	29079	4.8155
310	219541	4.8015
311	3320	4.6195
312	26015	4.6125
313	112950	4.51
314	9150	4.412000000000001
315	2623	4.3095
316	1869	4.0105
317	51003	3.508
318	3312	3.3175
319	9967	3.107
320	8535	2.9065
321	8290	2.8185
322	6257	2.6165
323	5926	2.521
324	79595	2.4215
325	84312	2.3205
326	58	0.1
327	9314	0.098
328	1316	0.0975
329	133746	0.0925
330	94274	0.092
331	1020	0.0915
332	81928	0.091
333	5515	0.088
334	5527	0.0875
335	53944	0.08549999999999999
336	81839	0.08299999999999999
337	29068	0.0685
338	57111	0.067
339	64718	0.0665
340	28512	0.0655
341	7554	0.065
342	10140	0.0635
343	2737	0.05450000000000001
344	2274	0.051500000000000004
345	7249	0.05
346	10691	0.048
347	9252	0.040999999999999995
348	3020	0.033
349	4152	0.028499999999999998
350	1019	0.028000000000000004
351	6613	0.0245
352	10036	0.022
353	604	0.018
354	9759	0.017
355	6882	0.015
356	4851	0.013500000000000002
357	8805	0.011
358	399511	0.0095
359	3164	0.0075
360	6886	0.007000000000000001
361	55031	0.006500000000000001
