rank	node	rank_score
1	8128	140.1
2	5781	120.39949999999999
3	857	113.45149999999998
4	3643	111.38600000000001
5	5777	110.7935
6	3717	109.5925
7	6464	108.29650000000001
8	6714	106.88550000000001
9	6777	106.399
10	6776	106.09850000000002
11	5295	105.394
12	5159	103.5875
13	1956	101.58
14	867	101.19500000000001
15	3560	100.8905
16	6850	100.5945
17	2057	100.4955
18	5156	99.5975
19	2534	99.3885
20	5335	98.789
21	4067	98.691
22	5788	98.681
23	1439	98.09
24	7409	97.4835
25	1399	97.197
26	3815	96.49300000000001
27	3932	96.1895
28	2690	95.16749999999999
29	613	93.9915
30	2185	93.28450000000001
31	5921	92.887
32	9846	92.292
33	5782	92.0685
34	3716	91.584
35	5770	90.6615
36	3667	90.66
37	2064	89.0805
38	5747	88.7705
39	2885	88.385
40	7535	87.78150000000001
41	1398	86.878
42	3480	86.76050000000001
43	55824	85.38300000000001
44	5336	85.2825
45	3937	84.982
46	2065	84.679
47	6774	84.561
48	3718	83.5595
49	1796	83.2865
50	8651	83.167
51	9021	81.458
52	6654	81.3785
53	4233	81.063
54	25	80.87950000000001
55	27040	80.375
56	2549	80.077
57	1445	80.07000000000001
58	3055	79.4765
59	7010	79.298
60	10603	79.288
61	6772	78.6525
62	10451	78.35650000000001
63	5580	78.343
64	11184	78.276
65	8660	78.1585
66	2889	77.2755
67	3572	76.851
68	9564	75.874
69	7297	75.353
70	4914	75.16900000000001
71	868	74.973
72	5829	74.571
73	5771	73.84
74	6461	73.2745
75	27	73.0775
76	5795	73.06949999999999
77	29760	72.1735
78	6452	72.056
79	7852	70.43350000000001
80	10006	70.27250000000001
81	4690	70.2715
82	3635	69.8555
83	2066	69.296
84	6655	68.47200000000001
85	10657	68.3635
86	7006	67.9665
87	5296	66.159
88	2887	65.3575
89	3702	64.966
90	3791	64.75399999999999
91	10278	63.26800000000001
92	1436	61.955
93	695	61.763999999999996
94	50807	60.765499999999996
95	7454	60.665
96	7226	59.7995
97	2321	59.5535
98	7225	59.499
99	7222	59.1985
100	57113	58.898
101	7220	58.597500000000004
102	5800	58.564499999999995
103	5578	58.311
104	7223	58.297000000000004
105	100124696	58.25699999999999
106	7224	57.996500000000005
107	4599	57.696000000000005
108	7525	57.45450000000001
109	3708	57.395500000000006
110	7221	56.895
111	9456	56.79449999999999
112	9454	56.694
113	84876	56.19349999999999
114	2911	55.793000000000006
115	5787	55.5625
116	2767	55.49249999999999
117	2195	55.492
118	3709	54.7915
119	5592	54.5895
120	55024	54.491
121	660	54.352
122	10335	54.289
123	1441	54.246
124	5793	53.862
125	6261	53.39
126	9455	53.0905
127	2280	52.7885
128	7410	52.647000000000006
129	387	52.586
130	5979	52.549
131	6262	52.4875
132	6263	52.187
133	116986	51.888
134	10818	51.45
135	9402	50.3505
136	55715	50.248000000000005
137	3575	48.4295
138	5595	48.048500000000004
139	2268	47.9495
140	9743	46.339
141	2213	46.2475
142	26191	44.7455
143	930	42.844
144	2260	41.845
145	5594	41.5445
146	5796	41.5415
147	25970	40.8435
148	238	40.640499999999996
149	2242	40.542
150	5175	40.4425
151	4582	40.041
152	30011	39.4465
153	7462	38.738
154	5579	38.705
155	919	38.636
156	5581	38.5075
157	933	37.8365
158	4739	37.6375
159	5590	36.706
160	3566	35.9245
161	2886	35.737
162	5588	35.204
163	1499	34.2395
164	5566	34.0625
165	10750	33.834500000000006
166	10019	33.834
167	1000	33.2385
168	5568	32.561
169	3269	32.560500000000005
170	8440	32.435500000000005
171	558	32.235
172	5567	32.160000000000004
173	156	32.0705
174	9590	31.1595
175	2890	30.952499999999997
176	23607	30.933
177	2776	30.8855
178	5576	30.858500000000003
179	154	30.764499999999998
180	6915	30.668
181	6011	30.565499999999997
182	4160	30.363999999999997
183	2893	30.1505
184	9495	30.057499999999997
185	54866	29.856
186	5577	29.756999999999998
187	2560	29.7555
188	56955	29.232
189	58512	29.2315
190	3636	28.732499999999998
191	1080	28.634500000000003
192	128853	28.331
193	2209	28.019
194	5243	27.955000000000002
195	2705	27.553999999999995
196	83747	27.5305
197	5734	26.951
198	53358	26.8285
199	119	26.549500000000002
200	4915	26.327499999999997
201	5170	26.319499999999998
202	118	26.0485
203	4486	25.93
204	3150	25.849
205	5582	25.645999999999997
206	9421	25.3465
207	2769	24.9685
208	8503	24.8215
209	2915	24.747
210	4985	24.7455
211	3561	24.425
212	3315	24.235
213	2673	23.945
214	5583	23.944499999999998
215	1601	23.907999999999998
216	5584	23.843
217	27071	23.828
218	2904	23.8095
219	5894	23.707
220	6503	23.628999999999998
221	624	23.3535
222	7137	23.2435
223	4900	23.2425
224	150	23.241500000000002
225	4842	23.052
226	8853	23.023
