rank	node	rank_score
1	56623	177.3
2	7161	169.2935
3	64779	156.69850000000002
4	79841	151.197
5	404663	135.698
6	60487	132.3955
7	4194	130.692
8	56704	128.3915
9	4193	121.38499999999999
10	2033	121.189
11	9271	120.893
12	1616	113.39500000000001
13	5371	113.3875
14	672	109.85499999999999
15	1499	109.39949999999999
16	367	108.7865
17	4088	107.69000000000001
18	3065	106.37899999999999
19	5925	104.9625
20	6667	101.7855
21	1387	101.587
22	28996	101.188
23	3725	99.4795
24	231	98.596
25	2099	97.4755
26	10848	97.1895
27	8312	97.099
28	4609	96.55550000000001
29	10327	95.7945
30	5970	95.567
31	128	94.6885
32	5325	94.5845
33	2908	88.66900000000001
34	6597	87.3665
35	4087	85.7585
36	8202	84.9745
37	861	82.681
38	8850	82.3835
39	7155	78.103
40	1051	77.3715
41	9611	77.171
42	1029	76.686
43	4089	75.8725
44	5525	75.694
45	6996	75.586
46	8841	75.3685
47	6599	74.4545
48	2622	73.7895
49	3066	73.65950000000001
50	1050	73.649
51	9612	72.4675
52	602	71.074
53	6774	69.2635
54	1017	69.012
55	7421	68.954
56	25942	68.8655
57	7316	68.7695
58	8648	67.272
59	23054	67.0605
60	6908	66.2615
61	6601	66.25750000000001
62	3621	66.04249999999999
63	8131	65.4905
64	1457	64.928
65	3091	64.3785
66	5594	63.94199999999999
67	10499	61.777499999999996
68	6595	61.3505
69	6598	60.8535
70	5928	60.647000000000006
71	51592	59.0265
72	6602	57.945499999999996
73	1958	57.577
74	4790	57.263
75	5931	56.150999999999996
76	7341	55.9825
77	6603	55.848
78	8574	55.495000000000005
79	57492	55.241499999999995
80	6256	55.1645
81	2959	54.9495
82	6872	54.044000000000004
83	8945	53.7875
84	8289	53.645
85	8819	52.6465
86	6605	51.2405
87	3172	51.175
88	23093	50.2895
89	51742	50.2435
90	6604	49.946
91	7050	48.773
92	4297	47.638999999999996
93	9219	47.038
94	5914	46.87
95	6880	46.7445
96	3622	46.376
97	4435	46.1765
98	86	46.1345
99	8189	45.239999999999995
100	53615	44.241
101	133746	43.683
102	10284	43.5385
103	1107	43.4365
104	6878	43.2475
105	1108	43.0335
106	54760	43.0255
107	1024	42.9325
108	2353	42.8315
109	5929	42.3485
110	9325	42.170500000000004
111	2962	41.736000000000004
112	1020	41.4655
113	8932	41.2355
114	9412	41.2275
115	5977	41.0295
116	5468	40.96
117	5926	40.919
118	5595	40.815999999999995
119	53981	40.5395
120	5430	40.025
121	983	39.8995
122	1718	39.5
123	9133	39.499
124	6883	39.343
125	57459	39.1305
126	10589	38.623000000000005
127	11091	38.435
128	64321	38.2975
129	6497	38.164
130	1869	37.8295
131	91768	37.7975
132	23028	37.6375
133	79366	37.393
134	5111	36.888
135	1026	36.790499999999994
136	995	36.69
137	1111	36.5925
138	1022	36.5025
139	891	36.4875
140	65061	36.391
141	10498	36.25
142	8467	36.233
143	5901	35.932
144	64426	35.6195
145	892	35.534000000000006
146	7067	35.464999999999996
147	328	35.46
148	4654	35.403499999999994
149	890	35.3865
150	2960	35.224000000000004
151	6117	34.984500000000004
152	5426	34.98350000000001
153	25855	34.621500000000005
154	5425	34.382
155	142	34.283
156	2965	34.222
157	60	34.221
158	5422	33.987
159	3978	33.786
160	7068	33.6025
161	5424	33.4825
162	23649	33.4805
163	5981	33.385000000000005
164	5557	33.2815
165	6119	32.775999999999996
166	7374	32.685500000000005
167	3320	32.6205
168	10714	32.58
169	9343	32.429
170	5982	32.275
171	5558	32.07899999999999
172	3308	31.915999999999997
173	57804	31.678499999999996
174	7150	31.577999999999996
175	56655	31.377499999999998
176	6118	31.3745
177	641	31.366999999999997
178	54107	31.076999999999998
179	7153	30.679499999999997
180	5427	30.5765
181	2932	30.276999999999997
182	163732	29.962
183	5984	29.871500000000005
184	5884	29.3755
185	5983	29.074
186	79595	28.814999999999998
187	5985	28.573500000000003
188	2956	28.464499999999997
189	472	28.463
190	4436	28.461000000000002
191	5451	28.351499999999998
192	23309	28.2235
193	3364	28.0725
194	4292	28.058000000000003
195	163126	27.952999999999996
196	5810	27.567500000000003
197	5883	27.47
198	5566	27.0985
199	2237	27.064999999999998
200	10111	27.0625
201	11073	26.857499999999998
202	10401	26.458000000000006
203	5395	26.4495
204	7520	26.2705
205	4361	26.258499999999998
206	4801	26.184000000000005
207	221079	25.9805
208	22944	25.768
209	4683	25.7605
210	7486	25.4635
211	144715	25.208
212	545	25.1595
213	3297	25.107499999999998
214	55655	25.056
215	83990	24.8205
216	580	24.552500000000002
217	9656	24.154500000000002
218	81620	23.928
219	3312	23.9225
220	23186	23.9175
221	63922	23.872
222	54921	23.773000000000003
223	2071	23.6165
224	11200	23.554000000000002
225	8473	23.5105
226	9739	23.417
227	2177	23.349
228	196	23.259
229	7014	23.256999999999998
230	1487	23.23
231	5591	22.163999999999998
232	64421	22.0535
233	6304	21.931
234	7158	21.7505
235	3054	21.714499999999997
236	571	21.5405
237	7515	21.4615
238	2547	21.3565
239	63967	21.338
240	1025	21.305500000000002
241	9070	21.218
242	54815	21.2015
243	5469	20.9065
244	405	20.766
245	3981	20.4515
246	3014	20.153
247	200558	20.1455
248	7044	20.101
249	2967	20.003999999999998
250	5932	19.95
251	1104	19.7965
252	7080	19.759999999999998
253	7704	19.668
254	79075	19.555
255	8243	19.5475
256	85509	19.326999999999998
257	56242	19.2925
258	1454	19.287
259	5429	19.270999999999997
260	2931	19.197
261	1019	19.166500000000003
262	54386	19.0255
263	55631	18.9965
264	6652	18.9945
265	324	18.984
266	993	18.833000000000002
267	4204	18.752
268	55904	18.698
269	5527	18.682
270	55193	18.607999999999997
271	5888	18.547
272	7750	18.1185
273	392510	17.991
274	1801	17.8865
275	7518	17.831
276	9557	17.648500000000002
277	7319	17.5955
278	6615	17.4855
279	51341	17.3565
280	196528	17.202
281	5599	16.709
282	2308	16.5875
283	5947	16.159
284	990	16.124000000000002
285	5933	16.0605
286	8900	15.912
287	25	15.641
288	51412	15.61
289	5241	15.504000000000001
290	1386	15.465
291	2969	15.312999999999999
292	9112	15.219999999999999
293	7013	15.123500000000002
294	9314	14.956999999999999
295	4176	14.601499999999998
296	92797	14.570500000000001
297	2178	14.444999999999999
298	9031	14.335500000000001
299	573	14.303
300	1459	14.237
301	10370	14.1525
302	79840	14.136000000000001
303	675	14.0445
304	8290	13.506
305	3980	13.432999999999998
306	55775	13.3465
307	10309	12.959
308	6656	12.937000000000001
309	4171	12.9195
310	94241	12.5735
311	1877	12.5425
312	135458	12.0465
313	1021	11.739
314	7528	11.628499999999999
315	5934	11.628499999999999
316	9203	11.612
317	55636	11.4095
318	9877	10.8885
319	1460	10.651
320	8204	10.461
321	10474	10.3045
322	6613	10.148
323	29028	10.0115
324	4437	9.8515
325	26277	9.812999999999999
326	5927	9.6075
327	51317	9.411
328	8031	9.0045
329	399511	8.824000000000002
330	4999	8.7395
331	5378	8.4405
332	2287	8.4115
333	4998	8.3375
334	11177	8.314
335	151568	7.956
336	22909	7.720999999999999
337	6714	7.6530000000000005
338	1263	7.516500000000001
339	3164	7.5055000000000005
340	51343	7.327500000000001
341	4332	7.3075
342	4173	7.301
343	4298	7.225999999999999
344	1027	7.218999999999999
345	64324	7.2125
346	5757	7.1375
347	51720	6.946
348	57504	6.8155
349	8317	6.814
350	3360	6.705
351	7314	6.625
352	7156	6.5344999999999995
353	23199	6.507
354	4172	6.4079999999999995
355	8295	6.0085
356	10926	5.903499999999999
357	5965	5.718500000000001
358	4869	5.632
359	7088	5.521
360	8431	5.5095
361	84152	5.4365000000000006
362	4255	5.378
363	5001	5.1025
364	11198	5.0265
365	5000	5.0055
366	23594	4.902
367	3516	4.7005
368	10485	4.6245
369	4175	4.606
370	4605	4.413
371	898	3.9219999999999997
372	2189	3.7119999999999997
373	283078	3.6174999999999997
