rank	node	rank_score
1	5108	180.1
2	5076	179.1995
3	10211	177.999
4	150274	177.69850000000002
5	95	176.498
6	29109	175.4975
7	229	174.397
8	635	173.8965
9	23265	173.196
10	2034	171.895
11	3875	171.19549999999998
12	149371	170.1945
13	796	169.19400000000002
14	55770	168.2935
15	11336	167.393
16	54536	166.4925
17	55763	165.592
18	60412	164.6915
19	10640	163.791
20	5898	162.8905
21	4735	161.99
22	989	161.0895
23	5413	160.189
24	55752	159.2885
25	23176	158.388
26	10801	157.4875
27	23157	156.587
28	151011	155.6865
29	346288	154.48600000000002
30	1731	153.5855
31	5414	152.685
32	6275	152.68400000000003
33	10602	151.4845
34	10435	150.2835
35	23433	149.38299999999998
36	10049	115.58250000000001
37	2904	85.701
38	3265	76.0805
39	2889	75.05699999999999
40	5899	65.68199999999999
41	1741	65.3815
42	266747	65.28150000000001
43	491	64.981
44	5995	64.78099999999999
45	493	64.5805
46	7265	64.17999999999999
47	1742	64.17999999999999
48	8678	63.977999999999994
49	1739	63.1785
50	1740	62.9775
51	22866	62.278
52	5906	62.076
53	9419	61.876
54	8825	61.677
55	115727	61.6755
56	6237	61.4695
57	3768	61.2765
58	54922	61.275
59	27165	60.7755
60	83593	60.0735
61	8573	59.775
62	10369	59.471500000000006
63	3761	59.3745
64	9770	59.271
65	3759	58.974000000000004
66	5910	58.6745
67	64130	58.5735
68	5900	57.86900000000001
69	3739	57.773
70	3845	57.772000000000006
71	10207	57.471000000000004
72	2903	57.170500000000004
73	5912	57.166
74	5911	57.067499999999995
75	22808	56.8685
76	5863	56.576499999999996
77	9771	56.5665
78	8036	56.2715
79	9229	56.269499999999994
80	4301	56.26800000000001
81	4893	56.173
82	6331	55.867
83	85461	55.769000000000005
84	10235	55.6725
85	5894	55.67
86	2905	55.2675
87	51735	55.2645
88	8831	55.07950000000001
89	22800	54.967
90	22839	54.879
91	320	54.7725
92	55327	54.372
93	57555	54.065999999999995
94	9610	53.8655
95	596	53.770500000000006
96	2902	53.470000000000006
97	2898	53.461
98	10411	53.064
99	6329	52.964999999999996
100	6640	52.765499999999996
101	5071	52.5635
102	2342	52.3635
103	23095	52.2645
104	2339	51.963
105	5290	51.665
106	54910	51.560500000000005
107	19	51.464
108	815	51.268499999999996
109	5998	51.062
110	2633	50.8615
111	116443	50.7665
112	6300	50.5625
113	6641	50.463
114	11069	50.462
115	6014	49.561
116	9615	49.1575
117	2906	49.068
118	369	49.059000000000005
119	673	48.658500000000004
120	5909	48.058
121	84196	47.756
122	6645	47.557
123	116444	47.4615
124	9693	46.8555
125	5908	46.7565
126	1756	46.756
127	221527	46.3575
128	1837	46.255
129	7402	46.1545
130	3603	45.96
131	3766	45.5595
132	3738	45.159000000000006
133	88	44.954
134	58473	44.874
135	3736	44.7585
136	2066	44.7565
137	3737	44.358
138	57554	43.452999999999996
139	1821	43.4525
140	3741	43.153499999999994
141	58512	43.0555
142	5218	42.653499999999994
143	3358	42.552
144	54413	42.538
145	22871	40.239
146	8777	40.0515
147	9379	40.0385
148	6714	39.403
149	154796	39.251
150	9369	39.2375
151	85358	39.048500000000004
152	9228	38.648
153	54221	38.5505
154	1838	38.35
155	9378	38.337
156	22941	38.1475
157	54212	37.8495
158	90	37.6625
159	90627	37.647000000000006
160	146	37.449
161	7531	37.355000000000004
162	23551	36.560500000000005
163	4842	36.246500000000005
164	140735	35.046
165	8655	34.445499999999996
166	572	34.3545
167	4644	34.245
168	64398	34.044
169	10971	33.854
170	90427	33.7445
171	143098	33.6435
172	5923	33.352999999999994
173	154810	33.243
174	7533	33.052499999999995
175	55114	32.8425
176	994	32.549
177	7529	32.452
178	51421	32.442
179	60598	32.0515
180	832	32.041
181	51305	31.651
182	830	31.6415
183	85021	31.579499999999996
184	613	31.5345
185	9185	31.378999999999998
186	28954	31.3505
187	7534	31.35
188	23607	31.240499999999997
189	10928	31.178499999999996
190	55333	30.9775
191	79853	30.894
192	3777	30.8495
193	829	30.839999999999996
194	92	30.776999999999997
195	5080	30.735000000000003
196	53616	30.5485
197	30011	30.4395
198	6543	30.248
199	8660	29.9475
200	7249	29.5435
201	2810	29.447000000000003
202	9101	29.346500000000002
203	7532	28.5445
204	23313	28.244
205	23677	28.145999999999997
206	1398	28.133
207	2534	28.032
208	8496	27.845
209	4140	27.7425
210	2185	27.6325
211	51307	27.443
212	10749	27.442
213	1605	26.9315
214	5295	26.531
215	10298	26.1415
216	2011	26.0385
217	7352	25.940999999999995
218	9743	25.830000000000002
219	9181	25.738999999999997
220	4139	25.738
221	57530	25.639499999999998
222	50807	25.329500000000003
223	10260	24.740000000000002
224	867	24.628999999999998
225	51599	24.3405
226	3799	24.337
227	9564	24.22
228	64837	23.936500000000002
229	55103	23.7375
230	4690	23.426499999999997
231	55095	23.236
232	23367	23.033499999999997
233	80831	23.025
234	26031	22.9355
235	25	22.7255
236	8525	22.634
237	9414	22.235
238	3667	22.034
239	56955	22.0275
240	57716	21.824
241	128853	21.627000000000002
242	3831	21.331
243	5335	21.3285
244	8506	21.3185
245	8853	21.1305
246	83747	21.026
247	7248	20.732
248	10278	20.5195
249	147700	19.93
250	57787	19.928
251	3796	19.8325
252	3800	19.8305
253	64714	19.8245
254	2885	19.7235
255	5584	19.5275
256	3798	19.2295
257	84552	19.226999999999997
258	50855	18.926499999999997
259	2151	18.822499999999998
260	84612	18.625999999999998
261	445815	18.423
262	56288	18.2255
263	5590	18.125
264	6655	18.119
265	9784	18.0215
266	9749	17.422
267	1795	17.321
268	3993	17.1235
269	6794	17.1225
270	4194	16.933
271	3996	16.6245
272	9793	16.4175
273	10238	16.224
274	29998	15.617
275	23077	15.3315
276	2137	15.128
277	9472	15.116499999999998
278	27	14.818000000000001
279	4486	14.345499999999998
280	4217	14.121
281	5058	13.713
282	5604	13.519499999999999
283	6654	13.5155
284	10000	13.3215
285	207	13.017500000000002
286	9891	12.922
287	998	12.8115
288	4008	12.3105
289	23179	11.9595
290	208	11.8165
291	5217	11.754999999999999
292	5582	11.605500000000001
293	2309	11.416
294	5170	11.317
295	80153	11.1155
296	4043	10.959999999999999
297	10006	10.815999999999999
298	5208	10.815000000000001
299	79890	10.517
300	1399	10.5145
301	150094	10.3205
302	9493	10.3185
303	2887	10.214500000000001
304	581	9.914
305	29760	9.814
306	11184	9.813500000000001
307	7465	9.8125
308	23162	9.519
309	3055	9.512
310	868	9.413
311	10746	9.32
312	6464	9.0125
313	10413	8.913499999999999
314	2065	8.811499999999999
315	5587	8.406
316	5879	8.312000000000001
317	5921	8.311
318	3815	7.710500000000001
319	9118	7.2345
320	81875	6.918000000000001
321	3480	6.906999999999999
322	7074	6.805
323	4067	6.709999999999999
324	5770	6.403499999999999
325	1000	6.231
326	8470	6.2155000000000005
327	5580	6.1045
328	9846	6.009
329	6850	5.8085
330	1027	5.711
331	85440	5.5275
332	8682	5.404
333	200186	5.2235
334	3937	5.208
335	5530	5.1165
336	3643	4.702
337	7409	4.6075
338	3304	4.518
339	7535	4.407
340	1796	4.4055
341	55824	4.0065
342	5747	3.904
343	6199	3.9025
344	5777	3.806
345	2811	3.5284999999999997
346	5578	3.5004999999999997
347	4007	3.4174999999999995
348	11217	3.316
349	9826	3.0164999999999997
350	2064	2.705
351	2048	2.6149999999999998
352	2781	2.4095
353	5781	2.4045
354	1956	2.2030000000000003
355	5159	2.1035
356	5588	2.0105
357	5581	1.8125
358	23164	1.81
359	5066	1.7114999999999998
360	5341	1.6030000000000002
361	5336	1.5025
362	4900	1.309
363	6624	1.214
364	4296	1.1085
365	5579	1.1075
366	3717	1.1019999999999999
367	120	1.008
368	55561	1.0074999999999998
369	84335	0.9095000000000001
370	65108	0.905
371	3315	0.8109999999999999
372	2475	0.8089999999999999
373	5583	0.706
374	3932	0.701
375	5734	0.6045
376	433	0.504
377	2057	0.5015
378	6452	0.40049999999999997
379	2560	0.307
380	27040	0.20049999999999998
381	150	0.1065
382	5729	0.0745
383	1373	0.05500000000000001
384	3626	0.05450000000000001
385	93	0.054000000000000006
386	3625	0.053500000000000006
387	3624	0.053000000000000005
388	91	0.052500000000000005
389	3547	0.052000000000000005
390	2022	0.051500000000000004
391	655	0.051000000000000004
392	3623	0.0505
393	7049	0.05
394	130399	0.0495
395	7046	0.049
396	10220	0.0485
397	658	0.048
398	8200	0.0475
399	28512	0.047
400	29984	0.0465
401	650	0.0455
402	25884	0.045
403	659	0.0445
404	654	0.044
405	657	0.0435
406	652	0.043
407	25928	0.042499999999999996
408	168667	0.041999999999999996
409	9392	0.041499999999999995
410	94	0.040999999999999995
411	7040	0.0405
