rank	node	rank_score
1	57099	159.794
2	672	144.488
3	10090	138.9
4	7157	132.67950000000002
5	5591	129.39749999999998
6	2177	125.6855
7	1017	121.97550000000001
8	2547	118.89949999999999
9	983	115.55799999999999
10	81627	112.75699999999999
11	7486	106.9885
12	1026	103.74600000000001
13	5925	99.8535
14	7520	98.799
15	10994	97.798
16	3981	97.6965
17	5981	97.3815
18	2033	97.377
19	79840	96.0955
20	1111	95.88
21	4683	95.696
22	7518	95.5945
23	3221	94.197
24	142	93.887
25	4361	92.99249999999999
26	10111	92.7935
27	5501	92.325
28	545	92.189
29	1457	92.04650000000001
30	64421	91.893
31	3014	91.78999999999999
32	200558	90.89500000000001
33	5499	90.55199999999999
34	55655	90.2915
35	9656	89.2905
36	2099	88.71849999999999
37	641	87.8875
38	5982	87.886
39	891	87.2645
40	7014	86.7895
41	2956	86.184
42	4436	85.583
43	54386	84.892
44	5984	83.2775
45	4292	82.7805
46	7013	82.6845
47	1019	81.74249999999999
48	26277	81.491
49	580	81.4825
50	890	80.86749999999999
51	11073	80.68199999999999
52	6118	80.57849999999999
53	11277	79.681
54	9557	79.5835
55	595	79.539
56	6117	79.476
57	1387	78.05499999999999
58	5111	77.9735
59	25913	77.2865
60	65057	77.185
61	571	77.079
62	1869	76.65
63	3725	76.33500000000001
64	5426	76.071
65	367	75.1335
66	5932	75.0615
67	3065	74.4485
68	1021	74.227
69	5884	73.15650000000001
70	6119	72.86949999999999
71	5424	72.767
72	5422	72.27000000000001
73	7515	71.069
74	7150	70.768
75	3978	70.06649999999999
76	1022	69.833
77	6667	68.5125
78	55775	68.3585
79	83990	68.1765
80	7153	67.9625
81	1020	67.8395
82	10714	66.76599999999999
83	6613	66.7495
84	2178	66.3705
85	25	66.0505
86	5395	65.973
87	5888	65.875
88	23649	65.6635
89	1050	65.315
90	5883	65.264
91	5557	65.163
92	5425	65.061
93	5983	64.85900000000001
94	4437	64.774
95	7156	64.0435
96	56655	63.9605
97	7155	63.362
98	5558	63.165499999999994
99	1051	62.6075
100	57804	62.364999999999995
101	7158	62.0745
102	54107	62.06
103	1027	61.91949999999999
104	5427	61.459500000000006
105	1025	60.734
106	5934	60.6235
107	5985	59.55550000000001
108	6597	58.605500000000006
109	5504	58.599000000000004
110	91768	58.5145
111	11200	58.455999999999996
112	5378	58.22950000000001
113	5371	58.209500000000006
114	79690	57.8985
115	23054	57.516
116	3980	57.04449999999999
117	4193	56.5355
118	3364	55.653999999999996
119	5810	55.052499999999995
120	10485	54.43150000000001
121	2176	54.036500000000004
122	63967	53.471500000000006
123	80010	53.436
124	2932	53.089999999999996
125	2188	53.032
126	84152	53.0265
127	1386	53.0015
128	4088	52.910000000000004
129	2175	52.234500000000004
130	10524	52.1475
131	5970	52.11749999999999
132	2237	51.952999999999996
133	2189	51.838499999999996
134	1459	51.813
135	4999	51.64149999999999
136	22909	50.739999999999995
137	5965	50.5375
138	6241	49.8285
139	55120	49.227999999999994
140	675	48.6725
141	5594	48.0755
142	2187	47.9325
143	57697	47.826
144	9156	47.472
145	4194	47.340999999999994
146	896	46.308499999999995
147	7374	46.12
148	207	45.925
149	10763	45.912
150	5595	45.662
151	3925	44.071
152	328	44.0455
153	6598	43.9935
154	22944	43.548
155	7507	42.449
156	6714	42.4105
157	63922	42.2545
158	79035	41.347
159	990	41.043
160	8243	40.2685
161	5500	38.697500000000005
162	23645	38.49550000000001
163	4654	38.306
164	5933	38.1275
165	898	37.9215
166	84687	37.69199999999999
167	23189	37.596500000000006
168	861	37.2035
169	153743	37.096000000000004
170	81566	36.6945
171	3066	36.620999999999995
172	11215	35.894
173	4332	35.6005
174	29935	35.457499999999996
175	378708	35.224000000000004
176	4869	35.223
177	9252	34.955
178	995	34.142
179	81620	33.531
180	4087	33.403
181	4137	33.166999999999994
182	1432	31.953999999999997
183	1029	31.924500000000002
184	5599	31.152499999999996
185	5451	31.118000000000002
186	1385	30.884000000000004
187	894	30.613999999999997
188	2908	30.569499999999998
189	6196	29.921
190	8900	29.8165
191	3297	29.441499999999998
192	51343	29.330000000000002
193	3320	29.226999999999997
