rank	node	rank_score
1	3593	179.8995
2	3594	178.999
3	6688	178.5
4	51561	177.19850000000002
5	149233	176.298
6	9636	174.197
7	3662	173.2965
8	4841	153.8985
9	3659	153.496
10	6775	152.69549999999998
11	10379	151.79500000000002
12	3439	149.09449999999998
13	5970	118.99000000000001
14	6778	109.99249999999999
15	3559	108.992
16	6774	107.9915
17	3717	106.293
18	3459	106.1935
19	6772	106.09099999999998
20	6773	105.58899999999998
21	3718	103.8885
22	3716	103.58800000000001
23	6776	103.4865
24	3560	102.1875
25	6777	102.187
26	7852	100.886
27	1234	100.88550000000001
28	5771	99.0835
29	55250	98.285
30	2690	97.283
31	9021	96.67699999999999
32	3454	96.2805
33	5781	96.1825
34	8651	96.084
35	5777	95.78150000000001
36	7297	95.58099999999999
37	5159	95.082
38	3572	92.77799999999999
39	3566	92.2745
40	8660	92.0765
41	5156	90.679
42	3643	90.6775
43	6464	90.576
44	3667	90.4755
45	5295	89.8785
46	3480	88.475
47	5788	87.17949999999999
48	5747	86.9735
49	1399	86.473
50	2057	86.374
51	5770	85.0725
52	2185	84.271
53	867	84.17150000000001
54	1956	83.2705
55	1398	82.97200000000001
56	2064	81.37
57	7409	81.36949999999999
58	6850	81.269
59	5296	79.76849999999999
60	2065	79.168
61	6714	78.364
62	2885	78.162
63	3815	77.6665
64	5921	76.66499999999999
65	10603	76.46549999999999
66	4067	76.167
67	3932	74.0675
68	2534	73.7645
69	5335	73.7635
70	1439	73.466
71	613	73.463
72	9846	72.4625
73	7535	71.4615
74	3660	70.5895
75	6654	69.661
76	55824	68.4565
77	3937	67.65599999999999
78	4914	67.36
79	3055	66.55850000000001
80	6461	66.5515
81	1436	66.0605
82	25	65.958
83	3455	65.88
84	5336	65.1555
85	9564	64.9595
86	2889	64.759
87	1796	64.3575
88	27040	64.0525
89	27	63.85699999999999
90	2549	63.355
91	1445	62.8535
92	11184	62.351
93	5829	61.45399999999999
94	3635	60.85450000000001
95	10657	60.2495
96	5795	60.153
97	2066	59.64549999999999
98	4233	58.652
99	5782	57.6505
100	7006	57.25
101	8835	56.567499999999995
102	29760	55.5475
103	10451	55.24249999999999
104	10006	55.049
105	868	54.547000000000004
106	3702	54.248000000000005
107	2887	53.8485
108	4690	52.54600000000001
109	10278	51.845000000000006
110	6452	51.64200000000001
111	695	50.9465
112	6655	50.044
113	7454	48.8415
114	3791	48.2445
115	100124696	47.741
116	2321	47.5435
117	7525	47.143
118	50807	46.7395
119	5800	46.54
120	3575	45.7845
121	660	45.7405
122	3561	44.9225
123	2242	44.036500000000004
124	5787	43.4375
125	9402	43.138999999999996
126	10818	43.0385
127	5793	42.137
128	5979	40.535000000000004
129	7010	39.636
130	7410	39.5355
131	5595	39.4335
132	1051	38.897000000000006
133	6348	38.6965
134	388372	38.496
135	55715	38.234500000000004
136	2268	37.938
137	857	37.432
138	2213	37.233
139	5594	36.9325
140	5175	36.434000000000005
141	1387	35.491499999999995
142	26191	35.43
143	25970	35.0315
144	930	34.331
145	2260	34.0265
146	5580	33.629
147	1441	32.9305
148	4582	32.128499999999995
149	558	31.523500000000002
150	5796	31.1295
151	7462	30.727999999999998
152	933	30.2275
153	2033	28.6855
154	1499	28.424500000000002
155	4739	28.326999999999998
156	30011	27.925
157	9743	27.424
158	5971	27.252499999999998
159	4486	27.026
160	2969	26.984
161	1000	26.221500000000002
162	10750	25.6255
163	8440	25.122999999999998
164	919	23.622
165	238	23.4195
166	2886	22.219
167	58512	21.9185
168	10019	21.8205
169	23607	21.72
170	356	20.521
171	56955	20.218
172	2099	19.502
173	639	18.894
174	222643	18.79
175	3065	18.787
176	10068	18.693
177	4204	18.688
178	6352	18.592
179	25942	18.5895
180	3636	18.5165
181	128853	18.317500000000003
182	1052	18.291
183	168544	18.0905
184	3066	18.0875
185	23309	17.788999999999998
186	3661	17.689500000000002
187	6667	17.616999999999997
188	3308	17.5215
189	9739	17.438
190	83747	17.417
191	64426	17.342
192	8819	17.272
193	8473	17.1185
194	3665	17.0905
195	3054	17.022
196	8850	16.9865
197	9070	16.921
198	5931	16.8805
199	3456	16.7885
200	11091	16.765
201	5928	16.68
202	3309	16.569499999999998
203	53358	16.515
204	3320	16.4645
205	3326	16.363
206	3312	16.264
207	25855	16.142500000000002
208	1230	16.082
209	5926	16.0195
210	3622	15.919
211	84312	15.820500000000001
212	79595	15.719999999999999
213	51742	15.6595
214	8853	15.613
215	5947	15.522499999999999
216	8841	15.418000000000001
217	3621	15.358
218	4915	15.313999999999998
219	6599	15.267
220	6598	15.169
221	6601	15.071000000000002
222	10284	14.9665
223	6597	14.862
224	8289	14.7625
225	53615	14.6785
226	1108	14.5885
227	9219	14.482
228	5929	14.368500000000001
229	4297	14.27
230	27071	14.216
231	8189	14.1705
232	23028	14.0815
233	6595	13.966
234	53981	13.869499999999999
235	6880	13.764500000000002
236	6878	13.668000000000001
237	6883	13.5675
238	6872	13.4655
239	1107	13.381
240	8467	13.272499999999999
241	940	13.214499999999997
242	6503	13.2135
243	5901	13.163499999999999
244	6908	13.063999999999998
245	9343	12.963
246	8503	12.91
247	8932	12.879
248	86	12.7605
249	5977	12.6615
250	6603	12.561
251	57459	12.4755
252	6602	12.359
253	6605	12.26
254	23186	12.186
255	6604	12.058499999999999
256	60	11.9575
257	7155	11.8545
258	9112	11.785
259	85509	11.6795
260	9203	11.5865
261	51317	11.4855
262	55193	11.357
263	23199	11.2845
264	7750	11.083499999999999
265	80831	11.011
266	3360	10.9825
267	10362	10.883
268	57504	10.778
269	2533	10.6095
270	196528	10.556000000000001
271	55636	10.4555
272	51412	10.3565
273	54815	10.2775
274	10735	10.176
275	57492	10.055
276	11177	9.975
277	974	9.9105
278	10274	9.874500000000001
279	5885	9.774
280	9031	9.654
281	4298	9.5535
282	7275	9.511500000000002
283	7044	9.453
284	640	9.309000000000001
285	8243	9.2735
286	5170	9.2155
287	9126	9.173
288	672	8.8515
289	9103	8.8085
290	2959	8.751999999999999
291	367	8.616
292	1487	8.5765
293	5925	8.4175
294	54760	8.0505
295	5338	8.004
296	1024	7.9495000000000005
297	2962	7.7485
298	10399	7.7125
299	8471	7.712000000000001
300	892	7.647499999999999
301	916	7.608
302	9412	7.548
303	10589	7.45
304	2960	7.351000000000001
305	6004	7.3069999999999995
306	2965	7.249
307	23624	7.2035
308	5430	7.147
309	50852	7.1075
310	7421	7.043000000000001
311	2967	6.946
312	11198	6.7435
313	7157	6.615
314	2071	6.545
315	1795	6.406499999999999
316	3020	6.343999999999999
317	10498	6.2145
318	1022	6.025
319	1025	5.9005
320	6304	5.7375
321	7764	5.377000000000001
322	3303	5.2705
323	112885	5.14
324	27240	5.005
325	2209	4.806
326	6613	4.441
327	55758	4.3405000000000005
328	25759	4.3055
329	1969	4.3025
330	6239	4.2395000000000005
331	8535	4.1025
332	3690	3.3045
333	9046	3.102
334	10036	3.0415
335	10320	2.994
336	8295	2.839
337	10363	2.7385
338	2068	2.436
339	2961	2.3355
340	4331	2.2235
341	2966	2.1350000000000002
342	902	2.024
343	5578	2.008
344	2968	1.9315000000000002
345	5439	1.8370000000000002
346	5440	1.7365
347	973	1.7015
348	5438	1.6344999999999998
349	5431	1.5325
350	5435	1.434
351	5433	1.333
352	5436	1.232
353	5432	1.1335000000000002
354	5437	1.0310000000000001
355	5434	0.93
356	64714	0.9035
357	5441	0.8305
358	921	0.8015000000000001
359	2963	0.7295
360	85358	0.7045
361	26015	0.629
362	9150	0.5285
363	399511	0.4255
364	58480	0.40549999999999997
365	8751	0.40099999999999997
366	404672	0.323
367	6917	0.2245
368	5590	0.20350000000000001
369	2048	0.10300000000000001
370	9229	0.10149999999999999
371	148423	0.0975
372	3553	0.0945
373	63946	0.094
374	5892	0.0935
375	7516	0.093
376	3460	0.093
377	5889	0.0925
378	170622	0.0925
379	1232	0.092
380	7517	0.092
381	22984	0.092
382	604	0.092
383	5888	0.0915
384	54939	0.0915
385	51341	0.0915
386	64376	0.091
387	149951	0.091
388	64800	0.091
389	3569	0.0905
390	22807	0.0905
391	150684	0.0905
392	9611	0.0905
393	64375	0.09
394	28991	0.09
395	8820	0.0895
396	51122	0.089
397	9612	0.089
398	54951	0.0885
399	51397	0.088
400	23412	0.0875
401	3159	0.087
402	4435	0.087
403	29099	0.087
404	163732	0.0865
405	4791	0.0865
406	2734	0.086
407	10370	0.08549999999999999
408	55922	0.08549999999999999
409	220717	0.08499999999999999
410	1831	0.08449999999999999
411	3663	0.08399999999999999
412	4793	0.08399999999999999
413	4792	0.08349999999999999
414	92609	0.08299999999999999
415	4794	0.08249999999999999
416	113457	0.08199999999999999
417	3305	0.08149999999999999
418	1326	0.081
419	5966	0.0805
420	7278	0.08
421	1147	0.0795
422	8517	0.0785
423	3839	0.078
424	10382	0.0775
425	9043	0.077
426	29110	0.0765
427	3313	0.076
428	3551	0.0755
429	6347	0.075
430	9020	0.075
431	9111	0.0745
432	808	0.0745
433	805	0.074
434	9919	0.0735
435	10010	0.073
436	1213	0.0725
437	6885	0.072
438	925	0.0715
439	8239	0.0715
440	55294	0.071
441	4215	0.06999999999999999
442	801	0.06899999999999999
443	23118	0.0685
444	8737	0.068
445	790	0.0675
446	71	0.067
447	7186	0.0665
448	11035	0.066
449	7132	0.0655
450	203068	0.065
451	8717	0.0635
452	4214	0.0625
453	9532	0.062
454	3301	0.0615
455	7133	0.061
456	3310	0.0605
457	8767	0.06
458	7185	0.0595
459	347733	0.059
460	10454	0.058499999999999996
461	708	0.057999999999999996
462	7314	0.057499999999999996
463	7189	0.056999999999999995
464	409	0.056499999999999995
465	6233	0.05600000000000001
466	7311	0.05550000000000001
467	9641	0.05500000000000001
468	7316	0.05450000000000001
469	4646	0.054000000000000006
470	11140	0.053500000000000006
471	4628	0.053000000000000005
472	6156	0.052500000000000005
473	8607	0.052000000000000005
474	408	0.051500000000000004
475	5134	0.051000000000000004
476	1917	0.0505
477	6207	0.05
