rank	node	rank_score
1	3593	179.8
2	3594	178.8995
3	6688	178.0985
4	5970	165.8945
5	51561	157.999
6	149233	156.798
7	84617	155.6975
8	9636	152.597
9	3659	151.796
10	10379	149.995
11	3660	149.0925
12	6772	148.3905
13	6774	141.3895
14	6775	130.0955
15	3559	125.49099999999999
16	6778	124.99000000000001
17	6773	123.6875
18	6776	118.48499999999999
19	4841	117.297
20	3662	115.19650000000001
21	4628	115.19650000000001
22	3717	111.18800000000002
23	3459	109.686
24	3716	105.8865
25	3718	105.78699999999999
26	3560	104.7855
27	6777	103.5845
28	7852	102.88400000000001
29	5771	100.783
30	5159	100.2825
31	5781	100.28099999999999
32	5156	100.0815
33	2885	99.96549999999999
34	5777	98.47999999999999
35	2690	98.18050000000001
36	8651	98.082
37	7297	96.0795
38	9021	95.577
39	8660	94.2765
40	3643	93.3775
41	6464	93.375
42	5295	93.2745
43	3566	93.076
44	3667	92.6755
45	3572	91.974
46	3480	91.1735
47	5747	90.673
48	1399	89.4725
49	2057	88.772
50	2185	87.76849999999999
51	5788	87.678
52	867	87.571
53	1398	86.27000000000001
54	5770	85.57050000000001
55	1956	85.468
56	2064	84.4675
57	7409	84.467
58	6850	84.2665
59	5296	82.769
60	3815	82.6695
61	2065	81.76599999999999
62	10603	80.465
63	4067	79.5645
64	5921	79.364
65	6714	79.063
66	5335	77.8615
67	3932	77.7635
68	613	77.061
69	2534	76.862
70	9846	75.76050000000001
71	7535	74.36
72	1439	73.8625
73	6654	73.35900000000001
74	1436	73.1585
75	4914	72.7595
76	5595	72.1335
77	3454	71.87899999999999
78	168544	71.789
79	3456	71.692
80	5594	71.13250000000001
81	3055	70.0565
82	2549	69.8575
83	3937	69.05699999999999
84	5336	68.958
85	1796	68.75550000000001
86	55824	68.55499999999999
87	25	68.5535
88	3455	68.4885
89	9564	67.5525
90	1234	67.4835
91	2889	67.053
92	1445	66.95450000000001
93	55250	66.8785
94	3635	66.65599999999999
95	5829	66.452
96	27	66.251
97	10657	65.554
98	5795	63.7495
99	27040	63.15
100	4233	62.8505
101	6461	62.5515
102	5782	62.049
103	2066	61.94349999999999
104	7006	61.2485
105	11184	60.548
106	10006	58.745000000000005
107	8835	58.6715
108	3702	58.144499999999994
109	29760	57.946000000000005
110	2887	57.24300000000001
111	868	56.846500000000006
112	695	56.0425
113	222643	55.99400000000001
114	4690	55.54549999999999
115	10451	54.647000000000006
116	10278	53.54200000000001
117	6655	53.444
118	6452	52.6475
119	7454	52.64149999999999
120	3791	51.04
121	100124696	50.541
122	2321	50.439499999999995
123	7525	50.138999999999996
124	50807	50.038
125	5800	49.040499999999994
126	3575	49.013999999999996
127	660	48.6385
128	10818	46.6365
129	5787	46.037
130	2242	45.5355
131	9402	45.4375
132	5793	44.836
133	7010	43.935
134	2268	43.9285
135	857	42.632999999999996
136	5979	42.334500000000006
137	5175	42.332
138	55715	41.734
139	2213	39.2315
140	7410	38.4305
141	25970	38.331
142	26191	38.327999999999996
143	1457	37.695
144	2260	37.1205
145	930	36.53
146	5580	36.2275
147	1441	35.229
148	4582	35.1265
149	1387	34.988
150	7462	34.7295
151	4739	32.227
152	5796	31.825
153	30011	31.323500000000003
154	10750	30.826
155	933	30.122000000000003
156	356	29.6255
157	4486	29.3245
158	9743	29.319
159	919	29.023000000000003
160	8440	28.6195
161	1499	28.6185
162	558	28.119999999999997
163	1000	27.018
164	238	24.615000000000002
165	23607	24.5215
166	10019	24.121000000000002
167	3561	22.9135
168	56955	22.4225
169	10399	22.124000000000002
170	58512	21.9155
171	2886	21.7145
172	3636	21.016
173	128853	20.317500000000003
174	3320	20.317
175	4627	19.5945
176	53358	19.213
177	83747	19.117
178	8091	18.8945
179	3312	18.608
180	2353	18.3905
181	170622	18.2935
182	1459	18.278
183	466	18.177500000000002
184	3725	17.9845
185	3159	17.883000000000003
186	1386	17.784
187	9252	17.69
188	4915	17.6125
189	1051	17.589
190	1958	17.477
191	6722	17.3615
192	6352	17.187
193	2033	17.0885
194	1052	16.9875
195	23054	16.875
196	602	16.7725
197	2908	16.676499999999997
198	940	16.610500000000002
199	5371	16.563499999999998
200	9612	16.4675
201	6503	16.4115
202	367	16.3755
203	1050	16.274
204	6667	16.1695
205	8853	16.112000000000002
206	5925	16.063
207	27071	16.0165
208	1432	15.870500000000002
209	2099	15.773500000000002
210	5599	15.471
211	6256	15.369
212	8648	15.2745
213	8202	15.1685
214	5468	15.062000000000001
215	7421	14.966
216	4088	14.866499999999998
217	2113	14.77
218	10499	14.668000000000001
219	974	14.6065
220	861	14.565000000000001
221	6597	14.4625
222	9611	14.361
223	672	14.264500000000002
224	4089	14.1595
225	4654	14.0585
226	3065	13.963999999999999
227	6908	13.767
228	8503	13.711000000000002
229	5451	13.6655
230	9325	13.572999999999999
231	640	13.4055
232	6599	13.359
233	4087	13.241
234	8841	13.160499999999999
235	6601	13.058000000000002
236	3066	12.9575
237	7067	12.851499999999998
238	2533	12.8085
239	9103	12.805000000000001
240	5914	12.76
241	6595	12.6565
242	6996	12.553
243	25942	12.455
244	6598	12.357
245	6602	12.254000000000001
246	2959	12.1545
247	3297	12.0535
248	8850	11.956
249	7157	11.855500000000001
250	5601	11.7125
251	80831	11.706999999999999
252	3091	11.679
253	4435	11.5825
254	5338	11.501999999999999
255	7341	11.4525
256	7155	11.352
257	2114	11.1005
258	6605	11.051
259	5241	10.9505
260	8289	10.85
261	57492	10.747499999999999
262	6603	10.6485
263	6604	10.549
264	1024	10.448
265	2962	10.347
266	54760	10.246500000000001
267	9412	10.145999999999999
268	86	10.0455
269	892	9.945
270	7275	9.9095
271	2965	9.8445
272	10589	9.744
273	8471	9.709999999999999
274	2960	9.6435
275	5430	9.543000000000001
276	6004	9.5045
277	2071	9.442
278	2967	9.3415
279	1022	9.2425
280	9031	9.14
281	5928	9.0395
282	916	9.006
283	6872	8.9405
284	8819	8.838
285	51742	8.7375
286	3621	8.636
287	5931	8.537
288	6880	8.438500000000001
289	9219	8.3365
290	50852	8.307500000000001
291	10284	8.2355
292	53615	8.135
293	6878	8.0345
294	5170	8.001000000000001
295	8189	7.934
296	23624	7.9079999999999995
297	53981	7.833499999999999
298	4297	7.733
299	6883	7.6325
300	5929	7.531999999999999
301	23028	7.4315
302	1107	7.330500000000001
303	11091	7.231
304	8467	7.1285
305	8932	7.0295000000000005
306	2209	7.0005
307	1108	6.93
308	5901	6.828
309	57459	6.729000000000001
310	1795	6.7090000000000005
311	5977	6.6275
312	9343	6.526999999999999
313	4609	6.4265
314	7528	6.325
315	2969	6.2255
316	23309	6.121
