rank	node	rank_score
1	5194	180.1
2	5192	179.1995
3	225	178.299
4	5825	177.3985
5	5264	176.398
6	4597	175.4975
7	10654	174.597
8	11001	173.69650000000001
9	23600	172.796
10	9453	171.8955
11	2224	170.995
12	3422	170.09449999999998
13	91734	169.19400000000002
14	8079	168.2935
15	3418	167.293
16	23417	166.39249999999998
17	3417	165.49200000000002
18	3156	164.5915
19	48	163.69099999999997
20	3421	162.7905
21	3419	161.89000000000001
22	3420	160.9895
23	3658	160.089
24	50	159.1885
25	387082	158.288
26	10935	157.3875
27	34	156.487
28	30	155.3865
29	80724	153.7855
30	35	152.885
31	8309	152.58350000000002
32	28976	151.8845
33	84129	150.984
34	36	149.683
35	7001	148.686
36	3295	148.6825
37	2877	147.4815
38	27034	147.382
39	6649	145.68099999999998
40	2879	145.18
41	1962	144.78050000000002
42	2878	143.3795
43	6647	142.079
44	2876	141.9785
45	257202	139.978
46	6648	139.6775
47	5052	138.477
48	549	137.57649999999998
49	1891	136.676
50	1892	135.375
51	55268	135.27550000000002
52	3030	133.97449999999998
53	3032	133.074
54	2639	132.17350000000002
55	2936	131.173
56	116285	130.3725
57	84264	129.572
58	3029	128.57150000000001
59	2181	127.671
60	3033	126.7705
61	3158	125.87
62	3028	124.9695
63	3157	124.069
64	38	123.1685
65	39	122.268
66	64064	121.36749999999999
67	5019	120.46700000000001
68	54511	119.56649999999999
69	3155	118.66599999999998
70	65985	117.7655
71	622	116.86500000000001
72	1738	115.9645
73	8050	113.26399999999998
74	23464	112.3635
75	4594	111.46300000000001
76	4967	110.5625
77	8803	109.362
78	212	108.96100000000001
79	8802	107.9615
80	8801	106.9605
81	1743	106.05999999999999
82	594	105.45599999999999
83	211	105.15950000000001
84	593	104.55550000000001
85	6392	104.25900000000001
86	587	103.655
87	7915	102.958
88	6391	102.8585
89	1629	102.65450000000001
90	586	101.954
91	6389	101.5575
92	3712	100.95349999999999
93	6390	100.657
94	2271	99.7565
95	2194	94.4525
96	6785	93.753
97	9415	92.752
98	3992	91.8515
99	6319	90.951
100	126129	90.0505
101	64087	89.24300000000001
102	2180	89.15
103	1374	88.2495
104	51703	87.349
105	1375	86.4485
106	2182	85.548
107	55301	84.4475
108	11343	83.947
109	10555	82.8465
110	56894	81.946
111	137964	81.04549999999999
112	10554	80.14500000000001
113	57678	79.24449999999999
114	55326	78.34400000000001
115	56895	77.4435
116	56922	77.3425
117	1350	75.53999999999999
118	1347	73.8395
119	1346	71.939
120	1339	70.6385
121	124637	69.038
122	170712	68.8375
123	6821	67.737
124	1351	66.7365
125	1349	65.636
126	29796	65.13550000000001
127	1340	63.835
128	1537	63.334500000000006
129	1337	62.034000000000006
130	10975	61.533500000000004
131	125965	60.43299999999999
132	4519	59.532500000000006
133	84701	58.63199999999999
134	2713	57.842000000000006
135	7386	57.63099999999999
136	9167	56.93150000000001
137	1345	55.630500000000005
138	7381	55.33
139	4514	54.12950000000001
140	27089	53.028999999999996
141	1327	52.528499999999994
142	7388	51.1275
143	9377	50.628
144	4512	49.227
145	7385	49.025999999999996
146	4513	48.1265
147	7384	46.9255
148	341947	46.025
149	1329	45.1245
150	4537	44.224000000000004
151	4540	43.3235
152	7991	42.423
153	2110	41.5225
154	4538	40.622
155	4718	39.721500000000006
156	4708	38.721000000000004
157	4713	37.820499999999996
158	4711	37.22
159	4706	36.1195
160	4710	35.219
161	4709	34.3185
162	4707	33.418
163	2712	32.7415
164	4714	32.417500000000004
165	3990	31.840999999999998
166	4712	31.517000000000003
167	2710	31.440499999999997
168	4716	30.616499999999995
169	126328	29.615499999999997
170	4694	29.215999999999998
171	4717	27.914499999999997
172	4724	26.913999999999998
173	4696	25.7135
174	55967	24.713
175	4731	23.8125
176	4723	22.812
177	4535	22.115000000000002
178	4702	21.9115
179	4695	21.011000000000003
180	4541	20.110500000000002
181	4539	19.21
182	4705	18.3095
183	374291	17.409
184	4729	16.5085
185	4728	15.607999999999999
186	4701	14.607499999999998
187	51079	13.407
188	4726	12.4065
189	4715	12.303999999999998
190	4725	11.406
191	4704	10.3055
192	4700	9.405
193	4698	8.5045
194	2739	8.239
195	84693	7.638
196	4722	7.6034999999999995
197	4720	6.4030000000000005
198	4719	5.5024999999999995
199	4536	4.601999999999999
200	54539	3.7015000000000002
201	4697	2.901
202	51103	2.3005
203	51295	1.302
204	51497	0.9015000000000001
205	10478	0.098
206	65981	0.0925
207	79016	0.0385
208	1762	0.0005
