rank	node	rank_score
1	11140	175.296
2	81037	153.0
3	3320	148.789
4	3551	143.99099999999999
5	2175	138.9975
6	1147	138.4835
7	7186	134.9955
8	4215	129.7865
9	3326	129.3805
10	6885	128.8935
11	10010	126.97999999999999
12	8517	125.68699999999998
13	113457	124.9875
14	64343	124.971
15	23118	124.595
16	9020	121.5885
17	7189	119.997
18	29110	119.27000000000001
19	2289	118.679
20	7278	117.582
21	3312	117.5685
22	1326	116.58099999999999
23	10454	115.99000000000001
24	8737	115.38250000000001
25	3313	114.67049999999999
26	3303	113.87449999999998
27	3305	113.5815
28	10382	113.18299999999999
29	805	111.89200000000001
30	4794	109.376
31	9641	108.46599999999998
32	203068	107.68499999999999
33	808	107.5655
34	5970	106.97200000000001
35	8767	106.5755
36	801	106.48800000000001
37	4791	106.37950000000001
38	4793	106.26700000000001
39	55664	105.98600000000002
40	4790	105.273
41	8717	104.07849999999999
42	4792	103.9665
43	7132	103.875
44	7182	103.17699999999999
45	790	101.9765
46	11035	101.564
47	4214	100.7715
48	5966	99.574
49	71	98.6695
50	1213	98.5675
51	3301	97.9735
52	5971	97.668
53	27131	97.199
54	3309	96.9625
55	9532	94.5725
56	7185	93.862
57	3310	93.0845
58	92609	91.1615
59	7314	89.256
60	7133	88.9635
61	347733	86.765
62	841	85.5545
63	8607	84.0605
64	220717	83.561
65	708	81.15950000000001
66	7316	79.559
67	11062	79.3985
68	1890	79.2995
69	7311	79.063
70	6507	78.699
71	26133	78.2775
72	2734	77.85650000000001
73	409	77.758
74	3437	77.398
75	24138	76.5965
76	6233	74.755
77	1654	73.8495
78	4646	71.25750000000001
79	6156	69.25699999999999
80	10758	65.069
81	1917	62.8645
82	6207	62.6475
83	8915	62.408
84	6128	62.348
85	408	59.1515
86	9919	59.0855
87	4860	58.9985
88	8454	58.9485
89	10856	58.854
90	9615	58.398
91	3654	57.150999999999996
92	6232	56.049
93	206338	55.397000000000006
94	1540	55.246500000000005
95	9349	52.947
96	57506	50.4135
97	6205	49.6505
98	5591	49.635000000000005
99	4628	49.443
100	7415	48.018
101	5610	47.5625
102	6188	45.939499999999995
103	150684	45.653499999999994
104	5134	45.446000000000005
105	292	44.4435
106	6202	44.0325
107	23291	42.5385
108	4637	41.232
109	6189	39.43
110	84617	38.9585
111	9361	38.79600000000001
112	92703	38.49550000000001
113	140545	38.295500000000004
114	6204	38.233
115	10788	38.142
116	84171	38.091499999999996
117	51295	37.5935
118	22983	37.493
119	5886	37.394
120	6135	37.343
121	6468	37.2825
122	1559	37.278999999999996
123	7001	36.894999999999996
124	1995	36.791999999999994
125	1431	36.7895
126	2	36.5925
127	348	35.8945
128	293	35.835
129	10724	35.7805
130	1558	35.6905
131	351	35.189
132	6191	35.1295
133	10892	35.12949999999999
134	51013	34.89
135	54536	34.886
136	84106	34.788
137	642	34.588499999999996
138	2639	34.285000000000004
139	5664	34.1835
140	1562	34.0875
141	4869	33.6185
142	54850	33.579499999999996
143	25885	33.239999999999995
144	3337	32.984
145	4846	32.8845
146	10128	32.836
147	5663	32.68300000000001
148	4137	32.678
149	6203	32.531
150	7372	32.0735
151	6141	31.728999999999996
152	6222	31.6195
153	1020	31.1815
154	2081	30.544999999999998
155	9462	30.246500000000005
156	6129	30.226499999999998
157	7534	30.113999999999997
158	4528	29.840999999999998
159	85366	29.727999999999998
160	6229	29.718
161	64425	29.441499999999998
162	6224	29.425
163	6169	29.325499999999998
164	4904	29.302999999999997
165	6223	29.1355
166	6146	29.0315
167	6130	28.832
168	6500	28.738
169	339175	28.677
170	6217	28.640499999999996
171	5521	28.6295
172	4163	28.319
173	51082	28.037
174	84172	27.9375
175	7532	27.3425
176	10849	27.238999999999997
177	5437	27.234500000000004
178	54769	27.1555
179	207	26.777499999999996
180	10985	26.644
181	7846	26.628499999999995
182	6124	26.515499999999996
183	6206	25.022
184	6208	24.127
185	208	24.07
186	7187	23.86
187	6181	23.624000000000002
188	5441	23.2365
189	7431	23.124000000000002
190	3376	22.678
191	3838	22.5335
192	6421	21.6445
193	6132	21.523500000000002
194	330	21.35
195	3921	20.9215
196	2091	20.7565
197	4627	20.4345
198	6193	20.4165
199	6122	20.023000000000003
200	6176	20.0025
201	6175	19.9135
202	151531	19.7985
203	23495	19.194
204	149465	19.0945
205	55504	18.9915
206	10913	18.842
207	8792	18.692500000000003
208	6152	18.503
209	27102	18.4725
210	6218	18.319
211	958	18.049500000000002
212	6160	18.02
213	7098	17.9905
214	124912	17.791
215	6210	17.517500000000002
216	6194	17.2095
217	57559	17.1875
218	26355	17.075
219	8239	17.053
220	25873	16.5245
221	23787	16.082
222	10053	15.785
223	22976	15.679499999999999
224	55798	15.481
225	3329	15.319999999999999
226	4736	15.315999999999999
227	246330	15.184000000000001
228	9545	15.1665
229	6228	15.005
230	11224	14.9005
231	6155	14.8205
232	6165	14.815000000000001
233	6161	14.8055
234	3502	14.7915
235	2197	14.7225
236	2969	14.345499999999998
237	331	14.116
238	498	13.712
