rank	node	rank_score
1	1871	180.1
2	6688	179.09949999999998
3	2078	178.399
4	6689	176.8985
5	1051	175.498
6	1387	175.39749999999998
7	1052	174.097
8	1053	161.483
9	6597	150.779
10	2033	150.493
11	2623	147.767
12	8841	146.67350000000002
13	6598	144.971
14	6599	144.1715
15	6601	141.87
16	6595	140.96949999999998
17	367	140.5935
18	6908	139.5745
19	6602	137.76749999999998
20	4088	137.59449999999998
21	6605	135.8665
22	2099	135.48499999999999
23	8289	135.3655
24	57492	134.965
25	3065	133.6705
26	3725	132.695
27	6603	130.8645
28	86	129.96300000000002
29	6604	129.36399999999998
30	672	128.27249999999998
31	23054	128.192
32	1050	127.29650000000001
33	25942	126.86599999999999
34	3066	126.668
35	5928	126.6635
36	2353	125.7915
37	4089	125.596
38	6667	125.08400000000002
39	2908	123.78899999999999
40	5594	123.29249999999999
41	861	122.8905
42	5371	121.69099999999999
43	2959	121.66900000000001
44	5931	120.7615
45	8202	120.181
46	1386	119.09400000000001
47	5595	119.0885
48	5599	118.78800000000001
49	9611	117.6795
50	7421	117.67649999999999
51	8819	116.862
52	5970	116.47550000000001
53	51742	116.36100000000002
54	3621	115.1605
55	9219	114.66
56	53615	113.75900000000001
57	6872	112.9625
58	2114	112.89000000000001
59	4087	111.88050000000001
60	10284	111.7595
61	9612	111.17699999999999
62	6256	110.38
63	8932	109.8525
64	8648	109.57849999999999
65	6880	109.4585
66	10498	109.0375
67	1432	108.8875
68	2113	108.7895
69	602	108.274
70	6878	108.258
71	57459	108.05149999999999
72	1024	108.048
73	5977	107.551
74	1108	107.452
75	54760	107.1475
76	5601	107.0865
77	4297	106.957
78	8189	106.75750000000001
79	53981	106.756
80	9252	106.08600000000001
81	23028	106.05499999999999
82	2002	105.487
83	5929	105.4565
84	9412	105.34700000000001
85	5468	105.27799999999999
86	5600	104.7855
87	2962	104.64850000000001
88	7157	104.572
89	10589	104.34650000000002
90	6883	104.25550000000001
91	10499	103.676
92	2965	103.346
93	892	103.345
94	2960	103.04549999999999
95	11091	101.95450000000001
96	6195	101.78450000000001
97	1107	101.5535
98	3727	101.2835
99	5901	100.654
100	8850	100.649
