rank	node	rank_score
1	57142	179.3985
2	6252	178.398
3	6253	177.4975
4	10313	176.597
5	23621	175.69650000000001
6	7357	174.696
7	79666	173.3955
8	84067	172.79500000000002
9	92840	171.09449999999998
10	10567	170.3935
11	29907	168.9925
12	9363	168.99200000000002
13	23204	168.893
14	6642	167.594
15	29887	165.8915
16	79038	165.59099999999998
17	125170	164.4905
18	57085	162.689
19	26100	161.8885
20	65009	160.987
21	346157	159.586
22	5090	159.488
23	57146	158.0855
24	56997	157.58499999999998
25	51103	156.5875
26	83851	155.584
27	522	154.5865
28	10087	153.6895
29	5780	152.783
30	51100	152.4845
31	116173	152.4835
32	26207	150.982
33	29916	150.69
34	2572	150.0825
35	80221	149.2815
36	51001	148.18099999999998
37	92689	147.1805
38	8803	145.68
39	10105	145.67950000000002
40	60314	144.379
41	55266	144.1995
42	10488	142.0785
43	114569	141.978
44	285733	140.0
45	139341	139.875
46	4071	139.57750000000001
47	11094	137.777
48	151393	137.7765
49	5552	137.276
50	59343	135.7735
51	100288797	134.8725
52	4818	133.9755
53	125058	133.57150000000001
54	22845	132.47449999999998
55	8269	130.774
56	56616	130.56900000000002
57	55012	129.173
58	55850	128.172
59	89882	125.171
60	7165	124.2705
61	10228	123.9675
62	7163	123.37
63	7164	122.4695
64	60343	120.36800000000001
65	84693	118.667
66	80222	117.3665
67	2571	107.96599999999998
68	1036	106.8655
69	9448	104.09650000000002
70	81618	102.16499999999999
71	135154	97.46849999999999
72	664	91.0625
73	6472	90.418
74	25972	89.9615
75	81855	88.961
76	403313	87.96000000000001
77	9631	85.462
78	10219	84.5595
79	54860	79.95750000000001
80	51090	72.6075
81	64581	68.35799999999999
82	163183	67.25699999999999
83	6440	66.756
84	23480	65.75450000000001
85	9445	65.3555
86	7185	64.0715
87	598	63.8605
88	9144	63.1515
89	665	60.9585
90	7851	60.754999999999995
91	10490	59.052
92	11070	58.956500000000005
93	89885	53.552499999999995
94	51257	52.753499999999995
95	388633	51.45399999999999
96	8834	49.751
97	23392	49.6645
98	23786	48.9105
99	8417	48.129
100	8674	47.9315
101	143187	47.331
102	79669	46.9045
103	9341	46.6295
104	55281	46.553
105	8673	46.028499999999994
106	55069	45.249
107	9482	45.128
108	6810	44.1275
109	6845	44.027
110	6844	44.0265
111	26984	43.548500000000004
112	81539	43.4505
113	147872	42.846
114	8775	42.626
115	23673	41.925
116	63908	41.4255
117	4905	41.3245
118	8773	40.324
119	10385	40.206
120	56649	39.747
121	9342	39.7235
122	638	39.4495
123	81569	39.259
124	8675	38.730000000000004
125	6809	38.623000000000005
126	6616	38.122
127	347	37.608
128	6804	37.5225
129	10562	36.7455
130	6811	35.821000000000005
131	6843	35.221500000000006
132	10815	34.917
133	9217	34.6205
134	56935	34.545
135	339302	34.4165
136	10791	34.019
137	594855	33.715999999999994
138	2054	33.22
139	6813	32.3185
140	84283	32.2475
141	10814	32.1195
142	9218	31.2175
143	4481	30.948
144	93517	30.9055
145	7104	30.45
146	6857	30.115
147	4283	29.744
148	6860	29.3145
149	9570	29.118000000000002
150	222662	27.303999999999995
151	112755	26.915499999999998
152	79016	26.3185
153	10282	26.213
154	9527	26.0125
155	29058	25.8635
156	6814	25.809500000000003
157	10497	25.714
158	9554	25.112000000000002
159	2326	24.5115
160	6812	24.409
161	203068	24.169999999999998
162	84102	24.1355
163	54440	23.911
164	9238	23.863
165	1410	22.959
166	6588	22.944499999999998
167	9066	22.9135
168	27065	22.41
169	8615	22.2085
170	1409	21.958499999999997
171	29091	21.407
172	596	21.343
173	56475	20.9465
174	7416	20.9345
175	3895	20.351
176	663	20.0435
177	134957	19.1065
178	23256	19.005000000000003
179	414899	18.935
180	581	18.442
181	149428	18.3425
182	132204	18.234
183	27113	18.141
184	578	17.439
185	5366	17.3405
186	4170	17.34
187	599	17.241500000000002
188	10017	17.0365
189	9145	16.633499999999998
190	8739	16.539499999999997
191	597	16.5385
192	10018	16.2375
193	572	16.037
194	90427	15.738
195	57617	15.7035
196	637	15.536000000000001
197	6386	14.9715
198	55823	14.803
199	54974	14.571000000000002
200	441521	14.270500000000002
201	8411	14.2025
202	64601	13.601999999999999
203	23339	13.301499999999999
204	666	13.133
205	223	12.9445
206	8545	12.863999999999999
207	5868	12.701
208	10652	12.700999999999999
209	11311	12.2005
210	10376	12.0555
211	3804	11.756
212	51734	11.258
213	4135	11.063500000000001
214	7780	10.8095
215	60491	9.824
216	22879	8.408
217	65082	8.1075
218	134701	7.831999999999999
219	2848	7.802
220	84873	7.1065
221	2686	7.1015
222	22999	7.005
223	326624	6.7045
224	2597	6.1695
225	5599	5.532500000000001
226	498	5.204
227	1933	4.902
228	4637	4.500500000000001
229	2023	4.3065
230	309	4.208
231	3842	4.1034999999999995
232	8664	4.0075
233	51267	3.947
234	10202	3.7085
235	10056	3.6090000000000004
236	79901	3.6055
237	7417	3.507
238	8668	3.4055
239	7419	3.306
240	3184	3.211
241	79415	3.106
242	27335	3.105
243	10480	2.9045
244	8662	2.803
245	8663	2.7015000000000002
246	10134	2.6015
247	8344	2.601
248	84975	2.5305
249	920	2.5025
250	662	2.2030000000000003
251	53407	2.0025
252	10399	1.9100000000000001
253	3799	1.902
254	7348	1.7280000000000002
255	55014	1.6039999999999999
256	90993	1.108
257	84522	0.907
258	10430	0.806
259	85013	0.7065
260	4815	0.2455
261	56063	0.2015
262	56474	0.099
263	3846	0.068
264	440295	0.065
265	79844	0.064
266	2806	0.064
267	27111	0.063
268	2805	0.0625
269	6999	0.0625
270	4357	0.062
271	441519	0.062
272	51380	0.0615
273	51538	0.0615
274	3948	0.061
275	10361	0.061
276	8659	0.0605
277	3957	0.0605
278	3242	0.06
279	54458	0.06
280	160287	0.0595
281	441212	0.0595
282	92483	0.059
283	10694	0.059
284	285672	0.059
285	5832	0.058499999999999996
286	25816	0.058499999999999996
287	9380	0.057999999999999996
288	51438	0.057999999999999996
289	55293	0.057499999999999996
290	1420	0.057499999999999996
291	908	0.057499999999999996
292	92610	0.057499999999999996
293	4329	0.056999999999999995
294	1415	0.056999999999999995
295	10575	0.056999999999999995
296	25828	0.056999999999999995
297	217	0.056499999999999995
298	80005	0.056499999999999995
299	8636	0.056499999999999995
300	3945	0.05600000000000001
301	10576	0.05600000000000001
302	60490	0.05600000000000001
303	3939	0.05550000000000001
304	10574	0.05550000000000001
305	51019	0.05550000000000001
306	7915	0.05500000000000001
307	7203	0.05500000000000001
308	129831	0.05500000000000001
309	10993	0.05450000000000001
310	441241	0.05450000000000001
311	171483	0.05450000000000001
312	1491	0.054000000000000006
313	5522	0.054000000000000006
314	8854	0.053500000000000006
315	3476	0.053500000000000006
316	54819	0.053500000000000006
317	197257	0.053000000000000005
318	5524	0.053000000000000005
319	84708	0.053000000000000005
320	216	0.052500000000000005
321	10423	0.052500000000000005
322	6950	0.052500000000000005
323	7541	0.052500000000000005
324	219	0.052000000000000005
325	55844	0.052000000000000005
326	84285	0.052000000000000005
327	501	0.051500000000000004
328	5515	0.051500000000000004
329	55204	0.051500000000000004
330	137872	0.051000000000000004
331	29966	0.051000000000000004
332	51076	0.051000000000000004
333	84264	0.0505
334	754	0.0505
335	6801	0.0505
336	64853	0.0505
337	224	0.05
338	5516	0.05
339	55007	0.05
340	18	0.0495
341	83992	0.0495
342	79072	0.0495
343	222	0.049
344	8428	0.049
345	220	0.0485
346	25843	0.0485
347	51074	0.0485
348	3029	0.048
349	5531	0.048
350	1635	0.048
351	218	0.0475
352	5519	0.0475
353	256281	0.0475
354	221	0.047
355	5521	0.047
356	8907	0.047
357	284273	0.0465
358	55917	0.0465
359	79873	0.0465
360	127	0.046
361	55454	0.046
362	5518	0.046
363	27232	0.046
364	131	0.0455
365	85369	0.0455
366	222389	0.0455
367	130	0.045
368	11235	0.045
369	286499	0.045
370	2030	0.0445
371	10494	0.0445
372	55122	0.0445
373	125	0.044
374	79073	0.044
375	29888	0.044
376	23641	0.044
377	124	0.0435
378	80143	0.0435
379	3866	0.0435
380	314	0.043
381	80342	0.043
382	65220	0.043
383	8639	0.042499999999999996
384	57464	0.042499999999999996
385	653121	0.042499999999999996
386	4128	0.041999999999999996
387	51765	0.041999999999999996
388	55093	0.041999999999999996
389	4129	0.041499999999999995
390	7871	0.041499999999999995
391	51171	0.041499999999999995
392	26	0.040999999999999995
393	54882	0.040999999999999995
394	54585	0.040999999999999995
395	126	0.0405
396	26127	0.0405
397	22934	0.0405
398	128	0.04
399	54764	0.04
400	705	0.04
401	316	0.0395
402	29110	0.0395
403	79839	0.0395
404	51733	0.039
405	4215	0.039
406	5682	0.039
407	230	0.0385
408	5528	0.0385
409	79734	0.0385
410	84735	0.038
411	402	0.038
412	25788	0.038
413	229	0.0375
414	151648	0.0375
415	2762	0.0375
416	226	0.037
417	5520	0.037
418	8161	0.037
419	84532	0.0365
420	23235	0.0365
421	7597	0.0365
422	55902	0.036
423	51400	0.036
424	284252	0.036
425	65985	0.0355
426	5529	0.0355
427	10807	0.0355
428	438	0.034999999999999996
429	151246	0.034999999999999996
430	114824	0.034999999999999996
431	5238	0.034499999999999996
