rank	node	rank_score
1	9463	178.5975
2	7531	176.9985
3	139105	176.997
4	8514	158.8
5	6880	155.596
6	51616	150.89000000000001
7	6873	147.8875
8	6877	147.192
9	10629	146.893
10	8464	146.2935
11	253725	145.995
12	6884	145.7865
13	6881	145.1905
14	6874	143.887
15	8295	142.5885
16	6883	141.189
17	6879	140.88600000000002
18	117143	140.4925
19	27097	140.0915
20	6882	139.584
21	6875	139.3835
22	129685	139.0825
23	6872	138.683
24	6878	138.3855
25	83860	137.9815
26	10474	136.7895
27	2672	136.2955
28	2648	136.18800000000002
29	2958	135.381
30	9913	135.291
31	2957	133.28050000000002
32	56970	132.777
33	4609	132.69400000000002
34	23326	132.579
35	2959	131.8845
36	8290	131.682
37	6871	131.07999999999998
38	23450	129.685
39	8148	128.878
40	8850	124.17849999999999
41	6598	121.873
42	283078	120.976
43	672	119.47649999999999
44	6601	117.274
45	6595	116.0705
46	6599	114.87249999999999
47	28954	113.99449999999999
48	2960	113.475
49	8189	113.0685
50	10284	110.86500000000001
51	6597	110.6645
52	56943	109.93299999999999
53	10589	109.569
54	53981	108.2665
55	8819	106.76050000000001
56	5931	103.76100000000001
57	53615	103.46300000000001
58	4297	102.853
59	6604	102.56800000000001
60	6603	102.4695
61	5928	102.256
62	1024	101.572
63	2962	100.5735
64	23028	100.358
65	25942	100.25550000000001
66	9219	100.05850000000001
67	6602	99.7625
68	3065	99.7535
69	3066	99.571
70	5929	98.5545
71	86	98.362
72	54760	97.664
73	3621	97.459
74	8289	97.3575
75	8467	96.452
76	11091	95.8505
77	2956	94.8795
78	8932	93.55499999999999
79	5430	92.87
80	2033	92.72749999999999
81	1107	92.4565
82	5901	91.8515
83	892	90.367
84	29894	90.0775
85	2965	90.0635
86	9343	89.651
87	51742	88.25
88	57459	87.85249999999999
89	9412	87.566
90	1108	87.457
91	5977	85.549
92	1387	85.16
93	6605	85.0475
94	2967	84.96549999999999
95	3297	84.82849999999999
96	57492	83.147
97	23186	80.446
98	85509	80.34
99	2071	79.4595
100	54815	78.54549999999999
101	26047	77.9995
102	79633	77.8875
103	3737	77.298
104	6667	76.039
105	51412	75.834
106	4436	74.8755
107	7044	74.4315
108	55193	72.744
109	60	72.0485
110	2099	71.44449999999999
111	4298	71.43199999999999
112	79595	70.348
113	9112	69.6335
114	23309	68.725
115	196528	66.34049999999999
116	57504	64.2365
117	7157	63.9745
118	54457	61.083000000000006
119	9203	60.126
120	3183	59.528999999999996
121	3360	55.218
122	55636	55.136
123	51317	54.6235
124	64426	53.717000000000006
125	7155	53.701499999999996
126	2969	52.7085
127	5925	51.7255
128	23199	51.5225
129	7750	50.320499999999996
130	11177	49.731
131	25855	49.4075
132	9697	48.838
133	9031	47.621
134	1487	47.62
135	10419	47.5265
136	7421	47.222
137	10735	45.935
138	10362	45.019
139	8243	42.8275
140	10274	42.632
141	81627	41.812
142	10498	41.524
143	6304	40.245
144	5885	39.221500000000006
145	4087	38.432
146	165530	38.293
147	367	38.031
148	3622	37.8255
149	9070	36.5355
150	9739	35.8315
151	3020	35.4195
152	5431	35.340999999999994
153	9126	35.1305
154	8841	34.133500000000005
155	5440	32.454
156	5926	32.224000000000004
157	2068	30.549500000000002
158	10579	30.411
159	3320	30.106
160	552889	29.971500000000002
161	3054	28.803999999999995
162	5439	28.7425
163	7764	28.330000000000002
164	3308	27.7055
165	2966	27.044999999999998
166	2961	26.946500000000004
167	6613	26.5265
168	84312	26.020999999999997
169	2963	25.942
170	5432	24.8615
171	3312	24.823
172	5970	24.607999999999997
173	5947	24.335
174	6886	23.408499999999997
175	11198	23.302500000000002
176	5438	22.643
177	5436	22.5435
178	1022	22.130000000000003
179	29915	22.0005
180	8202	21.8065
181	399511	20.067500000000003
182	5435	20.0415
183	404734	19.396
184	9611	19.203
185	85450	19.0945
186	5434	18.938499999999998
187	4204	18.838
188	8473	18.816
189	8506	18.7915
190	27255	18.491999999999997
191	7881	18.392500000000002
192	5433	18.339499999999997
193	2968	18.337
194	57410	18.308
195	1272	18.191
196	7528	17.236
197	5437	16.4375
198	10036	15.702000000000002
199	55617	14.726999999999999
200	5441	14.635500000000002
201	3725	14.607499999999998
202	26015	12.938999999999998
203	902	12.829500000000001
204	23063	12.625499999999999
205	9150	12.4345
206	4331	12.3325
207	79648	12.269499999999999
208	112885	11.614500000000001
209	9441	7.4245
210	51592	7.314
211	1017	6.218500000000001
212	23047	5.827
213	3326	5.4285
214	688	4.903499999999999
215	4088	4.9015
216	84246	4.0280000000000005
217	404672	3.5305
218	3309	3.3185000000000002
219	1457	3.002
220	9612	2.7030000000000003
221	6917	2.616
222	163126	2.5010000000000003
223	925	2.4015
224	5469	1.723
225	55090	1.5165
226	3516	1.4045
227	1025	1.302
228	23133	1.2035
229	9440	1.0150000000000001
230	196	0.805
231	2623	0.8005000000000001
232	3303	0.702
233	5371	0.702
234	219541	0.6174999999999999
235	9968	0.41200000000000003
236	64800	0.40149999999999997
237	9282	0.213
238	55588	0.12150000000000001
239	2911	0.099
240	998	0.099
241	158358	0.0985
242	10524	0.098
243	9455	0.0965
244	3738	0.095
245	3739	0.094
246	84218	0.094
247	1739	0.0935
248	54845	0.0935
249	729873	0.093
250	5530	0.0925
251	1742	0.0905
252	3741	0.09
253	57142	0.09
254	25	0.0895
255	1810	0.0895
256	126669	0.089
257	2534	0.0885
258	836	0.088
259	65267	0.0875
260	1775	0.087
261	2295	0.0865
262	2898	0.086
263	81491	0.086
264	23587	0.08549999999999999
265	65268	0.08449999999999999
266	4053	0.08399999999999999
267	23114	0.08349999999999999
268	2971	0.08299999999999999
269	6714	0.08249999999999999
270	5062	0.08199999999999999
271	5077	0.08149999999999999
272	1398	0.081
273	4969	0.08
274	207	0.0795
275	80831	0.079
276	7080	0.0785
277	11184	0.078
278	56955	0.0775
279	4690	0.077
280	831	0.0765
281	57190	0.076
282	5295	0.0755
283	4683	0.0755
284	55914	0.075
285	9743	0.075
286	128853	0.0745
287	5335	0.074
288	50807	0.0735
289	2885	0.073
290	23230	0.0725
291	147923	0.072
292	9846	0.072
293	10847	0.072
294	83747	0.0715
295	55578	0.071
296	56995	0.071
297	64714	0.0705
298	445815	0.06999999999999999
299	9749	0.06949999999999999
300	29998	0.06899999999999999
301	29886	0.0685
302	7177	0.068
303	2186	0.068
304	57007	0.0675
305	9784	0.067
306	7837	0.0665
307	92591	0.066
308	1795	0.0655
309	9793	0.065
310	10006	0.0645
311	8529	0.064
312	58512	0.0635
313	9826	0.063
314	64499	0.0625
315	9472	0.062
316	85358	0.0615
317	114784	0.061
318	2137	0.0605
319	81875	0.06
320	79890	0.0595
321	5879	0.059
322	7287	0.058499999999999996
323	9228	0.057999999999999996
324	4007	0.057499999999999996
325	9229	0.056999999999999995
326	11217	0.056499999999999995
327	613	0.05600000000000001
328	22941	0.05550000000000001
329	5747	0.05500000000000001
330	10278	0.05450000000000001
331	6792	0.054000000000000006
332	9187	0.053500000000000006
333	9564	0.053000000000000005
334	27	0.052500000000000005
335	1793	0.052000000000000005
336	4067	0.051500000000000004
337	8936	0.051000000000000004
338	2185	0.0505
339	64111	0.05
340	6464	0.0495
341	2889	0.049
342	11250	0.0485
