rank	node	rank_score
1	9463	180.1
2	998	179.1995
3	9478	178.299
4	55814	177.19850000000002
5	2971	176.298
6	2976	175.39749999999998
7	9328	174.497
8	2972	173.59650000000002
9	9330	172.696
10	9329	171.7955
11	2975	170.895
12	10623	169.9945
13	10923	169.094
14	10621	168.1935
15	7150	167.293
16	1994	166.39249999999998
17	3191	165.392
18	55226	163.9915
19	23263	162.99099999999999
20	6143	162.5905
21	9782	161.19
22	388698	160.4895
23	26608	158.789
24	55003	157.788
25	5042	156.78699999999998
26	54881	155.8865
27	6950	155.0885
28	27292	154.98600000000002
29	51202	153.9855
30	8886	152.98499999999999
31	81887	152.0845
32	83858	151.084
33	57418	150.1835
34	6139	149.4875
35	23560	149.283
36	1748	148.3825
37	5094	147.482
38	2332	146.4815
39	8487	144.981
40	284695	143.9805
41	6184	143.07999999999998
42	27043	142.17950000000002
43	9533	141.279
44	6158	140.4735
45	25885	140.27849999999998
46	1314	139.378
47	10969	138.57750000000001
48	5976	137.677
49	170506	136.67649999999998
50	26156	135.976
51	2058	135.1755
52	10514	133.97449999999998
53	6138	132.974
54	23405	131.975
55	6168	131.073
56	22907	130.4725
57	9733	129.072
58	11331	128.37150000000003
59	3609	127.071
60	26354	126.17049999999999
61	9349	125.95349999999999
62	10642	124.87
63	6193	124.86949999999999
64	50628	123.268
65	5250	122.76849999999999
66	6147	121.869
67	10989	120.4675
68	6134	120.26700000000001
69	9513	118.9665
70	6124	117.56500000000001
71	728937	117.26599999999999
72	23521	117.2655
73	6157	115.6645
74	6142	114.4635
75	6175	113.76399999999998
76	6136	112.36300000000001
77	9045	112.1625
78	11224	111.16199999999999
79	6132	110.0615
80	6144	108.96100000000001
81	4343	108.26050000000001
82	10643	106.8595
83	6194	106.46
84	292	105.75900000000001
85	6152	104.7585
86	3608	104.05799999999999
87	6137	102.657
88	10492	102.0575
89	6159	101.2565
90	6130	99.356
91	6210	99.35499999999999
92	6191	98.15450000000001
93	5245	97.6555
94	6128	97.25399999999999
95	6154	95.053
96	6202	93.852
97	6187	93.7525
98	6141	92.351
99	6188	91.5515
100	3183	90.6505
101	23020	89.65
102	4691	89.4495
103	6207	87.949
104	6201	87.0485
105	6129	86.148
106	1915	86.1425
107	6203	85.2475
108	6189	84.34700000000001
109	9775	83.24600000000001
110	6135	82.6465
111	4869	81.74549999999999
112	3192	80.745
113	23451	79.8445
114	3326	78.944
115	1660	77.64349999999999
116	26986	77.543
117	23450	75.44200000000001
118	10419	74.3415
119	6165	73.841
120	6122	72.74
121	6160	71.84049999999999
122	6222	70.9395
123	4904	69.139
124	55037	68.9385
125	2091	68.338
126	55646	68.3375
127	6228	66.437
128	222235	65.5365
129	509	64.636
130	3188	63.7355
131	10772	62.835
132	11103	61.9345
133	6169	61.034000000000006
134	55379	60.033500000000004
135	23107	59.33299999999999
136	56945	58.2325
137	84844	57.532
138	79084	56.53150000000001
139	1665	55.63099999999999
140	64960	54.730500000000006
141	64969	53.73
142	51116	52.82950000000001
143	51649	51.928999999999995
144	51021	50.8285
145	10992	50.827999999999996
146	3185	49.3275
147	51639	48.427
148	6155	47.5265
149	4736	46.626
150	6176	45.7255
151	284996	44.125
152	57835	43.2245
153	84319	42.324
154	388697	41.423500000000004
155	1717	40.523
156	1650	39.6225
157	8241	38.722
158	6224	38.621500000000005
159	51065	38.521
160	30968	36.9205
161	8087	36.82
162	8335	35.8195
163	5936	34.719
164	51191	33.7185
165	293	32.718
166	6170	31.317500000000003
167	497661	30.417
168	6209	29.516499999999997
169	6173	28.615999999999996
170	6218	27.315499999999997
171	55681	26.314999999999998
172	55131	26.214
173	3007	24.813499999999998
174	6181	23.914499999999997
175	6161	23.512999999999998
176	8342	22.4125
177	11137	21.912
178	8971	20.6115
179	55107	19.7985
180	51602	19.611
181	6235	18.710500000000003
182	6949	17.71
183	55299	16.7095
184	25873	15.909
185	72	15.3085
186	9221	14.007499999999999
187	6727	13.707999999999998
188	7284	12.407
189	9188	11.506499999999999
190	1938	10.406
191	6156	9.8055
192	6732	8.303999999999998
193	4673	7.805
194	6205	7.0045
195	6206	6.7035
196	6229	5.303
197	6208	4.3025
198	6146	3.4019999999999997
199	6125	2.5015
200	81027	1.501
201	6217	0.8004999999999999
