rank	node	rank_score
1	51295	180.0
2	140545	179.09949999999998
3	2639	178.199
4	22983	176.098
5	54536	175.9985
6	11140	175.197
7	84171	174.6975
8	84106	174.2965
9	2	172.4955
10	9361	171.796
11	24138	170.79500000000002
12	3437	169.8945
13	1995	168.893
14	5886	168.69400000000002
15	7001	167.8935
16	51013	165.89249999999998
17	4846	165.791
18	6468	164.79000000000002
19	1558	164.49200000000002
20	642	163.5915
21	3337	162.2905
22	10724	160.9895
23	1020	160.189
24	54850	159.3885
25	1559	158.08800000000002
26	57559	157.3875
27	7372	156.487
28	22976	155.4865
29	4137	155.38600000000002
30	839	152.285
31	841	150.984
32	834	150.2845
33	837	149.1835
34	836	148.283
35	843	147.482
36	23581	146.5815
37	8837	145.881
38	840	144.78050000000002
39	835	143.78
40	10392	142.7795
41	331	141.779
42	4925	141.5785
43	842	140.478
44	598	138.477
45	22861	138.07750000000001
46	1832	137.9755
47	317	136.8765
48	64127	136.276
49	58484	134.475
50	637	134.074
51	29108	132.0745
52	10134	132.073
53	596	130.77249999999998
54	10017	129.772
55	6722	129.4735
56	57099	127.671
57	8767	124.853
58	330	123.85349999999998
59	1562	119.6855
60	1639	115.77150000000002
61	838	112.37049999999999
62	581	107.0685
63	339175	104.98499999999999
64	207	103.569
65	578	101.768
66	7316	101.1525
67	208	100.563
68	3320	97.147
69	6622	96.7615
70	7132	95.955
71	5599	94.16
72	27250	93.9605
73	329	93.8515
74	4170	91.5675
75	572	90.765
76	7431	90.711
77	8915	90.6505
78	27113	89.267
79	599	88.366
80	5366	87.96549999999999
81	8739	87.764
82	5894	87.7595
83	597	87.1645
84	10018	86.9665
85	8772	86.25699999999999
86	8795	85.8585
87	10000	85.761
88	3303	85.346
89	638	85.1635
90	355	84.85799999999999
91	90427	84.3625
92	8737	84.152
93	8996	83.25450000000001
94	27429	83.149
95	8717	82.951
96	3606	82.38250000000001
97	7416	81.70450000000001
98	10273	81.34549999999999
99	4478	81.25750000000001
100	7430	81.256
101	396	80.15650000000001
102	7186	79.3475
103	387	78.25399999999999
104	356	78.1555
105	3312	77.736
106	2081	76.748
107	7314	75.745
108	7185	75.4465
109	8797	72.25
110	79444	71.8485
111	9020	70.5415
112	3654	68.744
113	6885	68.3425
114	51535	67.966
115	55798	67.5845
116	23118	67.343
117	1326	65.6395
118	3305	65.6385
119	3551	65.542
120	203068	65.2375
121	113457	64.841
122	5590	63.2435
123	7189	62.737
124	10454	62.238
125	7278	61.539
126	10382	61.239999999999995
127	11035	61.1345
128	8517	60.7365
129	1147	60.4405
130	3309	59.334
131	3301	58.735
132	673	57.114999999999995
133	3002	56.470000000000006
134	9891	56.10799999999999
135	10277	56.06949999999999
136	4215	55.935500000000005
137	3313	53.532
138	29110	53.2325
139	10010	52.93299999999999
140	790	50.7265
141	4214	50.626
142	71	50.1335
143	4791	49.83
144	4793	49.731
145	4790	49.3295
146	805	48.7305
147	92609	47.9285
148	9545	47.762
149	4792	47.1315
150	5971	46.629000000000005
151	3326	46.622
152	4794	46.327999999999996
153	808	46.027499999999996
154	801	43.327
155	5970	42.625
156	5966	41.7255
157	9532	40.6245
158	7133	39.524
159	1213	38.823
160	3310	38.3235
