rank	node	rank_score
1	4994	180.1
2	4991	179.09949999999998
3	144125	158.499
4	91851	157.69850000000002
5	64388	156.898
6	650	156.0975
7	168667	155.297
8	9241	154.49650000000003
9	25928	153.696
10	25884	152.8955
11	654	152.095
12	657	151.2945
13	653	150.494
14	655	149.6935
15	659	148.893
16	658	148.0925
17	8200	147.292
18	92	146.09099999999998
19	392255	145.1915
20	93	144.7905
21	90	144.39000000000001
22	2022	143.3895
23	3624	142.589
24	3626	141.5885
25	91	140.68800000000002
26	3625	140.6875
27	3547	139.387
28	11167	138.3865
29	3623	137.786
30	7049	136.9855
31	10468	136.08499999999998
32	130399	135.0845
33	10220	133.9835
34	7046	133.583
35	9392	132.382
36	7040	130.98250000000002
37	7048	130.781
38	7042	130.4805
39	94	130.2815
40	23181	130.084
41	7043	128.57999999999998
42	58533	127.77950000000001
43	2331	126.579
44	28512	123.27849999999998
45	4092	122.878
46	4086	122.876
47	79674	122.67649999999999
48	58473	121.5755
49	51560	120.775
50	51285	119.97449999999999
51	121268	119.174
52	4089	118.07350000000001
53	23551	117.57249999999999
54	23682	117.07300000000001
55	4088	114.872
56	4087	114.37049999999999
57	4091	114.27150000000002
58	64750	113.271
59	29984	112.77000000000001
60	117583	112.6695
61	57154	110.369
62	9459	109.7665
63	8878	109.5685
64	83871	108.2675
65	55827	108.06800000000001
66	140901	106.06700000000001
67	4090	105.8655
68	84085	105.26599999999999
69	860	104.465
70	10273	103.6645
71	864	103.16399999999999
72	29068	103.1635
73	57111	101.3625
74	51176	100.363
75	11171	100.162
76	7554	98.1605
77	51588	97.9615
78	379	96.66
79	10140	96.561
80	64718	94.4595
81	10413	94.35900000000001
82	57381	93.7585
83	114990	93.3775
84	5058	93.35799999999999
85	4054	92.577
86	81788	92.4565
87	55761	92.0575
88	1601	90.8545
89	1855	90.054
90	8312	89.2535
91	54440	89.15599999999999
92	22800	87.857
93	7738	86.155
94	861	84.15299999999999
95	2033	79.8485
96	55914	79.65
97	79753	78.8475
98	163126	78.648
99	9372	78.5495
100	1499	77.949
101	2737	76.946
102	6497	76.94500000000001
103	10691	75.8465
104	6498	75.74249999999999
105	28996	75.34549999999999
106	51523	74.94200000000001
107	1387	74.147
108	145258	73.55199999999999
109	54778	73.451
110	5218	72.75550000000001
111	5371	72.3445
112	6996	70.543
113	1616	69.34400000000001
114	7161	69.14349999999999
115	10401	68.041
116	367	67.94149999999999
117	7329	66.2405
118	8554	65.34
119	4152	64.439
120	10114	63.2385
121	2752	62.138
122	3065	61.2375
123	5872	61.1515
124	204851	61.137
125	9611	58.2365
126	8202	57.036
127	2099	55.528999999999996
128	51592	52.3355
129	6597	51.632999999999996
130	5865	51.052499999999995
131	8841	50.534000000000006
132	7421	50.031
133	6599	48.7325
134	7157	48.0305
135	6601	46.2315
136	10499	45.5295
137	57492	42.632
138	2908	41.727999999999994
139	3172	40.334
140	3066	40.1265
141	6598	38.726
142	6595	37.224000000000004
143	25942	36.2255
144	1051	35.9325
145	1050	35.435500000000005
146	672	34.83
147	6602	34.423
148	6605	34.2245
149	7341	34.035000000000004
150	8289	33.925
151	6603	33.923500000000004
152	6604	30.4215
153	86	27.421000000000003
154	51742	26.1205
155	3725	25.928499999999996
156	3621	25.919999999999998
157	5928	25.9195
158	6908	25.415
159	8819	23.919
160	9612	23.8275
161	8932	22.718
162	9219	22.1175
163	5931	21.6185
164	6667	21.605
165	5977	21.4165
166	1108	20.817
167	2308	20.2335
168	57459	20.216
169	7750	19.607
170	53615	19.5155
171	10284	18.6145
172	1107	17.314
173	1024	17.0215
174	573	16.927
175	10498	16.222
176	3622	15.6345
177	6935	15.5365
178	8189	15.413499999999999
179	6880	15.312000000000001
180	7155	14.622499999999999
181	53981	14.613
182	4297	14.5125
183	23028	14.411000000000001
184	6878	14.3115
185	2959	13.306000000000001
186	6883	12.51
187	6872	12.0105
188	5929	12.0095
189	5901	11.509
190	4204	11.504
191	11091	10.2085
192	9943	10.1505
193	5914	10.128
194	54760	10.104
195	63976	10.0485
196	8467	9.808
197	25925	9.5495
198	7704	8.8275
199	4298	8.7195
200	7044	8.519
201	5925	8.004
202	9343	7.8075
203	1487	7.705500000000001
204	26135	7.539499999999999
205	1386	7.536499999999999
206	23186	6.906499999999999
207	2274	6.232
208	9412	6.203
209	10589	5.903499999999999
210	8850	5.8005
211	8648	5.7305
212	2965	5.4025
213	2962	5.2015
214	892	5.101
215	2960	4.902
216	3091	4.515
217	23054	4.433
218	85509	4.3025
219	5468	4.2255
220	6256	4.127000000000001
221	23309	4.1045
222	602	4.029
223	9759	3.9195
224	5594	3.819
225	2353	3.6325000000000003
226	9112	3.5035
227	5970	3.4770000000000003
228	6774	3.312
229	5599	3.016
230	9203	2.803
231	51317	2.502
232	23199	2.2015000000000002
233	2969	2.001
234	3360	1.8005
235	10362	1.003
236	54815	0.505
237	57504	0.501
238	6304	0.10200000000000001
239	4163	0.0995
240	29966	0.0985
241	8611	0.098
242	85369	0.0975
243	11235	0.097
244	7871	0.0965
245	6801	0.096
246	80143	0.0955
247	8428	0.095
248	10494	0.0945
249	26127	0.094
250	25843	0.0935
251	29888	0.093
252	54882	0.0925
253	55917	0.092
254	57464	0.0915
255	51765	0.091
