rank	node	rank_score
1	6667	179.09949999999998
2	6670	178.199
3	7022	177.0985
4	51341	174.79749999999999
5	875	173.39600000000002
6	6671	173.297
7	6574	172.898
8	4800	172.4955
9	51702	171.395
10	401	170.7965
11	4801	170.19400000000002
12	8721	169.0935
13	1514	167.59300000000002
14	23158	166.792
15	1869	166.3945
16	4603	164.9915
17	4802	163.1905
18	50509	161.99
19	1997	161.1895
20	1388	160.089
21	22926	157.988
22	6908	156.99099999999999
23	3065	147.2685
24	1387	141.785
25	3159	140.4865
26	6597	140.38299999999998
27	1584	140.1
28	6722	138.68699999999998
29	2033	138.6825
30	23126	137.186
31	5925	137.0755
32	1051	135.8835
33	367	131.178
34	6599	129.8705
35	3725	128.18
36	2099	127.17649999999999
37	672	126.668
38	6601	124.0675
39	8202	123.88050000000001
40	5371	122.373
41	6598	121.46399999999998
42	6721	121.3885
43	4088	120.475
44	7421	119.97849999999998
45	3066	119.66300000000001
46	5928	119.5605
47	1385	119.1845
48	6595	119.0635
49	9611	118.872
50	1958	118.58400000000002
51	4087	117.571
52	6602	117.3625
53	25942	117.0615
54	9612	115.77950000000001
55	23054	113.679
56	1593	112.5875
57	6603	112.25999999999999
58	8289	111.45900000000002
59	8841	110.96700000000001
60	6604	110.4595
61	6605	108.36100000000002
62	2959	106.4645
63	86	105.0575
64	8819	103.25050000000002
65	57492	102.862
66	6872	102.751
67	861	102.57150000000001
68	5931	102.25
69	1024	100.9585
70	54760	100.458
71	51742	99.9495
72	9219	99.1485
73	3621	98.949
74	2962	98.657
75	7155	98.5385
76	2965	98.45599999999999
77	10589	97.6555
78	28996	97.4805
79	9412	96.7565
80	53615	96.2475
81	10284	95.947
82	2960	95.45450000000001
83	892	95.05499999999999
84	8850	94.3535
85	6880	93.748
86	6256	93.38550000000001
87	8932	92.941
88	2908	92.4735
89	6878	92.4465
90	4297	91.946
91	10401	91.46549999999999
92	8189	91.345
93	57459	90.84
94	478	90.79249999999999
95	53981	90.5455
96	1108	90.5405
97	5977	89.6395
98	23028	89.0435
99	8648	88.98150000000001
100	5430	88.453
101	5929	88.44449999999999
102	6883	88.444
103	1107	88.4425
104	4089	88.27000000000001
105	5468	87.782
106	2967	87.4525
107	2071	86.5515
108	5970	86.06649999999999
109	3172	85.977
110	11091	85.94300000000001
111	1022	85.752
112	8467	84.7415
113	5901	83.74199999999999
114	6662	82.881
115	6996	82.77250000000001
116	9343	81.539
117	5451	81.46900000000001
118	1386	77.4745
119	10499	76.3775
120	602	75.366
121	23186	74.03299999999999
122	7067	72.954
123	23309	72.23150000000001
124	9112	72.13199999999999
125	5627	72.0915
126	7750	71.83250000000001
127	2969	71.3335
128	9203	70.131
129	51317	68.53
130	54815	68.0305
131	85509	67.7285
132	23199	67.62950000000001
133	3360	66.429
134	10362	64.628
135	4609	64.3375
136	7329	63.68050000000001
137	1487	63.2275
138	7528	63.137
139	57504	61.626999999999995
140	10498	60.3365
141	9031	55.625
142	196528	52.0355
143	11177	51.224000000000004
144	4204	50.7305
145	60	50.636
146	55193	50.635000000000005
147	1050	49.974000000000004
148	5914	48.7265
149	51412	47.934000000000005
150	10274	47.721500000000006
151	51592	47.565
152	10735	47.421
153	55636	45.2245
154	5885	45.2205
155	5469	43.138
156	8204	41.126
157	11198	41.123000000000005
158	8295	36.4255
159	3516	36.2235
160	1025	35.9225
161	7048	35.488
162	5594	35.476
163	1719	35.1865
164	2353	35.1695
165	7341	34.4245
166	7704	32.216499999999996
167	4298	31.02
168	7161	30.623
169	4654	27.8145
170	7044	25.6195
171	9126	22.851499999999998
172	6304	22.3325
173	8243	21.852
174	1457	20.021
175	3164	19.5345
176	604	19.514
177	904	17.319
178	20	16.585
179	2100	16.117
180	55809	15.981
181	9325	15.9605
182	6830	15.722
183	9862	15.217500000000001
184	8554	14.4745
185	1017	14.2185
186	4331	14.118
187	4193	13.607499999999998
188	10891	12.715
189	2648	12.114
190	6497	11.925
191	9440	11.516
192	3297	11.5105
193	9282	10.7155
194	3054	10.0505
195	2961	10.025
196	9968	9.5145
197	9439	9.113499999999998
198	902	8.8185
199	2068	8.5275
200	2966	8.527
201	84246	8.508
202	10025	8.213
203	9969	8.012
204	64426	7.981999999999999
205	3308	7.847499999999999
206	2968	7.8245000000000005
207	2963	7.8215
208	10001	7.8125
209	9739	7.4545
210	8473	7.447
211	9070	7.247999999999999
212	9441	7.004
213	5440	6.9265
214	51586	6.910500000000001
215	81857	6.909999999999999
216	2957	6.8134999999999994
217	25855	6.6815
218	3320	6.628
219	5439	6.6255
220	6613	6.614
221	9443	6.511
222	5435	6.3235
223	5438	6.126
224	9477	5.809
225	90390	5.5085
226	9442	5.4094999999999995
227	5431	5.3285
228	5434	5.322
229	29079	5.3075
230	5433	5.123
231	8535	5.101
232	400569	5.007
233	5436	4.5225
234	23389	4.5065
235	5432	4.224
236	6837	4.206
237	5241	4.1240000000000006
238	4790	3.907
239	5437	3.721
240	3312	3.7125
241	23097	3.7055
242	5441	3.4204999999999997
243	8431	3.4195
244	3091	3.415
245	54797	3.405
246	112950	3.4045
247	55588	3.4025
248	5595	3.3145000000000002
249	8290	3.2340000000000004
250	26015	3.12
251	9759	3.011
252	9150	2.8195
253	55090	2.603
254	6257	2.5004999999999997
255	219541	2.0015
256	80306	1.9035
257	51003	1.902
258	79595	1.4805
259	9967	0.9115
260	3622	0.8825
261	5926	0.784
262	84312	0.681
263	404672	0.6174999999999999
264	399511	0.518
265	9794	0.3165
266	1718	0.0995
267	51147	0.0995
268	155	0.0985
269	1580	0.091
270	9421	0.086
271	5933	0.08549999999999999
272	3064	0.08399999999999999
273	4487	0.08349999999999999
