rank	node	rank_score
1	4137	178.2
2	83941	177.899
3	841	176.19549999999998
4	839	174.09949999999998
5	836	172.5885
6	339175	171.99650000000003
7	65267	165.6835
8	55798	164.79749999999999
9	834	150.897
10	6714	139.586
11	320	138.899
12	837	128.296
13	2885	124.3845
14	25	117.99249999999999
15	2534	117.8865
16	1795	116.9905
17	831	110.479
18	5295	108.582
19	81491	106.242
20	5335	104.86599999999999
21	11184	104.48150000000001
22	56995	104.4775
23	4067	103.97999999999999
24	57190	103.87449999999998
25	6792	102.939
26	83464	100.495
27	6654	100.46900000000001
28	7316	99.284
29	1956	99.26700000000001
30	57007	99.183
31	6850	98.5805
32	23385	96.7945
33	6655	96.178
34	6464	95.96849999999999
35	867	95.1755
36	80831	95.175
37	4690	94.86749999999999
38	613	94.576
39	1399	93.777
40	2889	93.561
41	1398	93.4725
42	5921	92.8535
43	6667	92.587
44	56955	91.8605
45	4925	91.1885
46	7535	89.37
47	57127	85.3765
48	10006	85.04400000000001
49	2185	83.94550000000001
50	7287	82.3655
51	5777	82.2465
52	128853	81.8475
53	445815	81.75699999999999
54	3937	81.168
55	9564	81.0645
56	2065	80.75550000000001
57	10278	79.464
58	9546	78.3915
59	7837	78.381
60	7409	78.1695
61	3055	75.15299999999999
62	1796	75.048
63	27	74.765
64	868	74.756
65	27040	74.474
66	9749	74.255
67	25981	73.991
68	83747	73.5435
69	5781	73.46000000000001
70	843	73.2945
71	23230	73.2735
72	840	72.4975
73	3606	71.988
74	29760	71.2665
75	5336	71.245
76	84898	71.19300000000001
77	8837	71.091
78	23581	70.48949999999999
79	9103	70.1045
80	4233	69.559
81	835	69.08500000000001
82	598	68.983
83	5829	68.537
84	55824	68.351
85	2064	68.2375
86	1499	67.525
87	5747	67.1335
88	58512	67.0515
89	10392	66.9865
90	3815	66.672
91	331	66.586
92	842	66.5835
93	5159	66.5635
94	5590	66.4025
95	11250	65.263
96	29886	62.573
97	4969	62.443000000000005
98	3717	62.041
99	2057	61.871500000000005
100	29998	61.7505
101	92591	61.4625
102	3932	59.521
103	64111	59.447
104	9054	59.285000000000004
105	79890	58.4625
106	81543	58.462
107	57292	58.331999999999994
108	7798	58.053999999999995
109	7087	56.2895
110	51107	56.194
111	55851	55.785000000000004
112	50807	55.746
113	7177	55.652
114	322	54.69
115	1020	54.685500000000005
116	5287	54.6595
117	126669	53.69199999999999
118	10134	53.2875
119	6452	52.731500000000004
120	23787	52.38099999999999
121	2137	51.871
122	6461	51.849000000000004
123	1436	51.33299999999999
124	10451	51.14
125	2549	50.9245
126	7462	49.743
127	3643	49.3445
128	7700	48.941500000000005
129	4582	48.534000000000006
130	2209	48.4305
131	3780	47.6835
132	22861	47.6825
133	2066	47.2525
134	6622	47.008
135	9743	46.701
136	2213	45.62
137	10603	42.8185
138	54923	42.440999999999995
139	85358	42.2545
140	317	41.9805
141	1445	41.826
142	27240	41.814499999999995
143	7314	40.909000000000006
144	64714	40.663
145	64499	40.25
146	8529	39.8585
147	114132	39.638
148	5788	38.935500000000005
149	7410	38.8195
150	2321	38.63
151	30818	38.498000000000005
152	5594	38.3075
153	9793	37.3615
154	10750	37.152
155	8853	36.723
156	27071	36.101
157	162989	35.89
158	9191	35.887
159	3791	35.542500000000004
160	1775	35.3825
161	81875	35.2405
162	115352	35.0385
163	10277	34.391999999999996
164	64127	33.8765
165	2802	33.5775
166	6777	33.3495
167	2887	32.927
168	58484	32.868
169	56851	32.2365
170	640	32.2235
171	5156	31.3565
172	5795	31.324
173	330	31.28
174	8772	31.077999999999996
175	4914	30.821500000000004
176	8795	30.753499999999995
177	114784	30.3485
178	60401	30.0685
179	7132	28.972
180	637	28.778499999999998
181	10019	28.744
182	5782	28.7175
183	8996	28.671000000000003
184	930	28.1795
185	5925	28.082
186	3635	27.938
187	10657	27.015499999999996
188	10818	26.714999999999996
189	3480	25.0285
190	1832	23.5845
191	1139	23.531
192	30011	23.139499999999998
193	56141	22.3705
194	9784	22.23
195	146722	22.105
196	5770	22.0255
197	6776	21.857999999999997
198	22839	20.6785
199	7525	20.211000000000002
200	6774	20.028
201	5595	19.6115
202	7185	19.1705
203	5414	19.1605
204	9020	19.0565
205	3903	19.0155
206	124599	18.9925
207	9436	18.4875
208	23429	18.4675
209	4058	18.436
210	8651	18.216
211	329	18.177500000000002
212	3716	18.0265
213	55957	17.9935
214	8767	17.984
215	682	17.889
216	10194	17.7875
217	8737	17.674
218	3702	17.512999999999998
219	5894	17.502
220	8915	17.3725
221	8517	17.1645
222	6722	16.9735
223	7275	16.909
224	8797	16.86
225	558	16.607499999999998
226	5793	16.514
227	3667	16.5135
228	4634	16.2695
229	3875	16.179499999999997
230	1439	16.1295
231	974	16.1225
232	25970	16.104
233	441478	15.961000000000002
234	23483	15.837
235	7186	15.773
236	8717	15.6745
237	5578	15.3345
238	9229	15.218
239	5800	15.207999999999998
240	3002	15.078999999999999
241	355	15.0755
242	3312	15.0365
243	9472	14.9575
244	790	14.953
245	3303	14.866
246	4739	14.848500000000001
247	7189	14.75
248	10273	14.663999999999998
249	6506	14.5795
250	3301	14.4345
251	23118	14.347999999999999
252	113457	14.259
253	5599	14.220500000000001
254	695	14.206999999999999
255	933	14.135
256	83596	14.062000000000001
257	55715	14.003
258	203068	13.958000000000002
259	2690	13.9165
260	3320	13.865
261	11035	13.6435
262	4478	13.5525
263	10892	13.4385
264	23624	13.419
265	389114	13.266499999999999
266	7539	13.220499999999998
267	958	13.035
268	2212	12.9245
269	5296	12.912
270	113802	12.87
271	26133	12.7515
272	581	12.6505
273	3654	12.6295
274	7278	12.547
275	3305	12.4455
276	4215	12.3255
277	23601	12.277
278	9187	12.222
279	7454	12.2015
280	5979	12.1015
281	3551	12.0495
282	4145	12.016499999999999
283	11140	11.9375
284	1147	11.843
285	7763	11.715
286	5175	11.7035
287	6885	11.647499999999999
288	10913	11.5315
289	10758	11.440999999999999
290	10382	11.3305
291	55437	11.245000000000001
292	92609	11.149
293	2206	11.127500000000001
294	4671	10.9485
295	7430	10.939
296	71	10.7265
297	708	10.607
298	10454	10.5325
299	4214	10.3235
300	220717	10.222
301	1441	10.219
302	9532	10.129000000000001
303	1213	10.004000000000001
304	1917	9.916500000000001
305	4794	9.834
306	7133	9.746500000000001
307	347733	9.621500000000001
308	7431	9.5735
309	7534	9.505500000000001
310	3313	9.4055
311	7187	9.3655
312	8792	9.245999999999999
313	3309	9.144499999999999
314	85366	9.012
315	6233	8.9195
316	5971	8.831
317	10044	8.810500000000001
318	3310	8.726
319	7006	8.7005
320	396	8.657
321	11006	8.6325
322	29934	8.547
323	3308	8.5125
324	9131	8.442499999999999
325	3326	8.337
326	26191	8.327
327	4791	8.233
328	4790	8.129999999999999
329	6098	8.017
330	5580	8.008500000000002
331	6207	7.705
332	4792	7.6209999999999996
333	5970	7.524500000000001
334	2334	7.4325
335	2316	7.414
336	9402	6.928999999999999
337	6772	6.909999999999999
338	805	6.9015
339	408	6.418000000000001
340	9641	6.314500000000001
341	7873	6.111
342	207	6.067
343	2099	6.0465
344	1654	5.8155
345	1326	5.738
346	100124696	5.7115
347	4486	5.5255
348	808	5.517
349	80739	5.431
350	2289	5.3275
351	7311	5.2065
352	2322	5.1049999999999995
353	4646	5.01
354	400745	4.917
355	801	4.8335
356	7529	4.724
357	56957	4.602
358	4637	4.401
359	3560	4.2225
360	29110	4.220000000000001
361	4007	4.202
362	2081	4.157500000000001
363	401152	4.023
