rank	node	rank_score
1	6141	172.898
2	3921	164.89749999999998
3	140032	163.5635
4	6206	160.69549999999998
5	6189	157.995
6	6176	153.5915
7	6146	153.392
8	6170	153.0655
9	497661	152.6645
10	6192	152.06
11	6156	148.496
12	6209	148.064
13	6217	142.346
14	6222	141.8875
15	6167	141.6585
16	6173	140.2605
17	641	139.2995
18	6227	139.057
19	6218	138.4575
20	4736	138.15050000000002
21	6235	137.661
22	6155	137.458
23	6205	137.1625
24	6161	136.4565
25	6175	135.5845
26	6130	135.47750000000002
27	6171	135.45499999999998
28	2197	134.95149999999998
29	6181	133.25349999999997
30	6164	132.053
31	25873	131.452
32	6208	131.44650000000001
33	6191	131.381
34	6125	130.56300000000002
35	6230	129.651
36	6207	129.476
37	6193	129.05599999999998
38	6133	128.54500000000002
39	6234	128.248
40	6228	125.362
41	6202	124.374
42	6122	122.3445
43	6232	121.64850000000001
44	6187	120.843
45	6138	120.06500000000001
46	6224	119.34700000000001
47	6203	118.772
48	6168	118.154
49	6129	117.9725
50	55646	117.7365
51	6160	116.54249999999999
52	6132	115.6615
53	6143	115.25250000000001
54	6169	114.549
55	6136	113.4555
56	6134	113.44749999999999
57	6158	111.9455
58	6124	111.65450000000001
59	4691	111.473
60	9045	110.94949999999999
61	23521	110.744
62	6128	110.25900000000001
63	55131	109.63550000000001
64	6157	108.84349999999999
65	4869	108.793
66	6147	108.65950000000001
67	6142	105.94200000000001
68	6137	105.2415
69	6194	103.65
70	6159	103.34049999999999
71	7311	103.03899999999999
72	11224	102.74099999999999
73	6188	102.337
74	7846	101.89349999999999
75	6144	101.14
76	6210	100.9395
77	7156	98.79400000000001
78	72	97.466
79	6152	97.338
80	3007	97.2345
81	378708	96.499
82	6154	95.9375
83	6117	95.096
84	9349	94.8385
85	1938	94.332
86	7150	93.421
87	6233	93.336
88	4904	93.289
89	11137	93.034
90	2023	91.6965
91	10969	91.33250000000001
92	8971	91.23299999999999
93	51602	88.8305
94	55681	88.131
95	6949	87.82849999999999
96	3178	87.0895
97	8342	86.53
98	9221	86.43350000000001
99	55299	85.2295
100	9188	84.6315
101	26156	83.827
102	6727	83.729
103	6732	82.83500000000001
104	10642	80.723
105	7284	80.5275
106	10514	80.3255
107	4673	80.02799999999999
108	3320	78.5
109	2188	78.197
110	57697	78.099
111	6119	78.0955
112	80010	77.5965
113	5245	77.275
114	55120	76.998
115	81027	76.725
116	6118	75.394
117	80233	75.2
118	4292	75.0925
119	10202	74.5985
120	201254	73.49449999999999
121	51631	73.1245
122	26354	72.4225
123	3609	71.4265
124	292	71.022
125	2091	69.826
126	3608	68.3235
127	4670	66.524
128	3192	63.8215
129	4809	63.2195
130	1660	61.519000000000005
131	11338	61.42049999999999
132	1915	61.21849999999999
133	7307	60.720000000000006
134	728937	56.718
135	22907	54.6155
136	3326	54.56849999999999
137	309	53.1905
138	23345	52.0125
139	6139	51.8135
140	284695	50.815
141	6749	49.4945
142	11331	49.4095
143	27043	47.714
144	23450	47.408
145	170506	46.910000000000004
146	55226	46.7105
147	1314	45.807
148	388698	45.011
149	5250	44.217
150	9782	44.0065
151	23405	43.805
152	9733	40.301
153	23560	39.7115
154	26608	38.7045
155	5111	36.589999999999996
156	116028	36.2945
157	10056	35.897000000000006
158	50628	35.827
159	5094	35.709
160	51202	35.702
161	55003	35.506
162	7417	35.4925
163	5042	34.5055
164	7419	34.291
165	4637	33.98350000000001
166	3183	33.712
167	9329	33.303999999999995
168	54881	33.3035
169	27335	33.29
170	8344	32.984
171	301	32.979499999999994
172	302	32.4785
173	2058	32.1175
174	27292	31.902499999999996
175	10480	31.8885
176	3842	31.687
177	8662	31.4865
178	8668	31.283000000000005
179	1933	30.986
180	8886	30.7015
181	8663	30.6855
182	8664	30.385
183	4311	29.887999999999998
184	498	29.7825
185	2597	29.771000000000004
186	3837	29.6755
187	3184	29.482
188	81887	29.4005
189	920	29.1815
190	3646	28.9805
191	7416	28.78
192	2975	28.7175
193	10419	28.607999999999997
194	1974	28.378999999999998
195	2332	28.302999999999997
196	10128	28.177999999999997
197	2771	27.877
198	10399	27.676499999999997
199	8487	27.416499999999996
200	5901	26.7745
201	3181	26.573500000000003
202	3187	26.370500000000003
203	10989	26.019
204	203068	25.97
205	3329	25.7695
206	1654	25.5715
207	1994	25.5085
208	3932	25.269
209	60	24.866500000000002
210	7431	24.668
211	83858	24.52
212	1655	24.067500000000003
213	3312	23.967000000000002
214	57418	23.6195
215	9020	22.9145
216	3191	22.807499999999997
217	23263	22.4185
218	26986	22.216500000000003
219	1748	21.718
220	23451	21.116
221	10492	21.0115
222	6950	20.613
223	9775	20.411
224	6184	20.0155
225	25885	19.4145
226	22909	18.4905
227	9533	18.014
228	83939	17.79
229	2072	16.896
230	5976	16.7125
231	9513	14.810500000000001
232	4343	14.7095
233	30968	14.1035
234	5936	14.004
235	10643	13.009
236	23020	12.61
237	55037	11.2075
238	222235	10.107
239	509	8.8065
240	8087	8.406
241	3188	8.3055
242	10772	7.6049999999999995
243	84844	7.400499999999999
244	8335	6.803
245	11103	6.2015
246	51191	5.7025
247	55379	5.401000000000001
248	51065	5.2045
249	1665	5.101999999999999
250	79084	3.5065
251	10992	3.1079999999999997
252	56945	2.9074999999999998
253	23107	2.5060000000000002
254	64960	2.2030000000000003
255	3185	1.7025
256	64969	1.1019999999999999
257	284996	0.8030000000000002
258	84319	0.8015000000000001
259	51116	0.6005
260	51639	0.40099999999999997
261	51649	0.10049999999999999
262	11062	0.099
263	51582	0.0985
264	5426	0.091
265	54859	0.0865
266	6709	0.086
267	8241	0.003
268	1717	0.0005
