rank	node	rank_score
1	140032	179.099
2	6192	177.79850000000002
3	6167	175.198
4	6141	174.9
5	6227	172.9975
6	6171	170.997
7	497661	169.995
8	2197	169.4955
9	6164	169.096
10	6170	167.3935
11	6230	166.1945
12	6209	166.0925
13	6234	164.994
14	6173	164.5915
15	6161	163.291
16	6235	162.1905
17	6181	160.59
18	6232	160.393
19	3921	159.789
20	25873	159.1895
21	6206	158.8885
22	4736	156.488
23	6155	155.3875
24	6169	154.592
25	6208	153.18699999999998
26	6156	152.1865
27	6133	151.286
28	6146	151.185
29	6217	150.1855
30	6224	149.6835
31	6205	148.1845
32	6122	147.28400000000002
33	6193	145.7825
34	6138	145.583
35	6189	144.9635
36	6168	143.882
37	6228	142.6815
38	6143	141.781
39	6176	141.279
40	6134	140.6805
41	6158	139.57999999999998
42	23521	138.5795
43	7311	138.1745
44	6157	136.67849999999999
45	6222	136.477
46	6142	135.578
47	6160	134.6775
48	6233	133.67249999999999
49	6136	132.9765
50	6147	131.976
51	6175	131.674
52	11224	130.9755
53	6124	130.075
54	6191	128.37
55	9045	127.8735
56	6132	126.673
57	6188	125.4695
58	6137	125.172
59	55646	125.0625
60	6159	124.17150000000001
61	6144	123.271
62	55131	122.7615
63	6210	122.37049999999999
64	6194	120.46900000000001
65	6130	120.167
66	6152	119.5685
67	6154	118.668
68	6207	117.96599999999998
69	6187	117.7675
70	6202	116.5655
71	6128	115.9665
72	6129	115.56500000000001
73	6203	114.2645
74	4869	112.29650000000001
75	9349	111.86399999999999
76	3007	109.862
77	11137	108.561
78	1938	107.957
79	8971	107.4605
80	51602	106.25999999999999
81	55681	105.3595
82	8342	104.05900000000001
83	55299	103.05850000000001
84	72	101.65799999999999
85	10969	101.0565
86	6727	100.3575
87	6949	98.6555
88	641	98.0
89	9221	97.55499999999999
90	7284	96.6535
91	10642	96.15450000000001
92	9188	95.553
93	10514	94.9515
94	26156	94.856
95	4673	93.85249999999999
96	6732	92.352
97	4904	92.063
98	26354	91.95
99	81027	90.551
100	51631	88.9505
101	292	88.5485
102	3608	87.3465
103	3609	87.25399999999999
104	2091	85.6495
105	7150	85.4475
106	7846	83.049
107	4691	82.048
108	3178	80.947
109	4670	80.146
110	3192	79.545
111	2176	78.89
112	4809	78.74549999999999
113	11338	77.2435
114	7307	76.043
115	1660	75.94449999999999
116	1915	75.144
117	728937	73.3425
118	22907	71.6405
119	5245	70.03999999999999
120	23345	69.839
121	284695	68.3375
122	6139	67.941
123	55226	67.635
124	11331	64.9365
125	27043	64.3355
126	388698	63.741499999999995
127	170506	63.6395
128	9782	61.2325
129	23560	60.742000000000004
130	23405	60.43150000000001
131	5250	60.036
132	1314	59.438
133	7156	59.0955
134	57697	58.495000000000005
135	23450	58.437
136	26608	58.0385
137	5094	55.628
138	9733	55.034000000000006
139	50628	54.8335
140	55003	53.53099999999999
141	3183	52.13199999999999
142	5042	51.43050000000001
143	9329	50.927499999999995
144	2975	50.233
145	54881	50.13
146	2058	49.019999999999996
147	27292	48.028999999999996
148	2332	47.7245
149	51202	46.628499999999995
150	8886	45.527
151	81887	44.426
152	3326	44.1265
153	1994	43.1225
154	83858	42.9255
155	57418	41.725
156	10989	40.719
157	23263	40.624
158	1748	39.6235
159	3191	39.322
160	8487	38.7295
161	378708	38.4935
162	26986	37.834500000000006
163	6184	36.623000000000005
164	25885	36.4215
165	10492	35.8175
166	23451	35.1185
167	6950	34.6195
168	9533	34.221000000000004
169	5976	31.420499999999997
170	9775	30.016
171	10419	29.415
172	4343	27.816499999999998
173	9513	27.717000000000002
174	23020	25.918
175	10643	25.615499999999997
176	5936	25.611
177	55037	22.8145
178	222235	20.2135
179	201254	20.099
180	80233	20.0985
181	8087	20.012999999999998
182	51065	19.5025
183	30968	19.407
184	509	19.314
185	80010	18.591
186	2188	18.094
187	6119	17.9965
188	3188	17.3125
189	8335	16.806
190	10772	15.612
191	84844	14.41
192	11103	14.3115
193	51191	13.601999999999999
194	56945	12.8095
195	55379	12.310500000000001
196	1665	10.209
197	23107	9.208
198	79084	8.5075
199	10992	6.708500000000001
200	64960	5.2065
201	3185	4.904999999999999
202	8241	3.401
203	64969	2.9055
204	284996	2.7015000000000002
205	1717	2.2009999999999996
206	51116	2.1045000000000003
207	51639	2.003
208	84319	1.6039999999999999
209	51649	1.404
210	57835	1.3005
211	51021	0.8035
212	388697	0.40049999999999997
213	1650	0.20099999999999998
214	56852	0.0995
215	11062	0.0975
216	10202	0.0965
217	6117	0.095
218	116028	0.0935
219	293	0.003
