rank	node	rank_score
1	6709	177.2965
2	6546	171.29149999999998
3	6711	166.3945
4	3048	158.3
5	6005	154.69850000000002
6	287	153.696
7	54625	152.899
8	2995	133.99650000000003
9	5199	131.898
10	7316	127.59949999999999
11	2885	123.795
12	3046	119.5
13	118	115.09549999999999
14	1616	114.9935
15	7529	106.9835
16	10878	96.896
17	6714	95.475
18	2994	92.696
19	6233	87.4975
20	7314	86.79249999999999
21	7311	81.99199999999999
22	56957	81.579
23	57007	80.38
24	4194	78.083
25	721	73.3915
26	3780	70.7895
27	6667	67.592
28	8724	67.0895
29	152137	64.1815
30	245711	64.09
31	7532	63.580999999999996
32	11326	56.697
33	25	54.489999999999995
34	25946	54.1955
35	7157	53.972
36	1956	53.661500000000004
37	3621	45.7645
38	7345	44.97
39	7763	44.474000000000004
40	1027	44.266999999999996
41	7837	44.1755
42	4193	42.986000000000004
43	3312	41.286
44	50807	40.222500000000004
45	3480	39.869
46	4215	39.4855
47	2064	39.352
48	5335	38.85
49	5580	38.635000000000005
50	1639	38.194
51	7534	37.8725
52	867	37.473
53	4233	37.429
54	3300	37.1885
55	2175	37.091499999999996
56	8737	36.8775
57	51024	36.5875
58	6850	36.4495
59	653226	36.293
60	2534	36.275
61	5578	36.209500000000006
62	5295	35.868
63	7874	35.687
64	6464	35.472500000000004
65	246	35.39149999999999
66	8916	35.382
67	54708	35.1865
68	8562	34.984500000000004
69	1398	34.769999999999996
70	408	34.7525
71	409	34.751
72	5077	34.582
73	5591	34.346500000000006
74	613	34.083000000000006
75	58512	33.9425
76	4690	33.757
77	4067	33.476
78	3932	33.121500000000005
79	3897	33.079499999999996
80	11035	32.987
81	3326	32.5595
82	1399	32.1645
83	56254	31.963
84	10987	31.774
85	23136	31.661
86	30850	31.275
87	10006	31.2545
88	11184	31.148500000000002
89	5747	30.857999999999997
90	6654	30.761000000000003
91	3643	30.465999999999998
92	2185	30.4435
93	3667	30.374000000000002
94	2889	30.362000000000002
95	4904	30.326
96	7531	29.771000000000004
97	27342	29.083000000000006
98	4137	28.883499999999998
99	2081	28.584000000000003
100	6655	28.460500000000003
101	5770	28.0865
102	7533	27.96
103	2065	27.9475
104	1457	27.924
105	5788	27.849
106	7409	27.847
107	5781	27.764
108	9846	27.7635
109	5777	27.565499999999997
110	85358	27.542
111	58	27.3935
112	868	27.336000000000002
113	5590	27.305500000000002
114	3937	27.141
115	3320	27.077999999999996
116	7189	27.070500000000003
117	56955	27.0525
118	80831	26.9555
119	5159	26.7565
120	30011	26.7135
121	60	26.5825
122	5921	26.267500000000002
123	27	26.043
124	128853	25.846500000000002
125	23118	25.685000000000002
126	3717	25.363
127	55824	25.0715
128	5782	25.032999999999998
129	7248	24.965
130	2057	24.866500000000002
131	7535	24.844
132	6452	24.815
133	7415	24.7425
134	6885	24.476999999999997
135	9564	24.458499999999997
136	445815	24.248
137	10451	23.7455
138	10892	23.6675
139	3551	23.369
140	3815	23.367
141	83747	22.8345
142	203068	22.579500000000003
143	8651	22.551
144	29760	22.3375
145	5336	22.240000000000002
146	3055	22.1405
147	8717	22.072
148	1796	22.055
149	1441	22.026
150	7132	21.588
151	3303	21.3655
152	4628	21.2825
153	4627	20.948
154	5829	20.8385
155	6774	20.631999999999998
156	10657	20.631
157	3309	20.568
158	56995	20.5535
159	841	20.553
160	6772	20.529500000000002
161	27040	20.430500000000002
162	5970	20.162
163	10603	19.856
164	3725	19.810499999999998
165	7410	19.6125
166	9759	19.392500000000002
167	9103	19.302500000000002
168	392510	19.2895
169	8853	19.275
170	3716	19.146
171	2549	19.139499999999998
172	5566	19.0795
173	91624	18.683500000000002
174	4632	18.593
175	5296	18.450499999999998
176	126669	18.188499999999998
177	3684	18.188
178	8660	18.1695
179	6549	18.086000000000002
180	1029	17.9555
181	10278	17.937
182	4793	17.759999999999998
183	1445	17.738
184	717	17.691499999999998
185	4478	17.686
186	79184	17.5765
187	83737	17.478
188	2066	17.3335
189	960	17.188499999999998
190	84033	17.091
191	7430	17.0825
192	26064	16.9805
193	23429	16.9635
194	285855	16.8805
195	57190	16.878999999999998
196	2321	16.823500000000003
197	1387	16.782
198	1758	16.693
199	7525	16.654
200	23586	16.580000000000002
201	22839	16.28
202	92591	16.178
203	8529	16.0775
204	1439	16.027
205	5894	15.906
206	7347	15.878499999999999
207	4637	15.836000000000002
208	7287	15.8215
209	84717	15.7745
210	165918	15.681999999999999
211	6793	15.6775
212	6776	15.653
213	6777	15.5575
214	3560	15.535499999999999
215	5594	15.4165
216	6792	15.382499999999999
217	4914	15.3625
218	498	15.131
219	1436	15.065000000000001
220	301	15.0455
221	6207	14.841500000000002
222	4486	14.651499999999999
223	5429	14.620500000000002
224	356	14.607
225	3702	14.519
226	2969	14.4345
227	695	14.410500000000003
228	558	14.409
229	60598	14.3655
230	4738	14.1685
231	8728	14.075999999999999
232	10971	13.9625
233	9020	13.956999999999999
234	64714	13.937000000000001
235	51305	13.559000000000001
236	7486	13.558000000000002
237	3777	13.449000000000002
238	9749	13.444999999999999
239	7846	13.433499999999999
240	6191	13.4315
241	5111	13.27
242	1840	12.977
243	7249	12.961500000000001
244	10128	12.938999999999998
245	6135	12.934000000000001
246	4792	12.763
247	672	12.747
248	3635	12.73
249	3769	12.479000000000001
250	1213	12.4625
251	7462	12.336500000000001
252	801	12.256499999999999
253	2690	12.245000000000001
254	6223	12.232
255	3014	11.8835
256	51474	11.8665
257	23164	11.754999999999999
258	7006	11.623
259	1601	11.501000000000001
260	7128	11.453
261	10454	11.371500000000001
262	3654	11.262
263	113457	11.1695
264	7155	11.1575
265	7431	11.1505
266	8517	11.071
267	6202	11.0355
268	6201	10.9305
269	29110	10.7745
270	156	10.7735
271	5901	10.728
272	2209	10.711
273	7278	10.6735
274	3269	10.667
275	4691	10.503
276	1147	10.456
277	1654	10.4395
278	10382	10.375499999999999
279	3065	10.374500000000001
280	57127	10.370000000000001
281	2887	10.359
282	7186	10.2785
283	27240	10.234
284	1326	10.1685
285	302	10.154
286	3718	10.131499999999999
287	5795	10.124500000000001
288	3313	9.9615
289	6128	9.841
290	3308	9.801
291	5287	9.7595
292	6204	9.7325
293	1017	9.7235
294	3305	9.673
295	207	9.6535
296	10010	9.564499999999999
297	4794	9.3605
298	4609	9.326
299	4790	9.261
300	9021	9.2325
301	808	9.057500000000001
302	7275	9.0285
303	5971	8.959
304	8243	8.9215
305	71	8.8585
306	1869	8.828
307	6146	8.8275
308	790	8.7765
309	3875	8.6635
310	1917	8.652
311	5156	8.644499999999999
312	4791	8.564
313	4214	8.466
314	10750	8.425
315	1459	8.384
316	6156	8.3495
317	5787	8.308
318	857	8.2155
319	8454	8.143
320	2033	8.14
321	805	8.063500000000001
322	6203	8.025
323	5800	7.8165
324	92609	7.755
325	4582	7.715999999999999
326	9641	7.694
327	3575	7.6275
328	8607	7.554
329	2099	7.542
330	220717	7.4475
331	8239	7.3454999999999995
332	5925	7.336499999999999
333	347733	7.2545
334	7133	7.176
335	6597	7.0845
336	10856	7.044499999999999
337	9532	6.9505
338	7185	6.8515
339	26191	6.8180000000000005
340	3066	6.664
341	5966	6.6579999999999995
342	6129	6.6375
343	11140	6.5489999999999995
344	6206	6.528999999999999
345	6461	6.525499999999999
346	3301	6.472499999999999
347	7454	6.412999999999999
348	5371	6.386
349	6130	6.3295
350	54923	6.203
351	3310	5.8534999999999995
352	7297	5.8185
353	708	5.7555
354	3572	5.717499999999999
355	6175	5.715999999999999
356	8767	5.6665
357	1499	5.6025
358	4646	5.5905000000000005
359	3921	5.4245
360	5595	5.424
361	6141	5.4205
362	367	5.2524999999999995
363	2734	5.1485
364	9919	5.05
365	6229	5.037
366	6176	5.0225
367	6222	4.933
368	3791	4.8195
369	4869	4.6775
370	55715	4.6594999999999995
371	6189	4.6265
372	8915	4.365
373	6232	4.1450000000000005
374	2322	4.117
375	10818	4.021
376	6125	3.821
377	6155	3.7235
378	6188	3.5380000000000003
379	25970	3.4415
380	2197	3.4219999999999997
381	6228	3.31
382	23607	3.3005000000000004
383	6886	3.2310000000000003
384	6161	3.2115
385	1933	3.143
386	5771	3.02
387	6235	3.0149999999999997
388	6205	2.94
389	5793	2.9065
390	6749	2.8355
391	6218	2.818
392	2023	2.747
393	6137	2.723
394	10056	2.638
395	6181	2.628
396	7417	2.5460000000000003
397	6231	2.5164999999999997
398	4088	2.4875
399	2597	2.456
400	25873	2.427
401	5058	2.412
402	4736	2.32
403	5134	2.242
404	5979	2.222
405	6165	2.2195
406	660	2.2145
407	3837	2.131
408	140032	2.1215
409	100124696	2.104
410	1386	2.0545
411	1655	2.021
412	6160	2.0125
413	6124	1.909
414	3329	1.826
415	23054	1.8175000000000001
416	6154	1.8039999999999998
417	1022	1.7269999999999999
418	5170	1.703
419	8664	1.6425
420	9349	1.6350000000000002
421	6170	1.5135
422	309	1.442
423	5325	1.4335
424	497661	1.411
425	7010	1.4075
426	10202	1.345
427	6192	1.3155
428	6209	1.2105000000000001
429	3184	1.1365
430	6167	1.1145
431	1432	1.1105
432	27071	1.105
433	7419	1.037
434	6136	1.0095
435	7416	0.9359999999999999
436	2213	0.9265000000000001
437	6227	0.9255000000000001
438	5175	0.9085000000000001
439	6217	0.844
440	1051	0.836
441	27335	0.7405
442	6208	0.7384999999999999
