rank	node	rank_score
1	8737	180.08800000000002
2	29110	173.8565
3	7186	171.87550000000002
4	113457	167.7645
5	7278	165.25799999999998
6	3551	164.85750000000002
7	10010	162.956
8	10382	162.8595
9	9020	160.465
10	3305	159.961
11	148022	159.2995
12	1147	158.35399999999998
13	8517	158.15699999999998
14	3313	156.1545
15	7189	155.0635
16	1326	154.855
17	6885	153.8615
18	4792	153.2515
19	7132	152.6845
20	3303	151.36399999999998
21	4790	151.252
22	8717	150.584
23	11035	150.153
24	4791	148.75
25	71	148.45250000000001
26	5966	147.946
27	5970	147.747
28	4794	147.5495
29	8767	147.47750000000002
30	9641	147.4405
31	4793	147.3505
32	808	147.05349999999999
33	5971	146.349
34	23118	144.95999999999998
35	805	144.151
36	203068	142.4475
37	3320	142.2555
38	801	140.1465
39	92609	140.048
40	1213	139.745
41	3312	138.2455
42	790	135.1485
43	4215	133.6435
44	9532	132.744
45	7133	130.9445
46	3301	129.943
47	3326	129.33800000000002
48	4214	128.8425
49	347733	127.042
50	3310	126.8415
51	841	126.6905
52	10454	126.2585
53	7314	125.14099999999999
54	220717	122.84
55	708	122.63600000000001
56	11140	121.13699999999999
57	8607	119.93499999999999
58	7316	119.17350000000002
59	7311	118.83899999999998
60	6233	118.6395
61	4646	118.4385
62	409	117.03150000000001
63	2734	116.63550000000001
64	408	114.127
65	5134	112.8345
66	6156	110.72550000000001
67	1917	110.226
68	6207	109.0165
69	1654	107.61449999999999
70	6128	106.915
71	2969	105.21399999999998
72	8454	103.02449999999999
73	150684	98.5375
74	6232	94.85650000000001
75	10856	90.5545
76	9349	88.953
77	6205	88.6535
78	292	88.354
79	3654	88.2365
80	6204	87.208
81	6188	86.85249999999999
82	64343	85.89099999999999
83	6217	84.95
84	4628	84.532
85	6202	84.251
86	293	84.05199999999999
87	2091	83.8505
88	6224	81.7495
89	6208	80.5485
90	6191	80.548
91	6135	80.149
92	3661	78.8985
93	3665	78.498
94	3439	78.0975
95	3448	77.497
96	3456	77.4965
97	10985	77.1515
98	353376	76.896
99	6169	76.5475
100	57506	76.3955
101	6146	75.8465
102	1540	75.5945
103	6129	75.346
104	330	75.2835
