rank	node	rank_score
1	5414	180.1
2	25766	179.1995
3	1020	177.899
4	351	176.5985
5	6620	175.9975
6	4137	174.797
7	84570	174.498
8	815	174.49650000000003
9	11076	174.196
10	6812	170.095
11	4744	169.1945
12	4741	168.294
13	5594	165.18699999999998
14	8851	164.683
15	4747	163.9865
16	1027	152.478
17	4760	145.086
18	1263	143.9855
19	841	134.87849999999997
20	8941	132.7955
21	9625	126.9825
22	5127	126.9805
23	5663	126.87150000000001
24	5925	125.86449999999999
25	51654	125.0815
26	8682	124.08
27	6197	123.977
28	55755	123.08099999999999
29	5585	121.473
30	839	117.57750000000001
31	836	113.276
32	1123	108.68199999999999
33	842	107.0655
34	8615	105.279
35	7431	102.958
36	4925	98.3755
37	840	98.37100000000001
38	330	97.6695
39	329	97.059
40	79444	95.65950000000001
41	843	95.56800000000001
42	5599	94.8445
43	6722	94.157
44	835	94.06649999999999
45	331	93.965
46	834	93.17
47	5321	90.66900000000001
48	3925	90.545
49	5604	88.256
50	2932	87.452
51	5610	86.175
52	1965	85.3765
53	1457	84.228
54	1026	83.13199999999999
55	5595	82.85499999999999
56	5664	79.3705
57	7157	79.23150000000001
58	1432	78.9745
59	1019	78.824
60	1021	78.425
61	8837	77.36699999999999
62	2099	77.33
63	983	77.229
64	1022	77.0205
65	837	76.76849999999999
66	10392	76.76599999999999
67	23581	75.9675
68	56616	75.77250000000001
69	332	75.072
70	598	74.4635
71	1025	74.41499999999999
72	22861	73.963
73	10763	73.809
74	317	73.4625
75	64127	72.962
76	8767	72.4585
77	84152	72.316
78	207	71.827
79	1051	71.7505
80	1017	71.7165
81	7314	71.5855
82	367	71.3255
83	1385	70.7465
84	9252	69.75399999999999
85	5337	69.672
86	87	69.39099999999999
87	5058	68.8175
88	7249	68.32300000000001
89	58484	68.0605
90	208	67.4235
91	5590	67.0535
92	5770	66.814
93	6196	66.548
94	6714	66.5085
95	3725	66.3225
96	672	65.01849999999999
97	6195	64.849
98	596	63.3495
99	5566	62.951
100	1832	62.364
101	595	62.326
102	5601	61.747
103	10000	61.722
104	5499	60.92
105	1386	60.341499999999996
106	9261	59.14300000000001
107	2002	59.05550000000001
108	572	58.847500000000004
109	2903	58.46900000000001
110	4654	58.3125
111	10485	57.674
112	273	57.668499999999995
113	3320	57.5015
114	2764	56.548500000000004
115	1387	55.821000000000005
116	3832	54.967000000000006
117	1639	54.8575
118	6241	54.77049999999999
119	2033	54.2155
120	6853	53.86800000000001
121	91768	53.769499999999994
122	5894	53.652499999999996
123	1759	53.567499999999995
124	5600	53.54200000000001
125	6667	52.912
126	9700	52.885000000000005
127	2353	51.840999999999994
128	2113	51.23299999999999
129	6300	50.35
130	29904	49.4435
131	896	49.1245
132	5934	48.31
133	894	48.111000000000004
134	5602	47.739999999999995
135	891	47.7335
136	3297	46.236000000000004
137	156	45.9385
138	3667	45.8275
139	2908	45.332499999999996
140	5597	44.739
141	1827	44.544
142	1499	44.2145
143	5596	44.138
144	5598	43.037
145	4001	42.373000000000005
146	29108	42.06
147	1459	41.318
148	5603	40.5355
149	4000	40.3665
150	6929	40.2305
151	4208	40.1295
152	2308	39.717
153	4638	39.6395
154	11075	39.5375
155	2931	39.0265
156	5568	38.846000000000004
157	3977	38.8365
158	4602	38.8285
159	5567	38.6455
160	5501	38.619
161	25	38.452999999999996
162	6256	38.3195
163	1053	36.734
164	3856	36.4565
165	1050	35.713499999999996
166	5465	35.2065
167	1460	35.0095
168	2114	33.9105
169	4088	33.413
170	861	33.2115
171	320	32.3825
172	5970	32.201
173	57448	31.766499999999997
174	7534	31.424500000000002
175	673	30.903
176	6774	30.601999999999997
177	8550	30.440499999999997
178	7538	30.235000000000003
179	5581	29.703999999999997
180	11140	29.636000000000003
181	5867	28.752999999999997
182	2316	28.704500000000003
183	5578	28.307
184	3875	28.1735
185	637	27.171000000000003
186	4157	27.0345
187	995	26.2315
188	4790	25.4025
189	5580	24.5055
190	5371	22.6005
191	5451	21.808
192	2115	21.5425
193	1111	20.7565
194	1326	20.453
195	6416	20.1215
196	7421	19.7075
197	5170	19.532
198	6697	19.0935
199	7166	18.993000000000002
200	5053	18.892500000000002
201	121278	18.791999999999998
202	1644	18.691499999999998
203	5092	18.591
204	3620	18.4905
205	6999	18.39
206	8942	18.2895
207	51166	18.189
208	8564	18.0885
209	883	17.988
210	23498	17.8875
211	7132	17.8715
212	7316	17.863
213	389692	16.9845
214	3651	16.884
215	51343	15.771
216	7529	15.023000000000001
217	23054	14.106
218	7153	14.0125
219	8772	13.770500000000002
220	8795	13.669999999999998
221	6640	13.631
222	355	13.5695
223	4214	13.547
224	8737	13.469
225	8717	13.368500000000001
226	8996	13.268
227	8797	13.1675
228	8915	13.0635
229	4332	13.0605
230	6597	13.009
231	7186	12.963999999999999
232	387	12.866
233	396	12.7665
234	7430	12.667
235	334	12.6035
236	4478	12.5655
237	356	12.3645
238	7185	12.162
239	8718	12.0625
240	1956	12.0095
241	10499	12.004999999999999
242	3303	11.9615
243	3312	11.759
244	23118	11.6565
245	203068	11.5545
246	6548	11.4835
247	6885	11.4575
248	11035	11.355
249	9611	11.3065
250	790	11.257
251	3324	11.2125
252	3301	11.158
253	5591	11.122499999999999
254	3065	11.104
255	9020	11.058499999999999
256	7189	10.952
257	113457	10.856
258	10454	10.754000000000001
259	4776	10.6785
260	10382	10.6535
261	7278	10.4525
262	8202	10.428999999999998
263	8648	10.4075
264	5606	10.372499999999999
265	3305	10.3515
266	8517	10.250499999999999
267	5608	10.1545
268	3551	10.1495
269	408	10.131499999999999
270	805	9.95
271	1147	9.845
272	4217	9.7205
273	10010	9.648
274	2887	9.603
275	29110	9.549
276	808	9.4485
277	801	9.3475
278	1843	9.2575
279	4792	9.243
280	4793	9.044
281	3313	8.9455
282	4791	8.846
283	5971	8.743500000000001
284	4794	8.644499999999999
285	3309	8.5465
286	9612	8.5095
287	92609	8.442
288	3150	8.428999999999998
289	71	8.3415
290	4215	8.1395
291	3172	8.100999999999999
292	9532	8.041
293	5579	8.0285
294	5914	8.006
295	7133	7.9510000000000005
296	1213	7.840000000000001
297	5468	7.8015
298	347733	7.739
299	3315	7.724000000000001
300	581	7.666500000000001
301	5966	7.6385000000000005
302	602	7.603
303	3310	7.537999999999999
304	9641	7.4365
305	4609	7.4305
306	4087	7.408500000000001
307	6233	7.337000000000001
308	3326	7.2355
309	220717	7.1375
310	4089	7.0455
311	708	7.034999999999999
312	7311	6.9345
313	4646	6.8340000000000005
314	5134	6.733499999999999
315	2670	6.7204999999999995
316	150684	6.633
317	409	6.531999999999999
318	7531	6.521000000000001
319	3654	6.4325
320	5587	6.4245
321	994	6.237
322	2734	6.2305
323	5584	6.1265
324	3839	6.031000000000001
325	5588	5.9235
326	10892	5.829
327	4628	5.728
328	5583	5.6225000000000005
329	5582	5.5200000000000005
330	2597	5.5165
331	2289	5.412
332	5300	5.331
333	7504	5.319
334	257397	5.310499999999999
335	3164	5.307
336	9131	5.2265
337	120	5.218500000000001
338	8850	5.2055
339	26353	5.1165
340	8607	5.0215000000000005
341	6199	5.014
342	8239	4.924
343	2893	4.9215
344	8841	4.917
345	2560	4.821
346	7415	4.714
347	5788	4.7075000000000005
348	4627	4.6274999999999995
349	142	4.6135
350	4233	4.6085
351	5734	4.522
352	9421	4.316
353	9043	4.313000000000001
354	9919	4.2235
355	2705	4.1195
356	118	4.017
357	119	3.9174999999999995
358	5782	3.808
359	5243	3.718
360	1869	3.7045000000000003
361	4303	3.6405000000000003
362	2890	3.6155
363	7187	3.561
364	4842	3.5115000000000003
365	2673	3.415
366	4193	3.3375
367	2243	3.3145000000000002
368	5469	3.2135
369	688	3.2104999999999997
370	10891	3.1145
371	857	3.112
372	9891	3.1109999999999998
373	2081	3.016
374	10987	3.002
375	3643	2.9025
376	3308	2.8135000000000003
377	60	2.7145
378	6709	2.6149999999999998
379	624	2.609
380	7052	2.5255
381	993	2.5105
382	10273	2.21
383	8878	2.1260000000000003
384	3066	2.1135
385	1654	2.0075
386	6598	1.9144999999999999
387	10128	1.9065
388	4637	1.8059999999999998
389	6908	1.7105000000000001
390	498	1.7055
391	4846	1.7005
392	6688	1.6170000000000002
393	6599	1.613
394	6207	1.6045000000000003
395	6595	1.5125
396	3329	1.503
397	4869	1.405
398	7416	1.302
399	7846	1.2035
400	3091	1.2005000000000001
401	301	1.1015000000000001
402	573	1.014
403	302	1.001
404	4780	0.9045
405	3184	0.9025000000000001
406	6601	0.8109999999999999
407	8344	0.8005000000000001
408	150	0.705
409	3837	0.704
410	6602	0.6094999999999999
411	2309	0.5025000000000001
412	4194	0.311
413	7067	0.11299999999999999
414	2000	0.0945
415	1612	0.08499999999999999
416	5338	0.08449999999999999
417	3375	0.08349999999999999
418	7299	0.0795
419	9149	0.074
420	898	0.0655
421	10017	0.0625
422	4170	0.062
423	9191	0.0615
424	162989	0.061
425	10018	0.061
426	4055	0.0605
427	8352	0.0605
428	8740	0.06
429	8358	0.0595
430	8357	0.059
431	8356	0.058499999999999996
432	8355	0.057999999999999996
433	8350	0.05550000000000001
434	8354	0.05450000000000001
435	1613	0.054000000000000006
436	8353	0.053500000000000006
437	4155	0.053000000000000005
438	23234	0.053000000000000005
439	8351	0.052500000000000005
440	5605	0.052500000000000005
441	55148	0.052000000000000005
442	283455	0.051500000000000004
443	8968	0.051500000000000004
444	80854	0.051000000000000004
445	9425	0.0505
446	10951	0.05
447	6839	0.0495
448	6790	0.049
449	25842	0.0485
450	4678	0.048
451	8208	0.0475
452	8520	0.047
453	55723	0.0465
454	10036	0.046
455	121504	0.0455
456	79711	0.045
457	5928	0.0445
458	8361	0.044
