rank	node	rank_score
1	3809	179.49949999999998
2	3594	179.3
3	3593	177.597
4	51561	175.796
5	3806	174.899
6	10859	174.6945
7	3592	173.4955
8	3802	173.3985
9	10288	170.9885
10	3105	170.1925
11	567	168.99349999999998
12	4048	166.77849999999998
13	3134	166.08350000000002
14	6957	165.7875
15	6892	164.393
16	6891	164.392
17	6890	163.89000000000001
18	3133	162.483
19	3135	161.59099999999998
20	2923	159.38899999999998
21	925	158.79149999999998
22	3824	157.2815
23	811	156.3895
24	22820	154.878
25	821	153.987
26	3822	153.18099999999998
27	3812	151.4865
28	912	150.388
29	10148	145.88600000000002
30	22818	145.574
31	6513	144.7775
32	727787	143.682
33	1315	139.7845
34	6955	139.57049999999998
35	915	135.57150000000001
36	28638	135.164
37	26958	133.776
38	913	131.8905
39	57714	131.298
40	51226	130.8695
41	372	127.66900000000001
42	51272	127.5685
43	5354	125.08400000000002
44	11316	124.468
45	9276	124.46700000000001
46	22908	122.25699999999999
47	1314	121.0655
48	5581	119.56649999999999
49	926	116.571
50	917	114.8605
51	54681	112.88550000000001
52	3821	110.0805
53	285761	109.68499999999999
54	56886	108.8735
55	7037	108.85999999999999
56	6964	107.75250000000001
57	4869	107.6635
58	1301	99.8965
59	5582	96.961
60	6532	94.2825
61	5376	90.87899999999999
62	5578	88.3595
63	55631	85.89750000000001
64	5579	85.6455
65	60312	85.5565
66	5590	85.3535
67	4900	85.2485
68	5580	84.648
69	5583	83.5495
70	5588	83.3515
71	3749	81.75399999999999
72	1103	81.3505
73	4985	80.955
74	120	80.843
75	5788	80.2265
76	83955	79.89500000000001
77	5584	79.1445
78	3811	76.2585
79	339487	76.24600000000001
80	25780	75.244
81	4070	74.6575
82	3077	73.14349999999999
83	2625	73.0675
84	8128	72.09400000000001
85	3667	71.931
86	65108	70.138
87	7074	68.9465
88	2915	68.547
89	1080	66.8345
90	2769	65.942
91	5734	64.43350000000001
92	960	63.7115
93	6199	63.2475
94	3643	61.7245
95	433	61.3255
96	375790	60.6425
97	6714	60.528999999999996
98	54101	59.745000000000005
99	1956	57.8165
100	54577	56.076
101	3315	55.711
102	2885	55.238
103	5037	53.425
104	6902	53.39149999999999
105	2705	53.3325
106	100506658	51.641
107	2781	51.251
108	5587	50.118
109	22927	49.941500000000005
110	4000	49.929500000000004
111	4233	49.9105
112	5770	49.713499999999996
113	7430	49.622
114	624	48.0495
115	9266	47.726
116	2697	47.536500000000004
117	2673	46.732
118	150	45.605000000000004
119	7504	45.2205
120	10134	43.8695
121	10818	43.519999999999996
122	301	42.73350000000001
123	4017	42.38
124	302	42.334500000000006
125	156	42.312
126	26353	42.137
127	375	42.063
128	4001	41.822500000000005
129	57007	41.2255
130	1503	40.849000000000004
131	7534	39.7155
132	2911	38.742000000000004
133	489	38.021
134	9267	37.1555
135	1267	36.903999999999996
136	23400	36.65
137	5782	36.6485
138	5997	36.354499999999994
139	5341	35.108
140	9315	34.8395
141	4950	34.736000000000004
142	2904	34.6515
143	728	33.0355
144	4155	32.4385
145	5781	31.74
146	6624	30.534000000000002
147	4163	29.668
148	5170	29.534000000000002
149	6965	29.035000000000004
150	10959	27.252
151	5894	26.719
152	10287	26.544999999999998
153	3823	26.3795
154	6383	26.215999999999998
155	3758	25.819499999999998
156	5777	25.6365
157	3932	25.2315
158	846	25.1025
159	11033	24.14
160	5566	23.814500000000002
161	7837	23.805
162	1601	22.9225
163	5036	21.837
164	154	21.817500000000003
165	3875	21.1085
166	6876	19.8045
167	3150	19.413999999999998
168	7442	19.1215
169	10399	18.432499999999997
170	64232	17.865000000000002
171	81542	17.741
172	23545	17.6265
173	5243	17.4095
174	6464	17.119999999999997
175	94274	16.417
176	2534	16.1285
177	119	16.0275
178	5066	16.003999999999998
179	50852	15.706999999999999
180	9601	15.663499999999999
181	64866	15.547
182	8682	15.4345
183	7174	15.259
184	9641	15.1735
185	3384	15.113999999999999
186	23170	15.072999999999999
187	7189	14.9725
188	873	14.872
189	56681	14.761000000000001
190	54093	14.669
191	7247	14.559999999999999
192	5335	14.524000000000001
193	10289	14.361500000000001
194	9816	14.353
195	1968	14.258000000000001
196	6850	14.218
197	9761	14.166999999999998
198	55738	13.7405
199	83699	13.668000000000001
200	23193	13.5635
201	22919	13.556000000000001
202	23011	13.4385
203	9590	13.4065
204	79139	13.0675
205	7275	13.023500000000002
206	1445	12.922
207	87178	12.7605
208	3769	12.700999999999999
209	5594	12.209
210	7873	11.968
211	6693	11.926
212	5568	11.709999999999999
213	921	11.3225
214	5902	11.225
215	4478	10.8505
216	5747	10.8005
217	57292	10.614
218	4842	10.328
219	945	10.0275
220	3717	9.8165
221	3184	9.809000000000001
222	4689	9.747499999999999
223	5589	9.6645
224	2560	9.4075
225	2098	9.3655
226	1154	9.3475
227	7153	9.327
228	2549	9.1165
229	27240	8.823
230	695	8.7185
231	5338	8.6125
232	7431	8.4305
233	56288	8.403
234	5132	8.32
235	867	8.315000000000001
236	5962	8.1325
237	11097	7.8375
238	57190	7.8245000000000005
239	26034	7.6425
240	3480	7.6240000000000006
241	1652	7.536
242	3937	7.4015
243	966	7.328999999999999
244	2185	7.2155000000000005
245	2888	6.95
246	2064	6.9159999999999995
247	207	6.802000000000001
248	3312	6.713500000000001
249	5567	6.7015
250	6643	6.6455
251	3689	6.6275
252	5295	6.3125
253	6654	6.202
254	916	6.108
255	974	6.0185
256	2688	5.763
257	10603	5.7075000000000005
258	634	5.5329999999999995
259	27101	5.4399999999999995
260	7798	5.43
261	5595	5.2075000000000005
262	81027	5.204
263	4067	4.911
264	2206	4.9094999999999995
265	2771	4.806
266	6098	4.439500000000001
267	5921	4.319
268	1796	4.206
269	2243	4.2035
270	2057	3.9120000000000004
271	54205	3.851
272	5159	3.843
273	54866	3.7175
274	548596	3.6525
275	3017	3.6119999999999997
276	3269	3.5090000000000003
277	57127	3.4299999999999997
278	4791	3.3325000000000005
279	2890	3.3255000000000003
280	9846	3.3064999999999998
281	4914	3.239
282	118	3.2235
283	4486	2.821
284	3815	2.713
285	3692	2.6495
286	9421	2.1005
287	1159	1.952
288	11184	1.9024999999999999
289	7416	1.8704999999999998
290	3706	1.8065000000000002
291	613	1.7135000000000002
292	2137	1.5085000000000002
293	114132	1.4285
294	857	1.4064999999999999
295	2597	1.2550000000000001
296	10451	1.2175
297	7532	0.933
298	9564	0.9105000000000001
299	81491	0.8230000000000001
300	7700	0.8154999999999999
301	7409	0.8029999999999999
302	1439	0.731
303	801	0.73
304	10128	0.6675
305	1499	0.603
306	6189	0.466
307	4058	0.414
308	2889	0.3355
309	1399	0.307
310	58512	0.3055
311	6774	0.20099999999999998
312	3716	0.123
313	1398	0.10900000000000001
314	7305	0.077
315	7038	0.077
316	3813	0.0765
317	10728	0.0765
318	10525	0.0765
319	9436	0.0755
320	3807	0.075
321	100132285	0.0745
322	23601	0.073
323	54210	0.0725
324	54209	0.072
325	8302	0.06999999999999999
326	6203	0.06999999999999999
327	8407	0.06999999999999999
328	919	0.06949999999999999
329	7419	0.06949999999999999
330	3309	0.06949999999999999
331	8664	0.0685
332	5687	0.0685
333	9861	0.068
334	50854	0.0675
335	10961	0.0665
336	100507436	0.066
337	7018	0.066
338	3359	0.066
339	115207	0.0655
340	10870	0.065
341	7036	0.065
342	9188	0.065
343	51504	0.065
