rank	node	rank_score
1	3660	177.1935
2	5970	176.497
3	222643	174.298
4	359948	172.993
5	170622	171.296
6	22984	168.8955
7	219287	152.09650000000002
8	23408	146.885
9	149951	145.79149999999998
10	54939	145.294
11	6688	136.99949999999998
12	28991	133.1895
13	150684	126.89000000000001
14	1051	108.19099999999999
15	602	106.756
16	54951	103.9885
17	51397	103.2875
18	5971	102.3865
19	417	97.5
20	29099	91.286
21	23412	85.4835
22	2969	85.3595
23	4792	82.7785
24	2734	82.7765
25	51122	82.389
26	5966	82.17999999999999
27	4791	79.283
28	1457	78.9935
29	4793	78.68199999999999
30	3659	77.495
31	4794	77.378
32	1326	75.9345
33	113457	75.176
34	8091	74.393
35	25942	73.1665
36	1459	72.8885
37	1387	72.689
38	1147	72.47200000000001
39	8517	72.3775
40	3551	72.36749999999999
41	220717	70.981
42	56980	69.7535
43	3305	69.4735
44	7258	69.3925
45	9043	69.27250000000001
46	7278	69.05499999999999
47	3146	68.3875
48	343472	66.8505
49	9020	65.366
50	3310	65.074
51	805	64.5435
52	3456	64.49199999999999
53	3313	64.25699999999999
54	92609	64.079
55	55922	64.075
56	367	63.3745
57	3725	62.580999999999996
58	3320	62.42049999999999
59	2908	62.177499999999995
60	9919	62.1745
61	3065	62.0415
62	79155	61.86900000000001
63	9532	61.057500000000005
64	10788	60.852
65	158427	60.0755
66	9636	59.199
67	808	58.747
68	2353	58.688
69	6156	58.6515
70	3662	58.494499999999995
71	10379	57.092499999999994
72	801	57.0175
73	29110	56.7605
74	4215	56.74300000000001
75	1213	56.45399999999999
76	4528	56.37949999999999
77	8239	56.371
78	6885	56.2495
79	1052	56.0855
80	3312	55.73
81	3223	54.5855
82	10382	54.448
83	6667	53.376
84	9325	53.2795
85	71	52.54600000000001
86	3839	52.073
87	3303	51.841499999999996
88	1958	51.677
89	2099	51.2755
90	64425	51.2565
91	286343	51.173500000000004
92	5134	50.8585
93	23118	50.851
94	23316	50.584
95	55294	50.464
96	2033	50.182
97	8454	50.1715
98	4255	49.9885
99	466	49.9865
100	51082	49.9645
101	9276	49.867
102	10010	49.6625
103	6500	49.5695
104	8737	49.5265
105	3213	49.18
106	9462	48.761
107	1831	48.685
