rank	node	rank_score
1	3074	179.2995
2	3073	177.799
3	5476	177.0985
4	3938	176.498
5	8972	175.0955
6	2595	174.8945
7	83548	173.8
8	2629	172.495
9	64772	170.293
10	57511	169.497
11	4759	169.094
12	9382	168.19650000000001
13	129807	167.6925
14	22796	167.096
15	55907	166.4915
16	5834	165.2895
17	5836	164.5905
18	5837	160.88899999999998
19	4123	159.3935
20	2998	153.89749999999998
21	4126	152.99200000000002
22	5260	150.1875
23	2110	145.09099999999998
24	2585	143.89000000000001
25	8789	136.887
26	5255	130.0865
27	4724	124.7875
28	4717	112.1865
29	54539	110.38699999999999
30	230	110.3845
31	10975	109.78899999999999
32	4696	109.08600000000001
33	50617	103.7885
34	126328	102.0845
35	5211	101.98150000000001
36	226	99.38199999999999
37	5214	99.184
38	55967	97.184
39	4731	95.983
40	4718	94.7825
41	5832	94.357
42	1537	94.288
43	4713	93.782
44	4711	92.48150000000001
45	4708	91.2795
46	4519	90.68050000000001
47	4706	90.579
48	29796	89.97999999999999
49	7915	88.962
50	4710	88.676
51	4702	88.3785
52	4709	87.6755
53	4695	87.078
54	4707	86.575
55	4541	85.7775
56	4538	85.362
57	4714	85.2735
58	4539	84.377
59	4712	84.373
60	4701	82.8725
61	4705	82.7745
62	4716	82.7705
63	4729	81.774
64	4329	81.26050000000001
65	197257	80.95599999999999
66	7386	80.0765
67	51079	79.872
68	4540	79.4615
69	4715	79.1645
70	4726	78.8715
71	4725	78.171
72	6476	77.686
73	8854	77.6515
74	4704	77.2695
75	4719	77.267
76	7381	76.8665
77	4700	76.569
78	4698	75.8685
79	27089	75.47
80	4722	75.06800000000001
81	7991	74.461
82	4720	74.36749999999999
83	4694	73.066
84	4697	72.964
85	7388	72.3635
86	4536	72.2655
87	7385	71.663
88	4535	71.565
89	7384	70.6625
90	84264	69.45
91	341947	68.76050000000001
92	3948	68.654
93	1350	68.4565
94	1347	66.8555
95	219	66.553
96	124637	66.35900000000001
97	4513	65.56
98	160287	65.3535
99	6821	65.2585
100	170712	64.5535
101	5210	64.485
102	216	64.3555
103	4514	62.6595
104	3029	62.649
105	92483	62.4505
106	5207	61.383500000000005
107	1327	61.157999999999994
108	1346	59.254999999999995
109	529	58.681
110	9377	58.556999999999995
111	1339	58.153999999999996
112	5209	57.664
113	4512	57.455999999999996
114	18	57.452
115	51103	56.657500000000006
116	501	56.052499999999995
117	284273	56.0495
118	1351	55.653
119	1349	54.7525
120	224	53.650999999999996
121	1340	53.251999999999995
122	440670	52.8855
123	6649	52.75450000000001
124	1337	52.351
125	125965	52.1505
126	137872	51.855
127	223	51.054500000000004
128	84701	50.9495
129	222	50.9485
130	220	50.847500000000004
131	6647	49.8515
132	9167	49.549
133	8659	49.246
134	218	48.9445
135	3441	48.873000000000005
136	1345	48.4485
137	127	47.944
138	55293	47.54
139	221	47.2435
140	1329	47.148
141	6648	46.85
142	131	46.447
143	84532	46.333000000000006
144	314	46.1425
145	65985	46.131
146	55902	45.1325
147	130	44.945
148	3945	44.236000000000004
149	217	44.0465
150	10993	43.424
151	125	43.243
152	3939	43.1345
153	316	42.737
154	8639	42.442
155	51733	41.935500000000005
156	5208	41.3765
157	4128	41.3405
158	124	41.0415
159	2645	40.8775
160	5238	40.7565
161	4129	40.439499999999995
162	126	40.241
163	128	39.538
164	26	39.5375
165	84735	39.534000000000006
166	2805	38.232
167	118881	36.9365
168	2571	36.839
169	438	36.2305
170	4357	36.1335
171	2739	35.320499999999996
172	2806	35.2455
