rank	node	rank_score
1	58	180.0
2	51086	179.2995
3	8790	178.299
4	84676	177.3985
5	7273	175.998
6	1264	175.595
7	64750	174.79749999999999
8	7138	173.897
9	7136	172.99650000000003
10	7135	172.096
11	9033	171.19549999999998
12	58529	169.9945
13	87	169.1935
14	2318	167.494
15	91977	166.6925
16	11155	165.892
17	88	165.6915
18	81	164.891
19	4703	164.3905
20	125950	163.39000000000001
21	84665	161.8895
22	89	160.88899999999998
23	10529	159.8885
24	135	159.488
25	4892	158.2875
26	7125	158.193
27	79778	156.987
28	9124	156.1865
29	200539	155.98600000000002
30	29995	153.7855
31	5311	152.984
32	27063	152.685
33	1674	149.1835
34	5310	148.283
35	7094	147.3825
36	26136	146.382
37	1495	145.38150000000002
38	999	139.877
39	7082	137.37849999999997
40	51762	135.7775
41	5784	135.476
42	1499	135.375
43	142678	134.5845
44	3728	134.1755
45	4647	134.07150000000001
46	55591	133.972
47	768	133.7735
48	1001	133.37449999999998
49	1500	132.474
50	1000	131.67249999999999
51	6401	127.881
52	421	127.66900000000001
53	823	127.5805
54	1013	126.3685
55	50937	125.468
56	55914	124.867
57	91653	124.5675
58	1003	124.373
59	8502	120.9665
60	2241	117.1695
61	5795	116.26599999999999
62	1956	115.27000000000001
63	6709	111.67999999999999
64	825	110.9795
65	5787	110.97049999999999
66	6714	107.7645
67	5829	106.96549999999999
68	2064	106.0545
69	1825	105.4665
70	5747	103.7615
71	4233	103.56199999999998
72	5781	102.361
73	5770	102.2625
74	2904	100.8635
75	1445	99.1605
76	2534	99.1585
77	5782	98.8595
78	9712	98.5835
79	867	95.65799999999999
80	5788	95.357
81	2549	95.15599999999999
82	5159	95.0565
83	2885	92.049
84	3643	91.85499999999999
85	4582	91.839
86	5175	90.864
87	6464	90.3515
88	9564	90.059
89	5295	89.7525
90	5793	89.4555
91	5777	89.452
92	7431	88.779
93	6654	88.551
94	2185	88.1575
95	5339	87.5765
96	57554	87.464
97	5800	84.45349999999999
98	3717	84.05
99	2057	83.4505
100	1308	83.171
101	1399	82.3475
102	1501	81.86449999999999
103	3932	81.753
104	25	81.745
105	5335	80.9495
106	4914	80.848
107	5663	80.565
108	1832	78.365
109	9743	78.34700000000001
110	613	77.74600000000001
111	9846	75.3465
112	1398	74.8415
113	2889	74.6405
114	7409	73.24249999999999
115	5921	72.94449999999999
116	5581	72.763
117	3815	72.744
118	2065	72.64099999999999
119	4067	72.4455
120	5796	72.354
121	6850	69.742
122	7535	68.94
123	1796	67.64349999999999
124	55824	67.1395
125	7006	65.24300000000001
126	3937	63.1365
127	60	61.977999999999994
128	2690	60.9485
129	5336	60.737
130	7454	60.6355
131	27040	59.435
132	11184	58.5345
133	3055	58.436
134	815	57.760000000000005
135	10006	55.534000000000006
136	29760	55.1315
137	54477	54.366
138	6655	54.3335
139	3691	53.701
140	6777	53.6375
141	27	52.2325
142	868	51.931999999999995
143	26191	51.532999999999994
144	6776	51.038
145	4690	49.631
146	3702	49.1305
147	3667	48.727
148	7010	48.525999999999996
149	10603	47.338499999999996
150	10278	46.428999999999995
151	3716	44.7295
152	695	42.730000000000004
153	5156	42.628
154	7525	41.821000000000005
155	3480	41.5255
156	6452	41.523
157	10451	40.9245
158	8651	40.826499999999996
159	2066	40.4285
160	2887	40.1235
161	324	39.9655
162	10657	39.9225
163	50807	39.527499999999996
164	6774	36.822
165	2902	36.157
166	2321	35.820499999999996
167	5578	35.709500000000006
168	5580	35.4135
169	3791	34.82
170	5296	34.425
171	2934	31.76
172	100124696	31.324
173	3635	30.016499999999997
174	3560	29.9185
175	1439	29.6195
176	3718	29.219
177	6461	28.618000000000002
178	8660	28.021500000000003
179	1436	27.317
180	23037	27.266
181	9021	26.817500000000003
182	10818	25.314500000000002
183	7297	24.315
184	3848	23.7625
185	6772	22.816
186	4739	22.411
187	660	21.7155
188	3572	20.313
189	2260	18.814
190	23607	17.1115
191	85476	16.683
192	9402	16.2125
193	137735	15.1745
194	8941	15.0815
195	30011	13.312000000000001
196	23224	13.163999999999998
197	2242	12.809999999999999
198	2906	11.16
199	7410	11.1105
200	2268	10.3085
201	5979	9.408
202	55715	8.7075
203	1441	8.4065
204	7462	6.206
205	5771	5.7015
206	5595	5.304
207	10399	5.109
208	2213	4.6034999999999995
209	857	4.2045
210	5587	3.907
211	10750	3.9004999999999996
212	5170	3.2055
213	930	2.9025
214	3636	2.802
215	933	2.501
216	1795	2.0004999999999997
217	25970	1.802
218	5594	1.6015000000000001
219	5338	0.805
220	919	0.7015
221	3690	0.603
222	10019	0.601
223	1601	0.5025000000000001
224	10391	0.081
225	1739	0.078
226	129563	0.078
227	2319	0.068
228	5797	0.065
229	2017	0.0645
230	5063	0.0635
231	3856	0.057999999999999996
232	818	0.057499999999999996
233	60312	0.056999999999999995
234	3875	0.056999999999999995
235	3852	0.056499999999999995
236	5318	0.05600000000000001
237	1020	0.05550000000000001
238	4133	0.053000000000000005
239	58512	0.0095
240	5792	0.0025
241	7852	0.002
242	558	0.0015
243	8440	0.001
244	56955	0.0005
