rank	node	rank_score
1	90	150.999
2	1499	136.447
3	7046	119.8
4	4087	94.1905
5	57154	93.686
6	23551	92.876
7	51285	91.8815
8	4088	91.277
9	64750	91.084
10	4086	91.07300000000001
11	4092	90.088
12	4089	90.0855
13	23682	89.275
14	83871	88.9705
15	4091	88.0745
16	658	87.8755
17	7048	87.297
18	8878	86.974
19	121268	86.77250000000001
20	84085	86.37100000000001
21	117583	85.67150000000001
22	29984	84.7795
23	6233	84.57000000000001
24	140901	83.269
25	64718	81.478
26	55827	81.263
27	91	80.69
28	7311	80.36699999999999
29	10273	80.2625
30	7316	80.2025
31	7314	79.2545
32	1147	78.5435
33	5058	78.3185
34	51176	77.9605
35	10617	77.662
36	11171	77.642
37	9459	76.768
38	7186	76.465
39	57111	76.4615
40	28512	74.5675
41	9392	73.691
42	860	73.661
43	26994	72.654
44	55761	72.46549999999999
45	10892	70.6535
46	80243	70.18350000000001
47	6885	70.149
48	6714	69.6845
49	7189	68.75750000000001
50	7763	66.353
51	6774	64.0965
52	25946	63.1425
53	331	62.5415
54	65259	61.8685
55	3654	61.141
56	23118	60.9365
57	2690	60.1
58	6777	59.4985
59	10454	59.1395
60	841	59.036
61	57381	58.846000000000004
62	142891	58.699
63	207	58.659000000000006
64	8517	58.140499999999996
65	6776	57.897000000000006
66	5159	57.798
67	3716	57.496
68	2033	57.4465
69	79674	57.266
70	3718	56.6885
71	3717	56.19449999999999
72	5781	56.095000000000006
73	8915	56.0385
74	5777	55.489999999999995
75	3560	55.291
76	58473	55.0635
77	6772	54.99400000000001
78	3643	54.9905
79	6464	54.7915
80	5156	54.293000000000006
81	8737	54.22950000000001
82	3551	54.032999999999994
83	3575	53.851
84	11201	53.652
85	8651	53.585
86	7297	53.391999999999996
87	5295	52.787
88	257397	52.630500000000005
89	3667	51.4775
90	9021	51.3855
91	3480	51.282
92	8660	51.1815
93	3566	50.213
94	55914	50.144
95	5747	49.681
96	81788	49.6785
97	7852	49.5875
98	11140	49.2335
