rank	node	rank_score
1	54539	179.8995
2	4718	178.999
3	4713	178.0985
4	4711	177.198
5	4708	176.29749999999999
6	4706	175.397
7	4710	174.49650000000003
8	4709	173.596
9	4707	172.69549999999998
10	4714	171.79500000000002
11	4712	170.8945
12	4716	169.994
13	4715	169.0935
14	126328	168.193
15	4724	167.2925
16	4717	166.392
17	4696	165.4915
18	55967	164.59099999999998
19	4731	163.6905
20	4723	162.79000000000002
21	4702	161.8895
22	4695	160.98899999999998
23	4539	160.0885
24	4705	159.18800000000002
25	374291	158.2875
26	4729	157.387
27	4728	156.4865
28	2110	155.586
29	4701	154.6855
30	51079	153.785
31	4726	152.8845
32	4725	151.984
33	4704	151.08350000000002
34	4700	150.183
35	4698	149.2825
36	4722	148.382
37	4720	147.4815
38	4719	146.581
39	4694	145.6805
40	4536	144.78
41	29796	143.8795
42	10975	142.97899999999998
43	1537	142.0785
44	4519	141.178
45	4697	140.2775
46	7386	139.377
47	7381	138.4765
48	27089	137.576
49	7388	136.6755
50	7385	135.775
51	7384	134.87449999999998
52	4537	133.974
53	4540	133.07350000000002
54	7991	132.173
55	1350	129.8725
56	1347	128.9685
57	124637	128.37
58	1346	128.068
59	6821	127.4695
60	1339	125.7675
61	170712	124.867
62	1351	123.9665
63	1349	123.06599999999999
64	1340	122.1655
65	4513	121.272
66	1337	121.26500000000001
67	4514	120.57150000000001
68	125965	120.36449999999999
69	84701	119.46399999999998
70	9377	119.37100000000001
71	1327	118.87049999999999
72	9167	118.36300000000001
73	4512	117.369
74	6649	114.2635
75	1345	113.8625
76	6647	112.362
77	341947	111.4615
78	6648	110.5605
79	1329	109.66100000000002
80	51103	108.75999999999999
81	51497	107.8595
82	51295	106.95900000000002
83	7001	106.05850000000001
84	847	105.15799999999999
85	30	104.1575
86	2877	103.0565
87	51	102.75699999999999
88	80724	101.65599999999999
89	35	100.6555
90	28976	99.755
91	84129	98.8545
92	36	97.554
93	2879	97.45349999999999
94	3295	96.15299999999999
95	34	95.2525
96	2878	94.352
97	27034	93.1515
98	2876	92.851
99	1962	91.6505
100	257202	90.75
101	10935	89.8495
102	8309	88.949
103	5052	88.0485
104	549	87.148
105	1891	86.2475
106	55268	85.34700000000001
107	1892	84.4465
108	2639	83.146
109	3030	83.04549999999999
110	3032	81.745
111	2936	80.74449999999999
112	116285	80.04400000000001
113	84264	79.0435
114	3029	78.143
115	2181	77.1425
116	3033	76.44200000000001
117	3158	75.44149999999999
118	3028	74.541
119	3157	73.6405
120	38	72.74
121	39	71.8395
122	64064	70.939
123	5019	70.0385
124	54511	69.138
125	3155	68.0375
126	622	67.137
127	65985	66.8365
128	1738	65.536
129	8050	63.2355
130	23464	62.335
131	4594	61.4345
132	4967	60.534000000000006
133	212	59.23350000000001
134	8803	59.132999999999996
135	8802	57.8325
136	8801	56.931999999999995
137	1743	56.03150000000001
138	211	55.13099999999999
139	6392	54.230500000000006
140	594	53.427499999999995
141	6391	53.33
142	593	52.527
143	7915	52.429500000000004
144	587	51.6265
145	6389	51.528999999999996
146	6390	50.628499999999995
147	1629	50.525999999999996
148	586	50.0255
149	2271	49.727999999999994
150	3712	48.925
151	64087	46.0245
152	3156	45.7235
153	56922	42.924
154	54536	41.222
155	710	40.1
156	197257	39.621500000000005
157	23600	37.523
158	2739	36.222500000000004
159	8854	26.121500000000005
160	4329	25.621000000000002
161	92483	24.420499999999997
162	216	24.319499999999998
163	9380	23.619999999999997
164	219	21.919
165	3948	21.4185
166	5832	21.418
167	501	20.417
168	160287	20.2175
169	3939	19.816499999999998
170	3945	18.916
171	224	18.7155
172	222	17.515
173	6342	17.1205
174	220	16.8145
175	55293	16.4135
176	218	16.214
177	221	15.113
178	18	14.7125
179	137872	14.212
180	284273	13.4115
181	7920	12.721
182	8659	12.6105
183	131	12.411
184	223	11.9095
185	130	11.61
186	127	10.409
187	125	9.7085
188	217	9.308
189	124	8.607
190	314	8.0075
191	24138	7.919499999999999
192	140545	7.82
193	22983	7.8180000000000005
194	84171	7.7170000000000005
195	9361	7.5175
196	8639	7.406499999999999
197	2	7.119
198	1995	6.9185
199	6468	6.912999999999999
200	4128	6.806
201	348	6.716499999999999
202	1558	6.4159999999999995
203	3437	6.4155
204	4129	6.2055
205	11140	6.1145000000000005
206	5886	5.8149999999999995
207	26	5.6049999999999995
208	4846	5.514
209	51013	5.5135000000000005
210	10724	5.2125
211	126	5.0045
212	3337	4.912000000000001
213	642	4.811
214	1559	4.5115
215	128	4.404
216	351	4.3105
217	84106	4.3100000000000005
218	387082	4.303
219	1562	4.2095
220	316	3.8034999999999997
221	5664	3.5085
222	7372	3.4090000000000003
223	5663	3.408
224	54850	3.3075
225	55902	3.2030000000000003
226	339175	2.907
227	57559	2.6064999999999996
228	55798	2.6060000000000003
229	84532	2.6025
230	22976	2.2055
231	55361	2.0045
232	230	2.002
233	229	1.4015
234	7087	1.205
235	83464	1.004
236	23385	0.9025000000000001
237	84898	0.8005000000000001
238	51107	0.702
239	55851	0.6014999999999999
240	226	0.601
241	322	0.501
242	51733	0.3005
243	60673	0.005
244	2597	0.0035000000000000005
245	92737	0.002
246	10972	0.0015
247	10959	0.001
248	438	0.001
249	9546	0.0005
250	84735	0.0005
