rank	node	rank_score
1	1615	180.1
2	1936	179.09949999999998
3	3376	178.29850000000002
4	9521	177.298
5	5917	176.39749999999998
6	9255	175.497
7	51520	174.59650000000002
8	4141	173.696
9	5859	172.7955
10	7965	171.895
11	2058	170.9945
12	9641	170.094
13	10010	169.1935
14	3320	168.193
15	4791	167.2925
16	8517	165.99200000000002
17	4163	165.291
18	4794	165.1915
19	4793	163.6905
20	1213	162.79000000000002
21	3551	161.6895
22	1147	160.48899999999998
23	113457	160.4885
24	5970	159.18800000000002
25	4792	155.987
26	4790	153.186
27	7278	151.5865
28	5966	147.38400000000001
29	5971	146.4855
30	1326	145.98499999999999
31	29110	144.5815
32	2734	143.7845
33	3305	143.7835
34	9020	143.483
35	3313	142.2825
36	10382	142.28199999999998
37	805	139.18099999999998
38	801	138.98
39	6885	138.28050000000002
40	808	136.2795
41	4215	134.77849999999998
42	3303	133.179
43	71	132.8775
44	3309	131.778
45	7189	131.276
46	203068	131.1755
47	23118	130.57649999999998
48	7186	129.177
49	3312	128.47449999999998
50	220717	128.1655
51	8737	127.175
52	3326	126.774
53	11035	125.67350000000002
54	7132	124.273
55	92609	123.07249999999999
56	8454	122.75699999999999
57	23291	122.6875
58	790	122.672
59	8717	121.67150000000001
60	9532	120.37100000000001
61	4214	120.0705
62	3301	118.77000000000001
63	7133	118.06949999999999
64	10454	117.069
65	3310	115.96849999999999
66	347733	115.36800000000001
67	8767	114.4675
68	7185	113.46700000000001
69	7314	112.56649999999999
70	708	111.06599999999999
71	8607	109.56500000000001
72	409	104.5635
73	1917	103.5625
74	10856	103.26399999999998
75	6207	101.561
76	11140	101.4645
77	7311	100.862
78	6156	99.9615
79	6233	98.9605
80	6128	97.65950000000001
81	10788	97.084
82	6232	96.36
83	9349	95.15799999999999
84	6188	93.8575
85	292	93.35900000000001
86	293	92.4585
87	6205	91.65650000000001
88	6202	90.25450000000001
89	4528	90.1865
90	9462	90.1855
91	10985	89.95599999999999
92	51082	89.586
93	5134	89.28450000000001
94	6217	88.8555
95	10849	88.685
96	84172	87.2835
97	6224	87.255
98	5437	86.583
99	6191	86.353
100	64425	86.1825
101	6135	86.0525
102	6500	85.68199999999999
103	10128	85.18050000000001
104	6208	85.1535
105	2091	84.954
106	5441	84.78150000000001
107	3838	83.2795
108	25885	82.4785
109	6129	81.95
110	6141	81.6505
111	6132	80.852
112	6203	80.4495
113	6124	80.0515
114	6130	77.846
115	6189	76.8465
116	6204	75.9485
117	6169	75.351
118	6152	74.649
119	6193	74.647
120	6222	74.3475
121	6181	72.94800000000001
122	4628	69.763
123	6210	69.34549999999999
124	6122	69.1445
125	6229	69.0435
126	6223	68.343
127	6146	67.738
128	2197	66.04400000000001
129	6206	63.837
130	6171	63.74249999999999
131	25873	63.242000000000004
132	140032	62.64149999999999
133	6194	61.645
134	6192	61.2405
135	6231	61.141
136	6167	59.839999999999996
137	6218	59.3365
138	6227	58.8395
139	6164	57.939
140	6230	55.9385
141	6161	55.236000000000004
142	6234	54.5375
143	3921	52.533500000000004
144	408	52.0515
145	6170	51.7355
146	6155	51.335
147	497661	50.734
148	4736	49.9345
149	6209	48.933
150	6173	47.832499999999996
151	4869	47.109
152	5537	46.777
153	6125	46.532
154	23243	46.3765
155	54882	46.076
156	6235	45.431
157	6137	45.429500000000004
158	6160	44.3315
159	6133	43.3305
160	6165	42.63
161	6176	40.628
162	11224	40.4285
163	6228	40.028999999999996
164	9045	38.8275
165	6147	37.427
166	6138	36.525999999999996
167	6136	35.9265
168	6168	34.3255
169	6175	34.2245
170	6134	34.025
171	6157	31.224
172	6143	30.923000000000002
173	6187	30.621500000000005
174	6159	29.823500000000003
175	6201	29.1205
176	6144	28.222500000000004
177	6154	26.922000000000004
178	23521	26.821000000000005
179	6142	25.119999999999997
180	6158	24.319499999999998
181	4673	23.319
182	55681	22.118000000000002
183	9188	21.8185
184	8971	20.417
185	55131	18.816499999999998
186	1938	18.7175
187	3007	17.916
188	11137	15.915000000000001
189	8342	15.8155
190	9221	13.611500000000001
191	51602	13.414499999999999
192	6949	13.0125
193	4904	12.809999999999999
194	7284	12.613499999999998
195	72	12.314
196	6727	10.913
197	55299	9.612
198	7846	8.411
199	81027	5.910500000000001
200	4691	5.907
201	26156	5.7095
202	10969	4.108
203	51631	4.0085
204	10514	3.4075
205	6732	3.0065
206	3608	2.806
207	10642	2.6055
208	3609	2.4050000000000002
209	26354	2.2045000000000003
210	3192	2.004
211	55646	1.8035
212	4670	1.6030000000000002
213	3178	1.4025
214	7150	1.202
215	1915	1.0015
216	1660	0.8004999999999999
217	4809	0.601
218	11338	0.20099999999999998
219	7307	0.10049999999999999
220	1861	0.099
221	5583	0.099
222	55157	0.0935
