rank	node	rank_score
1	51003	180.1
2	112950	178.59949999999998
3	892	177.199
4	23389	176.598
5	400569	175.5975
6	9442	174.497
7	6837	173.59650000000002
8	9477	172.596
9	23097	171.69549999999998
10	54797	170.79500000000002
11	55588	170.4985
12	90390	169.8945
13	9969	168.994
14	10025	168.0935
15	10001	167.193
16	9439	166.2925
17	9968	165.392
18	9440	164.4915
19	9443	163.59099999999998
20	51586	162.6905
21	9862	161.79000000000002
22	9282	160.8895
23	29079	159.98899999999998
24	9441	158.9885
25	55090	157.888
26	80306	156.9875
27	84246	156.087
28	5469	155.1865
29	1024	154.286
30	9412	153.2855
31	219541	152.58499999999998
32	9967	151.5845
33	7067	150.68400000000003
34	27034	149.7835
35	7421	148.283
36	6257	147.7825
37	55031	146.7815
38	8535	146.482
39	2100	146.081
40	2099	144.3805
41	8295	143.48
42	2648	142.3795
43	10891	141.879
44	3172	140.77849999999998
45	904	139.878
46	1025	138.377
47	23476	138.2775
48	5430	137.57649999999998
49	5439	136.176
50	5433	135.27550000000002
51	5436	134.375
52	5432	133.0745
53	5435	132.674
54	5438	131.773
55	5431	130.8735
56	5434	129.9725
57	5441	128.772
58	5437	127.37150000000001
59	2967	126.87100000000001
60	5440	126.7705
61	2965	124.16900000000001
62	2966	124.07000000000001
63	2960	122.268
64	672	122.06949999999999
65	2068	121.6685
66	2959	121.167
67	2961	120.36749999999999
68	2071	119.86599999999999
69	2968	119.1665
70	2962	117.8655
71	2963	116.36500000000001
72	26015	115.86399999999999
73	6908	115.36449999999999
74	1022	115.36300000000001
75	9150	113.6635
76	399511	112.0625
77	6917	111.06199999999998
78	54760	109.15950000000001
79	6595	109.05999999999999
80	6597	107.55900000000001
81	6602	106.65799999999999
82	6604	105.55850000000001
83	6603	105.357
84	10589	104.25750000000001
85	6601	103.15599999999999
86	6598	102.85650000000001
87	6599	101.4555
88	86	100.55499999999999
89	6605	99.5545
90	11198	98.654
91	8289	97.45349999999999
92	4298	96.053
93	57492	95.85249999999999
94	1387	95.751
95	7044	94.55199999999999
96	9031	93.3515
97	51412	92.15
98	55193	92.0505
99	902	90.8615
100	196528	90.8495
101	55636	90.149
102	404672	89.6605
103	4331	89.161
104	7155	87.7485
105	2033	82.9465
106	8850	81.845
107	3066	81.44800000000001
108	8202	80.74600000000001
109	367	79.4455
110	8648	77.6445
111	9219	76.4475
112	3621	74.0415
113	25942	72.1375
114	10284	71.4365
115	3065	69.9385
116	53981	69.637
117	5928	69.63550000000001
118	8819	69.535
119	6880	68.538
120	6878	68.436
121	53615	67.53450000000001
122	5931	67.13250000000001
123	6883	65.23400000000001
124	7157	64.14099999999999
125	10498	64.1405
126	51742	63.8275
127	6872	63.133500000000005
128	8189	62.23199999999999
129	3516	62.14300000000001
130	4297	62.132999999999996
131	8932	60.7285
132	5929	60.43150000000001
133	23028	59.931
134	8467	58.83050000000001
135	1108	58.727999999999994
136	5977	57.6265
137	57459	57.527
138	11091	57.42999999999999
139	1107	56.629
140	5901	55.32950000000001
141	9794	55.044000000000004
142	6830	54.7435
143	9343	51.626
144	9112	50.525
145	23186	50.3245
146	85509	49.024
147	54815	47.923500000000004
148	57504	46.723
149	60	46.6255
150	51763	45.1425
151	4851	43.642
152	9203	41.92
153	23309	40.8185
154	4609	40.622
155	11177	39.021
156	51317	38.917500000000004
157	6304	38.221500000000006
158	10036	37.747
159	23199	37.717
160	7750	36.4165
161	1487	36.314499999999995
162	3360	35.415499999999994
163	2969	35.016
164	10735	34.9205
165	9611	34.822500000000005
166	10274	34.6195
167	4087	34.419
168	10362	33.815
169	5885	33.018
170	2908	31.439
171	5925	30.714
172	7764	28.8125
173	8243	28.313499999999998
174	10499	26.4395
175	3054	24.912
176	9126	23.213
177	3020	21.22
178	6667	20.611
179	8841	17.2085
180	5371	15.510500000000002
181	9612	14.91
182	7528	14.907999999999998
183	4204	12.705
184	64426	12.209
185	5970	10.206999999999999
186	23054	10.1065
187	4088	9.9115
188	5468	9.605500000000001
189	9739	9.301
190	1051	7.4094999999999995
191	9070	6.014
192	6256	6.004
193	3308	5.9125
194	10474	5.900499999999999
195	5914	5.3035
196	25855	4.911499999999999
197	8473	4.612
198	8204	4.4045000000000005
199	8431	4.401
200	196	4.006
201	3725	3.9075
202	6881	3.8135000000000003
203	1869	3.4015
204	602	3.3024999999999998
205	5926	2.809
206	6874	2.7115
207	7068	2.302
208	79595	2.1079999999999997
209	3622	1.9085
210	6882	1.6075
211	51616	1.2105000000000001
212	84312	1.2075
213	8290	1.2065
214	6877	1.111
215	6879	0.908
216	8464	0.8119999999999999
217	5947	0.807
218	6873	0.41
219	5451	0.40149999999999997
220	6884	0.2085
221	83860	0.10700000000000001
222	2957	0.1055
223	84878	0.0995
224	3316	0.099
225	1410	0.0985
226	1420	0.098
227	1415	0.0975
228	1409	0.097
229	57410	0.04
230	10629	0.0095
231	27097	0.009
232	2958	0.006
233	6875	0.005
234	129685	0.0045
235	6314	0.004
236	117143	0.0035000000000000005
237	7704	0.003
238	9913	0.003
239	6871	0.0025
240	9325	0.0005
