rank	node	rank_score
1	1615	158.999
2	3376	135.8985
3	9521	134.098
4	5917	132.99650000000003
5	51520	132.4945
6	9255	131.69549999999998
7	4141	131.19400000000002
8	5859	129.59300000000002
9	7965	129.4895
10	10010	128.99200000000002
11	8517	122.98899999999999
12	3320	121.708
13	1861	119.19949999999999
14	5970	115.81599999999999
15	1936	111.999
16	2058	111.59400000000001
17	7534	110.6415
18	9641	108.49300000000001
19	4791	104.79249999999999
20	4794	100.5815
21	113457	98.089
22	51003	97.9
23	4793	96.079
24	3551	95.88199999999999
25	9020	95.88
26	3313	93.1865
27	1213	92.986
28	220717	92.685
29	92609	92.56949999999999
30	7189	92.5615
31	805	92.075
32	1147	91.9785
33	4792	91.7805
34	29110	91.19
35	3305	91.17949999999999
36	5437	91.0605
37	6885	90.983
38	5971	90.4825
39	4790	90.377
40	55157	89.2455
41	10382	89.0745
42	7278	88.8835
43	1326	88.076
44	801	87.362
45	790	86.1735
46	5441	85.86
47	5966	85.27799999999999
48	4215	83.66
49	3303	82.6685
50	2734	81.57300000000001
51	3309	80.75750000000001
52	203068	80.2585
53	808	79.2565
54	7186	79.161
55	3312	78.8605
56	8737	78.771
57	71	78.072
58	3326	77.1775
59	23118	77.159
60	11035	76.5845
61	7132	74.75699999999999
62	3310	72.8535
63	10454	72.1515
64	7133	71.05
65	9919	70.465
66	8454	70.2755
67	9532	69.356
68	4214	69.0595
69	347733	68.658
70	8767	66.75550000000001
71	8717	66.363
72	5134	65.366
73	409	64.35249999999999
74	7314	64.054
75	3301	63.254999999999995
76	4163	61.7915
77	7185	61.048
78	11140	60.94449999999999
79	4528	60.87049999999999
80	8607	59.751
81	26502	59.3985
82	3316	59.09349999999999
83	23291	58.7715
84	6207	58.64549999999999
85	10856	58.052
86	9462	57.867000000000004
87	10788	57.864999999999995
88	708	57.7505
89	1917	57.553
90	64343	56.4895
91	51082	56.069
92	10128	56.0665
93	7311	54.845000000000006
94	3839	54.77
95	6500	53.968
96	5537	53.968
97	292	51.9495
98	6233	51.942499999999995
99	55346	51.8885
100	64425	51.364
101	6156	51.349000000000004
102	7873	51.088499999999996
103	84172	50.4645
104	10849	50.265499999999996
105	6128	49.847500000000004
106	6188	48.641
107	6232	48.540499999999994
108	3838	48.4675
109	7316	48.436
110	23344	47.5865
111	25885	46.9625
112	9349	44.1485
113	6205	44.036
114	6217	40.909000000000006
115	6202	40.746500000000005
116	219541	39.79600000000001
117	112950	39.4975
118	6135	39.04
119	400569	38.997
120	55588	38.588
121	8239	38.4495
122	7351	38.398
123	26133	38.2605
124	23389	38.195
125	408	38.144
126	6191	38.0385
127	6129	38.0355
128	9442	37.991499999999995
129	54797	37.891
130	9477	37.790499999999994
131	892	37.684000000000005
132	6837	37.5875
133	6224	37.5075
134	23097	37.1865
135	90390	36.984500000000004
136	4628	36.546
137	9969	36.383
138	10025	36.1825
139	9441	35.989999999999995
140	55031	35.8925
141	10001	35.882
142	55090	35.586
143	9968	35.581
144	9439	35.4815
145	80306	35.3855
146	9440	35.3805
147	56521	35.2855
148	84246	35.185
149	9443	35.087
150	51586	34.78
151	9862	34.7795
152	10985	34.737
153	9282	34.479
154	9967	34.376999999999995
155	29079	34.278499999999994
156	7532	33.797000000000004
157	1024	33.5835
158	5469	33.577999999999996
159	9412	33.277499999999996
160	10758	33.038
161	7067	32.9765
162	6208	32.910000000000004
163	4646	32.835
164	27034	32.571000000000005
165	6141	32.335
166	6257	32.2725
167	6132	32.2025
168	2100	31.773000000000003
169	2648	31.770500000000006
170	7421	31.672000000000004
171	11056	31.668
172	257397	31.2365
173	6130	31.232999999999997
174	10891	31.1715
175	150684	31.130000000000003
176	2099	31.075
177	293	30.839
178	8295	30.676
179	8535	30.575499999999998
180	23476	30.4675
181	5430	30.259000000000004
182	3172	30.174500000000002
183	5439	29.966499999999996
184	84617	29.844
185	2969	29.204
186	672	28.965999999999998
187	904	28.863999999999997
188	2289	28.857499999999998
189	5435	28.762
190	5433	28.1695
191	5436	27.764999999999997
192	5438	27.069
193	5432	27.0645
194	5434	26.863
195	5431	26.7685
196	2967	26.658500000000004
197	5440	26.4625
198	2966	26.4615
199	2960	25.8635
200	1022	25.853499999999997
201	4869	25.743000000000002
202	1025	25.674
203	2965	25.357499999999998
204	2959	25.1595
205	9794	25.113
206	2071	24.856
207	2961	24.657
208	2962	24.655
209	4691	24.6255
210	2068	24.558
211	2968	24.2565
