rank	node	rank_score
1	148	180.0
2	2921	179.2995
3	64109	178.299
4	3557	177.29850000000002
5	6372	176.398
6	51561	175.4975
7	3594	174.497
8	3595	173.7965
9	3592	172.796
10	6775	171.69549999999998
11	2919	152.095
12	6374	150.9945
13	6774	139.09099999999998
14	3718	134.49349999999998
15	6777	133.99
16	3716	133.4925
17	6776	132.98899999999998
18	3560	131.7905
19	6772	130.4875
20	5295	130.394
21	2690	128.4885
22	5781	127.9855
23	3643	127.67999999999999
24	5159	127.3865
25	3667	125.681
26	5771	125.28800000000001
27	5770	124.67849999999999
28	6464	122.9845
29	5777	121.28600000000002
30	3480	120.37950000000001
31	5788	118.272
32	1956	117.877
33	9021	117.482
34	6714	117.47350000000002
35	5156	117.38499999999999
36	3561	116.68350000000001
37	7297	116.08699999999999
38	7852	114.6825
39	8651	113.68050000000001
40	8660	112.98150000000001
41	2920	112.79400000000001
42	2057	112.579
43	5747	112.378
44	1439	111.27000000000001
45	3572	110.68400000000001
46	5580	110.249
47	3566	110.18299999999999
48	6850	109.676
49	867	109.37550000000002
50	2185	108.69300000000001
51	1399	107.8765
52	4067	105.57249999999999
53	2534	104.6695
54	3559	104.583
55	3815	104.071
56	2064	103.874
57	55250	102.98949999999999
58	7409	102.875
59	10603	102.0715
60	1398	100.3745
61	1445	99.06
62	5921	98.6705
63	6461	98.066
64	5335	97.1685
65	5782	96.85499999999999
66	613	96.769
67	3932	96.164
68	9846	95.867
69	4233	94.8555
70	4318	92.9935
71	2532	92.8925
72	3576	92.793
73	2065	92.07300000000001
74	1796	91.1585
75	7253	88.8915
76	2887	87.856
77	2885	87.5675
78	5795	87.1605
79	5336	85.7645
80	4914	85.4665
81	2549	84.9635
82	3635	83.959
83	3459	82.48949999999999
84	2321	82.268
85	7535	81.863
86	5829	80.758
87	7006	80.65450000000001
88	55824	80.3625
89	3937	80.162
90	3055	79.9595
91	6654	79.361
92	27040	79.1615
93	25	78.95750000000001
94	3791	78.5655
95	2889	73.66499999999999
96	11184	73.457
97	9630	73.292
98	3556	73.09049999999999
99	1436	73.054
100	9564	72.5565
101	5296	72.5535
102	7525	72.4525
103	27	70.353
104	10006	68.352
105	4690	65.6515
106	10657	65.548
107	29760	64.85
108	868	64.751
109	10451	64.74549999999999
110	10278	63.8495
111	5800	62.84349999999999
112	6655	62.2505
113	695	62.247
114	3702	62.0475
115	6452	61.444
116	5581	60.902
117	2066	59.3485
118	100124696	58.9465
119	7454	58.146
120	660	57.845000000000006
121	5578	57.810500000000005
122	2242	57.7375
123	50807	57.24300000000001
124	2268	55.94449999999999
125	5793	55.5395
126	26191	55.342499999999994
127	9138	54.89149999999999
128	5787	54.840999999999994
129	3552	54.590999999999994
130	1499	53.93150000000001
131	10818	53.841499999999996
132	9402	52.54200000000001
133	558	51.8405
134	7010	49.838
135	4486	49.03
136	5175	48.536500000000004
137	30011	47.839
138	5979	47.836
139	4582	46.835
140	55715	46.3355
141	7410	45.6345
142	23607	45.437
143	8835	45.277499999999996
144	1441	43.8335
145	5595	43.433
146	7462	42.2385
147	2260	41.334
148	9743	39.431
149	5796	38.832
150	1000	38.8305
151	5590	37.704499999999996
152	5588	37.6015
153	930	37.528999999999996
154	857	37.339999999999996
155	8440	37.3275
156	10750	36.827999999999996
157	919	36.8245
158	2213	36.6325
159	55620	36.0875
160	5579	36.0025
161	388585	35.888
162	168544	35.68300000000001
163	933	34.027
164	5594	33.929500000000004
165	56955	33.425
166	25970	33.128499999999995
167	10019	32.624
168	4739	31.1265
169	960	30.202999999999996
170	238	28.326
171	5587	27.901
172	2886	26.7255
173	128853	26.7235
174	2904	26.705000000000002
175	640	26.621500000000005
176	58512	26.319499999999998
177	9103	25.619999999999997
178	3636	25.2225
179	974	25.121000000000002
180	5170	24.801499999999997
181	83747	23.523000000000003
182	53358	22.219
183	916	21.914499999999997
184	5894	21.200499999999998
185	50852	21.014
186	6503	20.522
187	4915	20.2185
188	27071	19.318
