rank	node	rank_score
1	8312	159.4
2	1454	158.0985
3	4040	157.298
4	6571	155.69549999999998
5	1453	154.59650000000002
6	1499	154.4975
7	1855	153.497
8	1457	153.4945
9	4775	152.695
10	1857	151.796
11	1459	150.89249999999998
12	1601	147.4915
13	58	139.999
14	1856	138.193
15	4088	136.167
16	4089	125.4605
17	2099	124.577
18	5058	124.47849999999998
19	4087	124.05900000000001
20	5494	122.4935
21	2033	122.2635
22	367	121.56649999999999
23	4193	120.15349999999998
24	860	117.561
25	3065	117.35
26	207	116.5655
27	1387	115.0545
28	2308	112.965
29	6667	111.0685
30	5664	109.89200000000001
31	672	109.376
32	1051	107.9615
33	637	107.09
34	4303	103.955
35	5925	103.77350000000001
36	3725	102.06800000000001
37	5371	101.151
38	1877	99.3995
39	6597	97.6495
40	4950	97.397
41	3172	95.6455
42	7421	92.745
43	8202	90.6575
44	999	90.4905
45	1022	89.987
46	6599	89.43350000000001
47	1050	88.363
48	10499	87.846
49	2932	86.966
50	6996	86.4385
51	6908	86.23400000000001
52	3066	85.0355
53	2908	84.149
54	1386	83.85799999999999
55	6598	81.333
56	6601	80.9285
57	8841	79.94200000000001
58	8850	79.738
59	9611	78.94449999999999
60	6595	78.72749999999999
61	9612	76.2415
62	2959	74.429
63	1020	74.29400000000001
64	5970	73.5405
65	7161	73.152
66	23054	72.34349999999999
67	7046	72.286
68	4092	72.1865
69	8648	71.74300000000001
70	1025	71.4835
71	51176	71.2835
72	5594	71.1645
73	6602	71.126
74	4609	70.453
75	2353	69.8505
76	6872	69.728
77	25942	69.619
78	23682	68.88
79	3091	68.535
80	51285	67.9795
81	4086	67.88050000000001
82	6603	67.624
83	57154	67.38550000000001
84	23551	67.3785
85	64750	67.279
86	4091	66.082
87	602	65.841
88	6604	65.6235
89	117583	65.375
90	1024	65.0255
91	10273	64.981
92	658	64.97749999999999
93	1021	64.4885
94	595	63.8755
95	51588	63.577999999999996
96	6605	63.222500000000004
97	5914	63.1395
98	9459	62.973
99	208	62.862
100	1019	62.686
101	864	62.576
102	54760	62.5245
103	9412	61.927
104	2962	61.825
105	10413	61.7765
106	8289	60.81849999999999
107	5499	60.382999999999996
108	84085	59.8755
109	57492	59.61800000000001
110	11171	59.2845
111	10589	58.722
112	2290	58.376999999999995
113	5430	58.2265
114	6256	57.944
115	86	57.9175
116	5300	57.86749999999999
117	2965	57.823
118	2960	57.821000000000005
119	7704	57.6375
120	892	57.4215
121	5928	57.117000000000004
122	28996	54.769499999999994
123	3297	54.532500000000006
124	2071	54.42049999999999
125	81839	54.188
126	6714	53.8895
127	4654	53.473
128	8819	53.4145
129	2967	53.220000000000006
130	1460	53.182500000000005
131	5770	52.989
132	5934	52.774
133	7067	52.636
134	6497	52.36749999999999
135	5468	52.1425
136	9219	52.0135
137	84152	51.8875
138	5931	51.815
139	6880	51.714
140	51742	51.51649999999999
141	6241	51.286500000000004
142	983	51.085
143	6878	50.410000000000004
144	91768	50.185500000000005
145	10485	50.084500000000006
146	3621	49.915499999999994
147	55914	49.784000000000006
148	10763	49.684000000000005
149	91	49.089999999999996
150	1017	49.08
151	53981	48.313
152	4194	47.951499999999996
153	53615	47.912
154	6853	47.681
155	273	47.4815
156	10284	47.409000000000006
157	6883	47.4085
158	2903	47.182
159	5867	47.1795
160	3832	47.07899999999999
161	8189	46.8095
162	1759	46.7805
163	3925	46.778
164	25	46.2765
165	5599	46.257
166	5127	45.777499999999996
167	5595	45.160000000000004
168	1027	44.875
169	5601	44.6555
170	5469	44.232
171	4297	44.1075
172	8851	43.4745
173	8932	43.1105
174	7155	42.9045
175	5929	42.607
176	2309	42.4675
177	23028	41.808
178	1432	41.456
179	1108	41.4125
180	1107	40.9065
181	57459	40.8115
182	894	40.772000000000006
183	7341	40.661500000000004
184	2113	40.654
185	1026	40.0715
186	5977	39.411
187	896	39.2725
188	7249	39.164
189	11091	39.006
190	5901	38.6055
191	8467	38.505
192	79753	38.263999999999996
193	6774	38.148
194	324	38.090999999999994
195	9252	37.0475
196	8554	36.765
197	5600	36.447
198	891	34.3625
199	9392	34.189499999999995
200	7042	33.989
201	83871	33.9855
202	5451	32.839
203	995	32.6565
204	121268	31.9815
205	29984	31.381
206	8878	31.28
207	90	31.180500000000002
208	7068	31.0315
209	4090	30.879499999999997
210	55827	30.576
211	5465	29.430500000000002
212	9325	27.53
213	9343	27.433
214	10498	27.101
215	10891	26.931
216	2002	26.5465
217	1487	24.825499999999998
218	1111	24.3595
219	11198	24.103
220	9031	24.0025
221	2114	23.2485
222	1616	23.06
223	1958	22.1625
224	60	21.104
225	9015	19.898500000000002
226	23186	19.7245
227	8313	19.2935
228	5525	19.189500000000002
229	8290	19.109
230	54815	18.7175
231	55193	18.701999999999998
232	22881	18.688
233	51412	18.4015
234	2287	17.9895
235	8893	17.889
236	407	17.887999999999998
237	3622	17.8315
238	9112	17.723000000000003
239	2623	17.116
240	23309	16.924
241	85509	16.9195
242	5663	16.4695
243	2100	16.319499999999998
244	140901	16.2755
245	4137	16.269
246	9862	15.8095
247	57381	15.477500000000001
248	5241	15.437000000000001
249	29068	15.2745
250	28512	15.1735
251	57111	15.0725
252	7554	14.769499999999999
253	7750	14.625
254	79674	14.572999999999999
255	9203	14.522499999999999
256	10140	14.474
257	163126	14.171000000000001
258	51317	13.622
259	58473	13.570500000000001
260	196528	13.4005
261	2737	12.866999999999999
262	23199	12.821000000000002
263	2274	12.769
264	2969	12.2215
265	3360	11.9205
266	51592	11.7545
267	7316	11.7365
268	10362	11.52
269	7329	11.0555
270	10401	10.962
271	57504	10.9145
272	5604	10.752500000000001
273	573	10.539
274	10691	10.355
275	3320	9.2035
276	3516	9.004999999999999
277	8204	8.526
278	4204	7.7235
279	55636	6.912000000000001
280	4298	6.51
281	4152	6.038
282	3164	5.8295
283	7528	5.2045
284	11177	3.303
285	10274	2.9025
286	9070	2.6155
287	3308	2.614
288	8473	2.416
289	64426	2.415
290	9739	1.9134999999999998
291	3054	1.8125
292	1869	1.7399999999999998
293	10735	1.502
294	6304	1.411
295	5885	1.301
296	9126	1.1015000000000001
297	6613	0.7005
298	25855	0.611
299	196	0.3025
300	904	0.20049999999999998
301	4602	0.12450000000000001
