rank	node	rank_score
1	2767	177.4
2	2776	172.09949999999998
3	3357	148.4975
4	5739	146.697
5	8128	139.0985
6	6714	118.62449999999998
7	5295	97.299
8	5578	96.475
9	2534	92.313
10	6915	89.38050000000001
11	1956	89.137
12	3643	87.009
13	3932	86.4475
14	4070	83.4725
15	5335	81.8035
16	5580	81.5565
17	5788	79.115
18	5894	78.955
19	6003	75.599
20	3667	75.5065
21	156	75.46549999999999
22	5781	72.59700000000001
23	3717	67.398
24	55188	67.19800000000001
25	7275	67.096
26	2911	65.9515
27	154	65.65799999999999
28	2316	65.5735
29	4985	63.263999999999996
30	857	63.2375
31	5770	62.916
32	5777	62.7885
33	10672	60.673
34	5782	60.226
35	5159	58.87949999999999
36	9289	57.596500000000006
37	2885	57.5955
38	4233	57.3335
39	6464	57.184000000000005
40	3560	57.092000000000006
41	2784	56.696000000000005
42	975	56.19349999999999
43	59345	56.095000000000006
44	6777	56.089
45	6004	55.87050000000001
46	2782	55.394000000000005
47	2783	55.193000000000005
48	94235	54.790499999999994
49	3716	54.69449999999999
50	10399	54.504999999999995
51	6850	54.3755
52	867	54.3745
53	2785	54.19
54	5156	54.18299999999999
55	613	54.067499999999995
56	2185	53.675
57	2793	53.589
58	3815	53.3765
59	2788	53.288
60	6776	53.283500000000004
61	2790	52.8865
62	2064	52.769000000000005
63	5579	52.7595
64	5592	52.7255
65	2792	52.492
66	2786	52.4875
67	2057	52.3815
68	654364	52.2845
69	4067	52.277499999999996
70	55970	52.185500000000005
71	4543	52.092499999999994
72	51764	51.887
73	3791	51.866
74	54331	51.689499999999995
75	2778	51.5945
76	2791	51.585
77	2787	51.086
78	5581	51.0635
79	5921	50.9705
80	2769	50.963
81	7409	50.8685
82	2690	50.495
83	1439	50.480000000000004
84	624	50.359
85	1399	50.2695
86	10681	50.088499999999996
87	5747	49.873000000000005
88	4544	49.7915
89	2887	49.3725
90	150	49.364999999999995
91	9846	49.267
92	6772	48.882
93	1445	48.8005
94	5566	48.6305
95	7297	48.5865
96	2773	48.483000000000004
97	6774	48.390499999999996
98	11035	48.382
99	695	48.357
100	5583	47.8525
101	5568	47.427499999999995
102	6461	47.3805
103	1398	47.372
104	5590	47.150999999999996
105	5567	46.935
106	2705	46.334500000000006
107	6000	46.181
108	7535	46.165
109	5582	46.148
110	25	45.9605
111	60626	45.476
112	9590	45.3235
113	2770	45.18
114	2771	45.169
115	10287	44.771
116	64407	44.6825
117	8490	44.577999999999996
118	2775	44.4765
119	3480	44.474000000000004
120	821	44.1605
121	10603	44.085
122	2781	44.0555
123	3269	43.927
124	2867	43.879
125	2065	43.8645
126	60312	43.849000000000004
127	55824	43.55
128	54866	43.0105
129	10076	42.468
130	3718	42.190999999999995
131	1796	41.863
132	3937	41.755
133	1234	41.57
134	3575	41.288
135	10636	40.562
136	2915	40.3495
137	6654	40.257
138	5336	39.961
139	8651	39.878
140	1080	39.8415
141	8660	39.7895
142	9021	39.593
143	7226	39.397000000000006
144	10451	39.3425
145	7222	39.1985
146	7225	39.098
147	5588	39.0535
148	7220	38.9995
149	57113	38.999
150	64499	38.9975
151	5584	38.65
152	7221	38.3935
153	9294	38.378499999999995
154	4842	38.3575
155	11184	38.3535
156	2865	37.8745
157	2890	37.8445
158	7223	37.7975
159	3708	37.795500000000004
160	2560	37.632
161	7224	37.596500000000006
162	4599	37.596000000000004
163	84876	37.593
164	27	37.462
165	9456	37.094
166	27040	36.956
167	9454	36.8945
168	4900	36.852999999999994
169	5734	36.646
170	6452	36.6455
171	120	36.2505
172	57292	36.207
173	2195	36.092
174	4914	35.6845
175	2893	35.5435
176	301	35.5165
177	2549	35.3575
178	65108	35.246500000000005
179	4690	35.054500000000004
180	4988	34.5615
181	3055	34.559000000000005
182	387	34.489
183	1103	34.244
184	10335	34.1885
185	10657	33.763999999999996
186	1436	33.37
187	115557	33.188
188	10130	32.883500000000005
189	1267	32.756
190	9266	32.7485
191	3315	32.7355
192	10750	32.5555
193	846	32.554500000000004
194	433	32.545
195	3362	32.491
196	920	32.435500000000005
197	56995	32.312
198	85450	32.181
199	3118	32.0945
200	56955	32.049
201	5729	31.784000000000002
202	7504	31.442
203	7074	31.440499999999997
204	2768	31.366499999999995
205	2889	31.366499999999995
206	10006	31.2565
207	5771	30.981
208	2321	30.9635
209	7852	30.8855
210	83543	30.4815
211	3635	30.4625
212	3572	30.391499999999997
213	5243	30.0365
214	868	29.951999999999998
215	5341	29.639999999999997
216	29760	29.2515
217	25970	29.178499999999996
218	26353	29.023000000000003
219	7462	28.7505
220	9564	28.654000000000003
221	5829	28.46
222	917	28.438499999999998
223	119	28.4315
224	6199	28.247500000000002
225	7430	28.110000000000003
226	1903	27.9775
227	960	27.921
228	2152	27.552
229	1268	27.164499999999997
230	5795	27.158500000000004
231	6876	27.137999999999998
232	7410	26.9495
233	58512	26.943
234	7525	26.940499999999997
235	7431	26.928499999999996
236	5296	26.8615
237	6655	26.759500000000003
238	5587	26.736
239	10818	26.732999999999997
240	29899	26.561
241	55715	26.234500000000004
242	5066	26.232999999999997
243	1394	26.1715
244	5595	25.74
245	118	25.7295
246	2566	25.721500000000002
247	3105	25.225
248	3150	24.932499999999997
249	5037	24.743000000000002
250	10278	24.5465
251	3702	24.250999999999998
252	9421	24.124000000000002
253	445815	24.1035
254	5594	24.031
255	3017	23.3695
256	2213	23.2655
257	3769	23.1125
258	2561	22.714
259	7006	22.657999999999998
260	128853	22.1375
261	2673	22.0205
