rank	node	rank_score
1	5781	167.0
2	6777	157.398
3	3717	154.1975
4	5777	153.999
5	6776	148.195
6	2690	146.8935
7	3716	143.893
8	6464	140.696
9	5159	140.18400000000003
10	3560	139.4955
11	5295	139.39249999999998
12	3643	137.0905
13	3718	136.99200000000002
14	2057	136.5875
15	5156	136.1815
16	5788	134.6865
17	6774	134.574
18	7852	133.7835
19	9021	133.59
20	1439	131.8645
21	1956	131.278
22	1399	131.1825
23	6714	131.17000000000002
24	6850	131.0745
25	8651	130.288
26	867	129.982
27	2534	129.9705
28	3815	129.87150000000003
29	8660	128.99099999999999
30	4067	127.776
31	5771	127.69149999999999
32	7297	127.08600000000001
33	6772	126.07300000000001
34	5335	125.277
35	2885	124.88550000000001
36	3572	122.3845
37	2185	122.27649999999998
38	3667	121.7895
39	2064	121.279
40	3932	121.07350000000001
41	3480	120.68699999999998
42	7409	119.4795
43	10603	118.98499999999999
44	57292	117.64949999999999
45	3575	117.37550000000002
46	5770	115.65450000000001
47	5747	115.272
48	1398	114.88
49	613	113.165
50	9846	113.06800000000001
51	5921	112.971
52	1796	112.24749999999999
53	55824	108.8665
54	2549	108.381
55	1445	107.561
56	5336	106.2675
57	6461	104.5805
58	2065	104.369
59	3635	103.846
60	7535	103.16300000000001
61	3566	102.3965
62	4352	101.79400000000001
63	1441	100.3355
64	5795	100.2775
65	4914	99.6615
66	25	99.5655
67	114132	99.4995
68	3937	98.675
69	80739	96.5975
70	2887	96.34700000000001
71	3055	95.9555
72	6654	93.964
73	11184	93.9605
74	140885	93.897
75	10451	93.466
76	4233	93.348
77	5829	92.5685
78	2889	90.7595
79	27040	89.162
80	2321	89.0575
81	5782	88.1635
82	1436	87.56700000000001
83	55715	87.36949999999999
84	27	87.354
85	7010	86.8945
86	868	86.549
87	7006	86.45
88	10657	86.15299999999999
89	4690	85.258
90	9564	85.25699999999999
91	10006	84.24449999999999
92	3791	84.05499999999999
93	857	84.0395
94	5580	81.139
95	29760	80.959
96	7525	80.64200000000001
97	5296	79.851
98	6452	79.66
99	3702	78.338
100	10748	77.5985
101	340205	76.297
102	6655	74.7465
103	10278	74.056
