rank	node	rank_score
1	314	180.1
2	8639	179.1995
3	4128	178.299
4	4129	177.3985
5	26	176.4975
6	128	175.098
7	8854	172.39600000000002
8	316	171.495
9	216	170.69549999999998
10	284273	169.994
11	4353	169.797
12	219	168.59449999999998
13	137872	168.3935
14	501	166.693
15	130	166.5925
16	224	164.99200000000002
17	127	164.8915
18	4329	163.891
19	222	163.8905
20	124	162.59
21	220	162.5895
22	8288	162.2965
23	218	161.689
24	221	160.6885
25	126	158.788
26	8659	157.6875
27	223	156.78699999999998
28	18	155.8865
29	197257	154.98600000000002
30	9380	154.0855
31	3948	153.185
32	160287	152.2845
33	92483	151.38400000000001
34	7915	150.4835
35	84264	149.583
36	5832	148.6825
37	3029	147.78199999999998
38	55293	146.88150000000002
39	3945	145.981
40	3939	145.0805
41	230	144.18
42	229	143.2795
43	226	142.379
44	84532	141.4785
45	55902	140.578
46	65985	139.1775
47	51733	138.7765
48	118881	138.7745
49	84735	137.876
50	438	137.277
51	2571	136.27550000000002
52	5409	135.67249999999999
53	5238	135.175
54	10327	133.474
55	231	132.4735
56	1312	131.773
57	10993	129.972
58	1491	128.97150000000002
59	2805	127.471
60	4357	126.5705
61	2806	125.67
62	3067	125.46849999999999
63	3176	125.369
64	1644	124.36949999999999
65	6799	122.668
66	6818	121.5675
67	6817	120.667
68	112483	119.7665
69	6723	118.86599999999999
70	4953	117.96549999999999
71	6303	117.06500000000001
72	3034	116.1645
73	7173	115.26399999999998
74	2572	113.86300000000001
75	11257	113.4635
76	8789	112.4605
77	5213	111.55999999999999
78	2203	110.65950000000001
79	5211	109.75900000000001
80	5214	108.8585
81	11112	107.6625
82	5053	107.35799999999999
83	23417	104.85650000000001
84	529	101.95599999999999
85	2877	99.8555
86	2936	98.85499999999999
87	2879	97.95450000000001
88	2878	97.054
89	2876	96.1535
90	847	95.15299999999999
91	30	94.2525
92	51	93.252
93	35	92.3515
94	84129	91.451
95	257202	90.75
96	28976	90.5505
97	36	89.0495
98	3295	88.049
99	34	87.0485
100	10935	85.9475
101	6649	85.748
102	116173	84.962
103	27034	84.447
104	7001	83.54650000000001
105	3242	82.761
106	1962	82.646
107	6647	81.74549999999999
108	6898	81.25750000000001
109	5052	80.845
110	6648	79.94449999999999
111	8309	79.04400000000001
112	79016	78.0615
113	549	77.84349999999999
114	3030	76.843
115	1891	76.542
116	3032	75.24249999999999
117	55268	75.2415
118	1892	73.64099999999999
119	2639	72.7405
120	116285	71.84
121	2181	70.9395
122	3033	70.039
123	3158	69.1385
124	3157	68.238
125	3028	67.3375
126	38	66.437
127	39	65.5365
128	64064	64.636
129	5019	63.7355
130	54511	62.835
131	3155	61.9345
132	622	61.034000000000006
133	2739	60.556999999999995
134	1738	59.9335
135	8803	57.8325
136	8050	55.532999999999994
137	8802	55.330999999999996
138	23464	54.73199999999999
139	8801	54.230500000000006
140	4594	53.43150000000001
141	6392	53.128
142	6391	52.2275
143	4967	51.629999999999995
144	212	50.8295
145	6389	50.527
146	1743	49.729
147	6390	49.6265
148	211	48.8285
149	2271	45.525999999999996
150	594	45.325
151	1036	45.2565
152	51380	44.854
153	593	44.4245
154	84693	44.2255
155	587	42.124
156	1629	41.0235
157	586	40.523
158	3712	39.4225
159	57085	32.0195
160	27244	31.919999999999998
161	10397	30.421000000000003
162	79876	29.322000000000003
163	6472	28.521500000000003
164	60673	26.1205
165	64087	25.2085
166	5105	22.219
167	4163	21.706
168	5106	21.518
169	2098	21.404500000000002
170	4191	20.9185
171	55748	20.708
172	5091	20.517500000000002
173	130752	20.417
174	3106	19.5035
175	171425	19.316499999999998
176	2108	19.305500000000002
177	54093	19.105
178	4190	18.716
179	4048	18.104
180	10201	18.0155
181	4833	17.415
182	8574	16.4025
183	4832	15.814499999999999
184	7174	15.703
185	4830	15.113999999999999
186	8760	14.013499999999999
187	1040	13.213
188	1633	13.212
189	51727	13.111500000000001
190	29922	12.5125
191	4831	12.4105
192	2643	11.311
193	94081	11.3015
194	5210	11.256
195	5207	11.1555
196	5209	11.055
197	5208	10.9545
198	327	10.702
199	55907	10.41
200	3704	9.809000000000001
201	1854	9.2095
202	9641	8.901
203	80155	8.9005
204	23043	4.7015
205	151393	4.6065
206	23011	4.513
207	11345	4.403499999999999
208	440	4.2125
209	387082	4.0075
210	6652	3.8009999999999997
211	873	2.7030000000000003
212	57095	2.607
213	56922	2.5045
214	56681	2.011
215	5902	1.9045
216	7019	1.809
217	4860	1.707
218	5162	1.612
219	6902	1.5074999999999998
220	5908	1.4115
221	5230	1.405
222	51504	1.3035
223	2287	1.2025000000000001
224	10961	1.01
225	1104	0.9109999999999999
226	9141	0.905
227	7189	0.7030000000000001
228	10857	0.6005
229	6897	0.5115000000000001
230	5564	0.3005
231	7247	0.1055
232	5110	0.0085
233	4522	0.007000000000000001
234	10289	0.006500000000000001
235	3251	0.006
236	6240	0.005
237	2035	0.004
238	2194	0.004
239	1737	0.004
240	2631	0.0035000000000000005
241	5163	0.0035000000000000005
242	7453	0.003
243	9761	0.003
244	5160	0.003
245	8407	0.0025
246	51479	0.0025
247	5164	0.0025
248	751867	0.002
249	5161	0.002
250	1968	0.0015
251	440738	0.0015
252	5165	0.0015
253	27101	0.001
254	23710	0.001
255	9776	0.0005
